"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",44.2304761904762,"Up",1.303e+09,-7.2e+08,5.83e+08,-3.3e+08,-2.94e+08,-2.6e+07,-1e+07,2.53e+08,-3.6e+07,-3.6e+07,2.17e+08,2.17e+08,-7.7e+07,1.4e+08,1.57e+08,1.57e+08,1.57e+08,2.37e+08,2.37e+08,4.58e+08,4.58e+08,3.92e+08,1.14e+08,1.14e+08,1.201e+09,9.47e+08,2.45e+09,5.58e+08,1.64e+09,1.01e+08,1.51e+08,3.397e+09,4.598e+09,7.35e+08,4.05e+08,1.032e+09,4.57e+08,9.9e+07,1.866e+09,2.137e+09,6.42e+08,2.5e+07,6.17e+08,2.779e+09,4.645e+09,7.23e+08,1.59e+08,5.64e+08,-1.169e+09,7.2e+08,-3.21e+08,-4.7e+07,-4.7e+07,4.598e+09,1.4e+08,1.57e+08,4.8e+07,-1.1e+07,1.3e+07,2e+06,-2.6e+07,-1e+08,3.4e+07,-2.1e+07,-1.13e+08,9.4e+07,-3.4e+07,-3.4e+07,1e+06,-3.3e+07,-7e+07,2e+07,1.5e+07,1.5e+07,0,-3.5e+07,2.6e+07,2.6e+07,5e+06,3.1e+07,3.01e+08,3.169e+09,2.44e+08,0.44743,0.19417,0.12049,-3.34043,0.03415,1.55414,0.64362,-98.82979,0.68921,1.12349,1.11457,9.32426,-0.33633,1.74606,0.50092,0.06031,0.06482,0.44586,9.74086,11.58893
"2","2010_Q3",45.55265625,"Up",1.215e+09,-6.86e+08,5.29e+08,-3.55e+08,-3.08e+08,-2.9e+07,-1.8e+07,1.74e+08,-3.7e+07,-3.7e+07,1.37e+08,1.37e+08,-4.4e+07,9.3e+07,1.1e+08,1.1e+08,1.1e+08,1.54e+08,1.54e+08,4.23e+08,4.23e+08,4.09e+08,1.17e+08,1.17e+08,1.103e+09,9.37e+08,2.449e+09,5.59e+08,1.646e+09,9.8e+07,1.46e+08,3.386e+09,4.489e+09,7.37e+08,4.36e+08,6e+08,24999999.9999998,3.5e+07,1.372e+09,2.435e+09,6.55e+08,2.9e+07,6.26e+08,3.09e+09,4.462e+09,7.35e+08,1.59e+08,5.76e+08,-1.144e+09,7.53e+08,-3.17e+08,2.7e+07,2.7e+07,4.489e+09,9.3e+07,1.1e+08,4.6e+07,2.6e+07,1.2e+07,3e+06,1.1e+07,-3.1e+07,2.4e+07,-2e+07,-3.5e+07,1.52e+08,-4.2e+07,-4.2e+07,0,-4.2e+07,-7.1e+07,-1.35e+08,1.6e+07,1.6e+07,0,-1.9e+08,-8e+07,-8e+07,-3e+06,-82999999.9999999,2.2e+08,3.035e+09,1.91e+08,0.43539,0.14321,0.09053,4.07407,0.0245,1.73636,0.80394,165.25926,0.6761,0.78402,0.77705,8.65983,0.19244,1.36134,0.50605,0.0487,0.05139,0.64545,13.09545,16.55747
"3","2010_Q4",45.3853125,"Down",1.287e+09,-7.13e+08,5.74e+08,-3.31e+08,-3e+08,-3e+07,-1e+06,2.43e+08,-3.4e+07,-3.4e+07,2.09e+08,2.09e+08,-6.6e+07,1.43e+08,1.65e+08,1.65e+08,1.65e+08,2.41e+08,2.41e+08,5.56e+08,5.56e+08,4.23e+08,1.18e+08,1.18e+08,1.338e+09,9.35e+08,2.47e+09,5.65e+08,1.658e+09,1e+08,1.47e+08,3.405e+09,4.743e+09,8.2e+08,4.78e+08,8.86e+08,5.86e+08,6.6e+07,1.772e+09,2.132e+09,6.59e+08,4.9e+07,6.1e+08,2.791e+09,4.563e+09,7.58e+08,1.59e+08,5.99e+08,-1.109e+09,8.38e+08,-3.07e+08,1.8e+08,1.8e+08,4.743e+09,1.43e+08,1.65e+08,4.4e+07,3.3e+07,2.1e+07,1.6e+07,-4e+06,-1e+07,-8.8e+07,-6e+06,8.4e+07,1.97e+08,-3.3e+07,-3.3e+07,1e+06,-5.3e+07,-7e+07,-1.5e+07,3e+07,3e+07,0,-5.5e+07,8.9e+07,8.9e+07,-2e+06,8.7e+07,2.87e+08,3.018e+09,3.1e+08,0.446,0.18881,0.12821,0.91667,0.03479,1.87879,0.75508,25.35,0.63631,1.17217,1.16111,9.14296,1.27874,2.20227,0.49729,0.06093,0.08037,0.42424,9.67596,11.42798
"4","2011_Q1",47.0845161290323,"Up",1.429e+09,-7.96e+08,6.33e+08,-3.59e+08,-3.26e+08,-3.3e+07,1.86264514923096e-09,2.74e+08,-3.2e+07,-3.2e+07,2.42e+08,2.42e+08,-9.2e+07,1.5e+08,1.71e+08,1.71e+08,1.71e+08,8.7e+07,8.7e+07,5.4e+08,5.4e+08,3.32e+08,5.3e+08,1.25e+08,1.489e+09,9.66e+08,2.093e+09,5.5e+08,1.303e+09,9.6e+07,1.44e+08,3.059e+09,4.548e+09,9e+08,4.91e+08,6.71e+08,3.71e+08,7.4e+07,1.645e+09,2.124e+09,6.96e+08,1.9e+07,6.77e+08,2.82e+09,4.465e+09,7.76e+08,1.59e+08,6.17e+08,-1.242e+09,9.2e+08,-3.71e+08,8.3e+07,8.3e+07,4.548e+09,1.5e+08,1.71e+08,4.5e+07,2.1e+07,1.4e+07,3e+06,4e+06,1.27e+08,8999999.99999999,5.3e+07,6.5e+07,3.76e+08,-9.2e+07,-9.2e+07,-1.1e+07,-1.03e+08,-7.1e+07,-2.24e+08,-1.31e+08,1.9e+07,-1.5e+08,-4.26e+08,-1.53e+08,-1.53e+08,-1e+06,-1.54e+08,3.19e+08,2.795e+09,4.46e+08,0.44297,0.19174,0.11966,2.06024,0.0376,2.60819,0.90517,53.79518,0.61456,1.21901,1.20755,10.18691,0.59168,3.1794,0.50614,0.06771,0.12479,0.4152,8.48903,9.88321
"5","2011_Q2",49.3095238095238,"Up",1.266e+09,-7.05e+08,5.61e+08,-3.27e+08,-2.99e+08,-2.9e+07,1e+06,2.34e+08,-3.2e+07,-3.2e+07,2.02e+08,2.02e+08,-6.2e+07,1.4e+08,2.16e+08,2.16e+08,2.16e+08,2.86e+08,2.86e+08,4.8e+08,4.8e+08,3.7e+08,5.85e+08,1.13e+08,1.721e+09,9.65e+08,2.107e+09,5.52e+08,1.317e+09,9.3e+07,1.45e+08,3.072e+09,4.793e+09,8.04e+08,4.25e+08,8.06e+08,5.06e+08,8.7e+07,1.697e+09,2.124e+09,6.93e+08,2.4e+07,6.69e+08,2.817e+09,4.514e+09,7.67e+08,1.59e+08,6.08e+08,-1.204e+09,1.053e+09,-3.37e+08,2.79e+08,2.79e+08,4.793e+09,1.4e+08,2.16e+08,4.5e+07,8e+06,1.2e+07,-1e+06,-3e+06,-6.7e+07,6e+07,-4.4e+07,-8.3e+07,1.48e+08,-3.4e+07,-3.4e+07,10029289.7119789,-3.4e+07,-7.7e+07,1.34e+08,1.8e+07,2.2e+07,-4e+06,7.5e+07,1.89e+08,1.89e+08,1e+07,1.99e+08,2.79e+08,2.93e+09,2.4e+08,0.44313,0.18483,0.17062,0.77419,0.04507,1.11111,1.01414,16.17921,0.61131,1.54866,1.53265,9.0769,2.00036,1.72074,0.55207,0.07509,0.06151,0.35648,9.4767,11.29915
"6","2011_Q3",49.6515625,"Up",1.179e+09,-6.87e+08,4.92e+08,-3.13e+08,-2.97e+08,-2.8e+07,1.2e+07,1.79e+08,-3.3e+07,-3.3e+07,1.46e+08,-1.12e+08,-5.1e+07,-1.63e+08,2.1e+07,2.1e+07,2.1e+07,3.79e+08,3.79e+08,4.4e+08,4.4e+08,4.12e+08,1.13e+08,1.13e+08,1.344e+09,9.73e+08,1.841e+09,5.51e+08,1.063e+09,9e+07,1.37e+08,2.814e+09,4.158e+09,7.69e+08,4.43e+08,3.03e+08,3e+06,1.04e+08,1.176e+09,2.125e+09,7.33e+08,2.9e+07,7.04e+08,2.858e+09,4.034e+09,7.69e+08,1.59e+08,6.1e+08,-1.321e+09,9.94e+08,-3.18e+08,1.24e+08,1.24e+08,4.158e+09,-1.63e+08,2.1e+07,4.3e+07,2.71e+08,2e+06,8e+06,2.61e+08,-1.07e+08,-6e+06,-2.4e+07,-7.7e+07,7.7e+07,-5.5e+07,-5.5e+07,2.5e+07,7.17e+08,-7.7e+07,-5.03e+08,-1.17e+08,1.3e+07,-1.3e+08,-6.97e+08,97000000.0000001,97000000.0000001,-4e+06,92999999.9999999,2.22e+08,2.428e+09,1.11e+08,0.4173,0.15182,0.01781,0.16935,0.00505,5.28571,1.14286,32.53226,0.58393,0.15143,0.15304,8.50165,0.89415,0.80041,0.55524,0.02983,0.03379,3.66667,9.22973,11.44693
"7","2011_Q4",47.9893650793651,"Down",1.304e+09,-7.29e+08,5.75e+08,-3.27e+08,-3.07e+08,-2.9e+07,9e+06,2.48e+08,-2.9e+07,-2.9e+07,2.19e+08,2.19e+08,-7.8e+07,1.41e+08,1.51e+08,1.51e+08,1.51e+08,1.53e+08,1.53e+08,4.99e+08,4.99e+08,4.35e+08,1.17e+08,1.17e+08,1.204e+09,1.006e+09,1.841e+09,5.5e+08,1.066e+09,8.6e+07,1.39e+08,2.847e+09,4.051e+09,8.12e+08,4.52e+08,3.43e+08,3.43e+08,7.7e+07,1.232e+09,2.125e+09,7.76e+08,6.1e+07,7.15e+08,2.901e+09,4.133e+09,7.82e+08,1.59e+08,6.23e+08,-1.616e+09,1.059e+09,-3.07e+08,-8.2e+07,-8.2e+07,4.051e+09,1.41e+08,1.51e+08,4.2e+07,4.1e+07,9e+06,2.6e+07,6e+06,-7e+06,-6.7e+07,-2.5e+07,8.5e+07,1.81e+08,-7e+07,-7e+07,0,-7e+07,-7.6e+07,4e+07,-3.03e+08,3.5e+07,-3.38e+08,-3.39e+08,-2.28e+08,-2.28e+08,2e+06,-2.26e+08,2.9e+08,2.468e+09,2.91e+08,0.44095,0.19018,0.1158,-1.84146,0.03727,1.92715,0.97727,-50.40244,0.60923,1.10735,1.07529,9.56278,-0.60134,2.13403,0.55734,0.07179,0.09203,0.50331,7.98276,9.33468
"8","2012_Q1",50.1908064516129,"Up",1.482e+09,-8.37e+08,6.45e+08,-3.62e+08,-3.34e+08,-2.9e+07,999999.999999999,2.83e+08,-2.9e+07,-2.9e+07,2.54e+08,2.54e+08,-8.5e+07,1.69e+08,1.69e+08,1.69e+08,1.69e+08,2.59e+08,2.59e+08,5.25e+08,5.25e+08,3.82e+08,1.13e+08,1.13e+08,1.279e+09,1.039e+09,1.845e+09,5.5e+08,1.07e+09,8.3e+07,1.42e+08,2.884e+09,4.163e+09,8.65e+08,4.42e+08,4.59e+08,4.59e+08,4.1e+07,1.365e+09,2.125e+09,7.59e+08,1.4e+08,6.19e+08,2.884e+09,4.249e+09,7.91e+08,1.59e+08,6.32e+08,-1.77e+09,1.143e+09,-2.5e+08,-8.6e+07,-8.6e+07,4.163e+09,1.69e+08,1.69e+08,4.3e+07,5.5e+07,9e+06,4e+07,6000000.00000003,3.6e+07,-2e+07,5.6e+07,2.98023223876953e-08,2.92e+08,-6.9e+07,-6.9e+07,3.72529029846191e-09,-6.9e+07,-7.3e+07,1.16e+08,-1.6e+08,2.3e+07,-1.83e+08,-1.17e+08,1.06e+08,1.06e+08,0,1.06e+08,3.26e+08,2.584e+09,3.78e+08,0.43522,0.19096,0.11404,-1.96512,0.0406,2.23669,0.937,-49.40698,0.62071,1.27759,1.26286,11.20351,-0.65014,2.85757,0.55186,0.0743,0.11606,0.43195,7.1319,8.21555
"9","2012_Q2",51.8171428571429,"Up",1.305e+09,-7.59e+08,5.46e+08,-3.3e+08,-3.08e+08,-2.8e+07,6e+06,2.16e+08,-2.9e+07,-2.9e+07,1.87e+08,1.87e+08,-5.7e+07,1.3e+08,1.3e+08,1.3e+08,1.3e+08,2.7e+08,2.7e+08,4.39e+08,4.39e+08,4.07e+08,1.22e+08,1.22e+08,1.238e+09,1.028e+09,1.811e+09,5.47e+08,1.053e+09,7.9e+07,1.32e+08,2.839e+09,4.077e+09,7.91e+08,4.34e+08,4.4e+08,4.4e+08,3.7e+07,1.268e+09,2.122e+09,7.63e+08,1.37e+08,6.26e+08,2.885e+09,4.153e+09,7.7e+08,1.59e+08,6.11e+08,-1.717e+09,1.185e+09,-3.14e+08,-7.6e+07,-7.6e+07,4.077e+09,1.3e+08,1.3e+08,4.6e+07,1.9e+07,5e+06,5e+06,9e+06,-6.4e+07,7.9e+07,-3.1e+07,-1.12e+08,1.31e+08,-3.7e+07,-3.7e+07,9255834.58849222,-3.7e+07,-7.9e+07,-2.2e+07,2.4e+07,3.3e+07,-9e+06,-7.7e+07,1.7e+07,1.7e+07,-6e+06,1.1e+07,2.62e+08,2.562e+09,2.18e+08,0.41839,0.16552,0.09962,-1.71053,0.03189,1.67692,0.97634,-54.64474,0.6284,0.98509,0.97297,9.88876,-0.5759,1.65192,0.59863,0.06433,0.0671,0.60769,8.74809,10.61111
"10","2012_Q3",53.9998412698413,"Up",1.221e+09,-7.14e+08,5.07e+08,-3.22e+08,-2.99e+08,-2.9e+07,6e+06,1.85e+08,-3e+07,-3e+07,1.55e+08,1.55e+08,-5e+07,1.05e+08,1.05e+08,1.05e+08,1.05e+08,2.97e+08,2.97e+08,4.89e+08,4.89e+08,4.51e+08,1.11e+08,1.11e+08,1.348e+09,1.041e+09,1.901e+09,5.66e+08,1.093e+09,1.03e+08,1.39e+08,2.942e+09,4.29e+09,7.83e+08,4.38e+08,8.26e+08,4.76e+08,2.8e+07,1.637e+09,2.07e+09,7.82e+08,1.41e+08,6.41e+08,2.852e+09,4.489e+09,7.75e+08,1.59e+08,6.16e+08,-1.861e+09,1.21e+09,-3.23e+08,-1.99e+08,-1.99e+08,4.29e+09,1.05e+08,1.05e+08,4.3e+07,-3.4e+07,6e+06,-2e+06,-3.8e+07,-7.7e+07,-4.4e+07,-3.4e+07,1000000.00000003,3.7e+07,-4.5e+07,-4.5e+07,1.2e+07,-1.26e+08,-8e+07,3.33e+08,-1.38e+08,1.1e+07,-1.49e+08,1.15e+08,2.6e+07,2.6e+07,1e+06,2.7e+07,2.28e+08,2.896e+09,1.56e+08,0.41523,0.15152,0.086,-0.52764,0.02448,1.48571,0.82346,-22.55779,0.67506,0.80084,0.79285,9.31265,-1.51779,1.18982,0.61017,0.05318,0.04484,0.7619,11.39912,14.04865
