"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",30.2055555555556,"Up",61395000,-41372000,20023000,-14777000,-14777000,5246000,-993000,-439000,-554000,4253000,4253000,-1556000,2697000,2697000,-41000,2656000,2656000,-223372546.750086,-223372546.750086,-134658881.887827,-134658881.887827,214593493.699321,101073640.841216,101073639.936213,-42364294.097375,-8793897.34067401,102782623.850475,-9962030.13279344,135972114.021626,-9731206.35739851,93988726.5098013,51624432.4124263,277004703.007449,180916894.61504,96087808.3924089,281795694.013532,-213310061.753225,147800648.632692,-8986272.89082449,156786921.523517,-65509413.1205325,216286280.892999,14939791.7851044,-37970371.6877287,34138919.2195576,-178867415.646523,-167759076.329589,3097227.84901622,-164661848.480573,51624432.4124263,2697000,2272000,1713000,-2601000,4081000,-1198000,-293000,-1491000,1671000,-6000,944000,3534000,3534000,558000,4092000,7518000,0,5275000,0.32613,0.08545,0.04326,-1.25006610814721,-0.608606001307703,1.98607,-7.03566810717007,3.95792971227867,-0.563791410680557,0.24407,0.23928,5.64189,-22.3800242606385,0.48475,-0.750982788278714,0.514695121187739,23.7530850355845,35.3844246850221
"2","2011_Q3",33.28375,"Up",75160000,-51403000,23757000,-18639000,-18639000,5118000,-529000,-440000,-89000,4589000,4589000,-529000,4060000,4060000,-26000,4034000,4034000,-88176273.3750428,-88176273.3750428,-19913440.9439135,-19913440.9439135,142542746.849661,52503820.4206081,52503819.9681065,86956852.9513125,33161051.329663,72906311.9252377,-499015.066396719,69697557.0108127,-421603.178699257,106067363.254901,193024216.206213,169283351.503724,101017947.30752,68265404.1962044,173606347.006766,-86674030.8766124,103422324.316346,-1454136.44541225,104876460.761758,16748293.4397337,190354640.4465,12536395.8925522,-31520685.8438644,101309459.609779,-81599707.8232612,725461.835205406,1944113.92450811,2669575.75971353,193024216.206213,4060000,2346000,1576000,-3580000,4402000,-1664000,0,-1664000,-245000,55000,-948000,1790000,1790000,1335000,3125000,7464000,0,2749000,0.31609,0.06809,0.05367,-0.519148054073603,-0.253983000653851,0.68146,-1.90494905358503,2.45361485613933,-0.216615705340278,0.35592,0.35228,6.63137,-3.69198213031928,0.24254,-0.309016394139357,0.30172256059387,10.0293675177923,14.8700123425111
"3","2011_Q4",33.8231746031746,"Up",76471000,-48689000,27782000,-17054000,-17054000,10728000,-623000,-430000,-193000,10105000,10105000,-5563000,4542000,4542000,6000,4548000,4548000,-12227091.1250143,-12227091.1250143,39802853.0186955,39802853.0186955,107859582.28322,24406940.1402027,24406939.9893688,159842284.317104,56277017.1098877,57301103.9750792,4564328.31120109,33897185.6702709,4933798.94043358,113578121.084967,273420405.402071,107835117.167908,56940982.43584,50894134.7320682,111884115.668922,-11198343.6255375,75777108.1054487,2613287.85152925,73163820.2539194,64578764.4799112,176462880.148833,11263131.9641841,-27436895.2812881,141833819.869926,-29977235.9410871,95682820.6117351,1274704.6415027,96957525.2532378,273420405.402071,4542000,2365000,2248000,-13572000,-4417000,-1179000,0,-1179000,-1841000,37000,-2616000,-8212000,-8212000,472000,-7740000,13093000,0,3905000,0.3633,0.14029,0.05947,-0.116066018024534,-0.0583543335512838,0.85862,0.997190315471655,1.60714495204644,-0.00788523511342618,0.40092,0.39637,6.7411,6.94990595656024,0.34423,-0.0657021313797857,0.15148085353129,2.95746583926409,4.30168411417036
"4","2012_Q1",30.071935483871,"Down",97367000,-61246000,36121000,-22497000,-22497000,13624000,-542000,-312000,-230000,13082000,13082000,-6249000,6833000,6833000,-74000,6759000,6759000,20167000,20167000,61007000,61007000,99139000,11509000,11509000,191822000,65791000,51507000,6439000,19826000,7371000,117298000,309120000,80045000,38372000,41673000,83960000,25784000,61322000,4170000,57152000,87106000,171066000,10863000,-25252000,162857000,-11383000,137085000,969000,138054000,309120000,6833000,2921000,2085000,-2045000,9794000,-7691000,0,-7691000,-989000,229000,-1558000,545000,545000,1123000,1668000,16545000,29699000,13058000,0.37098,0.13992,0.06942,0.04896,0.02187,1.93194,2.28468,1.23912,0.09608,0.5769,0.57149,8.3106,11.70067,1.11454,0.03351,0.057,0.57613,0.69965
"5","2012_Q2",19.2155555555556,"Down",81330000,-50562000,30768000,-15909000,-15909000,14859000,35000,-359000,394000,14894000,14894000,-5259000,9635000,9635000,-54000,9581000,9581000,24698000,24698000,60216000,60216000,104976000,8536000,8536000,198426000,66940000,51064000,6336000,18739000,7926000,118004000,316430000,73298000,34997000,38301000,77165000,36940000,56514000,4170000,52344000,93454000,170619000,11079000,-24499000,171524000,-13200000,144904000,907000,145811000,316430000,9635000,2573000,2505000,-16354000,-1641000,-3587000,-293000,-3880000,11111000,130000,10496000,4975000,4975000,-444000,4531000,17432000,40807000,2750000,0.37831,0.1827,0.1178,0.06571,0.03028,0.28703,2.57145,1.17014,0.12896,0.84073,0.83017,7.13671,12.71534,0.24131,0.04317,0.01131,0.92411,1.08412
"6","2012_Q3",18.737619047619,"Down",82941000,-53379000,29562000,-20097000,-20097000,9465000,-231000,-381000,150000,9234000,9234000,-3310000,5924000,5924000,-9000,5915000,5915000,18621000,18621000,56933000,56933000,114981000,9632000,9632000,200167000,65651000,50590000,5624000,20079000,7683000,116241000,316408000,74029000,35973000,38056000,77872000,37896000,55054000,3682000,51372000,92950000,170822000,11604000,-24356000,176467000,-19088000,144627000,959000,145586000,316408000,5924000,2738000,1251000,-11861000,-1948000,-3234000,0,-3234000,959000,90000,135000.000000002,-5047000,-5047000,-1030000,-6077000,12203000,41739000,418000,0.35642,0.11412,0.07132,0.04063,0.01869,0.0706699999999998,2.57046,1.17334,0.13192,0.51754,0.51115,7.25707,12.65439,0.0365700000000001,0.02817,0.00172,1.89445,2.44247
"7","2012_Q4",15.5287096774194,"Down",95490000,-62434000,33056000,-17746000,-17746000,15310000,-460000,-389000,-71000,14850000,14850000,-4821000,10029000,10029000,-45000,9984000,9984000,17628000,17628000,67675000,67675000,117749000,9523000,9523000,212575000,67161000,45625000,5514000,15101000,7678000,112786000,325361000,69623000,30986000,38637000,73412000,41319000,53399000,3660000,49739000,94718000,168130000,12181000,-24356000,184831000,-16430000,156226000,1005000,157231000,325361000,10029000,2699000,801000,-13749000,-220000,-3644000,0,-3644000,3364000,0,2335000,-1529000,-1529000,536000,-993000,18009000,45108000,5437000,0.34617,0.16033,0.10456,0.0635,0.03069,0.54457,2.89564,1.06932,0.13864,0.8738,0.86277,8.35726,13.67285,0.47584,0.04306,0.02126,1.5259,1.79491
"8","2013_Q1",22.1401666666667,"Up",96109000,-67863000,28246000,-19339000,-19339000,8907000,541000,-251000,792000,9448000,5778000,-4425000,1353000,1353000,-90000,1263000,1263000,15701000,15701000,63438000,63438000,103178000,11099000,11099000,193416000,66356000,44060000,4996000,18080000,7868000,110416000,303832000,62881000,23550000,39331000,66625000,28401000,72297000,3340000,68957000,100698000,167323000,12759000,-26781000,184306000,-34797000,135487000,1022000,136509000,303832000,1353000,2746000,8556000,5598000,18253000,-3152000,2.91038304567337e-11,-3152000,-12986000,2.91038304567337e-11,-16440000,-1339000,-1339000,-588000,-1927000,11653000,32145000,18524000,0.2939,0.09268,0.01314,0.00925,0.00416,14.66667,2.90305,1.22573,0.1058,0.1109,0.10945,8.43876,11.8963,1.62648,0.00951,0.07688,1.41114,1.84619
"9","2013_Q2",22.345,"Up",68793000,-49377000,19416000,-16620000,-16620000,2796000,-433000,-306000,-127000,2363000,2363000,-1097000,1266000,1266000,-35000,1231000,1231000,21493000,21493000,47115000,47115000,112811000,11050000,11050000,192469000,65315000,42315000,4840000,16247000,8093000,107630000,300099000,55768000,25923000,29845000,59424000,35338000,65750000,3235000,62515000,101088000,160512000,11929000,-25638000,185308000,-32903000,138696000,891000,139587000,300099000,1266000,2632000,2223000,-4039000,2082000,-1306000,-293000,-1599000,6847000,-588000,5362000,5845000,5845000,-53000,5792000,5428000,38994000,1180000,0.28224,0.04064,0.01789,0.00881999999999999,0.0041,0.95857,3.23891,1.14991,0.12994,0.10829,0.10755,6.05146,12.20056,0.1038,0.00924,0.00483000000000001,3.22421,6.2593
"10","2013_Q3",24.35328125,"Up",72325000,-50014000,22311000,-16770000,-16770000,5541000,-307000,-329000,22000,5234000,5234000,-1815000,3419000,3419000,-59000,3360000,3360000,20570000,20570000,38465000,38465000,118298000,11200000,11200000,188533000,65737000,45306000,4794000,17664000,9581000,111043000,299576000,57103000,24367000,32736000,60800000,30297000,67330000,3816000,63514000,97627000,158427000,11901000,-28423000,186842000,-30143000,140177000,972000,141149000,299576000,3419000,2713000,-624000,4502000,10010000,-2188000,-5.82076609134674e-11,-2188000,-5006000,-40000.0000000001,-9084000,-1262000,-1262000,339000,-923000,8254000,33994000,12383000,0.30848,0.07661,0.04646,0.0238,0.01122,3.68541999999999,3.10087,1.12241,0.11347,0.29562,0.29386,6.36328,12.33301,1.08948,0.0181,0.05107,1.62636,2.42267
