"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.3155555555556,"Down",2085853000,-440430000,1645423000,-484282000,-265618000,-218664000,1161141000,-1310000,-16955000,15645000,1159831000,1159831000,-307737000,852094000,852094000,2807000,854901000,854901000,1652188000,936880000,715308000,1491332000,1491332000,1223945000,756763000,333298000,5124228000,695601000,2967727000,1908442000,1509794000,316715000,5571770000,10695998000,1758323000,949084000,770749000,7088000,1887651000,1170099000,135576000,94087000,1305675000,3193326000,4569844000,2688679000,83473000,7341996000,160676000,7502672000,10695998000,852094000,60106000,82207000,-323838000,670569000,-11666000,-1057112000,-1068778000,-19000,-59158000,75209000,16032000,-382177000,-382177000,46099000,-336078000,1221247000,1177187000,1193480000,0.78885,0.55667,0.40986,0.11395,0.07993,1.39604,2.71461,0.42563,0.11006,0.4741,0.46043,1.15674,4.07162,0.66186,-4.29095941523444,0.09698,0.13539,-0.38895,-0.40908
"2","2010_Q3",13.4590625,"Down",1927224000,-455525000,1471699000,-479072000,-248006000,-231066000,992627000,520999.999999996,-17764000,18285000,993148000,993148000,-284021000,709127000,709127000,2934000,712061000,712061000,2000925000,1482639000,518286000,1482900000,1482900000,1356606000,868583000,336391000,5709014000,695043000,2216610000,1876041000,1494813000,303188000,4787694000,10496708000,1865133000,1066433000,774338000,1124230000,3105723000,562612000,128373000,88847000,690985000,3796708000,4541490000,1831381000,189624000,6562495000,137505000,6.7e+09,10496708000,709127000,58801000,48293000,-117142000,699079000,-16051000,949023000,932971999.999999,494463000,-1650632000,-9367000,-1165536000,466515000,466515000,79244000,545759000,1051428000,1686842000,1202256000,0.76364,0.51506,0.36947,0.10628,0.06784,1.68842,1.83822,0.56667,0.1607,0.4038,0.39591,1.09291,3.72153,0.68179,-0.288511688125036,0.08362,0.14119,-0.29872,-0.31642
"3","2010_Q4",14.77984375,"Up",1937656000,-477584000,1460072000,-480999000,-250559000,-230440000,979073000,-18027000,-33620000,15593000,961046000,961046000,-258883000,702163000,702163000,2713000,704876000,704876000,2307531000,1022993000,1284538000,1670405000,1670405000,1273389000,780622000,358655000,6031947000,692032000,2744150000,1987462000,1576573000,315598000,5423644000,11455591000,1861928000,950813000,872405000,632386000,2590108000,2818708000,168003000,128557000,2986711000,5576819000,4576799000,1122030000,7485000,5706314000,172458000,5878772000,11455591000,702163000,69053000,40587000,-72381000,739422000,-10806000,-1292323000,-1394129000,-344608000,-1530439000,2145497000,270450000,-384257000,-384257000,-75389000,-459646000,1048126000,3451094000,1223822000,0.75352,0.50529,0.36378,0.1199,0.06153,1.73622,2.32884,0.94864,0.30126,0.42342,0.41807,1.16395,3.42778,0.73515,2.39180811695311,0.07421,0.12885,1.09105,1.16801
"4","2011_Q1",15.4493548387097,"Up",1998687000,-496337000,1502350000,-672969000,-280209000,-392760000,829381000,-29858000,-40622000,10764000,799523000,799523000,-173158000,626365000,626365000,3054000,629419000,629419000,2098668000,907879000,1190789000,1621966000,1621966000,1203809000,783639000,388056000,5708082000,701235000,3219403000,1963910000,1425592000,384939000,5884548000,11592630000,1715430000,803025000,910543000,646345000,2464950000,2838573000,167270000,134426000,3005843000,5470793000,4649088000,1183730000,30911000,5863729000,258108000,6121837000,11592630000,626365000,77517000,187980000,-167019000,724843000,-23361000,-384455000,-407816000,2462303000,-561141000,-2360818000,-459656000,-142629000,-142629000,27515000,-115114000,906898000,3484918000,889676000,0.75167,0.41496,0.31492,0.10282,0.05429,1.41349,2.3157,0.89365,0.30061,0.38921,0.38242,1.23593,3.62595,0.55015,4,0.0644,0.09102,1.52856,1.67143
"5","2011_Q2",16.0201587301587,"Up",1926094000,-474111000,1451983000,-550014000,-295568000,-254446000,901969000,-27384000,-41216000,13832000,874585000,874585000,-227282000,647303000,647303000,3838000,651141000,651141000,3011299000,1835978000,1175321000,1801212000,1801212000,1304457000,734164000,360248000,6851132000,703794000,3344999000,2087429000,1629971000,322593000,6136222000,12987354000,2018299000,981631000,1034211000,653093000,2768765000,3850130000,193098000,162823000,4043228000,6811993000,4727100000,1320335000,-101182000,5946253000,229108000,6175361000,12987354000,647303000,80914000,60648000,31677000,820542000,-14870000,-64406000,-300381000,985837000,-489820000,-10907000,485110000,1005271000,1005271000,-77172000,928099000,982883000,4503223000,1226972000,0.75385,0.46829,0.33806,0.10544,0.05014,1.88434,2.47444,1.10309,0.34674,0.40895,0.40102,1.20968,3.73454,0.7706,4.78606396101563,0.05989,0.11286,1.51791,1.65407
"6","2011_Q3",15.656875,"Down",2137253000,-533863000,1603390000,-586672000,-304269000,-282403000,1016718000,-34129000,-46107000,11978000,982589000,982589000,-240130000,742459000,742459000,3768000,746227000,746227000,2270318000,905779000,1364539000,1938645000,1938645000,1321615000,688467000,325838000,6219045000,721884000,3228994000,2524217000,2128410000,308639000,6475095000,12694140000,2240253000,1102319000,1132496000,7345000,2310841000,3870846000,301122000,273416000,4171968000,6482809000,4784216000,1395908000,-133279000,6046845000,164486000,6211331000,12694140000,742459000,74892000,82603000,43301000,943255000,-26635000,-75652000.0000001,-469790000,-650021000,-667130000,-54811000,-1371962000,-898497000,-898497000,-31702000,-930199000,1091610000,3878191000,1348406000,0.75021,0.47571,0.34915,0.12014,0.05879,1.80696,2.69125,1.04371,0.30551,0.47542,0.46593,1.36164,3.85244,0.85907,5,0.07182,0.12977,1.47294,1.58143
"7","2011_Q4",15.6919047619048,"Up",2121660000,-531989000,1589671000,-585993000,-295927000,-290066000,1003678000,-28691000,-43097000,14406000,974987000,974987000,-237449000,737538000,737538000,3586000,741124000,741124000,2257135000,909359000,1347776000,1867092000,1867092000,1337751000,685289000,285790000,6147267000,761190000,3224981000,2506460000,2111003000,312729000,6492631000,12639898000,2154171000,1063723000,1056776000,1587000,2224431000,3891758000,290503000,255799000,4182261000,6406692000,4810509000,1321796000,-15541000,6116764000,116442000,6233206000,12639898000,737538000,73001000,89417000,-2850000,897106000,-64289000,-16031000,-80320000,-52000,-841646000,-34501000,-876199000,-59413000,-59413000,62993000,3580000,1076679000,3893345000,1246989000,0.74926,0.47306,0.34931,0.1189,0.05863,1.68256,2.76352,1.02783,0.30802,0.48311,0.46575,1.38303,3.98729,0.81287,5,0.07115,0.11971,1.51968,1.63021
"8","2012_Q1",18.7479032258064,"Up",2200378000,-584446998,1615931002,-748455000,-346219000,-402236000,867476002,-48633000,-74998000,26365000,818843002,818843002,-157084000,661759002,661759002,3386000,665145002,665145002,9900268000,9883777000,16491000,1951167000,1951167000,1389983000,677367000,469212000,13918785000,774406000,63704000,2546239000,1062864000,335258000,3384349000,17303134000,2438553000,1206052000,1191918000,1572000,2514790000,7605734000,315261000,283391000,7920995000,10435785000,4903896000,1776760000,58200000,6738856000,128493000,6867349000,17303134000,661759000,73425000,103198000,139725000,978107000,-26110000,4466446000,4440336000,3637241000,-172799000,62178000,3526620000,8945063000,8945063000,29355000,8974418000,940901002,7607306000,1211600002,0.73439,0.39424,0.30229,0.09686,0.03844,1.82156,5.53477,1.51962,0.43965,0.44245,0.44214,1.46368,4.48267,0.80595,5,0.04497,0.08192,-2.43699,-2.64326
"9","2012_Q2",19.6214285714286,"Up",2282449000,-580931000,1701518000,-901332000,-443121000,-458211000,800186000,-131355000,-97270000,-34085000,668831000,668831000,-231300000,437531000,437531000,4425000,441956000,441956000,1451942000,1451942000,0,2163659000,2163659000,1418033000,792898000,423331000,5826532000,782867000,48168000,13292819000,11767027000,339144000,14123854000,19950386000,2736140000,1339257000,1382392000,1351573000,4187904000,8077246000,321152000,294646000,8398398000,12586302000,5101382000,2178639000,33591000,7313612000,50472000,7364084000,19950386000,437531000,66167000,108732000,-159461000,452969000,-23199000,31719000,-10743116000,1794121000,111760000,-50291000,1855590000,-8434557000,-8434557000,2722000,-8431835000,866353000,9428819000,914993000,0.74548,0.35058,0.19363,0.06002,0.02215,2.07033,1.39128,1.70915,0.47261,0.29219,0.28426,1.50899,4.83522,0.60493,4,0.02582,0.05346,9.20742,9.96878
"10","2012_Q3",22.5547619047619,"Up",2405186000,-617345000,1787841000,-728749000,-332505000,-396244000,1059092000,-89493000,-88418000,-1075000,969599000,969599000,-263525000,706074000,706074000,5490000,711564000,711564000,1707544000,1625500000,82044000,1702818000,1702818000,1603401000,830339000,389988000,5844102000,811799000,564130000,13281919000,11751191000,335546000,14657848000,20501950000,2920198000,1367353000,1540998000,1972816000,4986674000,7126377000,305512000,281850000,7431889000,12418563000,5214666000,2663077000,124377000,8002120000,81267000,8083387000,20501950000,706074000,67412000,6797000,510368000,1290651000,-37392000,-597572000,-634963999.999998,-351539000,-171760000,48420000,-474879000,180807999.999998,180807999.999998,-7250000,173557999.999998,1126504000,9099193000,1863005000,0.74333,0.44034,0.29585,0.08803,0.03471,2.61818,1.17194,1.53631,0.44382,0.47002,0.45549,1.58873,5.28575,1.2306,4,0.04069,0.10653,6.56158,6.97923
