"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",9.50016129032258,"Down",346990000,-243556000,103434000,-96043000,-96043000,7391000,-9053000,-9044000,-9000,-1662000,-13662000,4916000,-8746000,-8746000,-20000,-8766000,-8766000,106780000,91460000,192422000,192422000,285964000,42733000,42733000,627899000,165281000,337704000,207319000,43587000,502985000,1130884000,194029000,112611000,81418000,194194000,400106000,4441000,4441000,404547000,598741000,530696000,1447000,532143000,1130884000,-8746000,7160000,31877000,13565000,43856000,-8579000,-15320000,-25655000,-68000,-18355000,-18587000,-105000,-18528000,-327000,-327000,164000,-163000,14551000,400271000,14621000,0.29809,0.0213,-0.02526,-0.01647,-0.00775,-1.66792,3.23336,1.12515,0.35395,-0.14037,-0.13867,5.5562,8.4978,0.23412,-0.00936,0.01561,20.16982,39.70924
"2","2011_Q2",9.86920634920635,"Up",281719000,-198662000,83057000,-89540000,-89540000,-6483000,-9312000,-8906000,-406000,-15795000,-15795000,6117000,-9678000,-9678000,85999.9999999998,-9591999.99999999,-9591999.99999999,90637000,75317000,130618000,130618000,341621000,52610000,52610000,615486000,165959000,331535000,208348000,37419000,497494000,1112980000,200582000,115651000,84931000,200729000,400141000,4462000,4462000,404603000,605332000,507787000,-139000,507648000,1112980000,-9678000,7045000,1011999.99999999,6318999.99999994,4698000.00000003,-5309000,-14160898.406272,-6338000,-78000,-12949000,-13281000,-1385000,-14412000,-16052000,-16052000,-91000,-16143000,561999.999999985,400288000,-4545000,0.29482,-0.02301,-0.03405,-0.01889,-0.00862,0.47383,3.06625,1.19242,0.35965,-0.1574,-0.1574,4.62282,8.33244,-0.07458,-0.01051,-0.00498000000000002,550.98043,-47.76354
"3","2011_Q3",8.21546875,"Down",485724000,-322455000,163269000,-103639000,-103639000,59630000,-9079000,-9283000,204000,50551000,50551000,-18190000,32361000,32361000,-595000,31766000,31766000,26506000,11186000,327090000,327090000,381815000,43655000,43655000,779066000,169731000,323760000,209548000,27139000,493491000,1272557000,248037000,163622000,84415000,248157000,517134000,3890000,3890000,521024000,769181000,502920000,456000,503376000,1272557000,32361000,7165000,10573000,-161018000,-110919000,-8504000,-10898531.2083627,-31677000,116946000,-38919000,-39228000,297000,78324000,-64272000,-64272000,141000,-64131000,66795000,517254000,-84537000,0.33614,0.12277,0.0654,0.06311,0.02496,-2.66124,3.13941,1.52804,0.40647,0.54811,0.54363,8.38105,8.67777,-1.45867,0.03101,-0.08251,7.34708,8.22988
"4","2011_Q4",8.27206349206349,"Up",484303000,-334914000,149389000,-112795000,-112795000,36594000,-9490000,-9808000,318000,27104000,27104000,-9879000,17225000,17225000,-144000,17081000,17081000,26553000,11233000,257418000,257418000,343788000,40095000,40095000,667854000,171187000,316691000,209348000,21638000,487878000,1155732000,208058000,115380000,92678000,208256000,450266000,4104000,4104000,454370000,662626000,492506000,6e+05,493106000,1155732000,17225000,7106000,8199000,72188000,104718000,-6378000,-6641898.40627202,-6608000,-67089000,-30298000,-31093000,-655000,-98042000,68000.0000000075,68000.0000000075,-21000,46999.9999999925,43700000,450464000,119389000,0.30846,0.07556,0.03527,0.03464,0.01478,6.98958,3.20689,1.34378,0.38977,0.3162,0.31342,8.96525,9.1171,2.21009,0.01802,0.12598,9.70048000000002,11.58417
"5","2012_Q1",8.84467741935484,"Up",376906000,-278702000,98204000,-102770000,-102770000,-4566000,-9317000,-9751000,434000,-13883000,-13883000,2357000,-11526000,-11526000,594000,-10932000,-10932000,29851000,12031000,195417000,195417000,329546000,47772000,47772000,602586000,176402000,314015000,210223000,19266000,490417000,1093003000,191652000,116524000,75128000,191931000,435330000,8960000,8960000,444290000,636221000,456776000,6000,456782000,1093003000,-11526000,7250000,12174000,44613000,52511000,-11372000,-2500000,-11614000,-15114000,-24886000,-25125000,133000,-39867000,1030000,1030000,-232000,798000,2684000,435609000,33568000,0.26055,-0.01211,-0.029,-0.02393,-0.01,-3.07062,3.1396,1.39283,0.39854,-0.21043,-0.20741,7.25489,8.79227,0.64613,-0.01213,0.03724,151.1766,-88.86509
"6","2012_Q2",9.54698412698413,"Up",302066000,-221328000,80738000,-92018000,-92018000,-11280000,-9633000,-9519000,-114000,-20913000,-20913000,7646000,-13267000,-13267000,177000,-13090000,-13090000,28109000,10289000,139254000,139254000,365743000,62614000,62614000,595720000,180401000,312148000,210223000,18467000,492549000,1088269000,188871000,122009000,66862000,189199000,460346000,14253000,14253000,474599000,663798000,424643000,-172000,424471000,1088269000,-13267000,7444000,6863000,2439000,3479000,-9185000,0,-9185000,24909000,-21074000,-21266000,74000,3909000,-1797000,-1797000,55000,-1742000,-3836000,460674000,-18228000,0.26729,-0.03734,-0.04333,-0.03084,-0.01203,1.39251,3.14864,1.56382,0.42331,-0.27372,-0.27372,6.31633,8.87947,-0.38116,-0.01455,-0.02027,-112.7646,-38.34796
"7","2012_Q3",10.9025396825397,"Up",466903000,-319207000,147696000,-102474000,-102474000,45222000,-10447000,-10440000,-7000,34775000,34775000,-12808000,21967000,21967000,-344000,21623000,21623000,28101000,10281000,309299000,309299000,380812000,47727000,47727000,765939000,182569000,311566000,210223000,19243000,494135000,1260074000,225609000,150605000,75004000,225948000,566603000,18576000,18576000,585179000,811127000,448774000,173000,448947000,1260074000,21967000,7608000,5223000,-131723000,-96925000,-7783000,-1.16415321826935e-10,-7783000,106178000,-219000,-423000,-1363000,104596000,-112000,-112000,104000,-8000,52830000,566942000,-73868000,0.31633,0.09686,0.04631,0.04816,0.01716,-3.41618,3.38989,1.80673,0.44993,0.45673,0.45014,9.86213,9.4792,-1.56027,0.0209,-0.07141,10.19953,11.91546
"8","2012_Q4",10.9283870967742,"Up",533808000,-353156000,180652000,-131683000,-131683000,48969000,-10593000,-10695000,102000,38376000,38376000,-14554000,23822000,23822000,-1123000,22699000,22699000,58519000,40699000,245780000,245780000,334796000,46107000,46107000,685202000,185225000,309291000,210223000,18539000,494516000,1179718000,231929000,125111000,106818000,232276000,449530000,23478000,23478000,473008000,705284000,473138000,1296000,474434000,1179718000,23822000,8024000,4334000,121420000,157600000,-9962000,0,-9962000,-117065000,-566999.999999998,-1462000,512000,-117120000,30518000,30518000,-1e+05,30418000,56993000,449877000,183005000,0.33842,0.09174,0.04252,0.04784,0.01924,8.06225,2.94995,1.48658,0.38134,0.47626,0.4691,11.2001,9.92715,3.83972,0.02395,0.19309,6.86676999999999,7.99195
"9","2013_Q1",9.14066666666667,"Down",397236000,-292164000,105072000,-113562000,-113562000,-8490000,-8819000,-9516000,697000,-17309000,-17309000,6900000,-10409000,-10409000,350000,-10059000,-10059000,71180000,48475000,202422000,202422000,330032000,48149000,48149000,651783000,191163000,306601000,210223000,96378000,497764000,1149547000,206484000,126662000,79822000,206484000,449483000,28697000,28697000,478180000,684664000,463937000,946000,464883000,1149547000,-10409000,7349000,3717000,24358000,25015000,-12662000,-4885000,-17547000,-63000,-840000,-1678000,943000,40000,7508000,7508000,268000,7776000,-1141000,449483000,3655000,0.26451,-0.02137,-0.02532,-0.02164,-0.00875,-0.36336,3.15658,1.47277,0.39101,-0.21105,-0.20425,8.33461,9.7341,0.07669,-0.01067,0.00388,-331.5539,-44.55866
"10","2013_Q2",8.231875,"Down",292497000,-215538000,76959000,-90053000,-90053000,-13094000,-11231000,-10250000,-981000,-24325000,-24325000,8978000,-15347000,-15347000,77999.9999999998,-15269000,-15269000,30411000,12591000,150767000,150767000,397725000,66629000,66629000,645532000,192486000,308054000,210223000,97831000,500540000,1146072000,214373000,130484000,83889000,214373000,450446000,30968000,30968000,481414000,695787000,450046000,239000,450285000,1146072000,-15347000,8016000,5098000,-25808000,-28041000,-8025000,4885000,-7975000,916000,-230000,-327000,-555000,130999.999999985,-35885000,-35885000,1000,-35884000,-5078000,450446000,-47889000,0.26311,-0.04477,-0.0522,-0.03391,-0.01332,3.13635,3.01126,1.54521,0.39303,-0.31896,-0.31896,6.11011,9.40122,-1.00038,-0.01639,-0.0514,-82.7166200000001,-32.07843
