"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",11.5047619047619,"Up",1600000,-546000,1054000,-1657000,-738000,-919000,-603000,12000,12000,-591000,-591000,0,-591000,-591000,-591000,-591000,1317876.216114,1317876.216114,-19119331.2699918,-19119331.2699918,2097423.07162539,1190516.79281816,-15704031.9822524,-2037445.10793118,4728470.60653426,669000,2691025.49860307,-13013006.4836494,-7170768.47225969,-5981739.38304246,-1189029.08921723,-7732174.07289774,-7732174.07289774,-14902943.4429348,2134696.03785881,2134696.03785881,2134696.03785881,-12768247.405076,23823785.5736962,-22897343.5435289,-244759.078573342,-244759.078573342,-13013006.4836494,-591000,10000,170000,-25000,-436000,-20000,-20000,-31000,-487000,-487000,-484000,-593000,0,-638000,0.65875,-0.37688,-0.36938,-5.70055877580777,-3.49498607044487,1.07953,10.3503192463783,-0.731888972117674,-3.16901964981279e-07,-0.15284,-0.15284,0.41378,-0.0915662973293685,-0.16499,-4.98939406711901,-3.05588870277172,-44.2382607708521,-42.5934761664595
"2","2011_Q3",10.43625,"Down",933000,-654000,279000,-1286000,-703000,-583000,-1007000,953000,25062.4479787502,-54000,-54000,0,-54000,-54000,-54000,-54000,7881438.108057,7881438.108057,-8468665.63499591,-8468665.63499591,1241211.53581269,573758.396409082,653984.008873776,-807722.553965592,2398735.30326713,669000,1591012.74930154,2244996.75817531,-1764384.23612984,-1504869.69152123,-259514.544608613,-2869587.03644887,-2869587.03644887,-4633971.72146742,1620848.01892941,1620848.01892941,1620848.01892941,-3013123.70253802,24259892.7868481,-17732171.7717644,5258120.46071333,5258120.46071333,2244996.75817531,-54000,10000,197000,-903000,-750000,-5000,-5000,-41999.9999999991,-797000,-797000,-825000,-997000,0,-1905000,0.29904,-1.07931,-0.05788,-2.70014938790389,-1.65933803522244,35.27778,6.75129462318914,-0.025519486058837,-1.58450982490639e-07,-0.01397,-0.01397,0.24129,1.34589685133532,-0.49266,-2.3617370335595,-1.36172435138586,-17.0406753854261,-16.3133280832297
"3","2011_Q4",8.93333333333333,"Down",2805000,-1412000,1393000,-2179000,-1564000,-615000,-786000,-956000,19462.4479787502,-1742000,-415000,0,-415000,-415000,-415000,-415000,10532812.7026857,10532812.7026857,-2275221.87833197,-2275221.87833197,865737.178604231,311252.798803027,9123328.00295793,-136907.517988531,1145578.43442238,669000,1008670.91643385,10131998.9193918,979871.921290052,797376.769492924,182495.151797129,108137.654517044,108137.654517044,1088009.42617753,1240282.67297647,1240282.67297647,1240282.67297647,2328292.09915399,25022964.2622827,-15906723.9239215,7803706.82023778,7803706.82023778,10131998.9193918,-415000,10000,1211000,884000,1690000,-22000,-22000,2000,1670000,1670000,1678000,-776000,0,86000,0.49661,-0.28021,-0.14795,-1.0261631293013,-0.639466011740812,-0.20723,4.55601487439638,0.361760171313721,-5.28169941635464e-08,-0.10732,-0.10732,0.72541,2.01356561711177,0.02224,-0.900065677853168,-0.509568117128621,-2.19564512847535,-1.98646602774324
"4","2012_Q1",8.47935483870968,"Down",1544000,-899000,645000,-3484000,-2691000,-793000,-2839000,6000,6000,-2833000,-2731000,-11000,-2742000,-2742000,-2742000,-2742000,10457000,10457000,585000,585000,793000,276000,11835000,146000,669000,669000,815000,12650000,1882000,1580000,302000,1618000,1618000,3500000,972000,972000,972000,4472000,25980000,-16482000,8178000,8178000,12650000,-2742000,12000,1603000,569000,-558000,-37000,-37000,8154000,7559000,7559000,7516000,-2827000,-8.67361737988404e-19,-2284000,0.41775,-1.83873,-1.77591,-0.33529,-0.21676,0.832969999999999,3.38143,0.54683,0,-0.70912,-0.70912,0.3993,2.11493,-0.59067,-0.29967,-0.24962,3.69897,3.68334
"5","2012_Q2",7.12571428571429,"Down",1634000,-902000,732000,-2946000,-2405000,-541000,-2214000,0,0,-2214000,-2037000,0,-2037000,-2037000,-2037000,-2037000,8839000,8839000,1236000,1236000,845000,341000,10920000,212000,669000,669000,881000,11801000,1762000,1498000,264000,2077000,2077000,3839000,795000,795000,795000,4634000,26998000,-18519000,7167000,7167000,11801000,-2037000,29000,837000,-364000,-1535000,-95000,-95000,4000,-1626000,-1626000,-1618000,-2185000,0,-2644000,0.44798,-1.35496,-1.24663,-0.28422,-0.17261,1.29799,2.84449,0.64657,0,-0.52679,-0.52679,0.42257,1.85348,-0.68377,-0.25584,-0.33208,4.04531,3.99232
"6","2012_Q3",4.36761904761905,"Down",1738000,-1147000,591000,-3062000,-1987000,-1075000,-2471000,10000,10000,-2461000,-2350000,0,-2350000,-2350000,-2350000,-2350000,7119000,7119000,832000,832000,845000,328000,8796000,257000,819000,669000,1076000,9872000,1517000,1294000,223000,1899000,1899000,3416000,684000,684000,684000,4100000,27946000,-20869000,5772000,5772000,9872000,-2350000,20000,743000,-169000,-1756000,-65000,-65000,94000.0000000009,-1727000,-1727000,-1720000,-2451000,1.38777878078145e-17,-2685000,0.34005,-1.42175,-1.35213,-0.40714,-0.23805,1.14255,2.57494,0.71033,0,-0.60291,-0.60291,0.4459,1.48085,-0.68885,-0.364,-0.41589,2.90453,2.88102
"7","2012_Q4",5.33225806451613,"Up",2396000,-1318000,1078000,-2856000,-1914000,-942000,-1778000,-12000,-12000,-1790000,-1724000,0,-1724000,-1724000,-1724000,-1724000,6482000,6482000,497000,497000,615000,110000,7594000,452000,819000,669000,1271000,8865000,1967000,1623000,344000,1501000,1501000,3468000,618000,618000,618000,4086000,28691000,-22593000,4779000,4779000,8865000,-1724000,16000,678000,617000,-413000,-211000,-211000,0,-624000,-624000,-637000,-1762000,0,-1356000,0.44992,-0.74207,-0.71953,-0.36074,-0.19447,0.78654,2.18973,0.85499,-1.32348898008484e-23,-0.43309,-0.43309,0.6019,1.20053,-0.34064,-0.31944,-0.25125,3.67877,3.64567
"8","2013_Q1",5.876,"Up",1381000,-1532000,-151000,-2451000,-2072000,-379000,-2602000,-13000,-13000,-2615000,-2552000,2000,-2550000,-2550000,-2550000,-2550000,4754000,4754000,584000,584000,205000,205000,5543000,560000,819000,669000,1379000,6922000,2301000,1676000,625000,1185000,1185000,3486000,555000,555000,555000,4041000,29401000,-25143000,2881000,2881000,6922000,-2550000,40000,646000,341000,-1523000,-148000,-148000,-1000.00000000012,-1672000,-1672000,-1728000,-2562000,-2.22044604925031e-16,-2371000,-0.10934,-1.88414,-1.84649,-0.88511,-0.36839,0.9298,1.59007,1.40264,0,-0.66174,-0.66174,0.35838,0.74764,-0.61529,-0.74214,-0.69005,1.85558,1.82706
"9","2013_Q2",6.710625,"Up",2106000,-1471000,635000,-2234000,-1847000,-387000,-1599000,-6000,-6000,-1605000,-1320000,-3000,-1323000,-1323000,-1323000,-1323000,2916000,2916000,639000,639000,208000,208000,3763000,525000,857000,669000,1382000,5145000,1635000,1291000,344000,918000,918000,2553000,270000,270000,270000,2823000,30140000,-26466000,2322000,2322000,5145000,-1323000,54000,454000,-991000,-1806000,-19000,-19000,0,-1825000,-1825000,-1800000,-1545000,0,-2552000,0.30152,-0.75926,-0.62821,-0.56977,-0.25714,1.92895,1.47395,1.21576,-2.11758236813575e-22,-0.33744,-0.33744,0.53715,0.59224,-0.65091,-0.51042,-0.98457,1.88738,1.82364
"10","2013_Q3",15.885,"Up",1458000,-1057000,401000,-2318000,-1882000,-436000,-1917000,-4000,-4000,-1921000,-1973000,-1000,-1974000,-1974000,-1974000,-1974000,2161000,2161000,627000,627000,95000,95000,2883000,485000,857000,669000,1342000,4225000,1723000,1209000,514000,1205000,1205000,2928000,322000,322000,322000,3250000,30765000,-28440000,975000,975000,4225000,-1974000,49000,677000,5e+05,-748000,-9000.00000000001,-9000.00000000001,0,-757000,-757000,-755000,-1868000,3.5527136788005e-15,-1376000,0.27503,-1.31481,-1.35391,-2.02462,-0.46722,0.69706,0.98463,3.33333,0,-0.50336,-0.50336,0.37178,0.24862,-0.35087,-1.52197,-1.06091,1.15685,1.12728
