"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","total_otti_realized","other_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","change_in_insurance_reserves","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.04,"Up",1.8555e+10,1.0914e+10,5.2e+09,2.441e+09,6.48e+08,-3.34e+08,-6.59e+08,3.25e+08,2.127e+09,-9.702e+09,-2.022e+09,-3.363e+09,3.468e+09,-1.751e+09,-1.751e+09,1.717e+09,-7.6e+07,1.641e+09,4.47e+08,2.088e+09,2.431e+09,-6.48e+08,1.783e+09,3.59e+08,4.49047e+11,2.133e+09,1.8718e+10,1.9064e+10,3.71476e+11,8.63697e+11,3.11016e+11,7.2968e+10,7.60038e+11,6.71e+09,-8.74e+08,-9.871e+09,8.993e+09,7.6941e+10,2.6718e+10,1.03659e+11,8.63697e+11,2.088e+09,2.813e+09,-2.457e+09,3.195e+09,-2.935e+09,-1.172e+09,-4.516e+09,4.499e+09,-235441568744.954,1.01e+09,-3.016e+09,-2.66e+08,-1.587e+09,-1.587e+09,-4.2e+07,-1.629e+09,6.281e+09,1.39429e+11,0.1869,0.01935,0.00346,0.00042,7.3321,0.16143,2.64635,2.64506,136.77709,36.54761,0.00057,21.85894,39.58939
"2","2010_Q3",25.24578125,"Down",1.8314e+10,1.1073e+10,5.041e+09,2.2e+09,6.57e+08,-4.87e+08,-5.29e+08,4.2e+07,2.03e+09,-9.87e+09,-1.967e+09,-3.44e+09,3.037e+09,-1.734e+09,-1.734e+09,1.303e+09,1.98e+08,1.501e+09,-1.005e+09,495999999.999999,-2.115e+09,-5.41e+08,-2.656e+09,-5.35e+08,5.20002e+11,2.84e+09,1.8329e+10,2.897e+10,2.76782e+11,8.50531e+11,3.74117e+11,7.5548e+10,7.45884e+11,6.651e+09,-8.73e+08,-1.212e+10,1.1752e+10,7.7393e+10,2.7254e+10,1.04647e+11,8.50531e+11,495999999.999999,2.282e+09,1.02e+08,6.576e+09,-2.339e+09,2.093e+09,-1.551e+09,542999999.999999,-126977341246.972,1.286e+09,-5.986e+09,-4.261e+09,7.64e+08,7.64e+08,-5e+07,7.14e+08,5.319e+09,1.34743e+11,0.16583,-0.02921,-0.00511,-0.00063,7.12762,0.15842,-3.93924,-3.93924,134.84715,39.83417,-0.00078,24.79846,43.43201
"3","2010_Q4",30.99265625,"Up",1.9455e+10,1.1966e+10,5.231e+09,2.258e+09,6.73e+08,-6.61e+08,-8.04e+08,1.43e+08,2.246e+09,-1.1175e+10,-1.994e+09,-3.674e+09,2.612e+09,-2.31e+09,-2.31e+09,3.02e+08,4e+06,3.06e+08,-4.86e+08,-1.8e+08,-2.013e+09,-5.04e+08,-2.517e+09,-5.1e+08,4.77252e+11,1.668e+09,1.7035e+10,2.53e+10,3.47473e+11,8.71965e+11,3.38505e+11,8.0517e+10,7.61225e+11,6.218e+09,-8.73e+08,-1.4486e+10,2.0027e+10,8.2869e+10,2.7871e+10,1.1074e+11,8.71965e+11,-1.8e+08,2.696e+09,2.48e+08,5.344e+09,-5.814e+09,5.904e+09,-1.46e+09,3.205e+09,-56705170623.4861,1.303e+09,-7.687e+09,-4.245e+09,-3.61e+08,-3.61e+08,8.8e+07,-2.73e+08,5.308e+09,1.13889e+11,0.13426,-0.02621,-0.00461,-0.00058,6.87398,0.13061,-3.75334,-3.75334,143.17873,80.11532,-0.00079,21.14186,42.96363
"4","2011_Q1",33.4596774193548,"Up",1.6505e+10,1.1366e+10,5.462e+09,-3.23e+08,7.32e+08,7.66e+08,-5.32e+08,1.298e+09,-1.821e+09,-1.5132e+10,1.62e+08,-3.125e+09,-1.59e+09,-9.47e+08,-9.47e+08,-2.537e+09,1.9336e+10,1.6799e+10,-5.949e+09,1.085e+10,1.3982e+10,-5.34e+08,1.3448e+10,2.732e+09,4.10412e+11,1.558e+09,1.5713e+10,1.4668e+10,2.41092e+11,6.83443e+11,2.74353e+11,8.354e+10,5.6977e+11,1.0051e+10,-8.73e+08,-3.466e+09,7.624e+09,8.5319e+10,2.8354e+10,1.13673e+11,6.83443e+11,1.085e+10,-1.814e+09,-1.0963e+10,1.482e+09,9.385e+09,-1.497e+10,-2.385e+09,7.009e+09,-16760056874.4954,1.074e+09,-1.0257e+10,-489000000.000002,-1.392e+09,-1.392e+09,4.3e+07,-1.349e+09,-3.404e+09,1.06461e+11,-0.09633,0.16553,0.02403,0.004,5.01236,0.15577,19.65573,19.62925,118.74738,95.9476,0.00473,-30.81757,-65.97673
"5","2011_Q2",25.0426984126984,"Down",1.7439e+10,9.482e+09,5.569e+09,2.388e+09,6.84e+08,-6.48e+08,-2.15e+08,-4.33e+08,2.352e+09,-1.0065e+10,-1.231e+09,-3.079e+09,3.064e+09,-1.061e+09,-1.061e+09,2.003e+09,-3.313e+09,-1.31e+09,2.26e+08,-1.084e+09,1.501e+09,-2.04e+08,1.297e+09,4.85e+08,4.09223e+11,1.801e+09,1.7509e+10,1.4636e+10,1.68078e+11,6.11247e+11,2.82352e+11,8.7638e+10,5.138e+11,8.2205e+10,-8.73e+08,-3.202e+09,6.896e+09,8.5026e+10,1.2421e+10,9.7447e+10,6.11247e+11,-1.084e+09,1.852e+09,-7.484e+09,-5.312e+09,3.501e+09,3.1911e+10,3.9617e+10,-3.711e+09,7.23e+08,1.12e+09,-3.098e+10,-3.4485e+10,-1.8e+08,-1.8e+08,2.3e+07,-1.57e+08,4.916e+09,8.2166e+10,0.1757,0.02781,0.00498,0.00079,5.27261,0.13442,0.31135,0.31132,11.195,54.58263,0.00088,16.34764,26.22879
"6","2011_Q3",20.99765625,"Down",1.668e+10,9.898e+09,4.464e+09,2.318e+09,6.82e+08,-11999999.9999998,-1.25e+08,1.13e+08,1.648e+09,-9.2e+09,-1.322e+09,-3.261e+09,2.897e+09,-1.024e+09,-1.024e+09,1.873e+09,-7.9e+07,1.794e+09,2.96e+08,2.09e+09,2.053e+09,-2.17e+08,1.836e+09,1.836e+09,4.11813e+11,2.59e+09,1.6629e+10,1.4554e+10,1.71212e+11,6.16798e+11,2.82962e+11,8.5336e+10,5.11593e+11,8.5817e+10,-8.72e+08,-1.357e+09,9.093e+09,9.2681e+10,1.2524e+10,1.05205e+11,6.16798e+11,2.09e+09,1.733e+09,-3.319e+09,1.775e+09,-1.0851e+10,1.0239e+10,-1795999999.99999,-3.236e+09,3.609e+09,6.41e+08,5.2e+07,7.71e+08,7.5e+08,7.5e+08,6e+06,7.56e+08,4.63e+09,7.9461e+10,0.17368,0.11007,0.01745,0.00298,4.86282,0.12883,0.99961,0.99958,9.08144,50.46025,0.00332,16.60281,26.53469
"7","2011_Q4",18.9422222222222,"Down",1.2719e+10,9.829e+09,1.28e+08,2.762e+09,6.58e+08,6.07e+08,-4.22e+08,1.029e+09,1.497e+09,-9.479e+09,-1.54e+09,-5e+09,-3.3e+09,-9.7e+08,-9.7e+08,-4.27e+09,0,-4.27e+09,6.65e+08,-3.605e+09,-3.826e+09,-1.64e+08,-3.99e+09,-3.99e+09,4.13106e+11,1.542e+09,1.559e+10,1.4192e+10,9.9827e+10,5.44257e+11,2.85943e+11,7.8037e+10,4.48047e+11,8.654e+10,-8.72e+08,-5.466e+09,5.829e+09,8.6031e+10,1.0179e+10,9.621e+10,5.44257e+11,-3.605e+09,2.033e+09,3.213e+09,2.336e+09,-5.059e+09,1.927e+09,-1.675e+09,-1.7e+09,7.23e+08,1.608e+09,-2.351e+09,-1.73e+09,-1.069e+09,-1.069e+09,8e+06,-1.061e+09,-1.267e+09,7.7389e+10,-0.25945,-0.3137,-0.04147,-0.00733,4.65697,0.14219,-2.10055,-2.10055,6.69597,45.29138,-0.00742,-59.86346,-22.98394
"8","2012_Q1",22.2556451612903,"Up",1.8267e+10,9.817e+09,4.594e+09,3.856e+09,2.85e+08,7.44e+08,-2.86e+08,1.03e+09,2.827e+09,-9.211e+09,-1.393e+09,-5.799e+09,1.864e+09,6.11e+08,6.11e+08,2.475e+09,4.1e+08,2.885e+09,1.8577e+10,2.1462e+10,2.1602e+10,-1.23e+08,2.1479e+10,2.1479e+10,4.10438e+11,1.474e+09,1.4721e+10,8.937e+09,1.17484e+11,5.53054e+11,2.82516e+11,7.9636e+10,4.42138e+11,8.5225e+10,-9.42e+08,1.0774e+10,6.481e+09,1.01538e+11,9.378e+09,1.10916e+11,5.53054e+11,2.1462e+10,1.754e+09,-2.2096e+10,1.12e+09,-4.328e+09,4.63e+09,301999999.999998,-1.401e+09,-69999999.9999995,9.64e+08,-975000000.000001,-1.482e+09,-6e+07,-6e+07,-8e+06,-6.8e+07,3.618e+09,7.5253e+10,0.10204,1.17584,0.19365,0.03884,3.98624,0.13607,11.28347,11.28278,9.59612,53.34052,0.03917,20.39221,39.58101
"9","2012_Q2",25.6549206349206,"Up",1.7497e+10,9.47e+09,7.105e+09,9.22e+08,5.84e+08,-2.51e+08,-4.53e+08,2.02e+08,5.89e+08,-8.181e+09,-1.347e+09,-2.938e+09,5.031e+09,-5.65e+08,-5.65e+08,4.466e+09,-75137765.3085787,4.466e+09,-1.081e+09,3.385e+09,3.449e+09,-2.41e+08,3.208e+09,3.208e+09,4.06961e+11,1.315e+09,1.5648e+10,8.753e+09,1.21726e+11,5.54403e+11,2.82249e+11,8.7371e+10,4.49938e+11,8.6538e+10,-3.942e+09,1.3982e+10,6.873e+09,1.03451e+11,1.014e+09,1.04465e+11,5.54403e+11,3.385e+09,1.215e+09,-5.094e+09,9.4e+07,4.727e+09,5.032e+09,9.981e+09,2.36e+08,-3e+09,-4.2e+08,-7.291e+09,-1.0232e+10,-1.57e+08,-1.57e+08,-2e+06,-1.59e+08,6.246e+09,7.6096e+10,0.28754,0.18335,0.03071,0.00579,4.30707,0.13726,1.71005,1.71002,9.32689,55.14525,0.00583,11.97262,14.86404
"10","2012_Q3",26.9477777777778,"Up",1.6221e+10,9.629e+09,4.481e+09,2.111e+09,5.67e+08,3.99e+08,-1.5e+08,5.49e+08,1.145e+09,-8.843e+09,-1.472e+09,-3.661e+09,2.245e+09,-5.67e+08,-5.67e+08,1.678e+09,-9e+06,1.669e+09,4.91e+08,2.16e+09,2.339e+09,-7000000.00000003,2.332e+09,2.332e+09,4.1253e+11,1.232e+09,1.455e+10,8.565e+09,1.18506e+11,5.55383e+11,2.80449e+11,9.1258e+10,4.49742e+11,8.653e+10,-5.926e+09,1.6314e+10,7.791e+09,1.04709e+11,932000000.000001,1.05641e+11,5.55383e+11,2.16e+09,1.343e+09,-2.803e+09,1.538e+09,1.043e+10,-9.27e+09,8.9e+08,-1.462e+09,-2e+09,1.52e+08,1.254e+09,-2.489e+09,-6.1e+07,-6.1e+07,-2.2e+07,-8.3e+07,3.588e+09,7.3897e+10,0.1384,0.14376,0.02207,0.0042,4.25727,0.13306,1.3275,1.32748,9.23385,59.60588,0.00423,20.25223,32.36748
