"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.2493650793651,"Up",3.126e+09,-1.944e+09,1.182e+09,-9.44e+08,-7.27e+08,-9.6e+07,-1.21e+08,2.38e+08,-2.9e+07,-4.5e+07,1.6e+07,2.09e+08,-3e+06,2.06e+08,-1.47e+08,5.9e+07,5.9e+07,-2.9e+07,3e+07,3e+07,6.89e+08,6.89e+08,-4630350196.25756,2.809e+09,1.599e+09,8.25e+08,8.25e+08,5.922e+09,2.66e+09,2.66e+09,5.03e+08,4.671e+09,1.343e+09,2.687e+09,6.41e+08,7.834e+09,1.3756e+10,2.685e+09,1.12e+08,6.21e+08,6.21e+08,3.418e+09,3.051e+09,3.498e+09,1.93e+09,9.14e+08,1.016e+09,3.19e+08,1.249e+09,6.549e+09,9.967e+09,1.064e+09,-4.199e+09,8.08e+09,-1.353e+09,3.592e+09,1.97e+08,3.789e+09,1.3756e+10,5.9e+07,5.9e+07,1.21e+08,3.6e+07,-2.7e+08,-5.4e+07,-3.7e+07,-1.6e+07,-4e+07,-9.3e+07,-9e+07,-1.55e+08,2e+07,-165612038.493124,-2.25e+08,-3.72e+08,-3.72e+08,4e+06,-3.68e+08,3.59e+08,3.163e+09,1.99e+08,0.37812,0.07614,0.0096,0.00792,0.00218,6.63333,1.73259,2.63051,0.22994,0.09042,0.08982,9.42134,10.8258,0.59976,0.27125,5,0.01148,0.01904,3,6.89136,10.39496
"2","2010_Q3",27.18078125,"Up",3.458e+09,-2.076e+09,1.382e+09,-9.57e+08,-7.45e+08,-9.7e+07,-1.15e+08,4.25e+08,-1e+07,-4.6e+07,3.6e+07,4.15e+08,-3e+06,4.12e+08,-1.11e+08,3.01e+08,3.01e+08,-2.9e+07,2.72e+08,2.72e+08,7.84e+08,7.84e+08,-1599675098.12878,2.781e+09,1.541e+09,7.8e+08,7.8e+08,5.886e+09,2.533e+09,2.533e+09,5.25e+08,4.422e+09,1.238e+09,2.526e+09,6.58e+08,7.48e+09,1.3366e+10,2.724e+09,5.9e+07,5.9e+08,5.9e+08,3.373e+09,3.017e+09,3.337e+09,1.949e+09,9.04e+08,1.045e+09,3.01e+08,1.087e+09,6.354e+09,9.727e+09,1.081e+09,-4.29e+09,8.262e+09,-1.603e+09,3.45e+09,1.89e+08,3.639e+09,1.3366e+10,3.01e+08,3.01e+08,1.15e+08,-6.2e+07,6.7e+07,4.21e+08,-4.7e+07,-2e+06,-5e+06,-5.4e+07,-9e+07,-5e+07,-8.3e+07,-2.8e+07,-2.51e+08,1.16e+08,1.16e+08,-2.1e+07,94999999.9999999,5.4e+08,3.076e+09,6.71e+08,0.39965,0.1229,0.07866,0.07475,0.02035,2.46691,1.74503,2.67299,0.23014,0.82275,0.81633,10.45977,10.43557,2.02964,0.27223,8,0.03601,0.06675,0.33088,4.24444,5.39294
"3","2010_Q4",31.64671875,"Up",3.46e+09,-2.108e+09,1.352e+09,-9.52e+08,-7.39e+08,-9.7e+07,-1.16e+08,4e+08,-1.1e+07,-2.1e+07,1e+07,3.89e+08,-3e+06,3.86e+08,-9.4e+07,2.92e+08,2.92e+08,-3e+07,2.62e+08,2.62e+08,9.3e+08,9.3e+08,32108300.6237403,2.958e+09,1.638e+09,7.79e+08,7.79e+08,6.305e+09,2.62e+09,2.62e+09,5.36e+08,4.659e+09,1.297e+09,2.725e+09,6.37e+08,7.815e+09,1.412e+10,2.86e+09,6.9e+07,5.94e+08,5.94e+08,3.523e+09,3.066e+09,3.429e+09,1.82e+09,7.7e+08,1.05e+09,3.16e+08,1.293e+09,6.495e+09,1.0018e+10,1.163e+09,-4.442e+09,8.433e+09,-1.28e+09,3.874e+09,2.28e+08,4.102e+09,1.412e+10,2.92e+08,2.92e+08,1.16e+08,-1.52e+08,7.5e+07,3.31e+08,-4.7e+07,0,4.2e+07,-5e+06,-9e+07,7e+06,-1.43e+08,8000000.00000001,-2.18e+08,1.08e+08,1.08e+08,3.8e+07,1.46e+08,5.16e+08,3.135e+09,6.38e+08,0.39075,0.11561,0.07572,0.06387,0.01856,2.43511,1.78967,2.44222,0.22203,0.79829,0.79106,10.54235,11.80378,1.94394,0.27422,8,0.033,0.05982,0.34351,4.27326,5.5125
"4","2011_Q1",35.113064516129,"Up",3.379e+09,-2.086e+09,1.293e+09,-9.9e+08,-7.68e+08,-1.04e+08,-1.18e+08,3.03e+08,-9e+06,-4.3e+07,3.4e+07,2.94e+08,-3e+06,2.91e+08,-6.3e+07,2.28e+08,2.28e+08,-2.3e+07,2.05e+08,2.05e+08,1.978e+09,1.341e+09,6.37e+08,2.778e+09,1.573e+09,7.29e+08,2.78e+08,7.058e+09,2.686e+09,2.686e+09,5.5e+08,4.681e+09,1.268e+09,2.719e+09,6.94e+08,7.917e+09,1.4975e+10,3.002e+09,2.8e+07,5.95e+08,5.95e+08,3.625e+09,4.043e+09,3.474e+09,1.97e+09,8.19e+08,1.151e+09,2.93e+08,1.211e+09,7.517e+09,1.1142e+10,1.209e+09,-4.708e+09,8.548e+09,-1.411e+09,3.638e+09,1.95e+08,3.833e+09,1.4975e+10,2.28e+08,2.28e+08,1.18e+08,-1.01e+08,3.67e+08,6.12e+08,-1.5e+08,-1.6e+07,-6.31e+08,-7.97e+08,-9e+07,9.19e+08,-2.34e+08,-5e+06,5.9e+08,4.05e+08,4.05e+08,6e+06,4.11e+08,4.21e+08,4.071e+09,7.01e+08,0.38266,0.08967,0.06067,0.05348,0.01369,3.41951,1.94703,2.90686,0.27185,0.62999,0.62348,10.38414,11.18009,2.15427,0.27658,8,0.02593,0.06161,0.43902,4.9715,6.90759
"5","2011_Q2",36.6726984126984,"Up",3.533e+09,-2.127e+09,1.406e+09,-1.017e+09,-7.97e+08,-1.03e+08,-1.17e+08,3.89e+08,-3.5e+07,-4.3e+07,8e+06,3.54e+08,-3e+06,3.51e+08,-9.2e+07,2.59e+08,2.59e+08,-3.1e+07,2.28e+08,2.28e+08,1.383e+09,7.96e+08,5.87e+08,3.126e+09,1.755e+09,8.2e+08,8.2e+08,7.084e+09,2.696e+09,2.696e+09,5.54e+08,4.769e+09,1.283e+09,2.814e+09,6.72e+08,8.019e+09,1.5103e+10,3.045e+09,9.6e+07,6.08e+08,6.08e+08,3.749e+09,3.993e+09,3.366e+09,1.834e+09,6.75e+08,1.159e+09,3.02e+08,1.23e+09,7.359e+09,1.1108e+10,1.226e+09,-4.96e+09,8.687e+09,-1.187e+09,3.766e+09,2.29e+08,3.995e+09,1.5103e+10,2.59e+08,2.59e+08,1.17e+08,-4.8e+07,-4.84e+08,-1.56e+08,-3.9e+07,-1e+07,4e+06,-4.5e+07,-8.9e+07,-4e+06,-2.46e+08,-1.4e+07,-3.53e+08,-5.54e+08,-5.54e+08,9e+06,-5.45e+08,5.06e+08,4.089e+09,7.5e+07,0.39796,0.1101,0.06453,0.05707,0.0151,0.32895,1.88957,2.78048,0.27074,0.71072,0.70154,11.01309,11.7394,0.23379,0.27743,6,0.02769,0.00655,0.39035,5.34783,6.9563
"6","2011_Q3",32.5721875,"Down",3.986e+09,-2.417e+09,1.569e+09,-1.058e+09,-8.29e+08,-1.1e+08,-1.19e+08,5.11e+08,-8e+06,-4.4e+07,3.6e+07,5.03e+08,-3e+06,5e+08,-1.28e+08,3.72e+08,3.72e+08,-3.2e+07,3.4e+08,3.4e+08,1.245e+09,9.82e+08,2.63e+08,3.345e+09,1.821e+09,8.28e+08,8.28e+08,7.239e+09,2.759e+09,2.759e+09,4.05e+08,4.864e+09,1.28e+09,2.871e+09,7.13e+08,8.028e+09,1.5267e+10,3.199e+09,1.11e+08,6.12e+08,6.12e+08,3.922e+09,3.613e+09,3.444e+09,1.869e+09,7.07e+08,1.162e+09,3.05e+08,1.27e+09,7.057e+09,1.0979e+10,1.243e+09,-5.044e+09,8.938e+09,-1.083e+09,4.054e+09,2.34e+08,4.288e+09,1.5267e+10,3.72e+08,3.72e+08,1.19e+08,2.2e+07,-1.05e+08,4.08e+08,-7.7e+07,-4.2e+07,4.11e+08,2.92e+08,-8.9e+07,-3.87e+08,-7.6e+07,2.2e+07,-5.3e+08,1.7e+08,1.7e+08,1.6e+07,1.86e+08,6.3e+08,3.724e+09,5.76e+08,0.39363,0.1282,0.0853,0.07929,0.02227,1.69412,1.84574,2.5604,0.24392,1.07323,1.05919,12.58207,12.79672,1.81818,0.28093,7,0.03745,0.05028,0.26176,3.93492,4.85127
"7","2011_Q4",34.1546031746032,"Up",3.849e+09,-2.353e+09,1.496e+09,-1.03e+09,-8.06e+08,-1.08e+08,-1.16e+08,4.66e+08,-1e+06,-4e+07,3.9e+07,4.65e+08,-3e+06,4.62e+08,-1.2e+08,3.42e+08,3.42e+08,-3.1e+07,3.11e+08,3.11e+08,1.338e+09,1.301e+09,3.7e+07,3.088e+09,1.737e+09,7.77e+08,7.77e+08,6.94e+09,2.669e+09,2.669e+09,4e+08,4.534e+09,1.174e+09,2.698e+09,6.62e+08,7.603e+09,1.4543e+10,3.105e+09,1.02e+08,5.81e+08,5.81e+08,3.788e+09,3.59e+09,3.259e+09,1.828e+09,6.72e+08,1.156e+09,2.86e+08,1.145e+09,6.849e+09,1.0637e+10,1.255e+09,-5.288e+09,9.159e+09,-1.464e+09,3.662e+09,2.44e+08,3.906e+09,1.4543e+10,3.42e+08,3.42e+08,1.16e+08,-4.4e+07,1.11e+08,5.25e+08,-8.8e+07,-4e+06,2.61e+08,1.69e+08,-9e+07,-1.3e+07,-2.41e+08,3.5e+07,-3.09e+08,3.85e+08,3.85e+08,-6.6e+07,3.19e+08,5.82e+08,3.692e+09,7.25e+08,0.38867,0.12107,0.0808,0.07962,0.02138,2.33119,1.8321,2.72325,0.25387,0.99234,0.98107,12.28143,11.68475,2.31334,0.28717,7,0.03693,0.06678,0.28939,4.04467,5.0515
"8","2012_Q1",37.9035483870968,"Up",1.785e+09,-9.68e+08,8.17e+08,-8.7e+08,-6.9e+08,-1.07e+08,-7.3e+07,-5.3e+07,-3.5e+07,-4.1e+07,6e+06,-8.8e+07,-3e+06,-9.1e+07,8e+07,-1.1e+07,2.39e+08,-2.3e+07,2.16e+08,2.16e+08,1.482e+09,1.457e+09,2.5e+07,2.83e+09,1.607e+09,7.75e+08,3.02e+08,6.694e+09,2.721e+09,2.721e+09,3.87e+08,4.58e+09,1.125e+09,2.66e+09,7.95e+08,7.688e+09,1.4382e+10,2.996e+09,1.08e+08,5.98e+08,5.98e+08,3.702e+09,3.574e+09,3.66e+09,2.275e+09,9.68e+08,1.307e+09,2.72e+08,1.113e+09,7.234e+09,1.0936e+10,1.267e+09,-5.506e+09,9.288e+09,-1.8e+09,3.249e+09,1.97e+08,3.446e+09,1.4382e+10,-1.1e+07,2.39e+08,7.3e+07,1.2e+07,3.25e+08,6.59e+08,-9.5e+07,2.5e+07,1.5e+07,-1.41e+08,-8.7e+07,1.3e+07,-2.14e+08,-6.6e+07,-3.62e+08,1.56e+08,1.56e+08,0,1.56e+08,2e+07,3.682e+09,1.7e+08,0.4577,-0.02969,0.12101,0.06268,0.01502,0.78704,1.80821,3.17353,0.25601,0.70267,0.69364,5.80677,10.56929,0.55303,0.28302,7,0.02809,0.01576,0.40278,110,-41.50943
"9","2012_Q2",42.7120634920635,"Up",3.333e+09,-1.946e+09,1.387e+09,-1.041e+09,-8.23e+08,-1.1e+08,-1.08e+08,3.46e+08,-1.82e+08,-4.1e+07,-1.41e+08,1.64e+08,-2.11e+08,-4.7e+07,3.1e+07,-1.6e+07,5.1e+07,-3.8e+07,1.3e+07,1.3e+07,1.034e+09,9.78e+08,5.6e+07,3.236e+09,1.83e+09,8.44e+08,8.44e+08,6.944e+09,2.785e+09,2.785e+09,4.26e+08,4.679e+09,1.132e+09,2.729e+09,8.18e+08,7.89e+09,1.4834e+10,3.133e+09,6.69e+08,7.56e+08,7.56e+08,4.558e+09,2.988e+09,3.772e+09,2.273e+09,9.61e+08,1.312e+09,2.62e+08,1.237e+09,6.76e+09,1.1318e+10,1.281e+09,-5.548e+09,9.213e+09,-1.653e+09,3.293e+09,2.23e+08,3.516e+09,1.4834e+10,-1.6e+07,5.1e+07,1.08e+08,3.84e+08,-4.96e+08,-2e+06,-2.8e+07,-4.4e+07,-9.8e+07,-1.81e+08,-8.7e+07,-1.55e+08,-4.2e+07,-2.8e+07,-3.12e+08,-4.95e+08,-4.95e+08,1.6e+07,-4.79e+08,4.54e+08,3.657e+09,-1.01e+08,0.41614,0.10381,0.0039,0.0037,0.00088,-7.76923,1.52348,3.219,0.24653,0.04254,0.04207,10.90641,10.77552,-0.3305,0.28469,4,0.00914,-0.00923,6.69231,5.77753,7.58092
"10","2012_Q3",46.5136507936508,"Up",3.408e+09,-1.983e+09,1.425e+09,-9.96e+08,-7.79e+08,-1.12e+08,-1.05e+08,4.29e+08,-2.4e+07,-4.4e+07,2e+07,4.05e+08,-3e+06,4.02e+08,-9.2e+07,3.1e+08,3.64e+08,-2.5e+07,3.39e+08,3.39e+08,1.247e+09,1.017e+09,2.3e+08,3.31e+09,1.775e+09,8.19e+08,8.19e+08,7.151e+09,2.719e+09,2.719e+09,4.19e+08,4.528e+09,1.067e+09,2.644e+09,8.17e+08,7.666e+09,1.4817e+10,3.16e+09,6.47e+08,7.58e+08,7.58e+08,4.565e+09,2.964e+09,3.613e+09,2.213e+09,9.97e+08,1.216e+09,2.41e+08,1.159e+09,6.577e+09,1.1142e+10,1.299e+09,-5.531e+09,9.486e+09,-1.793e+09,3.461e+09,2.14e+08,3.675e+09,1.4817e+10,3.28e+08,3.96e+08,1.03e+08,-48999999.9999999,-4e+07,4.36e+08,-7.4e+07,1.1e+07,-1.74e+08,-2.49e+08,-9e+07,-2.6e+07,2.1e+07,-2.3e+07,-1.31e+08,55999999.9999999,55999999.9999999,-1.7e+07,3.9e+07,5.32e+08,3.611e+09,5.1e+08,0.41813,0.12588,0.09947,0.09224,0.02288,1.50442,1.56648,3.03184,0.24371,1.1028,1.09003,11.08653,11.25895,1.65908,0.29278,7,0.03936,0.04679,0.265489999999998,4.44360999999998,5.51049
