"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",240.176031746032,"Down",107359000,-80483000,26876000,-6781000,-6613000,-168000,20095000,-412000,-459000,47000,19683000,-176000,19507000,-7661000,11846000,11846000,11846000,11846000,253635667.89845,232654440.713791,-123476984.869064,-123476984.869064,70146960.6597591,4699522.87719951,-14416279.8372926,205005166.566345,257236551.779525,257236551.779525,300520373.793971,11768241.7302036,525537363.997871,730542530.564216,-21600354.9595716,-8842687.15336626,-12757667.8062054,2047879.3382595,2047879.3382595,-19552475.6213142,34616639.7721021,34616639.7721021,34617099.8374102,15064624.2160959,556637975.214007,159645751.677364,715477906.34812,715477906.34812,730542530.564216,11846000,6539000,5612000,11818000,35815000,-13950000,-25100000,-176000,-176000,10539000,10539000,10539000,26634000,0,32163000,0.25034,0.18718,0.11034,-0.0160954796466641,-0.0149186851494597,2.71509,13.0959611423976,0.0204597421306714,3.91589325678976e-07,1.57854,1.5767,14.30617,95.3615044198412,4.2859,-0.0161607562429739,-23.9959951179919,-56.0261899486182
"2","2010_Q3",231.2803125,"Down",64318000,-49577000,14741000,-8274000,-7969000,-305000,6467000,-199000,-3e+05,101000,6268000,-176000,6092000,-2490000,3602000,3602000,3602000,3602000,115859000,98009000,12263000,12263000,50563000,12193000,2870000,190878000,271015000,271015000,298887000,12668000,590348000,781226000,29074000,9203000,19871000,1722000,1722000,30796000,24351000,24351000,24351000,55147000,557855000,168956000,726079000,726079000,781226000,3602000,6687000,4034000,17757000,32080000,-24114000,-33915000,-487000,-487000,-2321999.99999999,-2321999.99999999,-2321999.99999999,13154000,0,9287000,0.22919,0.10055,0.056,0.00496,0.00461,2.57829,6.19814,0.07595,0,0.47972,0.47946,8.56593,96.69981,1.23685,0.0048,-8.80789,-17.91542
"3","2010_Q4",307.61484375,"Up",91472000,-64663000,26809000,-6710000,-6439000,-271000,20099000,-76000,-224000,148000,20023000,-176000,19847000,-8187000,11660000,11660000,11660000,11660000,99696000,66692000,37039000,37039000,45963000,15458000,6830000,198156000,294987000,294987000,291215000,12652000,612971000,811127000,45034000,16841000,28193000,1731000,1731000,46765000,25668000,25668000,25668000,72433000,558788000,180616000,738694000,738694000,811127000,11660000,6860000,13385000,-23291000,8614000,-20002000,-39886000,-64000,-45000,-31317000,-31317000,-31317000,26959000,0,-8147000,0.29308,0.21973,0.12747,0.01578,0.01438,-0.69871,4.23727,0.09806,0,1.55257,1.5517,12.17979,98.35949,-1.0848,0.01525,-3.69806,-4.96025
"4","2011_Q1",351.291935483871,"Up",96155000,-58510000,37645000,-8268000,-8101000,-167000,29377000,396000,289000,107000,29773000,-176000,29597000,-11420000,18177000,18177000,18177000,18177000,121690000,76133000,23767000,23767000,48094000,15271000,5177000,208822000,320292000,320292000,278472000,12432000,620062000,828884000,43701000,17951000,25750000,1704000,1704000,45405000,25638000,25638000,25638000,71043000,559750000,198793000,757841000,757841000,828884000,18177000,7629000,12040000,8939000,46785000,-30327000,-37383000,-44000,39000,9441000,9441000,9441000,37006000,0,27038000,0.3915,0.30552,0.18904,0.02399,0.02193,1.48748,4.5991,0.09374,0,2.42016,2.41663,12.80247,100.90208,3.59995,0.0232,-3.28839,-4.14236
"5","2011_Q2",307.286984126984,"Down",104476000,-63259000,41217000,-6912000,-6871000,-41000,34305000,516000,257000,259000,34821000,12309000,47130000,-18851000,28279000,28279000,28279000,28279000,107899000,69230000,38062000,38062000,49292000,13910000,5480000,209163000,338906000,338906000,261881000,12576000,635158000,844321000,41730000,16151000,25579000,1361000,1361000,43091000,13838000,13838000,13838000,56929000,561001000,227072000,787392000,787392000,844321000,28279000,8533000,4163000,-12351000,28624000,-29145000,-35666000,-115000,139000,-6903000,-6903000,-6903000,42838000,0,20193000,0.39451,0.32835,0.27067,0.03591,0.03349,0.71406,4.85398,0.0723,-1.05879118406788e-22,3.76395,3.75734,13.90582,104.80235,2.6877,0.03529,-2.51877,-3.14528
"6","2011_Q3",303.90625,"Down",119368000,-64230000,55138000,-4256000,-8986000,4730000,50882000,85000.0000000001,26000,59000,50967000,-191000,50776000,-20068000,30708000,30708000,30708000,30708000,123355000,71250000,35718000,35718000,51306000,26027000,11325000,236406000,359707000,359707000,247855000,12321000,641988000,878394000,43978000,14151000,29827000,1472000,1472000,45450000,13774000,13774000,13774000,59224000,562072000,257780000,819170000,819170000,878394000,30708000,8691000,15936000,-4674000,50661000,-35391000,-48152000,-534000,-489000,2020000,2020000,2020000,59573000,0,39576000,0.46192,0.42626,0.25725,0.03749,0.03496,1.28878,5.20145,0.0723,0,4.08435,4.07981,15.87666,108.95449,5.26384,0.03687,-2.07065,-2.42433
"7","2011_Q4",238.708253968254,"Down",113812000,-66705000,47107000,-5162000,-8277000,3115000,41945000,293000,271000,22000,42238000,-184000,42054000,-16547000,25507000,25507000,25507000,25507000,141037000,67487000,34162000,34162000,53420000,24547000,17110000,253166000,392642000,392642000,240288000,13653000,660664000,913830000,53398000,21115000,32283000,1294000,1294000,54692000,13319000,13319000,13319000,68011000,563213000,283287000,845819000,845819000,913830000,25507000,8819000,14443000,1558000,50327000,-37180000,-52673000,-1448000,-1417000,-3763000,-3763000,-3763000,50764000,0,31689000,0.4139,0.36855,0.22412,0.03016,0.02791,1.24236,4.62894,0.08041,-1.6940658945086e-21,3.39175,3.38737,15.13397,112.47145,4.21379,0.02969,-2.77829,-3.36243
"8","2012_Q1",237.718387096774,"Down",105298000,-62540000,42758000,-7763000,-7673000,-90000,34995000,490000,307000,183000,35485000,-184000,35301000,-10384000,24917000,24917000,24917000,24917000,170614000,73372000,29304000,29304000,55390000,21337000,11913000,276645000,420905000,420905000,229140000,13508000,656225000,932870000,48065000,20900000,27165000,1610000,1610000,49675000,12062000,12062000,12062000,61737000,564360000,308204000,871133000,871133000,932870000,24917000,9744000,8201000,1395000,44257000,-35398000,-38311000,-61000.0000000002,-61000.0000000002,5885000,5885000,5885000,44739000,0,21120000,0.40607,0.33234,0.23663,0.0286,0.02671,0.84761,5.5691,0.07087,0,3.31325,3.30937,14.00163,115.83581,2.80836,0.02821,-3.81354,-4.87538
"9","2012_Q2",208.954444444444,"Down",111913000,-70707000,41206000,-8229000,-8257000,28000,32977000,443000,260000,183000,33420000,-181000,33239000,-12613000,20626000,20626000,20626000,20626000,163188000,60107000,43691000,43691000,51364000,18666000,11832000,276909000,440636000,440636000,219363000,13194000,671524000,948433000,42458000,16365000,26093000,1380000,1380000,43838000,11927000,11927000,11927000,55765000,565230000,328830000,892668000,892668000,948433000,20626000,11256000,12100000,-6318000,37664000,-38477000,-50480000,-449000,-449000,-13265000,-13265000,-13265000,44233000,0,12051000,0.3682,0.29467,0.1843,0.02311,0.02175,0.58426,6.31664,0.06247,-2.71050543121376e-20,2.74182,2.73856,14.87663,118.66264,1.60194,0.0228,-3.68928,-4.94854
"10","2012_Q3",220.143492063492,"Up",98787000,-58892000,39895000,-8795000,-8710000,-84999.9999999999,31100000,406000,311000,95000,31506000,-181000,31325000,-12312000,19013000,19013000,19013000,19013000,164766000,66843000,31948000,31948000,58963000,17256000,12179000,272933000,491820000,491820000,206874000,11156000,719837000,992770000,66706000,29024000,37682000,955000,955000,67661000,12492000,12492000,12492000,80153000,566128000,347843000,912617000,912617000,992770000,19013000,11376000,13576000,17249000,61214000,-48698000,-53990000,-488000,-488000,6736000,6736000,6736000,42476000,-1.16415321826935e-10,23339000,0.40385,0.31482,0.19246,0.02083,0.01915,1.22753,4.03383,0.08783,0,2.52567,2.52468,13.12277,121.23117,3.10033,0.02055,-3.87904,-5.29794
