"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.90460317460317,"Up",185768929,-117200560,68568369,-23960472,-9621954,-14338518,44607897,3077355,512883,2564472,47685252,47685252,-15223122,32462130,32462130,32462130,32462130,440387233.077112,300919270.078949,-8656650.71119344,-8656650.71119344,64589283.4630602,51432865.2593769,51432865.2593769,547752731.088356,215780681.181753,80415759.3852315,14126822.0813087,14125515.9811101,310323262.648293,858075993.736649,64205305.6510111,-30201580.1811764,-6676619.11968172,28205933.8248616,28205933.8248616,28205713.6609352,21529094.5412534,390230582.15929,455905078.854135,-9588761.81802895,836546899.195395,836546899.195395,858075993.736649,32462130,9675591,-258837,19429130,61308014,-10699210,-48231116,-58930326,-15217332,17308754,17308754,2367763,4745451,4745451,4745451,54283488,0,78236530,0.36911,0.24013,0.17474,0.0422623826591282,0.0405378760109301,2.41009,14.9914123386563,0.0344321809835163,-1.29381925300883e-07,0.11828,0.11792,0.67686,3.03473291439483,0.28506,0.05545,0.0589560353156002,-0.0510899468484628,0.46877,-7.59729867093926,-8.12829076035965
"2","2010_Q3",7.3046875,"Down",201560960,-127667134,73893826,-25107067,-9884445,-15222622,48786759,1554306,556004,998302,50341065,50341065,-16283735,34057330,34057330,34057330,34057330,380848667,295234858,93453861,93453861,79280713,23769957,23769957,577353198,196744410,112619809,13685549,13685549,323049768,900402966,44263614,44263614,83508936,23675897,23675897,23675897,107184833,308915058,474719319,9583756,793218133,793218133,900402966,34057330,9877505,1909199,-40046240,5797794,-8134746,-36245225,-44379971,-15341892,8083935,8083935,-7036862,-45619039,-45619039,-45619039,58664264,0,26767013,0.36661,0.24204,0.16897,0.04294,0.03782,0.78594,6.91367,0.13513,0,0.12278,0.12158,0.72662,2.85954,0.09649,0.05531,0.06047,0.03277,0.45047,-6.492,-7.80639
"3","2010_Q4",9.25921875,"Up",206832953,-133073198,73759755,-26787458,-10323698,-16463760,46972297,3199013,620160,2578853,50171310,50171310,-15880066,34291244,34291244,34291244,34291244,389389319,303717898,106681882,106681882,92106366,20347709,20347709,608525276,196545669,123803570,13408112,13408112,333757351,942282627,50105699,50105699,83368650,29065488,29065488,29065488,112434138,318056715,493571046,18220728,829848489,829848489,942282627,34291244,10037977,5881030,-25207355,25002896,-9811941,2257179,-7554762,-15395491,6341879,6341879,-8965094,8483040,8483040,8483040,57010274,0,37871044,0.35662,0.2271,0.16579,0.04132,0.03639,1.10439,7.29921,0.13549,0,0.12288,0.12214,0.74119,2.97378,0.13571,0.05517,0.05785,0.04409,0.44896,-6.83016,-8.28977
"4","2011_Q1",12.0246774193548,"Up",222100572,-142632209,79468363,-28863247,-10787736,-18075511,50605116,4637271,1212909,3424362,55242387,55242387,-18319122,36923265,36923265,36923265,36923265,434797369,348349773,95647612,95647612,100728730,24095563,24095563,655269274,205107756,129091167,13222442,13222442,347421365,1002690639,61672416,40295464,72088629,37071184,37071184,37071184,109159813,356371746,514842177,22316903,893530826,893530826,1002690639,36923265,9029601,4192674,-14120558,36024982,-17746076,76447674,-13721434,-15439517,35332823,35332823,22328327,44631875,44631875,44631875,59634717,-1.4210854715202e-14,46087205,0.3578,0.22785,0.16625,0.04132,0.03682,1.24819,9.08977,0.12217,0,0.13139,0.12961,0.79036,3.17969,0.164,0.05494,0.05627,0.04952,0.41815,-7.29101,-8.59196
"5","2011_Q2",11.5965079365079,"Down",250945897,-160629160,90316737,-30225863,-11311102,-18914761,60090874,3364388,499570,2864818,63455262,63455262,-21122380,42332882,42332882,42332882,42332882,481970910,440321896,116330190,116330190,104036266,20498179,20498179,722835545,213688533,142324972,13063917,13063917,369077422,1091912967,61073092,61073092,115338640,41615876,41615876,41615876,156954516,367615462,540046163,27296826,934958451,934958451,1091912967,42332882,10552370,1994666,22495625,77375543,-19388892,40249313,20860421,-15652134,8142192,8142192,-6263841,91972123,91972123,91972123,70643244,0,94872357,0.35991,0.23946,0.16869,0.04528,0.03877,2.2411,6.26707,0.16787,-2.64697796016969e-23,0.14921,0.147,0.88448,3.29534,0.33439,0.05517,0.05938,0.09715,0.36974,-6.8226,-8.0207
"6","2011_Q3",10.58609375,"Down",243001541,-157376970,85624571,-32377679,-12131922,-20245757,53246892,4501176,598455,3902721,57748068,57748068,-19275899,38472169,38472169,38472169,38472169,468736735,444619932,111859028,111859028,119457528,25591359,25591359,725644650,232716169,142684806,12974283,12974283,388375258,1114019908,63282992,63282992,103801515,46517399,46517399,46517399,150318914,377566813,561344112,24790069,963700994,963700994,1114019908,38472169,10730909,4515736,-26479327,27239487,-29529065,15729651,-13799414,-17128896,6633301,6633300.99999999,-9142037,4298036,4298036,4298036,63977801,0,27245308,0.35236,0.21912,0.15832,0.03992,0.03453,0.70818,6.99069,0.15598,0,0.1352,0.13345,0.85395,3.3866,0.09574,0.06019,0.05504,0.02697,0.44523,-7.32655,-8.80308
"7","2011_Q4",11.4104761904762,"Up",269467967,-174182650,95285317,-33038537,-12370000,-20668537,62246780,2251836,543996,1707840,64498616,64498616,-21101552,43397064,43397064,43397064,43397064,456250742,397105404,130039210,130039210,151130845,20781773,20781773,758202570,256562323,106915898,12862670,12862670,376340891,1134543461,70157597,70157597,116748083,34176761,34176761,34176761,150924844,388372334,587524488,7721795,983618617,983618617,1134543461,43397064,12026969,-3211699,-31395426,20816908,-35899830,-23060064,-58959894,-17174221,7040378,7040378,-9371542,-47514528,-47514528,-47514528,74273749,0,28080045,0.35361,0.231,0.16105,0.04412,0.03825,0.64705,6.49435,0.15344,4.2351647362715e-22,0.15207,0.15039,0.94425,3.44673,0.0984,0.06018,0.05951,0.02759,0.39575,-6.14283,-7.32971
"8","2012_Q1",10.8524193548387,"Down",260346644,-169992934,90353710,-34570331,-12765228,-21805103,55783379,2946486,2523788,422698,58729865,58729865,-18263752,40466113,40466113,40466113,40466113,418795011,357986774,110389715,110389715,188753312,34354946,34354946,752292984,282541588,128168165,13024265,13024265,423734018,1176027002,89317559,65470573,100694500,48213981,48213981,48213981,148908481,403874065,610702253,12542203,1027118521,1027118521,1176027002,40466113,9324436,13818395,-47372217,16236727,-35180731,-32220543,-51628103,-17216688,11488893,11488893,-3727254,-39118630,-39118630,-39118630,65107815,3.63797880709171e-12,818619,0.34705,0.21427,0.15543,0.0394,0.03441,0.02023,7.47104,0.14498,0,0.14135,0.13983,0.90941,3.58781,0.00286,0.06014,0.05364,0.00076,0.42546,-6.43233,-7.50752
"9","2012_Q2",9.02222222222222,"Down",290706762,-189880269,100826493,-35325530,-12110396,-23215134,65500963,3286360,596023,2690337,68787323,68787323,-22442739,46344584,46344584,46344584,46344584,422794661,370804725,139296845,139296845,200751160,23425298,23425298,786267964,309663660,146155364,13060218,13060218,468879242,1255147206,72986047,72986047,130104599,54771435,54771435,54771435,184876034,410300950,638299049,21671173,1070271172,1070271172,1255147206,46344584,12674712,3189697,-1077472,61131521,-39824858,175419,-33809644,-17288348,2466307,2466307,-14503926,12817951,12817951,12817951,78175675,0,59716084,0.34683,0.22532,0.15942,0.0433,0.03692,1.28852,6.04335,0.17274,0,0.16148,0.15982,1.0129,3.7291,0.20807,0.06024,0.05656,0.05308,0.37304,-5.40826,-6.45479
"10","2012_Q3",7.47412698412698,"Down",280255548,-187498242,92757306,-35245074,-12452571,-22792503,57512232,3167483,633700,2533783,60679715,60679715,-19913176,40766539,40766539,40766539,40766539,421654149,375707033,129948477,129948477,192330005,32808457,32808457,776741088,326842448,137556403,12886088,12886088,477284939,1254026027,53514927,53514927,106012283,53323686,53323686,53323686,159335969,419305683,660271990,15112385,1094690058,1094690058,1254026027,40766539,12464219,2106289,-14939651,40397396,-29588719,-900961,-21989327,-18747788,4973607,4973607,-13505761,4902308,4902308,4902308,69976451,0,45361257,0.33097,0.20521,0.14546,0.03724,0.03251,1.11271,7.3269,0.14555,0,0.14183,0.14085,0.97501,3.80844,0.15781,0.06522,0.05184,0.03951,0.45988,-6.02566,-7.33156
