"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","raw_materials","work_in_process","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.9712698412698,"Up",620355000,-215540000,404815000,-347147000,-207842000,-100653000,-38652000,57668000,-61293000,-60705000,-588000,-3625000,8436000,4811000,7172000,11983000,-897000,-5117000,-6014000,-6014000,-693433092.746305,-693433092.746305,-222472087.481403,-222472087.481403,270176796.622371,215579561.533908,54597235.0884631,741742106.636778,73430959.7374086,197533704.502235,-20777790.9786849,9334695763.26488,13658352793.0191,-4323657029.75421,502057145.654178,502057145.654178,1467548482.44491,158338826.566597,1247297411.42084,11304301391.364,11283523600.3853,473355974.223597,261280216.768555,-27329272.3903337,2216326114.74658,742852790.861118,742852790.861118,3432534879.8313,1803502061.1442,3296529786.03617,936949233.095015,936949233.095015,135929662.019114,1351037874.3262,872613016.595841,5100031847.18038,8532566727.01167,2382136735.24129,2382136735.24129,443530304.573277,-126571454.832844,2699095366.24509,51861507.1285277,2750956873.37362,11283523600.3853,-897000,114122000,-58433000,-68467000,-13675000,-202554000,-7874000,-210428000,-51421000,131751000,1923000,82253000,-141850000,-141850000,-141850000,171790000,0,-106403000,0.65255,0.09296,-0.00969,-0.236783788338427,-0.0745998562734906,17.69255,-1.95794266666384,2.89612207227898,0.352101913092798,-0.05927,-0.05927,6.11344,26.1872464989666,-1.04857,0.50674,-0.0737193147616702,-0.111872532273963,-8.55022,65.949076424834,170.589629498619
"2","2010_Q3",24.0390625,"Up",794702000,-251800000,542902000,-342212000,-212080000,-102976000,-27156000,200690000,-65509000,-60813000,-4696000,135181000,8548000,143729000,-50707000,93022000,119566000,-4769000,114797000,114797000,50502000,50502000,277611000,277611000,201688000,172091000,29597000,394544000,60111000,44543000,1086786000,9306893000,13707309000,-4400416000,578253000,578253000,1186268000,168233000,952932000,11071414000,12158200000,525877000,261203000,207736000,463372000,334907000,334907000,1324156000,3326524000,3914517000,728934000,728934000,133112000,1773750000,1278721000,7241041000,8565197000,2408863000,2408863000,1239865000,-169180000,3479548000,113455000,3593003000,12158200000,119566000,115842000,-18417000,-1902000.00000006,215089000,-176025000,108584000,-67441000,-55101000,-296071000,250498000,-100674000,46974000,46974000,46974000,316532000,3789896000,189312000,0.68315,0.25253,0.14445,0.03195,0.00944,1.6491,0.82074,2.38385,0.31172,1.06932,1.06526,7.40256,32.41161,1.76342,0.51326,0.01504,0.01676,0.479990000000001,11.81364,18.63269
"3","2010_Q4",25.4225,"Up",1116710000,-353904000,762806000,-362532000,-219658000,-104177000,-38697000,400274000,-60052000,-60419000,367000,340222000,11687000,351909000,-122347000,229562000,239039000,-5119000,233920000,233920000,195915000,195915000,379534000,379534000,196254000,174428000,21826000,291623000,68476000,43983000,1243332000,9347082000,13806661000,-4459579000,621728000,621728000,1223345000,178666000,979576000,11192155000,12435487000,463646000,253565000,210081000,238513000,307033000,307033000,1009192000,3463306000,4134760000,737644000,737644000,127449000,1935697000,1333970000,7598066000,8607258000,2416503000,2416503000,1473683000,-173260000,3716926000,111303000,3828229000,12435487000,239039000,120798000,163562000,-155313000,368086000,-174128000,74778000,-99350000,-55200000,-73924000,5801000,-123323000,145413000,145413000,145413000,521072000,3701819000,313978000,0.68308,0.35844,0.20947,0.0611,0.01881,1.34225,1.23201,2.24837,0.29768,2.15332,2.14421,10.27975,34.21576,2.89029,0.50814,0.02479,0.02692,0.23598,6.72825,8.75876000000001
"4","2011_Q1",26.138064516129,"Up",657432000,-225571000,431861000,-375610000,-230605000,-106673000,-38332000,56251000.0000001,-60854000,-62237000,1383000,-4603000,9874000,5271000,5013000,10284000,12501000,-5151000,7350000.00000006,7350000.00000006,110188000,110188000,316226000,316226000,202989000,181414000,21575000,291816000,73788000,90648000,1024511000,9393867000,13908071000,-4514204000,625134000,625134000,1349486000,184952000,1099431000,11368487000,12392998000,395896000,236354000,159542000,648479000,405329000,405329000,1449704000,3045794000,4122274000,813121000,813121000,121645000,1930210000,1257298000,7168068000,8617772000,2419133000,2419133000,1423961000,-159767000,3683327000,91899000,3775226000,12392998000,12501000,122045000,24009000,22402000,180957000,-195667000,-3014000,-198681000,-55257000,-5443000,-7303000.00000003,-68003000,-85727000,-85727000,-85727000,178296000,3694273000,18000.0000000596,0.65689,0.08556,0.01118,0.00195,0.00059,0.00244999999999962,0.7067,2.28272,0.29809,0.0675400000000002,0.0666899999999999,6.04085,33.84447,0.000170000000000226,0.50773,0.0054,0,7.51796,20.10188,63.71593
"5","2011_Q2",27.6669841269841,"Up",648847000,-212007000,436840000,-401056000,-255029000,-106583000,-39444000,35784000,-61128000,-61077000,-51000,-25344000,8971000,-16373000,6005000,-10368000,-9674000,-5461000,-15135000,-15135000,114193000,114193000,302163000,302163000,181568000,161063000,20505000,266434000,54579000,87611000,958017000,9397434000,13977778000,-4580344000,589686000,589686000,1357753000,182855000,1107160000,11344873000,12302890000,426088000,215968000,210120000,849575000,398549000,398549000,1674212000,2845479000,4054428000,824502000,824502000,118778000,1857981000,1253167000,6899907000,8574119000,2429016000,2429016000,1351716000,-149321000,3631411000,97360000,3728771000,12302890000,-9674000,123298000,-11206000,141078000,243496000,-191553000,-1242000,-192795000,-55300000,530000,8074000,-46696000,4005000,4005000,4005000,159082000,3695054000,102602000,0.67326,0.05515,-0.02333,-0.00406,-0.00123,-6.77912,0.57222,2.29945,0.30034,-0.13907,-0.13907,5.96191,33.36713,0.94276,0.50812,0.0035,0.00894,-3.65378,22.50953,100.06877
"6","2011_Q3",27.4234375,"Down",799799000,-244049000,555750000,-358758000,-210590000,-106617000,-41551000,196992000,-62769000,-60140000,-2629000,134223000,9780000,144003000,-50818000,93185000,93839000,-7154000,86685000,86685000,92274000,92274000,290741000,290741000,221215000,194352000,26863000,268941000,38897000,86261000,1036853000,9478377000,14153605000,-4675228000,604570000,604570000,1354280000,177845000,1108465000,11437227000,12474080000,515881000,271759000,186850000,910816000,404597000,404597000,1831294000,2761695000,4165481000,869277000,869277000,120621000,1908306000,1267277000,6927176000,8758470000,2432488000,2432488000,1323892000,-142675000,3613705000,101905000,3715610000,12474080000,93839000,122402000,51120000,-74578000,192783000,-195719000,60185000,-135534000,-57237000,-22792000,861000,-79168000,-21919000,-21919000,-21919000,319394000,3672511000,99915000,0.69486,0.2463,0.10838,0.02333,0.00695,1.15262,0.56619,2.35721,0.29441,0.79495,0.79007,7.33464,33.13988,0.91628,0.5249,0.01246,0.00865,0.660290000000002,11.20947,18.17453
"7","2011_Q4",29.6168253968254,"Up",1124841000,-337896000,786945000,-351928000,-210035000,-106350000,-35543000,435017000,-64645000,-62034000,-2611000,370372000,14317000,384689000,-131416000,253273000,262785000,-7426000,255359000,255359000,564712000,564712000,361742000,361742000,228521000,203118000,25403000,252091000,27713000,116646000,1591235000,9625438000,14310198000,-4684760000,584598000,584598000,1349092000,176401000,1104490000,11559128000,13150363000,529328000,281647000,247681000,876363000,377577000,377577000,1783268000,3046587000,4317513000,877485000,877485000,112730000,2032394000,1294904000,7364100000,9147368000,2436389000,2436389000,1579240000,-121544000,3894085000,108910000,4002995000,13150363000,262785000,124407000,150213000,-53178000,484227000,-255989000,50026000,-205963000,-53660000,247558000,276000,194174000,472438000,472438000,472438000,559424000,3922950000,381673000,0.69961,0.38674,0.22702,0.06379,0.01942,1.49465,0.89231,2.28513,0.29831,2.34,2.32438,10.30754,35.68365,3.49748,0.49172,0.02524,0.03117,0.21014,6.00303,7.71978999999999
"8","2012_Q1",31.0114516129032,"Up",667892000,-215512000,452380000,-373665000,-228632000,-107504000,-37529000,78715000,-60793000,-58744000,-2049000,17922000.0000001,8997000,26918999.9999999,-7375000,19544000,19990000,-7426000,12564000,12564000,33583000,33583000,280435000,280435000,226387000,204387000,2.2e+07,290826000,30264000,123525000,956470000,9791687000,14501678000,-4709991000,627643000,627643000,1735218000,170571000,1496014000,12154548000,13111018000,502148000,326987000,175161000,477435000,363122000,363122000,1342705000,3019054000,4818673000,1268910000,1268910000,116805000,1997658000,1435300000,7837727000,9180432000,2439530000,2439530000,1534483000,-152163000,3821850000,108736000,3930586000,13111018000,19990000,123677000,-14251000,75661000,205077000,-241089000,-6626000,-247715000,-55531000,-426712000,-6248000,-488491000,-531129000,-531129000,-531129000,202392000,3496489000,44338999.9999999,0.67733,0.11786,0.01881,0.0032,0.00096,3.52905,0.71235,2.33564,0.26668,0.11505,0.11314,6.11578,34.99606,0.40601,0.50849,0.00556,0.00362,4.41985,17.1099,43.99296
"9","2012_Q2",32.3292063492064,"Up",620631000,-216309000,404322000,-356315000,-210663000,-100109000,-45543000,48007000,-60275000,-56967000,-3308000,-12268000,7907000,-4361000,4645000,284000,-481000,-7776000,-8257000,-8257000,20709999.9999999,20709999.9999999,235501000,235501000,240140000,213290000,26850000,303721000,34617000,118986000,904800000,9889009000,14664913000,-4775904000,659528000,659528000,1730577000,170198000,1491310000,12279114000,13183914000,470847000,265975000,204872000,318308000,368744000,368744000,1157899000,3341198000,4823388000,1277227000,1277227000,113514000,1991617000,1441030000,8164586000,9322485000,2443825000,2443825000,1468869000,-167777000,3744917000,116512000,3861429000,13183914000,-481000,118487000,-37710000,35039000,115335000,-240973000,5874000,-235099000,-55595000,159954000,2532000,106891000,-12873000,-12873000,-12873000,166494000,3659506000,-44085000,0.65147,0.07735,-0.0133,-0.00213999999999999,-0.000629999999999999,5.33911,0.78142,2.41426,0.27757,-0.07555,-0.07555,5.67829,34.26305,-0.40334,0.50865,0.00383,-0.00357,-6.73307,21.85542,75.7972
"10","2012_Q3",35.1971428571429,"Up",878576000,-264723000,613853000,-359364000,-216236000,-100606000,-42522000,254489000,-55492000,-5.3e+07,-2492000,198997000,8622000,207619000,-76689000,130930000,130111000,-7766000,122345000,122345000,11228000,11228000,313420000,313420000,247399000,217222000,30177000,206919000,29991000,88353000,947416000,9953952000,14797820000,-4843868000,653259000,653259000,1659780000,163727000,1426545000,12266991000,13214407000,569025000,316329000,195217000,166962000,368336000,368336000,1104323000,3371412000,4839335000,1243256000,1243256000,111655000,2019517000,1464907000,8210747000,9315070000,2452094000,2452094000,1476259000,-150318000,3778035000,121302000,3899337000,13214407000,130111000,121256000,160905000,-68972000,343300000,-183802000,4179000,-179623000,-55702000,-121324000,3867000,-173159000,-9482000,-9482000,-9482000,375745000,3538374000,199660000,0.69869,0.28966,0.13925,0.03138,0.00926,1.63194,0.85792,2.38889,0.26777,1.1174,1.10861,8.02418,34.50544,1.82353,0.50874,0.0145,0.01626,0.45529,9.38707,13.85972
