"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.7007936507937,"Down",118263000,-73124000,45139000,-54230000,-51637000,-2593000,-9091000,179000,179000,-8912000,-8912000,1726000,-7186000,-7186000,-7186000,-7186000,79351581.9017988,-411688897.958429,223874173.980749,223874173.980749,92824376.6068831,2954206.71279855,396050132.489431,34142511.6096903,-78583238.6255422,167895881.393935,-252113809.841353,-10228350.9883471,-44440727.0158519,351609405.473579,159950249.139309,35619142.5305028,124331106.608806,-1810702.07356912,-1810702.07356912,158139547.06574,-609677341.041064,-609677341.043193,-609677341.041053,-451537793.975313,220565583.82881,689193455.244022,-16217756.0172906,803147199.448892,803147199.448892,351609405.473579,-7186000,2593000,2666000,-8664000,-10591000,-466000,-3222000,-5375115.86397692,3312000,3312000,3346000,-10467000,-10467000,743000,-9724000,-6498000,0,-17354000,0.38168,-0.07687,-0.06076,1.7591170869584,1.39362010679917,2.41497,-1.01014830778464,-1.59434663806905,2.94178002757454e-14,-0.15862,-0.15862,2.61055,18.4845334688836,-0.38307,0.121864533091094,1.71527783679323,1.39711570845203,-329.644022263653,409.830148338179,985.527236433861
"2","2010_Q3",8.723125,"Down",121526000,-75172000,46354000,-46852000,-44243000,-2609000,-498000.000000002,167000,167000,-331000.000000002,-330999.999999998,-1581000,-1912000,-1912000,-1912000,-1912000,111872790.950899,-106290448.979215,139433586.990374,139433586.990374,52277188.3034415,4148603.35639927,303583566.244715,32500755.8048451,88584880.6872289,170212440.696968,-92955904.9206767,-3422675.49417354,121085636.492074,424669202.736789,103337124.569655,22918071.2652514,80419053.3044032,1632148.96321544,1632148.96321544,104969273.53287,-225560670.520532,-225560670.521597,-225560670.520527,-120591396.987656,266622291.914405,427460227.622011,-11192878.0086453,545260599.724446,545260599.724446,424669202.736789,-1912000,2609000,1342000,3055000,5094000,-698000,-24241000,-3986410.57598462,1790000,1790000,1932000,-17215000,-17215000,1183000,-16032000,2111000,0,6049000,0.38143,-0.00409999999999999,-0.01573,0.750018543479201,0.593885053399583,-3.1637,1.58869584610768,-0.476328319034527,1.47089001378727e-14,-0.04199,-0.04199,2.66867,12.2422467344418,0.13283,0.0903396887273959,0.730993918396617,0.616072854226016,-198.308971509102,171.904919169089,417.61922321693
"3","2010_Q4",11.93484375,"Up",125304000,-76949000,48355000,-47613000,-44101000,-3512000,742000,178000,178000,920000,132000,-5097000,-4965000,-4965000,-4965000,-4965000,131204930.316966,61646850.3402618,92728195.6634581,92728195.6634581,28061729.4344805,4641867.78546643,251994855.414905,30866585.2682817,178487960.229076,171688480.232323,-7070968.30689223,272441.501942154,209354545.497358,461349400.912263,69181041.5232182,16482357.0884171,52698684.4348011,3866049.65440515,3866049.65440515,73047091.1776233,-17855223.506844,-17855223.5071989,-17855223.5068422,55191867.6707812,293607763.971468,286228075.874004,-7421959.3362151,406157533.241482,406157533.241482,461349400.912263,-4965000,3512000,6600000,1552000,6699000,-808000,4194000,-3005446.34559077,-2740000,3116000,-2521000,8372000,8372000,-1098000,7274000,4254000,0,10095000,0.3859,0.00592,-0.03962,0.2106128478264,0.166478351133194,-2.03323,3.18908861536923,0.119070560321824,4.90296671262423e-15,-0.10702,-0.10702,2.70081,8.88750224481393,0.21759,0.0677658132364375,0.204671306132206,0.194574284742005,-106.559270905461,41.5735030563631,108.347337738977
"4","2011_Q1",14.003064516129,"Up",133905000,-78523000,55382000,-46330000,-43004000,-3326000,9052000,132000,132000,9184000,7980000,-5666000,2314000,2314000,2314000,2314000,140905000,130659000,73936000,73936000,16380000,4698000,231221000,29354000,212625000,172632000,25846000,1722000,241979000,473200000,52555000,14606000,37949000,5194000,5194000,57749000,62210000,62210000,62210000,119959000,306956000,232034000,-4584000,353241000,353241000,473200000,2314000,3326000,4625000,-3775000,6490000,-1408000,1875000,-2366223.17279539,-1603000,1583000,-1341000,7024000,7024000,-1130000,5894000,12378000,6.61744490042422e-24,12861000,0.41359,0.0676,0.01728,0.00655,0.00489,5.55791,4.0039,0.3396,0,0.04993,0.04993,2.88956,7.62265,0.27753,0.0527829066182188,0.00557,0.03096,-47.5021104527307,-11.3835,-15.56617
"5","2011_Q2",9.8247619047619,"Down",123708000,-74423000,49285000,-44010000,-40875000,-3135000,5275000,128000,128000,5403000,4116000,-2886000,1230000,1230000,1230000,1230000,144530000,139282000,73235000,73235000,13434000,4581000,231199000,28077000,212495000,173351000,26100000,1791000,240572000,471771000,48532000,15583000,32949000,5919000,5919000,54451000,63406000,63406000,63406000,117857000,312101000,231415000,-2358000,353914000,353914000,471771000,1230000,3135000,3760000,-1014000,7111000,-446000,4552000,-2002741.05759846,-3408000,2671000,-3369000,8294000,8294000,329000,8623000,8410000,0,9836000,0.3984,0.04264,0.00994,0.00348,0.00261,7.99675,4.246,0.33301,0,0.02659,0.0265,2.67402,7.65004,0.21261,0.0440309688727396,0.00295,0.02357,-14.2446801509102,-17.18549,-27.39905
"6","2011_Q3",7.76859375,"Down",138534000,-83787000,54747000,-45912000,-42732000,-3180000,8835000,114000,114000,8949000,32649000,-15178000,17471000,17471000,17471000,17471000,146674000,131432000,80262000,80262000,15762000,4566000,242698000,27207000,202256000,174281000,16376000,1489000,229463000,472161000,52192000,17432000,34760000,6546000,6546000,58738000,39616000,39616000,39616000,98354000,315577000,247047000,-304000,373807000,373807000,472161000,17471000,3180000,-11502000,-5103000,4046000,-862000,-10856000,-1849000,-265000,1004000,-1994000,-8804000,-8804000,954000,-7850000,12015000,1.05879118406788e-22,21228000,0.39519,0.06377,0.12611,0.04674,0.037,1.21504,4.13187,0.26311,0,0.3794,0.37748,3.0084,8.11759,0.46099,0.04015,0.04673,0.05135,0.10583,-12.20757,-16.60147
"7","2011_Q4",7.59031746031746,"Down",137607000,-86672000,50935000,-48262000,-45277000,-2985000,2673000,124000,124000,2797000,3036000,-2283000,753000,753000,753000,753000,150894000,145645000,85195000,85195000,19566000,4917000,255655000,26858000,203407000,175730000,16979000,1681000,230265000,485920000,58608000,18447000,40161000,7378000,7378000,65986000,39611000,39611000,39611000,105597000,322818000,245467000,1899000,380323000,380323000,485920000,753000,2985000,1438000,-1253000,3923000,-1382000,8611000,-1839000,2762000,4593000,1241000,13775000,13775000,438000,14213000,5658000,0,5306000,0.37015,0.01942,0.00547,0.00197999999999999,0.00155,7.04648,3.87438,0.27765,1.57772181044202e-30,0.01629,0.01604,2.9769,8.22765,0.11479,0.03978,0.00617,0.01264,2.44223,-26.66914,-56.45118
"8","2012_Q1",9.05387096774194,"Up",145697000,-90189000,55508000,-46691000,-43738000,-2953000,8817000,107000,107000,8924000,12124000,-6723000,5401000,5401000,5401000,5401000,144873000,139624000,87162000,87162000,17839000,5818000,249874000,26389000,200134000,176475000,14400000,1339000,226523000,476397000,60507000,19167000,41340000,6692000,6692000,67199000,36472000,36472000,36472000,103671000,325042000,248983000,3442000,372726000,372726000,476397000,5401000,2953000,452000,2178000,10984000,-1162000,-1431000,-1850000,-14788000,430000.000000001,-16624000,-7071000,-7071000,1050000,-6021000,11770000,1.6940658945086e-21,19509000,0.38098,0.06052,0.03707,0.01449,0.01134,3.61211,3.71842,0.27814,0,0.11752,0.11659,3.17015,8.10997,0.42449,0.04025,0.01772,0.04768,0.34253,-12.30867,-16.4311
"9","2012_Q2",8.98984126984127,"Down",138007000,-85835000,52172000,-45366000,-42609000,-2757000,6806000,88000,88000,6894000,6894000,-4298000,2596000,2596000,2596000,2596000,129817000,124568000,85628000,85628000,15668000,7071000,231113000,25848000,199929000,176763000,15014000,1396000,225777000,456890000,51829000,15633000,36196000,7026000,7026000,58855000,36593000,36593000,36593000,95448000,329059000,249372000,4378000,361442000,361442000,456890000,2596000,2757000,1358000,-5138000,1573000,-1011000,-1011000,-1816000,-14291000,2335000,-16101000,-15539000,-15539000,483000,-15056000,9563000,0,7712000,0.37804,0.04932,0.01881,0.00717999999999999,0.00568,2.97072,3.92682,0.26408,2.52435489670724e-29,0.05747,0.0574,3.05508,8.00128,0.17072,0.0402,0.01108,0.01938,0.69954,-13.57492,-19.07391
"10","2012_Q3",8.74063492063492,"Down",144955000,-90034000,54921000,-45637000,-42980000,-2657000,9284000,65000,65000,9349000,43289000,-17968000,25321000,25321000,25321000,25321000,120663000,109666000,87924000,87924000,19081000,6552000,227668000,24800000,182377000,174775000,1017000,1254000,207177000,434845000,54056000,18105000,35951000,6826000,6826000,60882000,3050000,3050000,3050000,63932000,330541000,272535000,111000,370913000,370913000,434845000,25321000,2657000,-17387000,-5157000,5434000,-648000,-6396000,-2207000,-10873000,34000,-13074000,-14036000,-14036000,-866000,-14902000,11941000,-2.71050543121376e-20,24104000,0.37888,0.06405,0.17468,0.06827,0.05823,0.95194,3.7395,0.17236,0,0.57859,0.57811,3.31227,8.47549,0.55078,0.05043,0.07361,0.06446,0.08716,-10.10493,-12.99688
