"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.77238095238095,"Up",927840000,-600410000,327430000,-241718000,85712000,-38901000,-37495000,-1406000,46811000,46811000,-10298000,36513000,36513000,36513000,36513000,-211191965.412538,-211191965.412538,320153494.728167,320153494.728167,612725227.458749,285790553.12694,889722605.473174,1007477309.90132,702139964.302043,702139964.302043,1237285540.78448,298943167.719527,666770391.137354,-92451876.9769251,1939425505.08652,2946902814.98784,237995406.781292,237995406.781292,-113748355.486666,37259282.3178195,37259282.3178204,161506333.612445,2097122183.21901,451234253.845273,-882452800.047466,2548356437.06428,2709862770.67672,254387784.529577,241472267.900087,-258299421.9545,237560630.475164,237040044.311115,2946902814.98784,36513000,22836000,13603000,-111914000,-38962000,12164000,11645000,-58368000,89049000,30717000,3400000,3400000,277000,3677000,108548000,0,19096000,0.35289,0.09238,0.03935,0.170221065749375,0.0131477563039802,0.52299,3.14916083071578,8.82993473176753,0.648795107552371,0.09476,0.09363,2.40807,0.616035475263017,0.04956,0.0154364708716588,0.0188181426154049,55.1064650755433,87.7143869311393
"2","2010_Q3",4.326875,"Down",1075852000,-701046000,374806000,-252001000,122805000,-39201000,-36573000,-2628000,83604000,83604000,1808000,85412000,85412000,85412000,85412000,36797000,36797000,512801000,512801000,1295621000,271945000,510530389.585693,2117164000,595687000,595687000,900870000,131432000,322002000,447436000,1496557000,3613721000,460339000,460339000,164944000,267266000,267266000,892549000,1868672000,390217000,390217000,2258889000,3151438000,294783000,390730000,-223230000,462283000,462283000,3613721000,85412000,19893000,2930000,-133545000,-25310000,-25067000,-25067000,-16332000.0000001,60478000,45530000,-4847000,-4847000,-976000,-5823000,142698000,2033616000,-17722000,0.34838,0.11415,0.07939,0.18476,0.02364,-0.20749,2.37204,6.81712,0.56275,0.22144,0.21773,2.78932,1.19854,-0.04595,0.02959,-0.00614,13.99332,16.26008
"3","2010_Q4",4.484375,"Up",1173362000,-809487000,363875000,-249815000,114060000,-37420000,-36326000,-1094000,76640000,76640000,-15328000,61312000,61312000,61312000,61312000,75496000,75496000,531360000,531360000,1377286000,270870000,266391521.094635,2255012000,596458000,596458000,903823000,129079000,322002000,452742000,1500281000,3755293000,461879000,461879000,192651000,303130000,303130000,957660000,1871672000,387434000,387434000,2259106000,3216766000,299888000,452043000,-213404000,538527000,538527000,3755293000,61312000,20549000,7359000,-62022000,27198000,-20198000,-20198000,-11564000,40517000,30970000,37970000,37970000,729000,38699000,134609000,2064323000,67717000,0.31011,0.09721,0.05225,0.11385,0.01633,1.10447,2.35471,5.97327,0.54971,0.15884,0.15672,3.03983,1.39516,0.17543,0.0205,0.02265,14.77484,17.43667
"4","2011_Q1",4.28177419354839,"Down",968958000,-659231000,309727000,-251439000,58288000,-54842000,-39749000,-15093000,3445999.99999999,3445999.99999999,5929000,9375000,28056000,28056000,28056000,43671000,43671000,503243000,503243000,1322719000,278038000,128607000,2147671000,631254000,631254000,1011077000,178622000,430144000,319798000,1642331000,3790002000,412369000,412369000,140678000,276303000,276303000,829350000,1990735000,407243000,105354000,2397978000,3227328000,295791000,480098000,-213215000,562674000,562674000,3790002000,28056000,23334000,55043000,63695000,170128000,-27497000,-250375000,800961000,-754994000,48468000,-31779000,-31779000,-46000,-31825000,81622000,2131413000,111891000,0.31965,0.06016,0.02895,0.04986,0.0074,3.98813,2.58958,5.7357,0.56238,0.0725,0.07177,2.50379,1.45395,0.28913,0.00905,0.03608,25.57818,35.8177
"5","2011_Q2",5.03142857142857,"Up",1036410000,-681885000,354525000,-252682000,101843000,-41706000,-41105000,-601000,60137000,60137000,-12028000,48109000,48109000,48109000,48109000,64804000,64804000,547121000,547121000,1541730000,280787000,68477826.3017884,2434442000,633132000,633132000,1009355000,176594000,430144000,402617000,1642487000,4076929000,471432000,471432000,171767000,299921000,299921000,943120000,2095735000,417951000,417951000,2513686000,3456806000,300131000,528208000,-208216000,620123000,620123000,4076929000,48109000,21687000,10813000,-181644000,-101035000,-13330000,-13330000,41290000,91270000,134985000,20620000,20620000,513000,21133000,123530000,2267502000,-59416000,0.34207,0.09827,0.04642,0.07758,0.0118,-1.23503,2.58126,5.57439,0.55618,0.12374,0.12199,2.66583,1.59507,-0.15283,0.01455,-0.01797,17.83128,21.62837
"6","2011_Q3",4.80734375,"Down",1111626000,-715169000,396457000,-270386000,126071000,-39937000,-39123000,-814000,86134000,86134000,-15516000,70618000,86782000,86782000,86782000,44655000,44655000,612178000,612178000,1640231000,204665000,57305000,2501729000,635612000,635612000,1017435000,176531000,432903000,408001000,1653047000,4154776000,563641000,563641000,242066000,267341000,267341000,1073048000,1998235000,425693000,425693000,2423928000,3496976000,246679000,614988000,-203867000,657800000,657800000,4154776000,86782000,22448000,7558000,-84006000,32782000,-22210000,-31364000,-122553000,95132000,-21784000,-20366000,-20366000,217000,-20149000,148519000,2240301000,57819000,0.35665,0.11341,0.07807,0.13193,0.02089,0.66626,2.33142,5.31617,0.53921,0.22243,0.21856,2.84921,1.68601,0.1482,0.02611,0.0174,14.7836,17.41595
"7","2011_Q4",4.20698412698413,"Down",1185304000,-771251000,414053000,-269109000,144944000,-39135000,-38255000,-880000,105809000,105809000,-20739000,85070000,90832000,90832000,90832000,47997000,47997000,589439000,589439000,1726372000,211051000,64694000,2574859000,636409000,636409000,1007312000,173156000,432671000,401485000,1643721000,4218580000,505884000,505884000,209111000,322588000,322588000,1037583000,2005735000,425021000,425021000,2430756000,3468339000,258853000,705820000,-214432000,750241000,750241000,4218580000,90832000,22433000,7227000,-79113000,41379000,-20545000,-20545000,-65061000,40630000,-15709000,5125000,5125000,-1783000,3342000,167377000,2214846000,88458000,0.34932,0.12228,0.07663,0.12107,0.02153,0.97386,2.48159,4.62297,0.52502,0.23184,0.22766,3.02543,1.91495,0.22578,0.02679,0.02609,12.94592,14.94956
"8","2012_Q1",4.53741935483871,"Up",1100951000,-772778000,328173000,-253904000,74269000,-41797000,-37715000,-4082000,32472000,32472000,6300000,38772000,40965000,40965000,40965000,35345000,35345000,470713000,470713000,1607555000,217178000,62511000,2330791000,635406000,635406000,1068472000,169675000,433396000,394220000,1703878000,4034669000,451525000,451525000,230008000,252186000,252186000,933719000,1807777000,612112000,126424000,2419889000,3353608000,270046487.469003,734180994.148272,-273837914.125121,730389567.492154,681061000,4034669000,40965000,24157000,19140000,116090000,200352000,-20394000,-20394000,-30903000,-161949000,-192532000,-12574000,-12574000,-78000.0000000005,-12652000,98426000,2037785000,187822000,0.29808,0.06746,0.03721,0.06015,0.01015,4.58494,2.49624,4.92409,0.50507,0.10433,0.10303,2.80388,1.85775437939044,0.47834,0.0123,0.05639,20.34462,26.96199
"9","2012_Q2",4.73206349206349,"Up",973133000,-718019000,255114000,-244469000,10645000,-37640000,-36995000,-645000,-26995000,-26995000,2724000,-24271000,-26830000,-26830000,-26830000,34600000,34600000,524745000,524745000,1619242000,208967000,55074000,2387554000,623872000,623872000,1064786000,167133000,433473000,396065000,1688658000,4076212000,401476000,401476000,205018000,269039000,269039000,875533000,1935777000,607157000,118271000,2542934000,3418467000,268516000,719956000,-330727000,657745000,657745000,4076212000,-26830000,23330000,3914000,-94529000,-94115000,-9016000,-9016000,46089000,55732000,102144000,-987000,-987000,242000,-745000,33975000,2140795000,-72294000,0.26216,0.01094,-0.02757,-0.04079,-0.00658,2.69452,2.72697,5.19725,0.52519,-0.06807,-0.06807,2.46905,1.66884,-0.18343,-0.00788,-0.02123,61.99249,197.85768
"10","2012_Q3",5.36079365079365,"Up",1180651000,-813719000,366932000,-246981000,119951000,-37422000,-36611000,-811000,82529000,82529000,-15213000,67316000,1230999.99999999,1230999.99999999,1230999.99999999,29662000,29662000,585979000,585979000,1435850000,204037000,49530000,2255528000,612515000,612515000,1018013000,125082000,433033000,394729000,1630528000,3886056000,394978000,394978000,364891000,203574000,203574000,963443000,1660685000,604170000,119641000,2264855000,3228298000,271304000,721187000,-334733000,657758000,657758000,3886056000,1230999.99999999,23719000,70714000,11191000,106855000,-9989000,2914000,-161645000,47479000,-113758000,-3988999.99999999,-3988999.99999999,-949000,-4938000,143670000,2025576000,160085000,0.31079,0.1016,0.00104,0.00187,0.00032,130.04468,2.34111,4.90803,0.52124,0.00312,0.00308,2.99436,1.6682,0.40601,0.00037,0.04869,13.89235,16.63941
