"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",3.61507936507937,"Down",2404467,-1304721,1099746,-1216148,-1107450,-108698,-116402,-5322,-5322,-121724,-121724,9099,-112625,-112625,-112625,-112625,-9832481.74980211,-9832481.74980211,14715548.9831785,14715548.9831785,-13929423.0204309,118725.374258621,211762.900561599,-8927630.41279589,1229657.96210176,1451850.85018524,1451850.85018524,2681508.812287,-6246121.60050889,-11248299.8089936,-11538275.3005151,289975.491521455,-11248654.9699259,-11243360.8145854,10034372.8305413,-4494341.25233657,4997239.21407651,4997239.21407651,-6246121.60050889,-112625,87587,9699,-59072,-74411,-16094,-16094,-90505,-90505,-77764,-28815,0,-113080,0.45738,-0.04841,-0.04684,-0.808273942228907,-0.699737495955137,1.00404,43.1816434027616,-1.01751425172323,-5.19787016596508e-19,-0.03891,-0.03891,0.83062,2.24975036071111,-0.03906,-0.80827331175573,-1.16381521432853,7362.5337135279,-46167.3868014522
"2","2011_Q3",3.4603125,"Down",2914447,-1485596,1428851,-1389528,-1276286,-113242,39323,5156,5156,44478.9999999999,44478.9999999999,-3587,40891.9999999999,40891.9999999999,40891.9999999999,40891.9999999999,-2462106.87490106,-2462106.87490106,7147185.49158926,7147185.49158926,-3829850.01021546,158125.187129311,201927.450280799,1013353.79360206,1197328.98105088,1417763.92509262,1417763.92509262,2615092.9061435,3628446.69974556,-4197878.9044968,-4680173.15025753,482294.245760728,-4198056.48496294,-4195409.4072927,9959929.91527066,-1789694.12616829,7823856.10703825,7823856.10703825,3628446.69974556,40891.9999999999,85424,9479,-365105,-229310,-14823,-14823,-244133,-244133,-260374,124747,0,-251594,0.49026,0.01349,0.01403,-0.347011971114453,-0.300233747977569,-6.15265,22.6333367013808,-0.372732125861616,-2.59893508298254e-19,0.01413,0.01413,1.00679,2.91354018035556,-0.08691,-0.347011655877865,-0.453507607164265,3087.77216176395,-19287.3929857261
"3","2011_Q4",3.49571428571429,"Up",2920121,-1611615,1308506,-1492606,-1294072,-198534,-184100,-3806,-3806,-187906,-187906,-3934,-191840,-191840,-191840,-191840,1392000.70836632,1392000.70836632,3204522.16386309,3204522.16386309,1788325.99659485,170718.062376437,185328.1500936,6555566.93120069,1245537.66035029,1383674.64169754,1383674.64169754,2629212.30204783,9184779.23324852,-249722.634832268,-817476.050085844,567753.415253576,-249781.828320981,-248899.469097566,9931154.97175689,-246921.042056096,9433678.70234608,9433678.70234608,9184779.23324852,-191840,84980,9271,-554477,-652066,-119077,-119077,-769113,-769113,-773413,-99120,0,-768740,0.4481,-0.06305,-0.0657,-0.0950206570381512,-0.0820879159925229,4.00719,11.1200322337936,-0.0120807086205386,-8.66311694327513e-20,-0.06627,-0.06627,1.0087,3.31162339345185,-0.26555,-0.0950205519592884,-0.0964725357214217,821.05459725465,-5188.4736419087
"4","2012_Q1",3.3641935483871,"Down",3253824,-1485275,1768549,-1703052,-1619275,-83777,65497,-4070,-4070,61427,61427,-3237,58190,58190,58190,58190,2760506,2760506,1831811,1831811,4146408,166779,166779,8905504,1334175,1349583,1349583,2683758,11589262,1431954,841416,590538,1431954,1431954,9943910,439979,10157308,10157308,11589262,58190,82698,175868,79602,396358,-77626,-73622,322736,322736,326071,148195,-6.3108872417681e-30,153408,0.54353,0.02013,0.01788,0.00573,0.00502,2.63633,6.21913,0.14098,0,0.0201,0.0201,1.1237,3.50779,0.05298,0.00573,0.0151,-18.62752,-42.14706
"5","2012_Q2",3.42539682539683,"Up",3471485,-1763581,1707904,-1573741,-1512190,-61551,134163,9438,9438,143601,143601,-6573,137028,137028,137028,137028,2674074,2674074,1973304,1973304,4465699,156583,151094,9269660,1423132,1315489,1315489,2738621,12008281,1682936,1088103,594833,1682936,1682936,9994057,577007,10325345,10325345,12008281,137028,83547,44933,-204001,61507,-133633,-133633,-72126,-72126,-86432,217710,0,-113351,0.49198,0.03865,0.03947,0.01327,0.01141,-0.82721,5.50803,0.16299,0,0.04732,0.04618,1.19887,3.56583,-0.03915,0.01327,-0.01098,-12.28273,-19.9315300000003
"6","2012_Q3",3.46984126984127,"Up",3476225,-2009687,1466538,-1564833,-1520528,-44305,-98295,16692,16692,-81603,-81603,3427,-78176,-78176,-78176,-78176,2320388,2320388,2340836,2340836,4151588,144872,135260,8957684,1464568,1281394,1281394,2745962,11703646,1393450,734706,658744,1393450,1393450,10083217,498831,10310196,10310196,11703646,-78176,85198,36760,-347559,-303777,-80175,-80175,-344352,-344352,-353686,-13097,5.04870979341448e-29,-444258,0.42188,-0.02828,-0.02249,-0.00758,-0.00668,5.68279,6.42842,0.13515,0,-0.02699,-0.02674,1.20017,3.55961,-0.15338,-0.00758,-0.04309,177.16943,23.60637
"7","2012_Q4",3.0358064516129,"Down",3156497,-1616534,1539963,-1540660,-1448818,-91842,-697,6901,6901,6204,6204,6417,12621,12621,12621,12621,2730113,2730113,1878659,1878659,4425378,141921,124091,9176071,1418374,1247298,1247298,2665672,11841743,1399281,572825,826456,1399281,1399281,10207252,511452,10442462,10442462,11841743,12621,87978,49571,204845,355015,-8125,-8125,421354,421354,409725,87281,0,277584,0.48787,-0.00022,0.004,0.00121,0.00107,21.99382,6.5577,0.134,2.40741243048404e-35,0.00429,0.00432,1.07396,3.55292,0.09444,0.00121,0.02658,-31.27958,3916.94835
"8","2013_Q1",2.982,"Down",4332815,-2704584,1628231,-1606118,-1485823,-120295,22113,4229,4229,26342,26342,-20394,5947.99999999999,5948,5948,5948,2776817,2776817,2493889,2493889,3975600,194269,186489,9440575,1372136,1213204,1213204,2585340,12025915,1534674,770586,764088,1534674,1542174,10279636,517400,10483741,10483741,12025915,5947.99999999999,87830,48984,-92109,50653,-7932,-6187,67866,67866,46703.9999999999,109943,8.07793566946316e-28,30295.9999999999,0.37579,0.0051,0.00136999999999999,0.00057,0.00049,5.09348,6.15152,0.1471,0,0.00199,0.00201,1.44908,3.50621,0.01013,0.00057,0.00289,-25.25688,-125.57396
"9","2013_Q2",2.89859375,"Down",3680665,-1806717,1873948,-1748124,-1632815,-115309,125824,512,512,126336,126336,-6188,120148,120148,120148,120148,3068779,3068779,2410959,2410959,3952438,177449,170928,9609625,1374335,1179254,1179254,2553589,12163214,1517811,718903,798908,1517811,1525311,10302277,637548,10637903,10637903,12163214,120148,86649,22641,118021,347459,-55189,-55189,292270,292270,291962,212473,0,281493,0.50913,0.03419,0.03264,0.01129,0.00988,2.34289,6.33124,0.14338,0,0.04017,0.03998,1.23062,3.55674,0.09412,0.01129,0.02644,-14.44315,-24.3894599999997
"10","2013_Q3",2.675,"Down",2702259,-1160031,1542228,-1655283,-1523918,-131365,-113055,7915,7915,-105140,-105140,536,-104604,-104604,-104604,-104604,2662321,2662321,2107730,2107730,4422475,161678,138196,9354204,1408429,1145595,1145595,2554024,11908228,1346898,591773,755125,1346898,1354398,10324738,532944,10553830,10553830,11908228,-104604,86993,22461,-317001,-312151,-87428,-87428,-399579,-399579,-406458,-26062,1.29246970711411e-26,-431027,0.57072,-0.04184,-0.03871,-0.00991,-0.00878,4.12056,6.945,0.12833,0,-0.03497,-0.03484,0.90349,3.52864,-0.14411,-0.0099,-0.04081,102.15337,23.5489
