"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","sale_of_investments_unrealized_investments","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",2.99285714285714,"Down",9363893,-7656490,1707403,-1636505,-1636505,70898,5780,5780,76678,-3004,-3004,73674,-33000,40674,40674,-19112,21562,21562,-19993143.3536866,-41928445.0113888,21935301.6577022,26404429.8596586,26404429.8596586,5632866.27306881,-343979.912477168,12044152.7790407,-19634.3177986041,65534.8924032176,15881.892409029,49653,45900.5746046135,12090053.3536453,-402831.948494066,3625031.92466764,-4027863.87715286,714376.173307101,714376.173307101,311544.224813036,311544.224813036,5134010,31142,5102868,-15509781.0508224,21685689.1949801,11309918.1441578,468590.984674532,11778509.1288323,12090053.3536453,40674,1525,4004,1000,3004,-9602,-430059,420457,36601,-1601383,-3500,-29226,-1594008,-1594008,-1594008,72423,0,0.18234,0.00757,0.0023,0.157773530034267,0.117339033620637,6.23236844515468,0.0543971068309686,-2.25088748341193e-21,0.01068,0.01068,4.63769,6.39195095851667,0.157773530034267,-1587.9659676695,-1657.64944104267
"2","2011_Q3",2.7746875,"Down",9756983,-7853945,1903038,-1611636,-1611636,291402,5459,5459,296861,2794,2794,299655,-124000,175655,175655,-25244,150411,150411,-4836581.67684332,-16430530.5056944,11593948.8288511,16530070.9298293,16530070.9298293,2920957.1365344,-108301.956238584,14614446.3895204,-2657.15889930207,86593.9462016088,36940.9462045145,49653,83936.7873023067,14698383.1768227,1254010.52575297,1896564.96233382,-642554.438576431,1201091.58665355,1201091.58665355,2455102.11240652,2455102.11240652,5134010,31142,5102868,-14234865.0254112,21139396.5974901,12038541.5720789,204739.492337266,12243281.0644161,14698383.1768227,175655,1526,-794,2000,-2794,-1498079,-1455751,-42328,-1321692,499503,-3500,-3500,-825689,-825689,-825689,292928,0,0.19504,0.02987,0.01542,0.0732267650171335,0.0544945168103186,4.98509922257734,0.208063553415484,-1.12544374170596e-21,0.07449,0.07449,4.83238,6.30721547925834,0.0732267650171335,-628.583903834751,-657.937835521336
"3","2011_Q4",2.48285714285714,"Down",9377193,-7743291,1633902,-1717039,-1717039,-83137,4714,4714,-78423,250,250,-78173,17000,-61173,-61173,-5647,-66820,-66820,3815532.10771889,-1891345.50189814,5706877.60961703,11117680.3099431,11117680.3099431,1271964.3788448,13671.347920472,16205176.7965068,8982.94703356598,97299.9820672029,47646.9820681715,49653,106282.929100769,16311459.7256076,2304775.17525099,1101938.65411127,1202836.52047452,1439518.86221785,1439518.86221785,3744294.03746884,3744294.03746884,5134010,31142,5102868,-13544188.0084704,20899926.1991634,12489748.190693,77417.4974457554,12567165.6881387,16311459.7256076,-61173,1911,750,1000,-250,-65381,-81629,16248,-123893,-154637,-42468,-42482,-321012,-321012,-321012,-81226,0,0.17424,-0.00887,-0.00713,0.0267155883390445,0.0198948389367729,4.24450307419245,0.299211184471828,-3.75147913901988e-22,-0.03309,-0.03309,4.64428,6.28399849308611,0.0267155883390445,-166.471057944917,-174.577491840445
"4","2012_Q1",2.71209677419355,"Up",10844300,-8898040,1946260,-1743333,-1743333,202927,3990,3990,206917,832,832,207749,-102000,105749,105749,-13810,91939,91939,7662396,4645854,3016542,8926842,8926842,435080,57781,17024318,16249,100653,51000,49653,116902,17141220,2878587,943082,1935505,1507439,1507439,4386026,4386026,5134010,31142,5102868,-13279263,20858282,12713029,42165,12755194,17141220,105749,3510,3168,4000,-832,470626,-446681,917307,583053,991073,7.27595761418343e-12,7.27595761418343e-12,1574126,1574126,1574126,206437,0,0.17947,0.01871,0.00848,0.00721,0.00536,3.88149,0.34386,0,0.04554,0.04554,5.3709,6.29643,0.00721,-37.11736,-37.75937
"5","2012_Q2",2.63142857142857,"Down",11373095,-9462631,1910464,-1802279,-1802279,108185,3762,3762,111947,-1904,-1904,110043,-47000,63043,63043,-15857,47186,47186,8403208,6137812,2265396,8717140,8717140,159496,59868,17279844,20104,99653,50000,49653,119757,17399601,3104571,1121924,1982647,1482633,1482633,4587204,4587204,5134010,31142,5102868,-13281603,20905468,12757875,54522,12812397,17399601,63043,2365,2904,1000,1904,436464,210062,226402,504776,993022,-3500,-5840,1491958,1491958,1491958,110550,0,0.16798,0.00951,0.00415,0.00368,0.00271,3.76697,0.35803,0,0.02337,0.02337,5.6328,6.31864,0.00368,-76.01274,-77.67443
"6","2012_Q3",2.38936507936508,"Down",11115015,-9224544,1890471,-1814621,-1814621,75850,3150,3150,79000,3824,3824,82824,-44000,38824,38824,-7121,31703,31703,7840325,5570865,2269460,9129081,9129081,195706,67197,17165112,21406,97653,48000,49653,119059,17284171,3074809,1299265,1775544,1463377,1463377,4538186,4538186,5134010,31142,5102868,-13383339,20937171,12687842,58143,12745985,17284171,38824,2688,-1824,2000,-3824,-497169,-411622,-85546.9999999999,-457481,-4229.99999999988,-3500,-105236,-566947,-566947,-566947,78538,0,0.17008,0.00682,0.00285,0.00249,0.00183,3.78237,0.35605,0,0.01582,0.01582,5.54647,6.33132,0.00249,-99.82843,-103.36618
"7","2012_Q4",2.80290322580645,"Up",11092779,-9371592,1721187,-1860760,-1860760,-139573,2872,2872,-136701,1576,1576,-135125,53000,-82125,-82125,-10651,-92776,-92776,7672945,5901757,1771188,8922249,8922249,292902,115609,16888096,21118,97653,48000,49653,118771,17006867,2918426,1177034,1741392,1527452,1527452,4445878,4445878,5134010,31142,5102868,-13425984,20844395,12552421,8567.99999999999,12560989,17006867,-82125,2423,-1576,0,-1576,17328,205476,-188148,-63950,497713,-60226,-102871,330892,330892,330892,-137150,0,0.15516,-0.01258,-0.00836,-0.00739,-0.00546,3.7986,0.35394,9.4039548065783e-38,-0.04663,-0.04663,5.57501,6.3086,-0.00739,55.94564,54.97442
"8","2013_Q1",2.85383333333333,"Up",11634542,-9692345,1942197,-1988842,-1988842,-46644.9999999999,2389,2389,-44256,-832,-832,-45088,13000,-32088,-32088,-16203,-48291,-48291,8035421,7514749,520672,8731411,8731411,280260,97742,17047092,20819,96653,47000,49653,117472,17164564,3162620,1121509,2041111,1482652,1482652,4645272,4645272,5134010,31142,5102868,-13432092,20796104,12498022,21270,12519292,17164564,-32088,2863,1832,1000,832,402874,189276,213598,375481,1247120,-3501,-9609.00000000003,1612992,1612992,1612992,-43782,0,0.16693,-0.00401,-0.00415,-0.00386,-0.00281,3.66977,0.37105,0,-0.02434,-0.02434,5.86327,6.29842,-0.00386,183.53252,172.26757
"9","2013_Q2",2.79890625,"Down",11288445,-9438746,1849699,-1962826,-1962826,-113127,3063,3063,-110064,-808,-808,-110872,37000,-73872,-73872,-19562,-93434,-93434,8202985,4945854,3257131,8592253,8592253,319785,97687,17115023,18122,95653,46000,49653,113775,17228798,3335797,1204797,2131000,1467652,1467652,4803449,4803449,5134010,31142,5102868,-13448663,20702670,12388017,37332,12425349,17228798,-73872,2697,1808,1000,808,257810,138998,118812,188443,-2737267,-3500,-20071,-2568895,-2568895,-2568895,-110430,0,0.16386,-0.01002,-0.00828,-0.00752,-0.00542,3.56307,0.38658,1.50463276905253e-36,-0.04716,-0.04716,5.69735,6.25231,-0.00752,74.28221,72.51129
"10","2013_Q3",2.699375,"Down",10560273,-8805261,1755012,-2013724,-2013724,-258712,2644,2644,-256068,-4212,-4212,-260280,79000,-181280,-181280,-1189,-182469,-182469,4548046,1295127,3252919,8732048,8732048,411443,100345,13691537,15426,93653,44000,49653,109079,13800616,3022288,1241306,1780982,1507852,1507852,4530140,4530140,5134010,31142,5102868,-13448663,17550108,9235455,35021,9270476,13800616,-181280,2696,6212,2000,4212,-504762,-135846,-368916,-677134,4.65661287307739e-10,-2973593,-2973593,-3650727,-3650727,-3650727,-256016,0,0.16619,-0.0245,-0.01728,-0.01968,-0.01322,3.02232,0.48866,0,-0.09215,-0.09215,5.3333,4.66423,-0.01968,17.76469,17.57957
"11","2013_Q4",3.02796875,"Up",10515070,-8874490,1640580,-2017746,-2017746,-377166,5687,5687,-371479,1052,1052,-370427,116000,-254427,-254427,-460,-254887,-254887,4489153,2483449,2005704,8050864,8050864,508721,92247,13048738,18192,93653,44000,49653,111845,13160583,2785591,1051867,1733724,1462852,1462852,4248443,4248443,5134010,31142,5102868,-13514003,17295221,8915228,-3088,8912140,13160583,-254427,3538,-1052,0,-1052,302209,682565,-380356,50268,1241963,-38569,-103909,1188322,1188322,1188322,-373628,0,0.15602,-0.03587,-0.02424,-0.0286,-0.01937,3.07142,0.4767,2.40741243048404e-35,-0.12988,-0.12988,5.3581,4.54288,-0.0286,12.01503,11.90233
"12","2014_Q1",2.84016393442623,"Down",12549861,-10430194,2119667,-2086417,-2086417,33249.9999999999,2439,2439,35689,2720,2720,38408.9999999999,-18000,20409,20409,-9747,10662,10662,3889585,1881161,2008424,9151299,9151299,365505,70926,13406389,16784,195653,146000,49653,212437,13618826,3241234,852228,2389006,1448255,1448255,4689489,4689489,5134010,31142,5102868,-13514003,17305883,8925890,3447,8929337,13618826,20409,3267,-104720,-102000,-2720,-516173,-1103331,587158,-597217,-1859,-3212.00000000047,-3212,-602288,-602288,-602288,36517,4.03896783473158e-28,0.1689,0.00265,0.00085,0.00119,0.00078,2.85882,0.52518,0,0.00542999999999999,0.00542999999999999,6.39626,4.54924,0.00119,-106.51436,-116.98
"13","2014_Q2",2.71587301587302,"Down",12086697,-9988849,2097848,-2039429,-2039429,58419,1704,1704,60123,-1840,-1840,58283,-20000,38283,38283,-27365,10918,10918,3416874,1656290,1760584,9239671,9239671,638271,97572,13294816,17260,181653,132000,49653,198913,13493729,3104507,857889,2246618,1424814,1424814,4529321,4529321,5134010,31142,5102868,-13514003,17316801,8936808,27600,8964408,13493729,38283,3377,15840,14000,1840,-272306,-91981,-180325,-214806,-6853,-3212,-3212,-224871,-224871,-224871,61796,0,0.17357,0.00483,9e-04,0.00122,0.00081,2.93528,0.50526,-1.92592994438724e-34,0.00556,0.00556,6.1602,4.5548,0.00122,-55.2928,-58.48909
"14","2014_Q3",2.7215625,"Up",12166435,-10100751,2065684,-1979938,-1979938,85746,1429,1429,87175,1488,1488,88663,-36000,52663,52663,-20460,32203,32203,3562833,1802761,1760072,9074014,9074014,385738,99039,13022585,13883,155653,106000,49653,169536,13192121,2676506,865644,1810862,1501564,1501564,4178070,4178070,5134010,31142,5102868,-13514003,17349004,8969011,45040,9014051,13192121,52663,3377,24512,26000,-1488,-182061,167298,-349359,-101509,251000,-3019.99999999997,-3019.99999999997,146471,146471,146471,89123,0,0.16979,0.00705,0.00265,0.00357,0.00244,3.11689,0.46351,0,0.01641,0.01641,6.20084,4.57122,0.00357,-39.97658,-41.55101
"15","2014_Q4",2.90484375,"Up",12127753,-10198570,1929183,-2118170,-2118170,-188987,1493,1493,-187494,736,736,-186758,122000,-64758,-64758,-25867,-90625,-90625,4171007,2658199,1512808,8804865,8804865,282992,88833,13258864,35829,180653,131000,49653,216482,13475346,3108915,1115562,1993353,1437053,1437053,4545968,4545968,5134010,31142,5102868,-13514003,17258379,8878386,50992,8929378,13475346,-64758,5939,-25736,-25000,-736,739793,270485,469308,655238,220115,-19915,-19915,855438,855438,855438,-183048,0,0.15907,-0.01558,-0.00747,-0.01015,-0.00673,2.91662,0.5091,0,-0.04619,-0.04619,6.18113,4.52503,-0.01015,22.78641,22.07034
"16","2015_Q1",3.8155737704918,"Up",13148982,-10963468,2185514,-2115524,-2115524,69990.0000000001,1662,1662,71652,2048,2048,73700,-83000,-9300,-9300,-29132,-38432,-38432,4356823,2841967,1514856,8799668,8799668,192347,74188,13348838,34095,179653,130000,49653,213748,13562586,3150562,929404,2221158,1491946,1491946,4642508,4642508,5134010,31142,5102868,-13514003,17219947,8839954,80124,8920078,13562586,-9300,3030,-1048.00000000001,999.999999999993,-2048,192382,10143,182239,185064,-1296,0,0,183768,183768,183768,73019.9999999999,-1.03397576569128e-25,0.16621,0.00532000000000001,-0.00292,-0.00431,-0.00283,2.87535,0.52046,0,-0.01959,-0.01959,6.70161,4.50544,-0.00431,-59.66616,-62.24922
"17","2015_Q2",3.51238095238095,"Down",13685813,-11386634,2299179,-2226412,-2226412,72767,1654,1654,74421,6080,6080,80501,-34000,46501,46501,-21909,24592,24592,5729649,4210713,1518936,7835526,7835526,162037,37680,13727212,36627,155653,106000,49653,192280,13919492,3478153,1284409,2193744,1476657,1476657,4954810,4954810,5134010,31142,5102868,-13514003,17244539,8864546,100136,8964682,13919492,46501,4809,17920,24000,-6080,1306754,961317,345437,1375984,-5341,-1897,-1897,1368746,1368746,1368746,77576,0,0.168,0.00532,0.0018,0.00274,0.00177,2.77048,0.5527,4.93038065763132e-32,0.01253,0.01253,6.97522,4.51797,0.00274,-73.85853,-78.73966
"18","2015_Q3",3.59109375,"Up",14533801,-12079456,2454345,-2179677,-2179677,274668,1237,1237,275905,1864,1864,277769,-110000,167769,167769,-26786,140983,140983,4941358,3669790,1271568,8757242,8757242,236096,116096,13934696,38931,77653,28000,49653,116584,14051280,3516824,1129105,2383842,1431522,1431522,4948346,4948346,5134010,31142,5102868,-13514003,17412658,9032665,70269,9102934,14051280,167769,4676,95136,97000,-1864,-961974,-678390,-283584,-694393,495004,-1897,-1897,-201286,-201286,-201286,279344,-1.65436122510606e-24,0.16887,0.0189,0.0097,0.01549,0.01003,2.81603,0.5436,0,0.07185,0.07185,7.40741,4.60366,0.01549,-17.68915,-17.99029
