"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.2434920634921,"Up",707013000,-493311000,213702000,-150101000,-132890000,-17211000,63601000,-9443000,-9527000,54158000,54158000,-18129000,36029000,36553000,35321000,35321000,46783000,46783000,550830000,363667000,93245000,1054525000,330201000,2596458000,472398000,2067836000,56224000,2926659000,3981184000,300529000,229502000,173207000,173207000,477518000,862351000,529259000,262363000,145777000,121119000,1391610000,1869128000,491576000,1518726000,-11801000,1998501000,2112056000,3981184000,36553000,21310000,6258000,-74434000,-10313000,-11932000,0,-11640000,-18837000,60501000,-1938000,415413276.28884,40706000,18753000,18753000,-5366000,13387000,84911000,866133000,16674000,0.30226,0.08996,0.04996,0.01672,0.00887,0.47207,2.20835,0.88498,0.21756,0.24198,0.23824,4.84366,13.69149,0.11423,0.12905,0.01544,0.00475,0.53331,9.64952,12.88266
"2","2010_Q3",17.2384375,"Down",796167000,-547999000,248168000,-148042000,-131043000,-16999000,100126000,-7194000,-8569000,92932000,92932000,-31320000,61612000,62205000,61081000,61081000,38580000,38580000,475679000,389428000,91936000,995623000,318124000,2538953000,451806000,2033064000,54083000,2857077000,3852700000,349330000,248679000,173915000,173915000,525728000,734472000,500685000,242961000,139977000,117747000,1235157000,1760885000,496574000,1560944000,-77013000,1980505000,2091815000,3852700000,62205000,20923000,-8395000,91994000,166727000,-16762000,0,-18340000,-18863000,-129107000,1121000,122283425.429613,-146557000,1830000,1830000,-10033000,-8202999.99999999,121049000,736955000,227601000,0.3117,0.12576,0.07672,0.0292,0.01585,3.72622,1.8938,0.8418,0.19128,0.41802,0.4131,5.44877,13.5541,1.55765,0.12909,0.02401,0.06836,0.30882,5.76936,6.97496
"3","2010_Q4",18.2609375,"Up",773735000,-537193000,236542000,-145719000,-128854000,-16865000,90823000,-8606000,-8953000,82217000,82217000,-26488000,55729000,56278000,55050000,55050000,56995000,56995000,490221000,410072000,99546000,1056834000,327602000,2588322000,461378000,2070911000,56033000,2915924000,3972758000,368467000,266416000,199860000,199860000,572544000,673265000,513279000,247969000,147772000,117538000,1186544000,1759088000,505521000,1597110000,-4955000,2097676000,2213670000,3972758000,56278000,20650000,2905000,12996000,92829000,-13947000,266228433.773189,-13893000,-18884000,-59605000,5892000,-2786000,-71726000,7210000,7210000,11205000,18415000,111473000,677482000,137010000,0.30571,0.11738,0.07115,0.02487,0.01386,2.48883,1.84586,0.79465,0.17053,0.37667,0.37304,5.29412,14.35292,0.93746,0.12921,0.02172,0.04024,0.34303,5.56625,6.83183
"4","2011_Q1",19.7833870967742,"Up",753858000,-521630000,232228000,-173795000,-157714000,-16081000,58433000,-8765000,-9067000,49668000,49668000,-13006000,36662000,34370000,33461000,33461000,46056000,46056000,516905000,405356000,100980000,1069297000,329435000,2574801000,453570000,2066044000,55187000,2904236000,3973533000,344175000,262357000,197670000,197670000,546796000,702521000,519184000,240184000,169198000,109802000,1221705000,1768501000,490890000,1624605000,-22342000,2093153000,2205032000,3973533000,34370000,21296000,27557000,-62090000,21133000,-16524000,404914838.786439,-16440000,-18881000,29867000,-19846000,-21926000,-13014000,-8321000,-8321000,-2618000,-10939000,79729000,707472000,14121000,0.30805,0.07751,0.04439,0.01517,0.00842,0.42201,1.95557,0.80203,0.17805,0.2297,0.22654,5.17499,14.36881,0.09694,0.12961,0.01525,0.00411,0.56427,8.2958,11.31922
"5","2011_Q2",20.877619047619,"Up",790273000,-541214000,249059000,-162882000,-144760000,-18122000,86177000,-9090000,-9325000,77087000,77087000,-25053000,52034000,52034000,50541000,50541000,57134000,57134000,625856000,411767000,114320000,1209077000,338610000,2.615e+09,461244000,2097428000,56328000,2953610000,4162687000,349948000,256492000,190307000,190307000,546361000,802321000,531561000,246051000,175877000,109633000,1333882000,1880243000,493333000,1655302000,18525000,2167160000,2282444000,4162687000,52034000,21625000,10404000,-132243000,-48180000,-13226000,-14856000.0000002,-28024000,-19844000,100526000,-324000,-287000,80915000,4711000,4711000,6367000,11078000,107802000,808427000,-12614000,0.31516,0.10905,0.06395,0.02214,0.01214,-0.24958,2.21296,0.82378,0.19421,0.34601,0.34055,5.41031,14.83666,-0.08636,0.13585,0.01943,-0.00348,0.39263,6.96919,8.71802
"6","2011_Q3",19.01984375,"Down",910175000,-622439000,287736000,-178314000,-158432000,-19882000,109422000,-13941000,-14613000,95481000,95481000,-27344000,68137000,68137000,66712000,66712000,68972000,68972000,595407000,484795000,185465000,1334639000,410547000,3307126000,654908000,2573430000,78788000,3717673000,5052312000,426727000,315403000,261935000,261935000,711402000,1384167000,589889000,244975000,235422000,109492000,1974056000,2685458000,505333000,1702119000,41902000,2249354000,2366854000,5052312000,68137000,28240000,139000,104275000,200791000,-21906000,-718249000,-740094000,-19895000,575527000,9588000,0,557407000,18104000,18104000,-6266000,11838000,137662000,1406907000,247375000,0.31613,0.12022,0.0733,0.02819,0.0132,3.7081,1.87607,1.13461,0.27847,0.45586,0.44812,6.21951,15.37054,1.69039,0.13595,0.01985,0.05669,0.29822,9.71899,12.22729
"7","2011_Q4",19.3233333333333,"Up",890546000,-618484000,272062000,-179159000,-159068000,-20091000,92903000,-16799000,-17373000,76104000,76104000,-24050000,52054000,52054000,51092000,51092000,52665000,52665000,556688000,459916000,208979000,1278248000,394922000,3209273000,619262000,2516692000,73319000,3604195000,4882443000,396882000,281448000,289821000,289821000,717602000,1317454000,549271000,217154000,228737000,103380000,1866725000,2584327000,47496000,1733281000,401920000,2182697000,2298116000,4882443000,52054000,29021000,-18955000,25828000,87948000,-17792000,-1.19209289550781e-07,-18352000,-19930000,-52651000,-10261000,-12498000,-81422000,-11826000,-11826000,-4481000,-16307000,121924000,1348353000,154010000,0.3055,0.10432,0.05737,0.02223,0.01046,3.01437,1.78128,1.12454,0.27616,0.34905,0.34441,6.08402,14.91171,1.05216,0.13616,0.01693,0.03671,0.39008,10.62701,13.94668
"8","2012_Q1",21.0270967741935,"Up",865706000,-600863000,264843000,-252645000,-232540000,-20105000,12198000,-17170000,-17589000,-4972000,-205472000,30047000,-175425000,-175425000,-175845000,-175845000,50077000,50077000,569204000,449863000,168691000,1237835000,387525000,2960953000,592285000,2273918000,94750000,3348478000,4586313000,294858000,294858000,342121000,342121000,641841000,1304225000,1050609000,280389000,188957000,581263000,2354834000,2996675000,47526000,1465780000,-37731000,1475575000,1589638000,4586313000,-175425000,29214000,262512000,-36660000,79641000,-19076000,5000,-21630000.0000001,-19831000,-35102000,1497000,-14999.9999999981,-53300000.0000001,4711000.00000001,4711000,-7320000,-2609000,41412000,1309087000,-44371000,0.30593,0.01409,-0.20312,-0.11062,-0.03834,0.25233,1.92857,1.88513,0.28543,-1.20202,-1.1841,5.91769,10.08656,-0.30331,0.13556,-0.0395,-0.01124,-0.11278,30.40206,103.21446
"9","2012_Q2",23.0026984126984,"Up",8.58e+08,-5.77e+08,2.81e+08,-1.95e+08,-1.74e+08,-2.1e+07,8.6e+07,-1.3e+07,-1.5e+07,7.3e+07,7.3e+07,-1e+07,6.3e+07,6.3e+07,6.2e+07,6.2e+07,55438000,55438000,680260000,475403000,178106000,1389207000,393335000,2995664000,594929000,2297175000,103560000,3388999000,4778206000,392965000,293398000,245961000,245961000,659323000,1395093000,580183000,282469000,194469000,103245000,1975276000,2634599000,519362000,1617999000,-110060000,2027301000,2143607000,4778206000,6.3e+07,2.6e+07,1e+06,-1.58e+08,-6.8e+07,-1.4e+07,-306258452.191296,-1.7e+07,-2.2e+07,1.04e+08,7e+06,-23016156.264041,9e+07,5e+06,5e+06,-10896296.8312336,5e+06,1.12e+08,1415490000,-5e+07,0.32751,0.10023,0.07226,0.02892,0.01298,-0.80645,2.10702,1.22905,0.29624,0.42039,0.42039,5.81762,13.746,-0.33902,0.14917,0.02029,-0.01208,0.35484,12.14332,15.81456
"10","2012_Q3",23.3442857142857,"Up",941700000,-629900000,311800000,-1.92e+08,-171400000,-20600000,119800000,-16200000,-15900000,103600000,103600000,-29100000,74500000,74500000,72500000,72500000,60598000,60598000,572144000,460039000,183244000,1276025000,381063000,2929181000,570503000,2255134000,103544000,3310244000,4586269000,411298000,288265000,249003000,249003000,661716000,1233794000,572887000,277245000,190173000,105469000,1806681000,2468397000,526092000,1667794000,-192097000,2001789000,2117872000,4586269000,74500000,26400000,6299999.99999997,127600000,234800000,-12400000,-19900000,-32400000,-22300000,-175800000,9300000,-1.49011611938477e-08,-188100000,14300000,14300000,-8800000,5499999.99999997,146200000,1235209000,290500000,0.3311,0.12722,0.07699,0.03423,0.01581,4.0069,1.92836,1.16551,0.26933,0.49306,0.47479,6.40433,13.6138,1.97564,0.15166,0.02415,0.07399,0.30759,8.03427,9.80477000000002
"11","2012_Q4",25.4064516129032,"Up",865500000,-587400000,278100000,-222900000,-203100000,-19800000,55200000,-1.8e+07,-18600000,37200000,37200000,-4600000,32600000,32600000,31400000,31400000,642570000,642570000,1319561000,1379971000,398344000,3740446000,1156327000,7075562000,1954512000,4766519000,354531000,8231889000,11972335000,963849000,602707000,666708000,666708000,2131949000,1495369000,1278776000,411144000,539451000,328181000,2774145000,4906094000,113454000,1676199000,5177807000,6848055000,7066241000,11972335000,32600000,25600000,17500000,4900000,80600000,-18400000,691700000,673300000,-21800000,-157600000,5700000,0,-173300000,580600000,580600000,1400000,5.82e+08,80800000,1996761000,71900000,0.32132,0.06378,0.03628,0.00444,0.00262,2.28981,1.75447,0.6943,0.16678,0.20941,0.20375,5.77222,45.67127,0.47952,0.14539,0.00514,0.00695,0.69427,16.75979,24.53245
"12","2013_Q1",28.8646666666667,"Up",1641600000,-1246600000,3.95e+08,-600100000,-569200000,-30900000,-205100000,-18700000,-18700000,-223800000,-359900000,110900000,-2.49e+08,-274700000,-273100000,-273100000,261300000,261300000,1274600000,1333900000,334500000,3204300000,1188200000,7490200000,1926900000,5.111e+09,452300000,8678400000,11882700000,5.67e+08,5.67e+08,1.075e+09,1.075e+09,1645100000,2454300000,6588200000,378800000,421900000,5787500000,9042500000,10687600000,113500000,1292300000,-11600000,1078700000,1195100000,11882700000,-2.49e+08,82100000,-7.2e+07,57400000,-203700000,-44200000,-201300000,-248300000,-46300000,456600000,-2.88e+08,-334200000,39100000,-412900000,-412900000,7700000,-405200000,-1.23e+08,2457400000,-220700000,0.24062,-0.12494,-0.16636,-0.22852,-0.02298,0.80813,1.94778,8.94285,0.2068,-0.86937,-0.89744,5.22574,3.43385,-0.70256,0.14739,-0.02215,-0.02155,-0.16953,-17.85447,-10.70746
"13","2013_Q2",31.2278125,"Up",1774500000,-1250700000,523800000,-449500000,-4.16e+08,-33500000,74300000,-16800000,-1.7e+07,57500000,74200000,-20900000,53300000,53300000,51700000,51700000,2.15e+08,2.15e+08,1.404e+09,1.327e+09,3.44e+08,3.29e+09,1.222e+09,7.209e+09,1.859e+09,4.867e+09,4.83e+08,8.431e+09,1.1721e+10,5.8e+08,5.8e+08,8.97e+08,8.97e+08,1.483e+09,2.592e+09,6.567e+09,3.7e+08,4.81e+08,5.716e+09,9.159e+09,1.0642e+10,1.13e+08,1.344e+09,-8.7e+07,9.64e+08,1.079e+09,1.1721e+10,53300000,79900000,-4500000,-108800000,19900000,-48800000,3e+07,-18500000,-47200000,140800000,-128500000,-140300000,-38200000,-36800000,-36800000,-1e+07,-46800000,154200000,2.598e+09,17500000,0.29518,0.04187,0.02913,0.04791,0.00441,0.33849,2.21848,9.86284,0.22165,0.16954,0.16677,5.81904,3.1612,0.05739,0.15478,0.00965,0.00171,0.91296,15.45396,32.07268
