"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.7707936507937,"Up",618633000,-140472000,478161000,-414202000,-206883000,-207319000,63959000,-1953000,-1953000,-1953000,62006000,62006000,-10135000,51871000,51871000,51871000,51871000,3245368.39332753,3245368.39332753,23350249.1087527,23350249.1087527,55664851.4499837,134983767.877535,131276912.11644,217244236.829599,174074106.997167,448134620.93999,311344640.897917,103120353.299609,33669626.742464,622208727.937158,839452964.766757,417750856.744045,12345135.9397269,346356605.869394,3926159.12394294,-43994020.552498,-43994020.552498,377682995.31549,235407591.839118,61046902.1976436,23726403.6175296,296454494.036762,674137489.352252,176921961.209744,97244750.0732347,-108851235.868474,165315475.414505,165315475.414505,839452964.766757,51871000,17262000,2743000,15557000,87433000,-11620000,-11699000,-2951000,-26122000,-28010000,2606000,-38532000,37202000,37202000,-22732000,14470000,81221000,0,95293000,0.77293,0.10339,0.08385,0.319284216849451,0.0931048645908049,1.83712,0.722353218609291,2.68258357894025,0.248240620411699,0.21555,0.20691,2.57078,0.68064733873834,0.396,0.168041944954365,0.547653175031508,1.61430305622133,1.83109857497425
"2","2010_Q3",12.620625,"Up",688806000,-136561000,552245000,-435890000,-211110000,-224780000,116355000,-2146000,-2146000,-2146000,114209000,114209000,-32034000,82175000,82175000,82175000,82175000,170218000,170218000,85411000,85411000,152035000,167643000,114097000,575307000,167320000,454551000,311091000,102899000,40561000,621871000,1197178000,387651000,48318000,310207000,3071000,51770000,51770000,442492000,240280000,120290000,23659000,360570000,803062000,232853000,200389000,-39126000,394116000,394116000,1197178000,82175000,17141000,-6786000,-9330000,83200000,-12291000,-11526000,-3764000,-48698000,-51210000,1857000,-62601000,9072999.99999999,9072999.99999999,-4126000,4947000,133496000,243351000,143909000,0.80174,0.16892,0.1193,0.2085,0.06864,1.75125,1.30015,2.03763,0.20327,0.34512,0.32332,2.89288,1.65523,0.6044,0.12428,0.18991,0.54783,0.62853
"3","2010_Q4",15.54640625,"Up",688431000,-133265000,555166000,-454211000,-230150000,-224061000,100955000,-2192000,-2192000,-2192000,98763000,98763000,-19879000,78884000,78884000,78884000,78884000,193490000,193490000,91394000,91394000,183144000,153953000,97716000,621981000,169308000,457067000,310992000,102899000,43176000,626375000,1248356000,405656000,50068000,338986000,3232000,54637000,54637000,463525000,205894000,118348000,23476000,324242000,787767000,247307000,237918000,-24636000,460589000,460589000,1248356000,78884000,17352000,8232000,-3980000,100488000,-18224000,-19281000,-34750000,-19822000,-26943000,2109000,-67336000,13871000,13871000,9401000,23272000,118307000,209126000,115982000,0.80642,0.14665,0.11459,0.17127,0.06319,1.47029,1.34185,1.71035,0.16752,0.33288,0.31248,2.90512,1.94364,0.48943,0.11897,0.14717,0.13216,0.15488
"4","2011_Q1",16.9516129032258,"Up",738356000,-148513000,589843000,-483600000,-239512000,-244088000,106243000,-1126000,-1126000,-3373000,105117000,105117000,-25164000,79953000,79953000,79953000,79953000,190550000,190550000,85612000,85612000,182467000,136957000,93963000,595586000,177427000,459207000,310894000,102899000,45414000,636634000,1232220000,432551000,43784000,373384000,3120000,35145000,35145000,470816000,175046000,99146000,23407000,274192000,745008000,248811000,265686000,-27285000,487212000,487212000,1232220000,79953000,16866000,-12479000,32414000,116754000,-25875000,-26630000,-30986000,-50057000,-53845000,2365000,-93484000,-3360000,-3360000,420000,-2940000,123109000,178166000,154812000,0.79886,0.14389,0.10829,0.1641,0.06489,1.93629,1.26501,1.52912,0.14459,0.33833,0.31395,3.12444,2.0617,0.65511,0.12395,0.20249,-0.10059,-0.11656
"5","2011_Q2",23.5968253968254,"Up",795096000,-162793000,632303000,-508903000,-244526000,-264377000,123400000,-2648000,-2648000,-2648000,120752000,120752000,-33184000,87568000,87568000,87568000,87568000,260766000,260766000,107893000,107893000,184321000,152755000,110400000,705735000,187733000,464536000,310815000,102899000,50822000,652269000,1358004000,436204000,53725000,364139000,1753000,56928000,56928000,494885000,181188000,101633000,23216000,282821000,777706000,262736000,329636000,-12074000,580298000,580298000,1358004000,87568000,18562000,2928000,-1541000,107517000,-28323000,-28520000,4776000,-7276000,-8965000,1278000,-16041000,62956000,62956000,7260000,70216000,141962000,182941000,145282000,0.79525,0.1552,0.11014,0.1509,0.06448,1.65908,1.42606,1.34018,0.13471,0.3704,0.35362,3.36318,2.4546,0.61453,0.11838,0.16798,-0.54821,-0.63067
"6","2011_Q3",26.581875,"Up",879654000,-171023000,708631000,-555457000,-266225000,-289232000,153174000,-855000,-855000,-855000,152319000,152319000,-40688000,111631000,111631000,111631000,111631000,254467000,254467000,116555000,116555000,219034000,148562000,104815000,738618000,185887000,475114000,312155000,104959000,5.8e+07,661001000,1399619000,477976000,64904000,399739000,1781000,62908000,62908000,542665000,158797000,102106000,23112000,260903000,803568000,271867000,331100000,-6916000,596051000,596051000,1399619000,111631000,18095000,-2998000,16402000,143130000,-15915000,-17773000,-22405000,-99731000,-106322000,12537000,-133469000,-8112000,-8112000,1813000,-6299000,171269000,160578000,212444000,0.80558,0.17413,0.1269,0.18728,0.07976,1.90309,1.36109,1.34815,0.11473,0.46899,0.43133,3.69565,2.50416,0.89253,0.15779,0.24739,-0.5482,-0.61296
"7","2011_Q4",26.1580952380952,"Down",895218000,-175308000,719910000,-568563000,-277721000,-290842000,151347000,-345000,-345000,-345000,151002000,151002000,-42980000,108022000,108022000,108022000,108022000,258775000,258775000,89660000,89660000,247696000,172688000,117073000,768819000,193703000,483687000,311764000,105490000,66433000,677390000,1446209000,515445000,57095000,426935000,1542000,31702000,31702000,548689000,202079000,135253000,39203000,337332000,886021000,292066000,305931000,-37809000,560188000,560188000,1446209000,108022000,17783000,-2374000,19548000,142979000,-17063000,-15535000,61433000,-145841000,-153508000,4487000,-103409000,24035000,24035000,-16981000,7054000,169130000,203621000,214595000,0.80417,0.16906,0.12067,0.19283,0.07469,1.98659,1.40119,1.58165,0.1408,0.46179,0.43401,3.82706,2.39481,0.91739,0.14627,0.23869,-0.3261,-0.36442
"8","2012_Q1",29.6711290322581,"Up",884569000,-170960000,713609000,-579260000,-286151000,-293109000,134349000,1357000,1357000,-6016000,135706000,135706000,-27968000,107738000,107738000,107738000,107738000,258775000,258775000,89660000,89660000,247696000,189554000,134605000,785685000,193703000,483687000,311764000,105490000,66433000,677390000,1463075000,546313000,57095000,426935000,1542000,31702000,31702000,579557000,202079000,133295000,39203000,335374000,914931000,292066000,293887000,-37809000,548144000,548144000,1463075000,107738000,17413000,-7405000,-832000.000000004,116914000,-28810000,-30258000,-18469000,-46529000,-52844000,2221000,-86089000,567000,567000,-3313000,-2746000,151762000,203621000,150088000,0.80673,0.15188,0.1218,0.19655,0.07364,1.39308,1.35566,1.66914,0.13917,0.46446,0.44258,3.81336,2.36304,0.64703,0.14807,0.16958,-0.36342,-0.41053
"9","2012_Q2",25.8414285714286,"Down",964175000,-196144000,768031000,-613926000,-296393000,-317533000,154105000,-1373000,-1373000,-1373000,152732000,152732000,-44801000,107931000,107931000,107931000,107931000,257441032.528509,257441032.528509,99793442.4492101,99793442.4492101,242917787.263747,196153095.502125,139959172.277356,796305357.74359,197115134.181842,483996513.812004,311676305.723326,105491371.392999,66828836.695679,681111647.993846,1477417005.73744,538423969.716011,68046530.8084938,421180342.008405,-10733540.8091738,36180857.4087832,36180857.4087832,563871286.31562,391196315.22686,134871998.562173,37354405.9622697,526068313.789032,1089939600.10465,286972396.854282,139901184.961327,-39396176.1830276,387477405.632784,387477405.632784,1477417005.73744,107931000,18590000,-17236000,11083000,120368000,-24676000,-27228000,28158000,-65814000,-72942000,20675000,-52153000,40987000,40987000,6099000,47086000,172695000,0,203903000,0.79657,0.15983,0.11194,0.385879451084612,0.0843918494174391,1.8892,1.41756751413813,3.43347501644436,0.25683250755243,0.46446,0.44099,4.1491,1.64267033959817,0.87745,0.170383896679753,0.201931369837907,0.512991185881861,0.549661221256335
"10","2012_Q3",24.2109523809524,"Down",1031948000,-203737000,828211000,-641505000,-306310000,-335195000,186706000,-3169000,-3169000,-3169000,183537000,183537000,-51586000,131951000,131951000,131951000,131951000,286166000,286166000,108633000,108633000,262386000,188917000,131919000,846102000,196787000,487903000,311428000,105490000,70985000,684690000,1530792000,529269000,79031000,433882000,763000,36298000,36298000,566330000,555051000,138692000,38746000,693743000,1260073000,288162000,25484000,-42927000,270719000,270719000,1530792000,131951000,18023000,-10172000,-2727000,137075000,-1.5e+07,-15057000,324031000,-429466000,-432694000,6537000,-134036000,-12018000,-12018000,-7677000,-19695000,204729000,555814000,238588000,0.80257,0.18093,0.12787,0.48741,0.0862,1.80816,1.49401,4.65454,0.36309,0.56602,0.54082,4.42664,1.16128,1.02345,0.17311,0.24718,1.3171,1.44424
