"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.0447619047619,"Up",3918021000,-3819203000,98818000,-56693000,-56324000,42125000,-604000,-640000,36000,41521000,41521000,-7681000,33840000,33840000,-137000,33703000,33703000,-310110759.594576,-350677002.864835,1069674525.05975,1069674525.05975,-237102869.207523,222426777.450661,-783286580.252439,-25822896.3123507,744887673.708313,71638617.8721237,533971310.937212,133520502.605847,386646313.832464,605609928.809336,1350497602.51765,1075466081.84555,908027907.347387,167438174.498158,24046546.3502104,1175566281.70771,5625013.39469398,52985687.2752603,52985687.2752603,58610700.6699542,1234176982.37767,-431603341.590557,550557370.03578,-1567620.55863169,117386407.886591,-1065787.74661012,116320620.139981,1350497602.51765,33840000,4419000,490000,-22183000,16566000,-891000,-8315000,85413906.4250168,-9206000,-2226000,-2000,-119000,-2097000,5263000,5263000,-1026000,4237000,46544000,0,31151000,0.02522,0.01075,0.0086,0.0845335589388643,0.027405167231169,0.92428,0.571172710003057,2.48293732869258,0.0167766235228163,0.56812,0.55615,66.04445,-4.4264202796185,0.5251,0.03752,0.0802346229475817,0.546969831928738,0.06605,8.54694373562724,9.08972205465173
"2","2010_Q3",23.3015625,"Down",4397275000,-4289706000,107569000,-62505000,-60809000,45064000,-248000,-841000,593000,44816000,44816000,-7765000,37051000,37051000,-74000.0000000001,36977000,36977000,307386000,297386000,1115878000,1115878000,140693000,91253000,-279955290.126219,81082000,1655210000,47840000,240393000,68804000,156328000,288233000,1943443000,1018320000,947214000,71106000,6259000,1088131000,4728000,49607000,49607000,54335000,1142466000,216417000,581441000,2680000,800538000,439000,800977000,1943443000,37051000,4205000,2452000,-36502000,7205999.99999999,-3262000,1.86264514923096e-09,36353635.4750056,-3262000,-2231000,-5519000,-1399000,-9314000.00000006,-5370000,-5370000,-324000,-5694000,49269000,10987000,17270000,0.02446,0.01025,0.00841,0.04616,0.01903,0.46705,1.52115,1.42634,0.00565,0.62232,0.60933,74.00577,13.47299,0.29065,0.03755,0.04551,0.02004,0.06033,-6.01593,-6.57729
"3","2010_Q4",27.2046875,"Up",4987074000,-4874967000,112107000,-67020000,-65923000,45087000,-1198000,-989000,-209000,43889000,43889000,-7515000,36374000,36374000,381000,36755000,36755000,424869000,424869000,1163383000,1163383000,219908000,120856000,-8605096.70873982,110778000,1929016000,52516000,287483000,82226000,182625000,339999000,2269015000,1075923000,980171000,95752000,8822000,1144039000,8348000,52194000,52194000,60542000,1204581000,444069000,615968000,4339000,1064376000,58000.0000000001,1064434000,2269015000,36374000,4469000,3357000,-100944000,-56744000,-3747000,-37700000,1e+07,-31447000,-2228000,-2000,-2317000,214184000,125993000,125993000,1490000,127483000,49556000,17170000,-47620000,0.02248,0.00904,0.00737,0.03453,0.0162,-1.29561,1.68615,1.13166,0.00757,0.60756,0.59606,82.43643,17.59415,-0.78716,0.03683,0.03438,-0.042,0.06062,-8.22704,-9.0425
"4","2011_Q1",34.8517741935484,"Up",5828777000,-5705130000,123647000,-75057000,-73957000,48590000,-1286000,-2275000,989000,47304000,47304000,-8066000,39238000,39238000,192000,39430000,39430000,272893000,272893000,1386700000,1386700000,211526000,196748000,96461000,100287000,2067867000,64106000,434477000,117726000,287434000,498583000,2566450000,1275928000,1131228000,144700000,17076000,1358484000,24566000,56836000,56836000,81402000,1439886000,469659000,652796000,4753000,1127208000,-644000,1126564000,2566450000,39238000,6013000,-10680000,-37297000,-2726000,-4585000,-131792000,0,-136377000,-2226000,-947000,-9943000,-12822000,-151925000,-151925000,-51000.0000000002,-151976000,54603000,41642000,20787000,0.02121,0.00834,0.00676,0.035,0.01536,0.52719,1.52219,1.27812,0.01623,0.56788,0.5568,83.94701,16.23424,0.29938,0.03206,0.034,0.01697,0.05645,-4.23513,-4.75923
"5","2011_Q2",32.6257142857143,"Down",7079406000,-6942638000,136768000,-81243000,-80447000,55525000,-3453000,-2525000,-928000,52072000,52072000,-10415000,41657000,41657000,-548000,41109000,41109000,93374000,93374000,1892307000,1892307000,312379000,213226000,100940000,88925000,2511286000,64899000,461598000,124048000,308161000,526497000,3037783000,1620673000,1488592000,132081000,17401000,1719096000,64133000,59787000,59787000,123920000,1843016000,497370000,691260000,5454000,1194084000,683000,1194767000,3037783000,41657000,8167000,2593000,-196903000,-144486000,-2628000,-6.7e+07,-455477.828121504,-69628000,-2598000,39537000,-3501000,33438000,-180676000,-180676000,1157000,-179519000,63692000,81534000,-125424000,0.01932,0.00784,0.00581,0.03441,0.01353,-3.05101,1.46082,1.54257,0.02684,0.58752,0.57915,101.17773,17.06566,-1.79254,0.03713,0.03271,-0.09387,0.0632,-0.18589,-0.21324
"6","2011_Q3",32.29046875,"Down",8708709000,-8543607000,165102000,-98999000,-95468000,66103000,-4381000,-4298000,-83000,61722000,61722000,-11049000,50673000,50673000,-470000,50203000,50203000,149735000,149735000,1982962000,1982962000,429206000,232029000,80125000,130154000,2793932000,84651000,483475000,123472000,330210000,568126000,3362058000,1791375000,1646847000,144528000,15787000,1880755000,167020000,59986000,59986000,227006000,2107761000,498562000,738811000,5894000,1243267000,11030000,1254297000,3362058000,50673000,10573000,11272000,-65731000,6787000,-4766000,-39013000,0,-43779000,-2696000,92340000,3236000,92880000,55888000,55888000,473000,56361000,76676000,182807000,17228000,0.01896,0.00759,0.00576,0.04002,0.01493,0.34317,1.48554,1.68043,0.05437,0.70852,0.70157,122.90715,17.54639,0.243140000000001,0.03805,0.03533,0.01151,0.0537,0.43132,0.50031
"7","2011_Q4",36.2612698412698,"Up",9510792000,-9339945000,170847000,-99922000,-97500000,70925000,-6434000,-4791000,-1643000,64491000,64491000,-10649000,53842000,53842000,-1187000,52655000,52655000,151854000,151854000,2166712000,2166712000,427497000,294103000,99713000,174438000,3040166000,89492000,487238000,109095000,343480000,576730000,3616896000,1879358000,1707705000,171653000,18265000,1989542000,274495000,56970000,56970000,331465000,2321007000,500135000,788814000,-4927000,1284022000,11867000,1295889000,3616896000,53842000,10371000,-1692000,-141685000,-79164000,-8413000,-6302000,-2706000,-17421000,-2655000,110041000,-3328000,104058000,7473000,7473000,-5354000,2119000,81296000,292760000,-58153000,0.01796,0.00746,0.00554,0.04063,0.01456,-1.10442,1.52807,1.79105,0.08094,0.74226,0.73554,134.07,18.10037,-0.81976,0.03743,0.03361,-0.03534,0.05042,1.73325,1.98669
"8","2012_Q1",39.8072580645161,"Up",9323947000,-9161661000,162286000,-97867000,-96443000,64419000,-4501000,-4211000,-290000,59918000,59918000,-6888000,53030000,53030000,-2968000,50062000,50062000,205415000,205415000,2160561000,2160561000,472584000,283667000,109297000,174370000,3122227000,90710000,484309000,107620000,346246000,575019000,3697246000,1902788000,1739678000,163110000,17800000,2026142000,269348000,55038000,55038000,324386000,2350528000,503263000,836222000,-6524000,1332961000,13757000,1346718000,3697246000,53030000,11419000,3765000,6113000,74327000,-3685000,-10387000,268000,-13804000,-2654000,-4794000.00000001,-361999.999999998,-7810000,52713000,52713000,848000.000000001,53561000,75838000,287148000,85154000,0.01741,0.00691,0.00537,0.03717,0.01354,1.70097,1.54097,1.74538,0.07767,0.70527,0.69615,131.35465,18.77859,1.19964,0.03739,0.03121,0.05042,0.05301,1.07773,1.26877
"9","2012_Q2",35.3744444444444,"Down",9479055000,-9321820000,157235000,-97979000,-97838000,59256000,-4095000,-4661000,566000,55161000,55161000,-6615000,48546000,48546000,-2131000,46415000,46415000,242593000,242593000,2290085000,2290085000,450285000,373670000,172990000,200680000,3356633000,89509000,479662000,101943000,348214000,569171000,3925804000,2106311000,1880861000,225450000,20516000,2210734000,265147000,54347000,54347000,319494000,2530228000,504355000,879973000,-3717000,1380611000,14965000,1395576000,3925804000,48546000,9659000,11816000,-21229000,48792000,-3948000,-90000,-115000,-4153000,-2664000,-1492000,-4995000,-9151000,35488000,35488000,1690000,37178000,68915000,285663000,50353000,0.01659,0.00625,0.0049,0.03326,0.01182,1.08484,1.51833,1.81303,0.07277,0.65375,0.64668,133.51158,19.44577,0.70922,0.03752,0.02828,0.02901,0.0574,0.62497,0.72685
"10","2012_Q3",33.9426984126984,"Down",9618797000,-9446674000,172123000,-99765000,-99124000,72358000,-5525000,-5437000,-88000.0000000001,66833000,66833000,-11951000,54882000,54882000,-6282000,48600000,48600000,136676000,136676000,2124645000,2124645000,557390000,478134000,158239000,319895000,3296845000,92597000,498452000,103739000,353547000,591049000,3887894000,1965486000,1774508000,190978000,23780000,2087744000,308212000,52870000,52870000,361082000,2448826000,506934000,925887000,-14603000,1418218000,20850000,1439068000,3887894000,54882000,8009000,-6100000,-162506000,-105715000,-5619000,-28948000,115000,-34452000,-2686000,43389000,-5256000,35447000,-104720000,-104720000,-1197000,-105917000,80367000,331992000,-75807000,0.01789,0.00752,0.00505,0.03377,0.0125,-1.55981,1.57914,1.70167,0.08539,0.68284,0.67719,135.14671,19.92635,-1.06511,0.03774,0.02812,-0.04156,0.05527,2.4303,2.6993
