"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",52.11,"Down",2.579e+09,-1.186e+09,1.393e+09,-4.51e+08,-6.3e+07,-3.74e+08,9.42e+08,-1.12e+08,-1.27e+08,1.5e+07,8.3e+08,8.3e+08,-1.47e+08,6.83e+08,6.85e+08,-8e+06,6.77e+08,6.77e+08,1.586e+09,1.586e+09,2.285e+09,2.63e+08,2.63e+08,4.598e+09,2.3025e+10,2.9753e+10,-6.728e+09,9.215e+09,1.13e+08,9.7e+08,3.224e+10,3.6838e+10,9.86e+08,7.46e+08,2.4e+08,1.447e+09,8.69e+08,8.69e+08,3.302e+09,9.91e+09,2.42e+09,7.13e+08,1.707e+09,1.233e+10,1.5632e+10,1.1911e+10,9.685e+09,-3.38e+08,2.1198e+10,8e+06,2.1206e+10,3.6838e+10,6.85e+08,3.74e+08,7.4e+07,3.9e+07,1.172e+09,-3.28e+08,-4.54e+08,-1.99e+08,-3e+06,-2.62e+08,4.56e+08,4.56e+08,4.56e+08,1.316e+09,1.1357e+10,1.174e+09,0.54013,0.36526,0.2625,0.03192,0.01838,1.73412,1.39249,0.73715,0.3083,2.10903,2.10248,8.03427,66.03738,3.65732,0.01935,0.03356,7.42477,10.37261
"2","2010_Q3",42.24171875,"Down",2.479e+09,-1.347e+09,1.132e+09,-1.83e+08,-5.8e+07,-3.93e+08,9.49e+08,-1.39e+08,-1.36e+08,-3e+06,8.1e+08,8.1e+08,-9.8e+07,7.12e+08,7.2e+08,-5e+06,7.15e+08,7.15e+08,2.888e+09,2.888e+09,2.254e+09,1.84e+08,1.84e+08,5.793e+09,2.2522e+10,2.9556e+10,-7.034e+09,9.237e+09,1.21e+08,9.84e+08,3.1759e+10,3.7552e+10,1.122e+09,9.68e+08,1.54e+08,1.58e+09,1.966e+09,1.966e+09,4.668e+09,9.764e+09,2.393e+09,7.1e+08,1.683e+09,1.2157e+10,1.6825e+10,1.09e+10,1.04e+10,-3.36e+08,2.0724e+10,3e+06,2.0727e+10,3.7552e+10,7.2e+08,3.93e+08,-2.39e+08,3.95e+08,1.269e+09,-2.9e+08,2.34e+08,-2.2e+07,1e+06,-2.01e+08,1.302e+09,1.302e+09,1.302e+09,1.342e+09,1.1344e+10,1.545e+09,0.45664,0.38282,0.28842,0.0345,0.01904,2.16084,1.241,0.81174,0.30209,2.24138,2.23438,7.77116,64.96552,4.84326,0.02075,0.04483,6.30104,8.91043
"3","2010_Q4",52.790625,"Up",2.281e+09,-1.202e+09,1.079e+09,-4.45e+08,-5.9e+07,-3.88e+08,6.34e+08,-1.48e+08,-1.35e+08,-1.3e+07,4.86e+08,4.86e+08,-1.23e+08,3.63e+08,3.78e+08,-1e+07,3.68e+08,3.68e+08,4.636e+09,4.636e+09,2.299e+09,2.34e+08,2.34e+08,7.67e+09,2.2413e+10,2.9836e+10,-7.423e+09,9.247e+09,1e+08,1.015e+09,3.166e+10,3.933e+10,1.017e+09,7.91e+08,2.26e+08,1.635e+09,2.112e+09,2.112e+09,4.764e+09,1.1123e+10,2.404e+09,6.52e+08,1.752e+09,1.3527e+10,1.8291e+10,1.0835e+10,1.0768e+10,-3.27e+08,2.1036e+10,3e+06,2.1039e+10,3.933e+10,3.78e+08,3.88e+08,3.9e+07,-9.6e+07,7.09e+08,-3e+08,-2.52e+08,1.309e+09,-1.8e+07,1.291e+09,1.748e+09,1.748e+09,1.748e+09,1.022e+09,1.2758e+10,7.49e+08,0.47304,0.27795,0.16133,0.01749,0.00936,2.03533,1.60999,0.86939,0.32438,1.15361,1.15361,7.15047,65.94357,2.34796,0.01017,0.02069,7.94716,12.81073
"4","2011_Q1",62.3661290322581,"Up",6.1e+08,-4.84e+08,1.26e+08,7.9e+07,-6.6e+07,1.46e+08,2.05e+08,-1.43e+08,-1.46e+08,3e+06,6.2e+07,2.9e+07,7.6e+07,1.05e+08,-8.14e+08,-2e+07,-8.34e+08,-8.34e+08,3.354e+09,3.354e+09,1.653e+09,6.62e+08,6.62e+08,6.094e+09,1.9119e+10,2.4363e+10,-5.244e+09,1.1601e+10,1.15e+08,3.354e+09,3.072e+10,3.6814e+10,9.41e+08,8.32e+08,1.09e+08,1.917e+09,1.138e+09,1.138e+09,3.996e+09,9.061e+09,2.376e+09,5.85e+08,1.791e+09,1.1437e+10,1.5433e+10,1.1986e+10,9.934e+09,-3.32e+08,2.1348e+10,3.3e+07,2.1381e+10,3.6814e+10,-8.14e+08,4.34e+08,9.69e+08,1.67e+08,7.56e+08,-4.13e+08,-4.42e+08,-1.599e+09,3e+06,-1.596e+09,-1.282e+09,-1.282e+09,-1.282e+09,6.39e+08,1.0978e+10,3.17e+08,0.20656,0.33607,-1.36721,-0.03901,-0.02265,-0.380100000000001,1.52503,0.72181,0.2982,-2.59813,-2.61442,1.90031,66.50467,0.98754,-0.02401,0.00913,11.93114,37.19024
"5","2011_Q2",54.6647619047619,"Down",2.144e+09,-1.359e+09,7.85e+08,-4.13e+08,-6.7e+07,-3.54e+08,3.72e+08,-1.27e+08,-1.3e+08,3e+06,2.45e+08,2.45e+08,-8.1e+07,1.64e+08,3.4e+08,-3e+07,3.1e+08,3.1e+08,3.812e+09,3.812e+09,2.161e+09,2.74e+08,1.97e+08,6.788e+09,2.1173e+10,2.906e+10,-7.887e+09,9.249e+09,1.16e+08,1.001e+09,3.0422e+10,3.721e+10,8.75e+08,8.08e+08,6.7e+07,1.965e+09,1.001e+09,1.001e+09,3.841e+09,9.181e+09,2.426e+09,5.86e+08,1.84e+09,1.1607e+10,1.5448e+10,1.2006e+10,1.0279e+10,-3.35e+08,2.171e+10,5.2e+07,2.1762e+10,3.721e+10,3.4e+08,3.54e+08,-1.3e+08,-1.74e+08,3.9e+08,-2.27e+08,7.7e+07,-4.2e+07,-7e+06,-4.9e+07,4.18e+08,4.18e+08,4.18e+08,7.26e+08,1.1146e+10,4.06e+08,0.36614,0.17351,0.14459,0.01425,0.00833,1.30968,1.76725,0.70986,0.29954,0.97179,0.96875,6.721,68.05643,1.27273,0.00877,0.01149,10.10193,19.71505
"6","2011_Q3",45.52484375,"Down",2.334e+09,-1.546e+09,7.88e+08,-4.51e+08,-6.6e+07,-3.59e+08,3.37e+08,-1.47e+08,-1.42e+08,-5e+06,1.9e+08,1.9e+08,-6.2e+07,1.28e+08,1.26e+08,6999999.99999999,1.33e+08,1.33e+08,3.389e+09,3.389e+09,2.114e+09,5.77e+08,4.38e+08,6.626e+09,2.0996e+10,2.914e+10,-8.144e+09,9.314e+09,1.12e+08,1.07e+09,3.031e+10,3.6936e+10,7.68e+08,7.42e+08,2.6e+07,1.82e+09,1.896e+09,1.896e+09,4.484e+09,9.165e+09,2.348e+09,5.94e+08,1.754e+09,1.1513e+10,1.5997e+10,1.1019e+10,1.0434e+10,-3.28e+08,2.0885e+10,5.4e+07,2.0939e+10,3.6936e+10,1.26e+08,3.59e+08,1.22e+08,-2.67e+08,3.4e+08,-2.88e+08,-3.1e+08,-2.02e+08,-2.51e+08,-4.53e+08,-4.23e+08,-4.23e+08,-4.23e+08,6.96e+08,1.0985e+10,2.03e+08,0.33762,0.14439,0.0569800000000003,0.00635000000000001,0.0036,1.52632,1.4777,0.76398,0.29741,0.41562,0.41562,7.29375,65.26562,0.63438,0.00387999999999999,0.00592,10.91379,22.54006
"7","2011_Q4",38.2085714285714,"Down",1.494e+09,-1.01e+09,4.84e+08,-1.58e+08,-6.7e+07,-1.08e+08,3.26e+08,-2.21e+08,-1.44e+08,-7.7e+07,1.05e+08,1.05e+08,-6.8e+07,3.7e+07,-2.1e+07,-1.1e+07,-3.2e+07,-3.2e+07,3.286e+09,3.286e+09,2.046e+09,5.39e+08,4.21e+08,6.449e+09,2.0721e+10,2.9134e+10,-8.413e+09,9.475e+09,1.2e+08,1.223e+09,3.0196e+10,3.6645e+10,7.78e+08,7.55e+08,2.3e+07,1.83e+09,1.662e+09,1.662e+09,4.27e+09,9.174e+09,2.318e+09,5.88e+08,1.73e+09,1.1492e+10,1.5762e+10,1.1038e+10,1.0363e+10,-3.38e+08,2.0823e+10,6e+07,2.0883e+10,3.6645e+10,-2.1e+07,3.66e+08,1.18e+08,2.9e+07,4.92e+08,-1.43e+08,-3.18e+08,-2.3e+07,-2.54e+08,-2.77e+08,-1.03e+08,-1.03e+08,-1.03e+08,6.92e+08,1.1004e+10,6.46e+08,0.32396,0.21821,-0.02142,-0.00153,-0.00087,-20.1875,1.5103,0.75478,0.30029,-0.1,-0.1,4.66875,65.07188,2.01875,-0.00094,0.01889,11.15318,23.67485
"8","2012_Q1",40.9740322580645,"Up",2.055e+09,-2.264e+09,-2.09e+08,-5.588e+09,-8.8e+07,-2.88e+08,-5.797e+09,-1.81e+08,-1.61e+08,-2e+07,-5.978e+09,-5.978e+09,-1.13e+08,-6.091e+09,-6.122e+09,-4.3e+07,-6.165e+09,-6.165e+09,4.017e+09,4.017e+09,2.049e+09,7.99e+08,7.73e+08,7.394e+09,2.0788e+10,2.7085e+10,-6.297e+09,6.85e+09,1.42e+08,3.491e+09,2.7638e+10,3.5032e+10,9.66e+08,8.8e+08,8.6e+07,1.942e+09,2.62e+09,2.62e+09,5.528e+09,1.1349e+10,2.412e+09,4.87e+08,1.925e+09,1.3761e+10,1.9289e+10,1.2193e+10,4.18e+09,-4.96e+08,1.5637e+10,1.06e+08,1.5743e+10,3.5032e+10,-6.122e+09,3.72e+08,5.215e+09,1.138e+09,6.03e+08,-3.48e+08,-1.433e+09,1.276e+09,-8.86e+08,1.601e+09,7.71e+08,7.71e+08,7.71e+08,-5.425e+09,1.3291e+10,-4.522e+09,-0.1017,-2.82092,-3,-0.3916,-0.17598,0.733500000000003,1.33755,1.22524,0.3794,-18.7386,-18.79573,6.2462,47.52888,-13.74468,-0.19605,-0.1438,-1.70949,-1.59979
"9","2012_Q2",38.3065079365079,"Down",2.11e+09,-1.242e+09,8.68e+08,-4.97e+08,-6.9e+07,-2.85e+08,3.71e+08,-1.83e+08,-1.65e+08,-1.8e+07,1.88e+08,1.88e+08,-3.4e+07,1.54e+08,1.8e+07,-8e+06,1e+07,1e+07,3.982e+09,3.982e+09,2.238e+09,6.48e+08,5.95e+08,7.531e+09,2.2323e+10,3.1215e+10,-8.892e+09,4.861e+09,1.42e+08,1.632e+09,2.7184e+10,3.4715e+10,9.11e+08,8.41e+08,7e+07,2.695e+09,2.158e+09,2.158e+09,5.764e+09,1.0664e+10,2.426e+09,5.12e+08,1.914e+09,1.309e+10,1.8854e+10,1.2207e+10,4.286e+09,-5.15e+08,1.5738e+10,1.23e+08,1.5861e+10,3.4715e+10,1.8e+07,3.55e+08,2.65e+08,-9.8e+07,5.4e+08,-2.53e+08,-2.07e+08,-3.9e+07,-3.29e+08,-3.68e+08,-3.5e+07,-3.5e+07,-3.5e+07,7.26e+08,1.3359e+10,4.09e+08,0.41137,0.17583,0.00474,0.00063,0.00029,40.9,1.30656,1.1887,0.38482,0.02857,0.02857,6.02857,44.96571,1.16857,0.00032,0.01292,12.91598,25.27493
"10","2012_Q3",39.2725396825397,"Up",2.329e+09,-2.105e+09,2.24e+08,-3.66e+08,-7.9e+07,-2.8e+08,-1.42e+08,-1.76e+08,-1.7e+08,-6e+06,-3.18e+08,-3.18e+08,1.5e+07,-3.03e+08,-3.03e+08,-999999.999999996,-3.04e+08,-3.04e+08,3.964e+09,3.964e+09,2.124e+09,4.61e+08,4.52e+08,7.225e+09,2.2207e+10,3.1372e+10,-9.165e+09,5.01e+09,1.42e+08,1.769e+09,2.7217e+10,3.4442e+10,1.038e+09,9.17e+08,1.21e+08,2.772e+09,2.916e+09,2.916e+09,6.726e+09,1.0039e+10,2.068e+09,4.87e+08,1.581e+09,1.2107e+10,1.8833e+10,1.2599e+10,3.78e+09,-5.16e+08,1.5623e+10,-1.4e+07,1.5609e+10,3.4442e+10,-3.03e+08,3.45e+08,-2.9e+07,4.46e+08,4.59e+08,-2.35e+08,-3.22e+08,-8.9e+07,-66000000.0000001,-1.55e+08,-1.8e+07,-1.8e+07,-1.8e+07,2.03e+08,1.2811e+10,3.99e+08,0.0961800000000001,-0.0609700000000001,-0.13053,-0.0194800000000001,-0.00882999999999999,-1.3125,1.07419,1.20655,0.37196,-0.861190000000001,-0.861190000000001,6.59773,44.25779,1.13031,-0.00996999999999997,0.01309,43.58128,-62.30282
