"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",19.6746875,"Down",79853000,-60350000,19503000,-11320000,-11320000,8183000,186000,129000,8369000,8050000,-2711000,5339000,5339000,5339000,5339000,167723000,167723000,11397000,11397000,383898000,19897000,19897000,582915000,11688000,18171000,13972000,29859000,612774000,48089000,11267000,36822000,48089000,201510000,249599000,346067000,17108000,363175000,363175000,612774000,52542817.8834489,6195630.85035203,4355377.94775168,326694975.63859,389788802.320143,29442481.3983499,-523709856.102943,-69962740.8930814,-41074489.2922906,-213168267.465462,-347089321.248262,-347089321.248262,-347089321.248262,85318361.3937874,201245000,465715244.320011,0.24424,0.10248,0.06686,0.0147,0.00871,82.0058873966096,12.12159,0.68727,0.32842,0.30201,0.30201,4.51704,20.54368,22.77362304174,0.00945,0.711952819241576,-132.676273231269,4.09654
"2","2014_Q4",16.6921875,"Down",91960000,-73072000,18888000,-12583000,-12583000,6305000,456000,328000,6761000,6697000,-2570000,4127000,4127000,4127000,4127000,101704000,101704000,16105000,16105000,461566000,27502000,27502000,606877000,11848000,19868000,13249000,31716000,638593000,60776000,10102000,50674000,60776000,210048000,270824000,346534000,21235000,367769000,367769000,638593000,20269939.294483,2623210.28345068,-7752540.68408277,85479658.5461967,100620267.440048,7718827.13278331,-212873285.367648,-11743246.9643605,-13577829.7640969,-66079422.4884874,-178332440.416087,-178332440.416087,-178332440.416087,33886453.7979291,210048000,136993081.440004,0.20539,0.06856,0.04488,0.01122,0.00646,24.2013091322032,9.98547,0.7364,0.32892,0.19509,0.19509,4.34701,17.38468,6.70742101391334,0.00714,0.209314273080525,-29.4810577437564,17.18382
"3","2015_Q1",17.0881967213115,"Up",140908000,-113799000,27109000,-15889000,-15889000,11220000,233000,151000,11453000,11016000,-3828000,7188000,7188000,7188000,7188000,33462000,33462000,13799000,13799000,556323000,23433000,23433000,627017000,12471000,31128000,21137000,43599000,670616000,81164000,17135000,64029000,81164000,224247000,305411000,336782000,28423000,365205000,365205000,670616000,7188000,1151000,-6752000,-21987000,-20400000,-734000,-55084000,19345000,-2031000,7242000,-68242000,-68242000,-68242000,12371000,224247000,-6522000,0.19239,0.07963,0.05101,0.01968,0.01072,-0.90735,7.72531,0.83627,0.33439,0.34232,0.34232,6.71053,17.39232,-0.3106,0.01219,-0.01106,15.42195,17.00401
"4","2015_Q2",19.6611111111111,"Up",156438000,-126312000,30126000,-20932000,-20932000,9194000,330000,317000,9524000,9524000,-3173000,6351000,6351000,6351000,6351000,26647000,26647000,18805000,18805000,599747000,28203000,28203000,673402000,13419000,31349000,21994000,44768000,718170000,83236000,9483000,73753000,83236000,262321000,345557000,337839000,34774000,372613000,372613000,718170000,6351000,988000,603000,-45715000,-37773000,-1215000,-1215000,32558000,-385000,32173000,-6814999.99999999,-6814999.99999999,-6814999.99999999,10182000,262321000,-33575000,0.19257,0.05877,0.0406,0.01704,0.00884,-5.28657,8.09027,0.92739,0.36526,0.30966,0.30966,7.62752,18.16767,-1.63703,0.01,-0.05288,23.14614,25.63346
"5","2015_Q3",20.431875,"Up",189054000,-152252000,36802000,-22812000,-22812000,13990000,326000,308000,14316000,14431000,-4633000,9798000,9798000,9798000,9798000,32630000,32630000,13431000,13431000,661728000,37571000,37571000,745360000,5374000,30385000,21365000,35759000,781119000,93506000,9323000,84183000,93506000,304486000,397992000,338555000,44572000,383127000,383127000,781119000,9798000,1282000,2e+05,-45667000,-34387000,210000,210000,42276000,-2116000,40160000,5983000,5983000,5983000,15272000,304486000,-25552000,0.19466,0.074,0.05183,0.02557,0.01254,-2.60788,7.97125,1.0388,0.38981,0.47663,0.47663,9.19667,18.63749,-1.243,0.01425,-0.03716,17.80094,19.43217
"6","2015_Q4",18.51765625,"Down",182732000,-144748000,37984000,-22175000,-22175000,15809000,483000,434000,16292000,15945000,-5362000,10583000,10583000,10583000,10583000,12785000,12785000,29561000,29561000,741554000,36634000,36634000,820534000,7365000,32156000,21365000,39521000,860055000,102787000,8303000,94484000,102787000,362326000,465113000,339787000,55155000,394942000,394942000,860055000,10583000,1242000,-14715000,-71853000,-74743000,-1758000,-1682000,57755000,-1175000,56580000,-19845000,-19845000,-19845000,17051000,362326000,-51198000,0.20787,0.08651,0.05792,0.0268,0.01231,-4.83776,7.98286,1.17767,0.42128,0.51369,0.51369,8.86964,19.17011,-2.4851,0.01398,-0.06761,20.49974,22.11025
"7","2016_Q1",14.9134426229508,"Down",206265000,-164323000,41942000,-21921000,-21921000,20021000,515000,476000,20536000,20405000,-7247000,13158000,13158000,13158000,13158000,41104000,41104000,5241000,5241000,810137000,26735000,26735000,883217000,8375000,26149000,21365000,34524000,917741000,117744000,10967000,106777000,117744000,390518000,508262000,341166000,68313000,409479000,409479000,917741000,13158000,1201000,18842000,-49032000,-15831000,-1545000,-1545000,33880000,-2000,33878000,16502000,16502000,16502000,21222000,390243000,-22108000,0.20334,0.09706,0.06379,0.03213,0.01434,-1.68019,7.50116,1.24124,0.42522,0.6385,0.6385,10.00917,19.87028,-1.07281,0.01645,-0.02764,16.45175,17.43864
"8","2016_Q2",17.25671875,"Up",184096000,-146895000,37201000,-25185000,-25185000,12016000,413000,413000,12429000,12429000,-4446000,7983000,7983000,7983000,7983000,11437000,11437000,17192000,17192000,867357000,26147000,26147000,922133000,9983000,25505000,21365000,35488000,957621000,125630000,13538000,112092000,125630000,415462000,541092000,340233000,76296000,416529000,416529000,957621000,7983000,1404000,-684999.999999993,-46266000,-37564000,-2148000,-2124000,24485000,-254000,21838000,-17850000,-17850000,-17850000,13420000,415051000,-30548000,0.20207,0.06527,0.04336,0.01917,0.00834,-3.82663,7.34007,1.29905,0.43342,0.38703,0.38667,8.92524,20.19392,-1.48101,0.0096,-0.03672,30.07556,33.58971
"9","2016_Q3",18.92265625,"Up",259642000,-209354000,50288000,-31383000,-31383000,18905000,605000,605000,19510000,19097000,-5955000,13142000,13142000,13142000,13142000,10684000,10684000,29290000,29290000,869741000,25085000,25085000,934800000,11002000,25310000,21365000,36312000,971112000,127491000,12050000,115441000,127491000,412851000,540342000,341332000,89438000,430770000,430770000,971112000,13142000,1393000,3184000,-13484000,4235000,-1835000,-1811000,-2527000,-650000,-3177000,-753000,-753000,-753000,20298000,412851000,10934000,0.19368,0.07281,0.05062,0.03051,0.01353,0.83199,7.33228,1.25436,0.42513,0.63701,0.63402,12.5852,20.88,0.52999,0.01558,0.01296,19.81313,21.27305
"10","2016_Q4",20.3057142857143,"Up",253413000,-203070000,50343000,-30944000,-30944000,19399000,385000,385000,19784000,19731000,-6389000,13342000,13342000,13342000,13342000,45103000,45103000,4852000,4852000,873613000,38421000,38421000,961989000,11228000,28154000,21365000,39382000,1001371000,105444000,18139000,87305000,105444000,450331000,555775000,342816000,102780000,445596000,445596000,1001371000,13342000,1418000,-17648000,-25183000,-28071000,-1090000,-1065000,37072000,-1266000,35806000,6670000,6670000,6670000,20817000,450331000,933000.000000007,0.19866,0.07655,0.05265,0.02994,0.01332,0.0699300000000005,9.12322,1.24726,0.44971,0.64536,0.64075,12.25766,21.55361,0.04513,0.01489,0.00104,19.46621,20.88912
