"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",77.5231746031746,"Up",673641000,-394124000,279517000,-280852000,-145728000,-117210000,-17914000,-1335000,3963000,-156000,4119000,2628000,2628000,-592000,2036000,2036000,2036000,2036000,558429000,325602000,408074000,408074000,363914000,249569000,53005000,49895000,1579986000,940070000,4397000,4385417000,2184013000,2136773000,64631000,5329884000,6909870000,334654000,206071000,128583000,842000,842000,335496000,396183000,86489000,396183000,731679000,6588201000,-408927000,-1083000,6178191000,6178191000,6909870000,2036000,42738000,171589000,-74931000,141432000,-89255000,-318157517.778092,-75137000,-31623000,18386000,-50009000,-8850000,-40473000,25822000,25822000,-34000,25788000,41403000,0,-122191000,0.41493,-0.00198,0.00302,0.00033,0.00029,-60.01523,4.7094,0.11843,0,0.01363,0.01318,4.51133,41.37495,-0.81831,0.00031,-0.01859,-13.48765,418.29888
"2","2015_Q3",60.33296875,"Down",708335000,-423487000,284848000,-266809000,-134994000,-118293000,-13522000,18039000,193000,-188000,381000,18232000,18232000,-13784000,4448000,4448000,4448000,4448000,195557000,169597000,438266000,438266000,393760000,248399000,55550000,49777000,1275982000,972328000,28761000,4255026000,2055228000,2135697000,64101000,5256115000,6532097000,352183000,204857000,147326000,3291000,3291000,355474000,389525000,86342000,464525000,819999000,6117858000,-404479000,-1281000,5712098000,5712098000,6532097000,4448000,46069000,162507000,-44229000,168795000,-80431000,-24745000,100669000,-488609000,11322000,-499931000,-11836000,-425445000,-155981000,-155981000,-23999.9999999998,-156005000,64108000,7.5e+07,-46768000,0.40214,0.02547,0.00628,0.00078,0.00068,-10.51439,3.58952,0.14355,0.01148,0.03048,0.02952,4.85387,39.14219,-0.32048,0.00072,-0.00757,-1.88053,-6.68313000000006
"3","2015_Q4",51.19046875,"Down",620681000,-389693000,230988000,-244201000,-126294000,-105992000,-11915000,-13213000,-7788000,-7149000,-639000,-21001000,-21001000,9874000,-11127000,-11127000,-11127000,-11127000,1025166000,851597000,296592000,296592000,406692000,115267000,59437000,55830000,1843717000,1012836000,29287000,4125270000,1927366000,2135697000,62207000,5167393000,7011110000,299970000,188521000,111449000,715000,715000,300685000,228465000,85362000,1216353000,1517038000,5911031000,-415606000,-1353000,5494072000,5494072000,7011110000,-11127000,48522000,136682000,43929000,218006000,-61468000,25413000,-207962000,-239303000,10766000,-250069000,-13081000,672616000,682660000,682660000,-660000,6.82e+08,35309000,987888000,7896000,0.37215,-0.02129,-0.01793,-0.00203,-0.00159,-0.70963,6.13172,0.27612,0.1409,-0.07973,-0.0858,4.4476,39.36879,0.05658,-0.00166,0.00118,-1.05576,2.82131
"4","2016_Q1",43.5716393442623,"Down",608069000,-353869000,254200000,-245723000,-127083000,-107268000,-11372000,8477000,-11198000,-13755000,2557000,-2721000,-2721000,-21481000,-24202000,-24202000,-24202000,-24202000,612689000,425881000,316356000,316356000,427551000,152614000,63850000,88764000,1509210000,1046888000,26050000,4014671000,1812515000,2135697000,66459000,5087609000,6596819000,343253000,205364000,137889000,30548000,30548000,373801000,235216000,83056000,1223346000,1597147000,5442613000,-439808000,-3133000,4999672000,4999672000,6596819000,-24202000,43033000,145610000,-4747000,159694000,-84470000,-13240000,-96284000,-488599000,11401000,-5e+08,-1083000,-489682000,-426272000,-426272000,424000,-425848000,51510000,988130000,-16226000,0.41804,0.01394,-0.0398,-0.00484,-0.00367,0.67044,4.03747,0.31945,0.14979,-0.18205,-0.18205,4.57401,37.60849,-0.12206,-0.00389,-0.00261,7.2887,44.28937
"5","2016_Q2",49.97484375,"Up",698537000,-422062000,276475000,-270734000,-143595000,-117137000,-10002000,5741000,-15409000,-14909000,-5e+05,-9668000,-9668000,3993000,-5675000,-5675000,-5675000,-5675000,446907000,433034000,400679000,400679000,455771000,182063000,68329000,113734000,1485420000,1160953000,2.6e+07,4015614000,1775937000,2174639000,65038000,5202567000,6687987000,405987000,263478000,142509000,14346000,14346000,420333000,245706000,82062000,1234078000,1654411000,5483200000,-445483000,-4141000,5033576000,5033576000,6687987000,-5675000,46352000,153006000,-134294000,59389000,-130440000,17000,-75001000,25962000,25962000,0,-2808000,23154000,7542000,7542000,-389000,7153000,52093000,988372000,-216634000,0.39579,0.00822,-0.00812,-0.00113,-0.00085,38.17339,3.53391,0.32868,0.14778,-0.0445,-0.0445,5.47696,39.46634,-1.69854,-0.00091,-0.03456,10.3942,94.31545
"6","2016_Q3",56.7209375,"Up",864698000,-547899000,316799000,-271406000,-138583000,-126078000,-6745000,45393000,-15673000,-15362000,-311000,29720000,29720000,-17873000,11847000,11847000,11847000,11847000,469219000,469219000,491489000,491489000,437135000,184693000,58579000,126114000,1582536000,1240050000,34902000,3894134000,1656158000,2174918000,63058000,5169086000,6751622000,535916000,323696000,212220000,21529000,21529000,557445000,229176000,82249000,1217801000,1775246000,5413742000,-433636000,-3730000,4976376000,4976376000,6751622000,11847000,50825000,133496000,53830000.0000001,249998000,-119979000,-5196000,-111824000,-90284999.9999999,1115000,-91400000,-11901000,-102186000,35987999.9999999,35987999.9999999,351000,36339000,96218000,988625000,47942000,0.36637,0.0525,0.0137,0.00238,0.00175,4.04676000000001,2.83891,0.35673,0.14643,0.0928800000000001,0.0862300000000001,6.77955,39.01663,0.37588,0.00191,0.00774000000000001,5.39822,11.44243
"7","2016_Q4",54.4226984126984,"Down",826347000,-515705000,310642000,-249261000,-130672000,-111951000,-6638000,61381000,-16840000,-14231000,-2609000,44541000,44541000,-123179000,-78638000,-78638000,-78638000,-78638000,495811000,495811000,421100000,421100000,404617000,166389000,38106000,128283000,1487917000,1335767000,34733000,3766494000,1534098000,2173914000,58482000,5136994000,6624911000,424952000,287953000,136999000,123644000,123644000,548596000,224313000,85060000,1213199000,1761795000,5378944000,-512274000,-3554000,4863116000,4863116000,6624911000,-78638000,56109000,133771000,109120000,220362000,-136536000,88999.9999999972,-136429000,-55751000,11340000,-67091000,-293000,-56044000,27889000,27889000,-1320000,26569000,117490000,988886000,213253000,0.37592,0.07428,-0.09516,-0.01617,-0.01187,-2.71183,2.71223,0.36228,0.14927,-0.61991,-0.67202,6.51421,38.33663,1.6811,-0.01294,0.0351,4.19674,8.03302
"8","2017_Q1",64.2514516129032,"Up",642992000,-411396000,231596000,-256052000,-132738000,-115670000,-7644000,-24456000,-12832000,-13165000,333000,-37288000,-37288000,93196000,55908000,55908000,55908000,55908000,545463000,545463000,357948000,357948000,430454000,127740000,36229000,91511000,1461605000,1391932000,35494000,3633292000,1400563000,2173914000,58815000,5060718000,6522323000,386830000,216246000,170584000,31998000,31998000,418828000,217619000,86108000,1206773000,1625601000,5357394000,-456366000,-4306000,4896722000,4896722000,6522323000,55908000,56539000,142419000,-7795000,247071000,-165747000,-886000,-167094000,-30135000,20731000,-50866000,-439000,-30574000,49403000,49403000,253000,49656000,32083000,989154000,-234655000,0.36018,-0.03803,0.08695,0.01142,0.00857,-4.19716,3.48975,0.33198,0.15166,0.4418,0.4418,5.08113,38.6955,-1.85432,0.00916,-0.03845,13.82947,-18.14242
"9","2017_Q2",71.4993650793651,"Up",640831000,-404454000,236377000,-264206000,-139431000,-116499000,-8276000,-27829000,-12439000,-11505000,-934000,-40268000,-40268000,9644000,-30624000,-30624000,-30624000,-30624000,512631000,512631000,373711000,373711000,470880000,109994000,36444000,73550000,1467216000,1440105000,36248000,3499127000,1265876000,2173889000,59362000,4975480000,6442696000,345872000,215033000,130839000,16046000,16046000,361918000,178677000,89398000,1168097000,1530015000,5365373000,-449105000,-3587000,4912681000,4912681000,6442696000,-30624000,42827000,150025000,-58592000,103636000,-124428000,7036000,-117392000,-11399000,20526000,-31925000,-8404000,-19803000,-33559000,-33559000,750000,-32809000,14998000,989420000,-177666000,0.36886,-0.04343,-0.04779,-0.00623,-0.00475,5.80153,4.054,0.31144,0.15357,-0.24121,-0.24121,5.04746,38.69441,-1.39937,-0.00504,-0.02922,31.79017,-17.13281
"10","2017_Q3",69.7561904761905,"Down",821583000,-500561000,321022000,-271458000,-138867000,-111398000,-21193000,49564000,-13912000,-13720000,-192000,35652000,35652000,267000.000000015,35919000,35919000,35919000,35919000,574873000,574873000,459761000,459761000,461005000,112569000,33381000,79188000,1608208000,1443392000,66085000,3360395000,1130036000,2173889000,56470000,4869872000,6478080000,396935000,212750000,184185000,26067000,26067000,423002000,160810000,86642000,1150502000,1573504000,5321741000,-413186000,-3979000,4904576000,4904576000,6478080000,35919000,43440000,151852000,-11353000,219858000,-67791000,-30064000,-97855000,-44659000,12341000,-5.7e+07,-15601000,-60260000,61743000,61743000,510000,62253000,93004000,989692000,13593000,0.39074,0.06033,0.04372,0.00732,0.00554,0.378429999999998,3.80189,0.32082,0.15278,0.28226,0.26575,6.45609,38.54072,0.10682,0.00593,0.00224,4.46023,8.36936
