"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2012_Q3",28.802380952381,"Up",4.775e+10,-4.0398e+10,7.352e+09,-5.169e+09,-4.8e+08,-2.24e+08,-4.465e+09,2.183e+09,-1.4e+07,-8.3e+07,-8e+06,7.7e+07,2.169e+09,-2.75e+08,1.894e+09,-7.12e+08,1.182e+09,1.182e+09,-1e+06,1.181e+09,1.181e+09,3.104e+09,3.104e+09,5.496e+09,2.05e+09,7.13e+08,1.8526e+10,1.5169e+10,1.064e+10,4.24e+09,3.344e+09,1.68e+08,3.0049e+10,4.8575e+10,1.2565e+10,1.0462e+10,2.103e+09,5.9e+08,1.4371e+10,7.396e+09,7.829e+09,1.057e+09,5.497e+09,1.275e+09,1.5225e+10,2.9596e+10,1.8614e+10,6.92e+08,-3.58e+08,1.8948e+10,3.1e+07,1.8979e+10,4.8575e+10,1.182e+09,2.24e+08,5.4e+07,-2.6e+07,1.434e+09,-3.6e+07,0,-3.6e+07,0,-4.337e+09,2e+06,6.038e+09,1.703e+09,3.101e+09,3.101e+09,3e+06,3.104e+09,2.407e+09,7.986e+09,3.057e+09,0.15397,0.04572,0.02473,0.06223,0.02431,2.58848,1.28912,1.55941,0.16441,1.87905,1.8585,75.97333,30.14749,4.86388,0,0.03394,0.08786,0,2.02825,2.23637
"2","2012_Q4",35.0416129032258,"Up",4.3903e+10,-3.6189e+10,7.714e+09,-4.962e+09,-4.32e+08,-2.29e+08,-4.301e+09,2.752e+09,-5.5e+07,-7.4e+07,1.5e+07,4e+06,2.697e+09,-2.48e+08,2.449e+09,-8.48e+08,1.601e+09,1.601e+09,-2e+06,1.599e+09,1.599e+09,4.43e+09,4.43e+09,5.743e+09,2.564e+09,9.07e+08,2.1873e+10,1.5311e+10,1.08e+10,4.246e+09,3.344e+09,1.76e+08,3.0357e+10,5.223e+10,1.4844e+10,1.2267e+10,2.577e+09,5.85e+08,1.6386e+10,7.393e+09,7.845e+09,1.081e+09,5.436e+09,1.328e+09,1.5238e+10,3.1624e+10,1.8649e+10,2.164e+09,-1.29e+08,2.0573e+10,3.3e+07,2.0606e+10,5.223e+10,1.601e+09,2.29e+08,-8.3e+07,1.71e+08,1.918e+09,-4.2e+08,3.72529029846191e-09,-4.2e+08,-1.25e+08,-7999999.99999905,-9e+07,26999999.999999,-1.96e+08,1.302e+09,1.302e+09,2.4e+07,1.326e+09,2.981e+09,7.978e+09,3.58e+09,0.17571,0.06268,0.03642,0.0776,0.03061,2.2389,1.33486,1.5347,0.15275,2.53535,2.49979,69.61194,32.62024,5.67639,0.1982,0.04732,0.09827,0.07817,1.1902,1.28924
"3","2013_Q1",44.1118333333333,"Up",4.4445e+10,-3.7498e+10,6.947e+09,-5.194e+09,-4.42e+08,-2.37e+08,-4.515e+09,1.753e+09,-1.7e+07,-7.6e+07,6e+06,5.3e+07,1.736e+09,-5.92e+08,1.144e+09,-4.82e+08,6.62e+08,7.1e+08,-2e+06,7.08e+08,7.08e+08,3.474e+09,3.474e+09,3.43e+09,2.465e+09,6.55e+08,1.7962e+10,1.5407e+10,1.0471e+10,4.233e+09,3.344e+09,1.65e+08,3.0111e+10,4.8073e+10,1.1611e+10,9.731e+09,1.88e+09,1.3e+07,1.2482e+10,6.961e+09,7.824e+09,1.325e+09,5.444e+09,1.055e+09,1.4785e+10,2.7267e+10,1.8732e+10,2.713e+09,-3.14e+08,2.0775e+10,3.1e+07,2.0806e+10,4.8073e+10,6.62e+08,2.37e+08,7.51e+08,-3.82e+08,1.305e+09,-8.47e+08,0,-8.67e+08,-1.57e+08,-1.004e+09,-2.21e+08,1e+06,-1.381e+09,-9.43e+08,-9.43e+08,-1.3e+07,-9.56e+08,1.99e+09,6.974e+09,1.243e+09,0.15631,0.03944,0.01593,0.03403,0.01473,1.75565,1.43903,1.31054,0.14507,1.12646,1.11094,70.71374,33.05384,1.97766,0.24979,0.0243,0.03491,0.22175,1.75879,1.99658
"4","2013_Q2",45.53234375,"Up",4.2251e+10,-3.5243e+10,7.008e+09,-4.877e+09,-3.27e+08,-2.42e+08,-4.308e+09,2.131e+09,-4.9e+07,-7e+07,-2e+06,2.3e+07,2.082e+09,-2.4e+07,2.058e+09,-6.63e+08,1.395e+09,1.41e+09,-3e+06,1.407e+09,1.407e+09,4.753e+09,4.753e+09,5.811e+09,2.218e+09,6.96e+08,2.117e+10,1.5257e+10,1.0498e+10,4.226e+09,3.344e+09,1.55e+08,2.9981e+10,5.1151e+10,1.4148e+10,1.192e+10,2.228e+09,1.3e+07,1.4951e+10,6.958e+09,7.864e+09,1.339e+09,5.507e+09,1.018e+09,1.4822e+10,2.9773e+10,1.8781e+10,3.923e+09,-6.22e+08,2.1344e+10,3.4e+07,2.1378e+10,5.1151e+10,1.395e+09,2.42e+08,1.54e+08,4e+08,2.213e+09,-3.73e+08,5.5e+07,-3.23e+08,-1.94e+08,-3000000.00000024,-3.88e+08,-5.96046447753906e-08,-5.85e+08,1.305e+09,1.305e+09,-2.6e+07,1.279e+09,2.373e+09,6.971e+09,3.063e+09,0.16587,0.05044,0.0333,0.06582,0.02751,2.17697,1.41596,1.39269,0.13628,2.25109,2.22878,67.59836,34.14876,4.90056,0.31039,0.04421,0.08458,0.13788,0.93468,1.04083
"5","2013_Q3",42.231875,"Down",4.3849e+10,-3.7257e+10,6.592e+09,-5.136e+09,-3.68e+08,-2.29e+08,-4.539e+09,1.456e+09,-2e+06,-6.9e+07,1.8e+07,4.9e+07,1.454e+09,-1e+06,1.453e+09,-5.07e+08,9.46e+08,9.6e+08,-2e+06,9.58e+08,9.58e+08,4.22e+09,4.22e+09,5.033e+09,3.441e+09,1.483e+09,2.0529e+10,1.4679e+10,1.0624e+10,4.097e+09,3.228e+09,1.53e+08,2.94e+10,4.9929e+10,1.3153e+10,1.1061e+10,2.092e+09,1.4e+07,1.4005e+10,6.455e+09,7.779e+09,1.328e+09,5.48e+09,9.71e+08,1.4234e+10,2.8239e+10,1.8818e+10,4.687e+09,-5.66e+08,2.1655e+10,3.5e+07,2.169e+10,4.9929e+10,9.46e+08,2.29e+08,-1.7e+07,-2.04e+08,9.68e+08,-3.06e+08,4.5e+07,-2.66e+08,-1.92e+08,-5.02e+08,-5.43e+08,-4e+06,-1.241e+09,-5.39e+08,-5.39e+08,6e+06,-5.33e+08,1.685e+09,6.469e+09,1.682e+09,0.15033,0.0332,0.02185,0.04417,0.01919,1.75574,1.46583,1.30194,0.12956,1.5473,1.53166,70.82209,34.97576,2.71666,0.31011,0.032,0.0468,0.20042,1.33472,1.54464
"6","2013_Q4",48.88125,"Up",4.4801e+10,-3.8717e+10,6.084e+09,-5.204e+09,-3.49e+08,-2.33e+08,-4.622e+09,8.8e+08,-7.5e+07,-6.8e+07,-3.72529029846191e-09,-6999999.99999999,8.05e+08,-1e+06,8.04e+08,-2.78e+08,5.26e+08,5.4e+08,-5e+06,5.35e+08,5.35e+08,5.942e+09,5.942e+09,4.737e+09,2.788e+09,6.62e+08,2.1085e+10,1.5077e+10,1.0728e+10,4.093e+09,3.228e+09,1.52e+08,2.9898e+10,5.0983e+10,1.3633e+10,1.1236e+10,2.397e+09,2.4e+07,1.468e+10,6.132e+09,8.177e+09,1.286e+09,5.633e+09,1.258e+09,1.4309e+10,2.8989e+10,1.8845e+10,5.03e+09,-3.67e+08,2.155e+10,4.44e+08,2.1994e+10,5.0983e+10,5.26e+08,2.33e+08,9.7e+07,1.076e+09,1.949e+09,6.46e+08,-1.49011611938477e-08,6.42e+08,-1.89e+08,-5.1e+08,-2.71e+08,-1e+06,-9.71e+08,1.62e+09,1.62e+09,1.02e+08,1.722e+09,1.113e+09,6.156e+09,3.113e+09,0.1358,0.01964,0.01194,0.02432,0.01049,5.81869,1.43631,1.31804,0.12075,0.87858,0.87022,73.57283,35.38971,5.11221,0.31038,0.01993,0.08569,0.35327,0.19227,0.24318
"7","2014_Q1",56.0906557377049,"Up",4.3823e+10,-3.7028e+10,6.795e+09,-5.557e+09,-4.34e+08,-2.43e+08,-4.88e+09,1.238e+09,-2.4e+07,-6.8e+07,2.4e+07,2e+07,1.214e+09,-3e+06,1.211e+09,-3.96e+08,8.15e+08,8.33e+08,-7e+06,8.26e+08,8.26e+08,5.4e+09,5.4e+09,3.354e+09,2.583e+09,8.51e+08,1.9237e+10,1.5398e+10,1.122e+10,3.943e+09,3.096e+09,1.49e+08,3.0561e+10,4.9798e+10,1.1962e+10,9.948e+09,2.014e+09,2.4e+07,1.2931e+10,6.131e+09,8.344e+09,9.21e+08,6.125e+09,1.298e+09,1.4475e+10,2.7406e+10,1.8893e+10,5.622e+09,3.7e+07,2.195e+10,4.42e+08,2.2392e+10,4.9798e+10,8.15e+08,2.43e+08,1.99e+08,-3.92e+08,8.97e+08,-5.97e+08,1.13e+08,-4.97e+08,-2.32e+08,-5e+06,-6.34e+08,-1.1e+07,-8.82e+08,-4.82e+08,-4.82e+08,-6e+07,-5.42e+08,1.481e+09,6.155e+09,8.88e+08,0.15506,0.02825,0.01885,0.03689,0.01659,1.07506,1.48767,1.22392,0.1236,1.37997,1.3666,73.21344,36.67104,1.48355,0.38759,0.02868,0.02407,0.28087,0.50979,0.60985
"8","2014_Q2",61.0220634920635,"Up",4.1068e+10,-3.4381e+10,6.687e+09,-5.37e+09,-4.02e+08,-2.34e+08,-4.734e+09,1.317e+09,-1.8e+07,-6.8e+07,1.9e+07,3.1e+07,1.299e+09,-999999.999999999,1.298e+09,-4.26e+08,8.72e+08,1.578e+09,-6e+06,1.572e+09,1.572e+09,5.326e+09,5.326e+09,5.908e+09,2.527e+09,7.05e+08,2.1059e+10,1.5751e+10,1.0001e+10,4.036e+09,3.141e+09,1.58e+08,2.9788e+10,5.0847e+10,1.4214e+10,1.139e+10,2.824e+09,4e+07,1.5164e+10,6.177e+09,7.677e+09,7.93e+08,5.692e+09,1.192e+09,1.3854e+10,2.9018e+10,1.8938e+10,6.962e+09,7.7e+07,2.1385e+10,4.44e+08,2.1829e+10,5.0847e+10,8.72e+08,2.34e+08,1.67e+08,1.23e+08,1.398e+09,-6.5e+07,1.3e+07,-8.6e+07,-2.29e+08,-7999999.99999997,-6.6e+08,-4.58e+08,-1.355e+09,-43000000.0000002,-43000000.0000002,-3.1e+07,-7.4e+07,1.551e+09,6.217e+09,2.035e+09,0.16283,0.03207,0.03828,0.07201,0.03092,1.29453,1.38875,1.32933,0.12227,2.69154,2.66633,70.31554,36.61483,3.48427,0.39209,0.05042,0.05697,0.14567,0.57447,0.67654
"9","2014_Q3",62.06796875,"Up",4.6322e+10,-3.9316e+10,7.006e+09,-5.566e+09,-4.12e+08,-2.39e+08,-4.915e+09,1.44e+09,-7.8e+07,-6.6e+07,-2.9e+07,1.7e+07,1.362e+09,-3e+06,1.359e+09,-4.87e+08,8.72e+08,8.72e+08,-9e+06,8.63e+08,8.63e+08,4.956e+09,4.956e+09,4.928e+09,2.796e+09,6.11e+08,2.0605e+10,1.6092e+10,1.0038e+10,4.087e+09,3.14e+09,2.12e+08,3.0217e+10,5.0822e+10,1.3934e+10,1.1529e+10,2.405e+09,3.8e+07,1.512e+10,6.174e+09,7.573e+09,8.25e+08,5.686e+09,1.062e+09,1.3747e+10,2.8867e+10,1.8992e+10,7.541e+09,1.86e+08,2.1511e+10,4.44e+08,2.1955e+10,5.0822e+10,8.72e+08,2.39e+08,-1.74e+08,-1.07e+08,8.3e+08,-4.14e+08,2.1e+07,-3.61e+08,-2.81e+08,-9e+06,-6.08e+08,2e+07,-8.78e+08,-4.09e+08,-4.09e+08,3.9e+07,-3.7e+08,1.679e+09,6.212e+09,1.645e+09,0.15125,0.03109,0.01863,0.03931,0.01698,1.90614,1.36276,1.31483,0.12223,1.52528,1.51063,81.87006,38.0188,2.90739,0.49664,0.03201,0.04603,0.32561,0.74806,0.87222
"10","2014_Q4",55.345,"Down",4.1037e+10,-3.3602e+10,7.435e+09,-5.634e+09,-4.01e+08,-2.49e+08,-4.984e+09,1.801e+09,-6.2e+07,-6e+07,-1.3e+07,1.1e+07,1.739e+09,-1.2e+07,1.727e+09,-5.38e+08,1.189e+09,1.189e+09,-9e+06,1.18e+09,1.18e+09,3.108e+09,3.108e+09,5.673e+09,2.37e+09,6.47e+08,1.8194e+10,1.6951e+10,1.0237e+10,4.268e+09,3.275e+09,1.74e+08,3.1456e+10,4.965e+10,1.2415e+10,1.0381e+10,2.034e+09,3.5e+07,1.3769e+10,6.178e+09,7.509e+09,8.42e+08,5.632e+09,1.035e+09,1.3687e+10,2.7456e+10,1.9034e+10,8.439e+09,-2.5e+07,2.1746e+10,4.48e+08,2.2194e+10,4.965e+10,1.189e+09,2.49e+08,-1.81e+08,-8.28e+08,4.29e+08,-1.508e+09,1.27e+08,-1.381e+09,-2.77e+08,-1.3e+07,-4.81e+08,-6999999.99999994,-7.78e+08,-1.73e+09,-1.73e+09,-1.18e+08,-1.848e+09,2.05e+09,6.213e+09,2.52e+08,0.18118,0.04389,0.02875,0.05317,0.02377,0.21356,1.32137,1.23709,0.12514,2.10906,2.08865,73.34689,38.8674,0.45041,0.49509,0.04057,0.00702,0.23475,1.51463,1.72404
