"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",46.8528125,"Down",2455600000,-1998500000,457100000,-252600000,-252600000,204500000,-21100000,-2.3e+07,1900000,183400000,-17200000,166200000,-55800000,110400000,110400000,-6e+05,109800000,109800000,1971331652.73116,1971331652.73116,4647215867.35977,4647215867.35977,1372611772.13576,5471006817.51381,1721110375.0891,13462166109.7405,5963416556.74449,24312735979.0913,-444129823.058138,1045744391.38709,592380813.322349,178558114.022812,30276152535.8358,43738318645.5763,2095268088.58753,253227714.384649,1842040374.20288,3600218024.69256,511648295.885138,-701187960.0779,6207134409.16522,9099584708.86824,6260427873.42948,192892262.420415,839848272.493869,1548227293.96125,15360012582.2977,21567146991.4629,10253818114.8047,10754466118.2033,1092585966.70275,22100870199.7108,70301454.4025589,22171171654.1134,43738318645.5763,110400000,152700000,-16300000,-28400000,218400000,-103400000,4900000,4900000,-108300000,-108300000,3700000,2e+05,-99500000,-45100000,-53200000,-28600000,-28600000,15400000,-111500000,7400000,7400000,-5e+05,6900000,357200000,0,281200000,0.18615,0.08328,0.04471,0.97587644902781,0.439428518801936,2.56102,2.97181743259115,0.720685070816958,0.326877218910818,0.77983,0.76945,17.44034,87.5210175639808,1.99716,0.32031,0.480468885461537,-0.304213424246672,0.41075,22.8840355687929,45.3267712428445
"2","2015_Q4",40.02234375,"Down",2538900000,-2012600000,526300000,-246800000,-246800000,279500000,-20600000,-22600000,2e+06,258900000,-12700000,246200000,-88300000,157900000,157900000,-1500000,156400000,156400000,672210550.910386,672210550.910386,2462738622.45326,2462738622.45326,1487937257.37859,2166568939.17127,674736791.696368,6789455369.9135,7930572185.5815,15875545326.3638,1479256725.64729,3318314797.12903,545026937.774116,1382419371.34094,23806117511.9453,30595572881.8588,1717189362.86251,907575904.794883,809613458.067626,961906008.230852,553816098.628379,70470679.9740333,3232911469.72174,6472794902.95608,5953242624.47649,157764087.473472,2342282757.49796,1985509097.98708,12426037527.4326,15658948997.1543,10659039371.6016,4396088706.06778,-234204677.76575,14820923399.9036,115700484.800853,14936623884.7045,30595572881.8588,157900000,1.55e+08,-2400000,-44700000,265800000,-109300000,14400000,14400000,-123700000,-123700000,0,400000.00000006,-108900000,-45200000,-107900000,2199999.99999976,2200000,-899999.999999993,-151800000,5099999.99999994,5099999.99999994,-1600000,3500000.00000006,434500000,9.5367431640625e-07,368800000,0.20729,0.11009,0.0616,0.302628816342603,0.136406172933979,2.35806,2.27789247753038,0.993741690272319,0.243755739636939,1.10843,1.09601,17.99362,57.455622521327,2.61375,0.32034,0.152172961820512,-0.0770911414155574,0.289,12.6971851895976,23.9771370809482
"3","2016_Q1",28.9585245901639,"Down",3616100000,-2930700000,685400000,-390400000,-390400000,2.95e+08,-53100000,-63600000,10500000,241900000,-107700000,134200000,-26900000,107300000,117900000,-2100000,115800000,115800000,207800000,207800000,1575400000,1575400000,1.761e+09,631800000,2.69e+08,4.176e+09,9159800000,12036600000,2794900000,4647100000,532900000,1.806e+09,21196400000,25372400000,1586300000,1231400000,354900000,63700000,528800000,410200000,2178800000,5558200000,5837300000,1.43e+08,3189700000,2142800000,11395500000,13574300000,10770400000,1661600000,-780200000,11651800000,146300000,11798100000,25372400000,117900000,281300000,42900000,-55100000,3.87e+08,-220600000,6e+06,6e+06,-226600000,-226600000,0,269500000,48900000,-97900000,875600000,-990500000,5300000,-33500000,-246300000,189600000,189600000,-4500000,185100000,576300000,5621900000,327500000,0.18954,0.08158,0.03202,0.00982,0.00456,2.82815,1.91665,1.15055,0.22158,0.44504,0.43698,13.89739,44.78017,1.25865,0.37625,0.00919,0.01408,0.84542,9.39459,18.35288
"4","2016_Q2",31.92796875,"Up",3470900000,-2816200000,654700000,-388500000,-388500000,266200000,-48100000,-65200000,17100000,218100000,-162800000,55300000,-24900000,30400000,-451700000,-1800000,-453500000,-453500000,236900000,236900000,1.491e+09,1.491e+09,2027400000,2.53e+08,2.53e+08,4008300000,9762700000,11060200000,3494200000,5229100000,530400000,1806500000,20822900000,24831200000,1589300000,1313700000,275600000,184800000,4.75e+08,4.75e+08,2249100000,5631700000,5813900000,1.41e+08,3.533e+09,2139900000,11445600000,13694700000,10699100000,1104100000,-827500000,10975700000,160800000,11136500000,24831200000,-451700000,294300000,563900000,116500000,5.23e+08,-195400000,8400000,8400000,-203800000,-203800000,-271600000,-36400000,-503400000,-96400000,179400000,-88900000.0000002,5400000,-3900000,-9800000,9800000.00000003,9800000.00000003,-1200000,8600000,560500000,5816500000,506500000,0.18863,0.07669,-0.13066,-0.04072,-0.01826,-1.11687,1.78218,1.22971,0.23424,-1.76048,-1.76048,13.47399,42.60753,1.96623,0.37422,-0.01569,0.02225,-0.21257,9.95468,20.96018
"5","2016_Q3",36.47296875,"Up",3492700000,-2835400000,657300000,-395500000,-395500000,261800000,-57800000,-6.4e+07,6200000,2.04e+08,-111100000,92900000,-34500000,58400000,59800000,-2900000,56900000,56900000,367600000,367600000,1662800000,1662800000,2058900000,359900000,359900000,4449200000,9787300000,11031900000,3449200000,5210400000,5.43e+08,1829300000,20819200000,25268400000,1593500000,1243400000,350100000,518900000,444700000,444700000,2557100000,5858300000,5763800000,144300000,3513800000,2105700000,11622100000,14179200000,10552300000,1060300000,-677200000,10935400000,153800000,11089200000,25268400000,59800000,291200000,8e+07,-178800000,252200000,-213500000,1100000,1100000,-214600000,-214600000,-99600000,4e+05,-312700000,-95200000,4.65e+08,-160700000,-16200000,-1.3e+07,196100000,135600000,135600000,-4900000,130700000,5.53e+08,6377200000,195200000,0.18819,0.07496,0.01629,0.00513,0.00225,3.43058,1.73994,1.27865,0.25238,0.22402,0.22106,13.75079,43.05276,0.7685,0.3748,0.00655,0.0084,1.67311,10.86727,22.95493
"6","2016_Q4",40.4466666666667,"Up",3596500000,-2869200000,727300000,-394800000,-394800000,332500000,-37300000,-6.4e+07,26700000,295200000,-43100000,252100000,-99700000,152400000,93699999.9999999,-1400000,92300000.0000001,92300000.0000001,258700000,258700000,1596600000,1596600000,1691100000,338800000,338800000,3885200000,9345200000,1.0216e+10,2651300000,4.788e+09,545100000,2231600000,19561200000,23446400000,1485600000,1109500000,376100000,345200000,476300000,476300000,2307100000,5513900000,5588300000,145300000,3.283e+09,2.16e+09,11102200000,13409300000,10441200000,83300000.0000001,-611400000,9913100000,1.24e+08,10037100000,23446400000,93699999.9999999,282200000,127700000,27999999.9999999,531600000,-194900000,1400000,1400000,-196300000,-196300000,-173500000,4900000.00000001,-363500000,-94700000,-15199999.9999999,-39300000,7e+06,-128300000,-277500000,-109400000,-109400000,5e+05,-108900000,614700000,5859100000,547500000,0.20222,0.09245,0.02566,0.0092,0.00394,5.93174,1.68402,1.33597,0.24989,0.36526,0.36027,14.23229,39.22873,2.1666,0.37475,0.0087,0.02548,1.026,9.11079,16.84331
"7","2017_Q1",43.7970967741935,"Up",3611700000,-2892400000,719300000,-412400000,-412400000,306900000,-45200000,-19300000,-35600000,261700000,-417400000,-155700000,69300000,-86400000,-91700000,-3e+05,-9.2e+07,-9.2e+07,340900000,340900000,1592200000,1592200000,1638200000,341300000,2.89e+08,3912600000,9294300000,9831300000,2599300000,4778100000,257800000,2196100000,19125600000,23038200000,1460300000,1054400000,405900000,292900000,429800000,429800000,2.183e+09,5496300000,5515200000,1.4e+08,3130700000,2244500000,11011500000,13194500000,10461100000,-105900000,-626400000,9728800000,114900000,9843700000,23038200000,-91700000,274200000,199600000,-5e+05,381600000,-161700000,20300000,20300000,-1.82e+08,-1.82e+08,-11600000,1500000,-171800000,-94400000,-11900000,-34600000,15600000,1100000,-139800000,7e+07,7e+07,12200000,82200000,581100000,5789200000,349600000,0.19916,0.08497,-0.02547,-0.00935,-0.00399,-3.8,1.7923,1.3404,0.25129,-0.36551,-0.3533,14.34923,38.65236,1.38896,0.37505,0.00011,0.01653,-1.02609,9.37584,17.75269
"8","2017_Q2",45.3653968253968,"Up",3447200000,-2855900000,591300000,-388900000,-388900000,202400000,-39300000,-54100000,14800000,163100000,-81000000.0000001,82100000,-3600000,78500000,78500000,2400000,80900000,80900000,493300000,493300000,1517500000,1517500000,1656300000,368100000,368100000,4035200000,9079100000,9756800000,2520100000,4762100000,271500000,2203100000,18835900000,22871100000,1509300000,1213300000,2.96e+08,283400000,439800000,439800000,2232500000,5483800000,5512100000,1.41e+08,3.116e+09,2255100000,10995900000,13228400000,10432800000,-139200000,-742100000,9551500000,91200000,9642700000,22871100000,78500000,275200000,45500000,118200000,517400000,-171400000,4700000,4700000,-176100000,-176100000,2100000,8800000,-160500000,-100400000,-12100000,-58800000,9200000,-19300000,-190600000,166300000,166300000,-13900000,152400000,477600000,5767200000,4.28e+08,0.17153,0.05871,0.02347,0.00839,0.00354,5.29048,1.80748,1.37186,0.25216,0.32205,0.31688,13.72293,38.02349,1.70382,0.39968,0.00867,0.02046,1.24104,11.0425,26.05682
"9","2017_Q3",48.0695238095238,"Up",3656300000,-2980900000,675400000,-398700000,-398700000,276700000,-45100000,-52900000,7800000,231600000,-89800000,141800000,-43600000,98200000,98200000,4900000,103100000,103100000,385300000,385300000,1563500000,1563500000,1587900000,1455800000,228700000,4992500000,8633700000,9323900000,2282600000,4.458e+09,3.36e+08,2247300000,17957600000,22950100000,1528400000,1225300000,303100000,214200000,578500000,366300000,2321100000,5459500000,5.4e+09,1.41e+08,3033300000,2225700000,10859500000,13180600000,10433500000,-147200000,-601600000,9684700000,84800000,9769500000,22950100000,98200000,263900000,81500000,-143900000,299700000,-164300000,24900000,24900000,-189200000,-189200000,-35200000,3e+06,-196500000,-100700000,-89200000,-2.7e+07,-2e+06,-2200000,-219100000,-115900000,-115900000,7900000,-1.08e+08,540600000,5673700000,2.76e+08,0.18472,0.07568,0.0282,0.01055,0.00449,2.67701,2.15092,1.34916,0.24722,0.41043,0.40495,14.55533,38.55374,1.09873,0.40088,0.00978,0.01324,0.97672,9.78246,19.1124
"10","2017_Q4",51.4873015873016,"Up",3695600000,-3000100000,695500000,-402700000,-402700000,292800000,-38700000,-56100000,17400000,254100000,133200000,387300000,-60700000,326600000,326600000,1500000,328100000,328100000,225200000,225200000,1902400000,1902400000,1767100000,463600000,262900000,4358300000,9077300000,11434400000,3325300000,5466200000,354100000,2288800000,20511700000,2.487e+10,1840700000,1452700000,3.88e+08,710500000,507700000,507700000,3058900000,5812300000,5789400000,142900000,3378400000,2268100000,11601700000,14660600000,10613100000,79300000,-543400000,1.0149e+10,60400000,10209400000,2.487e+10,326600000,275200000,-153700000,1.41e+08,589100000,-160300000,11200000,11200000,-171500000,-171500000,-410100000,-6e+05,-5.71e+08,-100500000,-74200000,15100000,15100000,-22300000,-181900000,-163800000,-163800000,3700000,-160100000,5.68e+08,6522800000,609400000,0.1882,0.07923,0.08878,0.03214,0.01319,1.85736,1.42479,1.43599,0.26228,1.30147,1.28515,14.65926,40.25783,2.41729,0.39865,0.01903,0.02706,0.30631,11.08732,21.5082
