"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.98,"Up",44753000,-3091000,41662000,-27219000,-18040000,-7317000,-1862000,14443000,-1194000,-1194000,-17134.9332658648,13249000,13249000,-917380.284156775,13249000,13249000,13243000,13243000,-66226186.9311953,-4592429.86581375,37827807.2241999,37827807.2241999,4939430.56253367,-1721487.54431014,-2658923.4414029,429414.463167365,-25180436.6887718,713853.372816001,92926277.1123797,39599116.0667537,53625988.6388377,-139660.705637004,93640130.4851957,68459693.7964239,76693431.8575495,20253191.3546719,56440240.5028775,-48495865.8876786,3776288.52403549,280786.050339191,-47982658.776954,-128332929.057026,25880871.3414294,9335106.84340741,21709248.9509195,75092369.319017,27109710.5420631,542657537.680966,-501425864.157756,20823780.4436089,41349920.727076,41349983.2543608,68459693.7964239,13243000,2050000,2742000,451000,18486000,-1316000,-806000,-4166000,-235000,-235000,0,-4401000,13279000,13279000,-45610.2881977768,13279000,16493000,0,38628186.7471377,0.93093,0.32273,0.29591,1.20815179784911,0.13953866996648,2.08588077713102,2.19910347245486,5.9291305822402,-0.123922601081785,0.33934,0.2768,1.14675,0.512809559900614,0.919617269194429,0.308274251972345,0.527854821166723,-0.962525528967131,-1.34013881130669
"2","2011_Q1",24.7724193548387,"Up",53369000,-4784000,48585000,-23050000,-17070000,-4118000,-1862000,25535000,-1070000,-1070000,0,24465000,24465000,0,24465000,24465000,24459000,24459000,44794000,44794000,22081000,22081000,5046000,2537000,1858000,679000,74458000,690000,60581000,22033000,38213000,335000,61271000,135729000,26621000,3049000,23572000,16064000,17251000,1273000,59936000,24629000,20613000,9053000,11478000,45242000,105178000,505417000,-474866000,11534868.2661653,30551000,30551000,135729000,24459000,2035000,2342000,-6045000,22791000,-1113000,-1113000,-4427000,4690000,4690000,0,263000,21941000,21941000,0,21941000,27570000,40693000,20412000,0.91036,0.47846,0.4583,0.8006,0.1802,0.83454,1.24229,3.4427,0.29981,0.61937,0.56954,1.35146,0.77364,0.51689,0.26627,0.22221,-0.14875,-0.1606
"3","2011_Q2",30.5671428571429,"Up",50881000,-2809000,48072000,-25468000,-19911000,-3695000,-1862000,22604000,-777000,-777000,8567.46663293238,21827000,21827000,305793.428052258,21827000,21827000,21827000,21827000,89627062.3103984,79949309.9552712,19503814.2586,19503814.2586,4918106.47915544,3969912.51477005,3570807.81380097,568445.178944212,118018895.562924,632465.542394666,48482407.6292068,14936294.6444154,33075337.1203874,417720.235212335,49114873.1716014,167133768.734525,17598606.0474835,134269.548442687,17464336.4990408,38720080.2958929,20141320.4919882,1531987.98322027,92511219.592318,49924934.6856753,15941709.5528569,8768964.38553086,5364750.3496935,26219293.5603277,118730513.152646,496525820.773011,-448089545.280748,5292934.13308266,48403276.424308,48403255.5818797,167133768.734525,21827000,1966000,3354000,-2699000,24448000,-1191000,-1191000,-7516000,4526000,4526000,-2620242.61268289,-2990000,20267000,20267000,22805.1440988884,20267000,24570000,0,22402437.7509541,0.94479,0.44425,0.42898,0.514760234050296,0.187347110011173,0.654133907622994,1.15511384251505,1.83738730591993,0.337928367027262,0.54078,0.47765,1.26062,1.3600876466998,0.56560007693519,0.244903582675885,0.165795892944426,-0.639897323677623,-0.57812206289777
"4","2011_Q3",39.27578125,"Up",64567000,-3370000,61197000,-27338000,-22094000,-3382000,-1862000,33859000,-657000,-657000,8567.46663293238,33202000,33202000,0,33202000,33202000,33202000,33202000,102396000,102396000,24999000,24999000,4736000,3957000,3575000,382000,136088000,647000,56674000,18309000,38213000,152000,57321000,193409000,31378000,4665000,26713000,32693000,17246000,1366000,81317000,-2.98023223876953e-08,10496000,8484000,2e+06,10496000,91813000,521433000,-419837000,1609978.04436089,101596000,101596000,193409000,33202000,1947000,3618000,-1331000,37436000,-1220000,-820000,-4166000,4885000,4885000,-4191024.10564454,718999.999999998,37335000,37335000,22805.1440988884,37335000,35806000,32693000,33255000,0.94781,0.5244,0.51423,0.3268,0.17167,1.0016,1.67355,0.90371,0.16904,0.8056,0.70976,1.56663,2.46508,0.80689,0.22932,0.22969,-1.94668,-2.05863
"5","2011_Q4",38.444126984127,"Down",73293000,-3901000,69392000,-35688000,-30547000,-3279000,-1862000,33704000,-125000,-125000,0,33579000,32482000,0,32482000,32482000,32482000,32482000,113348000,101215000,31428000,31428000,4297000,3067000,2535000,532000,152140000,930000,54743000,16447000,38213000,83000,55673000,207813000,44297000,8463000,35834000,12769401.9082143,13238000,1138000,57535000,-58234181.8713506,8949000,8199000,750000,8949000,66484000,528686000,-387355000,-2000,141329000,141329000,207813000,32482000,1941000,4436000,7194000,46053000,-1487000,-13622000,-37336000,4057000,4057000,-333000,-33612000,-1181000,-1181000,0,-1181000,35645000,0,41352000,0.94678,0.45985,0.44318,0.22983,0.1563,1.27307,2.6443,0.47042,0,0.77261,0.68738,1.74333,3.36161,0.98359,0.21615,0.27517,-3.17991,-3.36304
"6","2012_Q1",47.8475806451613,"Up",83536000,-3862000,79674000,-42010000,-36384000,-3764000,-1862000,37664000,-41000,-41000.0000000001,0,37623000,37473000,-2.3283064365387e-10,37473000,37473000,37473000,37473000,157898000,82076000,34374000,34374000,3909000,2950000,1690000,1260000,199131000,1557000,52885000,14585000,38213000,87000.0000000002,54442000,253573000,39912000,5129000,34783000,0,12958000,1138000,52870000,0,7915000,7915000,2.3283064365387e-10,7915000,60785000,542701000,-349882000,-31000,192788000,192788000,253573000,37473000,1973000,11029000,-6816000,43659000,2619000,-65599000,1.49011611938477e-08,2951000,2951000,-150000,2801000,-19139000,-19139000,0,-19139000,39637000,0,35440000,0.95377,0.45087,0.44859,0.19437,0.14778,0.94575,3.76643,0.31529,0,0.88426,0.78955,1.97121,4.54925,0.83628,0.18671,0.17658,-3.9836,-4.19228
"7","2012_Q2",45.9203174603175,"Down",102530000,-7744000,94786000,-59047000,-44356000,-3959000,-10732000,35739000,13000,13000,-7.27595761418343e-12,35752000,35752000,-5517000,30235000,27681000,27681000,27681000,244218000,170654000,56143000,56143000,16992000,9787000,5714000,4073000,327140000,2026000,566194000,326072000,239737000,385000,568220000,895360000,88255000,13689000,74566000,9171437.07125007,16329000,1138000,104584000,241614167.799727,9470000,7630000,1840000,9470000,114054000,1103504000,-322201000,3000,781306000,781306000,895360000,27681000,13699000,3821000,-20906000,24295000,-285000,82508000,0,5160000,5160000,-23385000,-18225000,88578000,88578000,0,88578000,49438000,0,33764000,0.92447,0.34857,0.26998,0.03543,0.03092,1.21975,3.12801,0.14598,0,0.51334,0.47657,1.90141,14.48929,0.62615,0.035,0.0427,-4.93988,-6.83338
"8","2012_Q3",48.3846031746032,"Up",124231000,-12289000,111942000,-72515000,-57224000,-2321000,-12970000,39427000,-1721000,-1463000,-258000,37706000,37706000,-6593000,31113000,27145000,27145000,27145000,154543000,154543000,78130000,78130000,48355000,19414000,5906000,13508000,300442000,4631000,1392871000,927409000,446236000,19226000,1397502000,1697944000,159585000,34505000,125080000,23750000,8983000,2011000,192318000,444190000,230503000,7356000,37441000,674693000,867011000,1126377000,-295056000,-388000,830933000,830933000,1697944000,27145000,15980000,5525000,28319000,76969000,-2209000,-561242000,450916000,13413000,13413000,4324000,468653000,-15620000,-15620000,-491000,-16111000,55407000,467940000,88110000,0.90108,0.31737,0.2185,0.03267,0.01599,3.2459,1.56221,1.04342,0.27559,0.47663,0.44828,2.18133,14.59006,1.54709,0.01775,0.05761,5.65627,7.94879
"9","2012_Q4",53.7661290322581,"Up",175515000,-32629000,142886000,-87587000,-60925000,-6920000,-19742000,55299000,-8848000,-7749000,-1099000,46451000,46451000,-12856000,33595000,33209000,33209000,33209000,189793000,189793000,88304000,88304000,30300000,76615000,7127000,9942000,385012000,6671000,1335016000,876959000,437652000,20405000,1341687000,1726699000,144167000,20535000,123632000,26719000,7686000,1943000,178572000,435631000,226935000,7129000,38887000,662566000,841138000,1133548000,-261847000,13860000,885561000,885561000,1726699000,33209000,22124000,16306000,-27496000,44143000,-2499000,-3749000,-5938000,2422000,2422000,-1972000.00000001,-5488000,34906000,34906000,344000,35250000,77423000,462350000,60284000,0.8141,0.31507,0.18921,0.0375,0.01923,1.81529,2.15606,0.94984,0.26777,0.57552,0.54546,3.0417,15.34688,1.04473,0.02109,0.03828,3.52036,4.92879
"10","2013_Q1",57.1903333333333,"Up",183703000,-25763000,157940000,-90561000,-61377000,-7277000,-21907000,67379000,-9933000,-7670000,-2263000,57446000,57446000,108760000,166206000,200551000,200551000,200551000,387196000,387196000,75480000,75480000,26525000,62371000,7445000,19113000,551572000,7281000,1407640000,869952000,442600000,20238000,1414921000,1966493000,160437000,15887000,144550000,29688000,1413000,1138000,191538000,427073000,227116000,6776000,41947000,654189000,845727000,1151016000,-61296000,31046000,1120766000,1120766000,1966493000,200551000,22426000,-133558000,14926000,104345000,-983000,87189000,-5937000.00000006,4008000,4008000,5519000,3589999.99999994,195124000,195124000,2279000,197403000,89805000,456761000,-5012000,0.85976,0.36678,1.09171,0.17894,0.10198,-0.0249900000000003,2.8797,0.7546,0.23227,3.45813,3.27382,3.16762,19.32555,-0.0864199999999997,0.11113,-0.00278,0.77462,1.03244
