"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.3071875,"Up",44448000,-36309000,8139000,-5219000,-5219000,2920000,-80000,-32000,-48000,2840000,2840000,-1110000,1730000,1730000,1730000,1730000,268402379.225695,268402379.225695,37086091.0847252,37086091.0847252,3155428.08496572,1859597.82164076,308643898.395386,3002775.51032768,25940826.5034822,8661072.63840817,16871275.0376998,408433.072244168,28943602.0138099,337587500.409196,14702357.1155333,60.5732737071812,14702296.5422596,1548706.85349556,1303277.03243688,1214768.35714253,17554341.0014658,10222855.24644,3079629.72757557,2023522.9174817,1056106.81009387,13302484.9740155,30856825.9754813,304596575.345542,-153139158.179278,306730676.646263,306730674.430034,337587500.405515,1730000,1730000,325000,176000,-2820000,-589000,-331000,-330000,1565000,0,1590000,671000,671000,671000,3245000,0,1204000,0.18311,0.06569,0.03892,-0.0339137900161654,-0.0204711748311972,0.69595,20.0115818912477,-0.298372504916953,0.0965396495774879,0.07391,0.07251,1.89893,6.4885365740176,0.05144,-0.0368195077887198,-0.216649598275832,-526.553943203451,-825.548166719744
"2","2011_Q1",3.46758064516129,"Up",41557000,-35134000,6423000,-5062000,-5062000,1361000,-103000,-65000,-38000,1258000,1258000,-438000,820000,820000,820000,820000,561000,561000,24272000,24272000,2732000,813000,27565000,2960000,26147000,8546000,16959000,642000,29107000,56672000,12798000,8756000,4042000,1680000,773000,773000,15251000,4832000,2576000,2032000,544000,7408000,22659000,27241000,6879000,34013000,34013000,56672000,820000,820000,264000,157000,813000,2054000,-829000,-829000,-1745000,0,-1615000,-389999.999999999,-389999.999999999,-389999.999999999,1625000,6512000,2047000,0.15456,0.03275,0.01973,0.02411,0.01447,2.49634,1.80742,0.66619,0.11491,0.03518,0.03426,1.78313,1.45943,0.08783,0.01903,0.04749,3.66215,4.37252
"3","2011_Q2",3.29650793650794,"Down",41508000,-34301000,7207000,-5207000,-5207000,2e+06,-78000,-49000,-29000,1922000,1922000,-805000,1117000,1117000,1117000,1117000,-59820626.408565,-59820626.408565,21792219.6384249,21792219.6384249,2093440.63834476,328300.726119746,-35934966.1317953,2895491.49655744,26082057.8321726,8419225.78719728,16988241.6541001,674605.642585277,28977549.32873,-6957416.80306527,12041214.2948222,10616063.1422421,1425151.15258012,1723181.04883481,639990.989187708,620160.547619158,14404386.3328447,2087214.91785335,2540456.75747481,2158659.0275061,381797.72996871,4627671.67532816,19032058.0081729,-34763191.7818474,42843302.7264259,-25989475.5487544,-25989474.8100113,-6957416.8018384,1117000,1117000,316000,477000,73000,1983000,-536000,-536000,-2782000,97000,-1958000,-511000,-511000,-511000,2316000,0,2658000,0.17363,0.04818,0.02691,0.0378345966720551,0.0236087249437324,2.37959,-2.22012229708255,0.809102501638984,0.0926509501408374,0.04725,0.04533,1.75583,0.326798641994135,0.11244,0.0328223359295733,0.109469032758611,111.41616940115,174.400208073248
"4","2011_Q3",4.2175,"Up",44094000,-36914000,7180000,-5537000,-5537000,1643000,-80000,-47000,-33000,1563000,1563000,-649000,914000,914000,914000,914000,647000,647000,24533000,24533000,1711000,251000,26891000.0000001,2865000,25840000,8280000,16959000,601000,28705000,55596000,12237000,8890000,3347000,1667000,726000,646000,14630000,1250000,2764000,2338000,426000,4014000,18644000,28149000,8910000,36952000.0000001,36952000,55596000,914000,914000,323000,308000,38000,1583000,-174000,-174000,-812000,5.82076609134674e-11,-812000,597000,597000,596999.999999996,1966000,2917000,2479000,0.16283,0.03726,0.02073,0.02473,0.01644,2.71225,1.83807,0.50455,0.05247,0.0383,0.03683,1.84789,1.54858,0.10389,0.02144,0.05815,1.15463000000011,1.38161999999999
"5","2011_Q4",3.62952380952381,"Down",47389000,-39169000,8220000,-7750000,-7750000,470000,-49000,-49000,0,421000,421000,-231000,190000,190000,190000,190000,71473000,71473000,26332000,26332000,1722000,246000,99527000,2868000,25635000,8162000,16959000,514000,28503000,128030000,12771000,7130000,5641000,1674000,840000,746000,15285000,873000,2889000,2412000,477000,3762000,19047000,101407000,-35111000,108983000,108983000,128030000,190000,190000,305000,268000,-1022000,-259000,-182000,-173000,-370000,0,71258000,70826000,70826000,70826000,775000,2547000,-198000,0.17346,0.00992,0.00401,0.00174,0.00148,-1.04211,6.51142,0.17477,0.01989,0.00796,0.00796,1.98593,2.77378,-0.0083,0.00166,-0.00173,-88.93677,-146.65106
"6","2012_Q1",4.89096774193548,"Up",44085000,-36914000,7171000,-9560000,-9560000,-2389000,-40000,-46000,6000,-2429000,-2429000,967000,-1462000,-1462000,-1462000,-1462000,74007000,74007000,22425000,22425000,2709000,219000,99141000,2979000,25521000,8053000,16959000,509000,28500000,127641000,13588000,8565000,5023000,1675000,808000,808000,16071000,454000,2756000,2346000,410000,3210000,19281000,102621000,-36948000,108360000,108360000,127641000,-1462000,-1462000,296000,31000,4439000,3304000,138000,142000,3964000,-3774000,-911999.999999985,2534000.00000001,2534000.00000001,2534000.00000001,-2093000,2129000,1517000,0.16266,-0.05419,-0.03316,-0.01349,-0.01145,-1.03762,6.16894,0.17793,0.01668,-0.06087,-0.06627,1.83557,2.72998,0.06316,-0.0096,0.0134,34.34209,30.08707
"7","2012_Q2",5.85333333333333,"Up",44560000,-37787000,6773000,-10997000,-10997000,-4224000,9000,-12000,21000,-4215000,-4215000,1521000,-2694000,-2694000,-2694000,-2694000,204496000,204496000,24350000,24350000,6580000,1544000,235426000,4315000,25505000,7942000,16959000,604000,29820000,265246000,17405000,10383000,7022000,9000,774000,774000,18188000,35000,3689000,2711000,978000,3724000,21912000,241039000,-40392000,243334000,243334000,265246000,-2694000,-2694000,317000,1099000,-1498000,-2776000,-1286000,-1286000,-2084000,167000,134551000,130489000,130489000,130489000,-3907000,44000,-8212000,0.152,-0.09479,-0.06046,-0.01107,-0.01016,3.04826,12.94403,0.09005,0.00017,-0.09806,-0.09806,1.62201,7.29977,-0.29892,-0.00787,-0.03324,52.32966,48.40246
"8","2012_Q3",4.98984126984127,"Down",54540000,-46074000,8466000,-11834000,-11834000,-3368000,-29000,-3000,-26000,-3397000,-3397000,-1780000,-5177000,-5177000,-5177000,-5177000,190712000,190712000,30834000,30834000,3994000,719000,225540000,6694000,28497000,8902000,19084000,511000,35191000,260731000,15702000,8329000,7373000,28000,1026000,1026000,16756000,103000,5525000,3395000,2130000,5628000,22384000,241979000,-46319000,238347000,238347000,260731000,-5177000,-5177000,424000,2788000,-5396000,-7361000,-1733000,-5446000,66000.0000000037,-167000,-977000,-13784000,-13784000,-13784000,-2944000,130999.999999996,-8293000,0.15523,-0.06175,-0.09492,-0.02172,-0.01986,1.60189,13.46025,0.09391,0.000500000000000004,-0.07537,-0.07537,0.794,2.8469,-0.12073,-0.01814,-0.03399,64.73539,56.58581
"9","2012_Q4",5.02112903225806,"Up",70988000,-61064000,9924000,-19204000,-19204000,-9280000,-329000,-15000,-314000,-9609000,-9609000,6460000,-3149000,-3149000,-3149000,-3149000,296503000,296503000,42881000,42881000,6824000,1376000,346208000,8083000,33480000,10487000,22521000,472000,41563000,387771000,26944000,12286000,14658000,359000,1395000,1395000,28698000,93491000,12844000,9761000,3083000,106335000,135033000,260269000,-50218000,252738000,252738000,387771000,-3149000,-3149000,721000,-4041000,-313000,-6782000,-1417000,-4715000,118038000,-6098928.51019186,117288000,105791000,105791000,105791000,-8559000,93850000,-16749000,0.1398,-0.13073,-0.04436,-0.01246,-0.00812,5.31883,12.06384,0.53428,0.24202,-0.0939,-0.0939,2.11684,6.26046,-0.49945,-0.00667,-0.0466,23.67718,21.83761
"10","2013_Q1",5.93266666666667,"Up",108512000,-92875000,15637000,-26765000,-26765000,-11128000,-3151000,-3170000,19000.0000000001,-14279000,-14279000,4999000,-9280000,-9280000,-9280000,-9280000,252293000,252293000,61245000,61245000,7396000,1866000,320934000,13090000,79184000,22473000,55947000,764000,92274000,413208000,46747000,22108000,24639000,491000,1789000,1789000,49027000,108956000,10166000,6781000,3385000,119122000,168149000,262659000,-60287000,245059000,245059000,413208000,-9280000,-9280000,1238000,-1346000,2007000,-7381000,-2564000,-52753000,22480000,-7500000,15938000,-44196000.0000001,-44196000,-44196000,-9890000,109447000,-15446000,0.1441,-0.10255,-0.08552,-0.03787,-0.02246,1.66444,6.54607,0.68616,0.26487,-0.17909,-0.17886,2.09409,3.90336,-0.29808,-0.02833,-0.04236,14.44348,12.83663
