"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",24.3545161290323,"Up",166398000,-96579000,69819000,-54084000,-32848000,-19192000,-2044000,15735000,-1e+06,132000,-27000,159000,-1132000,14735000,14735000,-4882000,9853000,9853000,9853000,9853000,262771000,245380000,110211000,110211000,113858000,55677000,35002000,542517000,90339000,170248000,19931000,70796000,79521000,260587000,803104000,44004000,39737000,4267000,87898000,87898000,131920000,79688000,79688000,79721000,211641000,186323000,343056000,62084000,591463000,591463000,803104000,9853000,4950000,6246000,-10575000,10474000,-3631000,26878000,23285000,-5000,-12561000,14022000,297000,-12269000,21490000,21490000,13539000,35029000,20685000,51000,11361000,0.41959,0.09456,0.05921,0.01666,0.01227,1.15305,4.11247,0.35783,6e-05,0.39929,0.39017,6.74331,23.96916,0.46041,0.01468,0.01693,-12.70099,-16.69654
"2","2011_Q2",25.8501587301587,"Up",183111000,-100717000,82394000,-56703000,-36078000,-18530000,-2095000,25691000,1754000,168000,-15000,183000,1586000,27445000,27445000,-8332000,19113000,19113000,19113000,19113000,321714083.44617,269869544.315976,126836395.487557,126836395.487557,127678050.224251,104144358.602246,83493957.8204122,680372887.760224,96918398.7754274,190123401.075345,22309902.0559082,80978088.2235155,86835410.795921,287041799.850772,967414687.610996,45570440.12179,47654890.2712373,-2084450.14944734,120401689.499753,120401689.499753,165986227.439182,109842995.363844,109842995.363844,109873187.851056,275859415.290239,250781158.471983,345758775.22084,95015338.6279339,691555272.320757,691555272.320757,967414687.610996,19113000,4767000,13076000,-6987000,29969000,-5129000,-51587000,-56784000,-5000,17331000,17331000,-408000,16918000,-9897000,-9897000,-7968000,-17865000,30458000,0,26674000,0.44997,0.1403,0.10438,-0.0236308394092561,-0.017840393198475,1.39559,4.15469692868737,0.398898036811053,4.84987418822614e-05,0.77418,0.75641,7.417,28.0860958000761,1.08044,-0.0226980101300947,0.0251598012850715,-13.0091474531109,-16.1987141655281
"3","2011_Q3",21.46515625,"Down",200880000,-112111000,88769000,-62482000,-38979000,-21246000,-2257000,26287000,9325000,144000,-17000,161000,9181000,35612000,35612000,-11889000,23723000,23723000,23723000,23723000,312367683.44617,246253644.315976,138175395.487557,138175395.487557,140103750.224251,105835958.602246,85012557.8204122,696482787.760224,100863098.775427,187144801.075345,22039602.0559082,82765088.2235155,82340110.795921,288007899.850772,984490687.610996,54126840.12179,48578490.2712373,5548349.85055266,124427689.499753,124427689.499753,178567727.439182,104644095.363844,104644095.363844,104670887.851056,283238615.290239,237114658.471983,370319975.22084,93817438.6279339,701252072.320757,701252072.320757,984490687.610996,23723000,4950000,-3404000,-19394000,5875000,-11080000,-1482000,-27083000,-5000,-18759000,8638000,466000,-18298000,-39506000,-39506000,12108000,-27398000,31237000,0,12652000,0.4419,0.13086,0.1181,-0.00883483940925612,-0.00708439319847504,0.53332,3.94112192868737,0.405268036811053,4.24987418822614e-05,0.93967,0.91836,7.9569,28.2133818000761,0.50115,-0.00912501013009473,0.0241438012850715,-10.8598424531109,-13.0867191655281
"4","2011_Q4",18.7303174603175,"Down",210882000,-120720000,90162000,-61572000,-37983000,-21738000,-1851000,28590000,766000,204000,-54000,258000,562000,29356000,29356000,-10334000,19022000,19022000,19022000,19022000,267439000,199681000,143400000,143400000,149465000,84466000,63240000,644770000,103249000,172374000,20178000,79824000,72372000,275623000,920393000,63188000,45287000,17901000,112658000,112658000,175860000,82070000,82070000,82093000,257953000,183494000,404914000,74032000,662440000,662440000,920393000,19022000,5136000,12837000,-18605000,18390000,-10901000,2892000,-7364000,-5000,-8078000,6463000,1031000,-7052000,3974000.00000001,3974000.00000001,-4410000,-436000.000000007,33726000,37000,14554000,0.42755,0.13557,0.0902,0.02872,0.02067,0.76511,3.66638,0.3894,4e-05,0.75888,0.74345,8.41307,26.42783,0.58063,0.02555,0.01955,-7.92866,-9.35299
"5","2012_Q1",22.6659677419355,"Up",207961000,-118464000,89497000,-58056000,-36459000,-19718000,-1879000,31441000,-25000,246000,-61000,307000,-271000,31416000,31416000,-36000,31380000,31380000,31380000,31380000,220203000,167061000,141037000,141037000,152385000,67021000,44964000,580646000,104504000,158116000,17980000,75954000,64182000,262620000,843266000,63770000,39841000,23929000,98620000,98620000,162405000,62841000,62841000,62860000,225265000,130486000,436294000,51221000,618001000,618001000,843266000,31380000,5686000,9071000,-13695000,32442000,-9652000,14755000,5564000,-3000,-56411000,2288000,716000,-55698000,-17692000,-17692000,-14928000,-32620000,37127000,34000,13816000,0.43035,0.15119,0.15089,0.05078,0.03721,0.44028,3.5753,0.36451,4e-05,1.27065,1.24672,8.42084,25.02434,0.55944,0.04609,0.02029,-5.93016,-7.00261
"6","2012_Q2",19.6415873015873,"Down",190767000,-110408000,80359000,-55046000,-34631000,-18779000,-1636000,25313000,518000,2e+05,-2000,202000,318000,25831000,25831000,-8780000,17051000,17051000,17051000,17051000,203083000,167662000,130581000,130581000,148047000,75579000,52314000,557290000,106028000,154811000,16405000,74756000,63650000,260839000,818129000,50637000,35379000,15258000,94573000,94573000,145225000,63565000,63565000,63580000,208805000,115063000,453345000,40916000,609324000,609324000,818129000,17051000,5828000,4601000,-11345000,16135000,-8113000,17595000,9482000,-4000,-16097000,4568000,-2732000,-18833000,6784000,6784000,-6183000,601000.000000015,31141000,30000,20463000,0.42124,0.13269,0.08938,0.02798,0.02084,1.20011,3.83742,0.34268,4e-05,0.72675,0.71161,8.13089,25.97068,0.87218,0.02534,0.03041,-6.52044,-8.02169
"7","2012_Q3",17.9625396825397,"Down",193284000,-115636000,77648000,-57311000,-35377000,-20323000,-1611000,20337000,1912000,24000,-5000,29000,1888000,22249000,22249000,-6094000,16155000,16155000,16155000,16155000,215175000,86064000,126588000,126588000,157057000,81148000,59174000,579968000,114439000,153614000,14746000,75806000,63062000,268053000,848021000,54136000,40831000,13305000,99419000,99419000,153571000,57594000,57594000,57605000,211176000,122929000,469500000,44416000,636845000,636845000,848021000,16155000,5678000,4427000,-9649000,16611000,-11462000,-93224000,-104686000,-3000,3152000,3152000,894000,4043000,-84032000,-84032000,2434000,-81598000,26015000,27000,10998000,0.40173,0.10522,0.08358,0.02537,0.01905,0.68078,3.77655,0.3316,3e-05,0.68683,0.67324,8.21751,27.07559,0.46758,0.02326,0.01584,-8.27015,-10.57914
"8","2012_Q4",17.3511290322581,"Down",196383000,-116138000,80245000,-53923000,-32894000,-19306000,-1723000,26322000,-1937000,-19000,-71000,52000,-1918000,24385000,24385000,-7177000,17208000,17208000,17208000,17208000,209604000,82580000,141332000,141332000,160095000,91760000,71873000,602791000,114898000,152673000,13076000,73751000,65846000,267571000,870362000,59570000,38287000,21283000,108481000,108481000,168068000,53936000,53936000,53942000,222010000,129012000,486708000,32632000,648352000,648352000,870362000,17208000,5673000,4154000,-16070000,10965000,-11038000,1863000,-9175000,-4000,-517000,3817000,39000,-481999.999999998,1308000.00000001,1308000.00000001,-4792000,-3484000,31995000,23000,12064000,0.40861,0.13403,0.08762,0.02654,0.01977,0.70107,3.58659,0.34242,3e-05,0.72813,0.71539,8.30969,27.43418,0.51047,0.0245,0.01718,-6.55043,-7.9622
"9","2013_Q1",17.677,"Up",188654000,-110921000,77733000,-60875000,-35617000,-19852000,-5406000,16858000,1299000,20000,-8000,28000,1279000,18157000,18157000,-5609000,12548000,12548000,12548000,12548000,224929000,67761000,144345000,144345000,160113000,85098000,61730000,614485000,115096000,151191000,9473000,77689000,64029000,266287000,880772000,63032000,29088000,33944000,90739000,90739000,153788000,55326000,55326000,55328000,209116000,131945000,499256000,40455000,671656000,671656000,880772000,12548000,6064000,7462000,-5014000,21060000,-5158000,-29720000,-38565000,-4000,1751000,1751000,-1474000,273000,-17232000,-17232000,2413000,-14819000,22922000,19000,18359000,0.41204,0.08936,0.06651,0.01868,0.01425,1.4631,3.99566,0.31134,2e-05,0.53106,0.52082,7.98434,28.42627,0.777,0.01726,0.02525,-9.81197,-13.34144
"10","2013_Q2",16.3946875,"Down",183202000,-105567000,77635000,-57137000,-36982000,-19301000,-854000.000000001,20498000,-1437000,38000,-12000,50000,-1475000,19061000,19061000,-4908000,14153000,14153000,14153000,14153000,179777000,87996000,126010000,126010000,169002000,76694000,55611000,551483000,116574000,229047000,50127000,111624000,67296000,345621000,897104000,57017000,29396000,27621000,101539000,101539000,158571000,67269000,67269000,67269000,225840000,137319000,489369000,44576000,671264000,671264000,897104000,14153000,6108000,6422000,20640000,47323000,-3901000,64896000,-6294000,-4000,4712000,4712000,-4046000,-23378000,17651000,17651000,2584000,20235000,26606000,15000,48253000,0.42377,0.11189,0.07725,0.02108,0.01578,3.40938,3.47783,0.33644,2e-05,0.59541,0.5843,7.70728,28.23997,2.03,0.05171,0.06533,-6.75645,-8.76973
