"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",12.2929032258065,"Up",139000,14000,153000,8441000,1158000,7283000,8594000,216000,203000,8810000,-6005000,2805000,-2974000,-169000,-21663000,-21663000,-21663000,20496000,11391000,8987000,8987000,3047000,4701000,4701000,37231000,65395000,31363000,15257000,8010000,2853000,5243000,133048000,170279000,5094000,3341000,1753000,2553000,562000,1991000,7647000,8273000,3598000,4675000,8273000,15920000,70573000,82900000,886000,154359000,154359000,170279000,-21663000,-2330000,25140000,4608000,5755000,4206000,-1608000,-2642000,0,0,-339000,-339000,2774000,2774000,2774000,6264000,0,18052000,1.10072,61.82734,-155.84892,-0.14034,-0.12722,-0.83331,4.86871,0.10314,0,-1.24701,-1.24643,0.008,8.88551,1.03914,-0.1332,0.111,-3.27203,-2.38492
"2","2011_Q2",13.3609523809524,"Up",12522000,-1563000,10959000,-6229000,-3724000,-2505000,4730000,184000,184000,4914000,-609000,4305000,-1445000,2860000,-6171000,-6171000,-6171000,39413617.3648245,26355543.6611329,16323541.0920902,16323541.0920902,4081513.53234823,-3162400.82242257,7423047.40865957,56656271.1668404,135719928.815368,-31064637.9153957,27358750.3100982,8010000.00166283,-3964522.38084751,7134086.64903114,136595346.85468,193251618.02152,4933128.29350104,1841895.03243094,3088746.60658742,-5594541.20478448,2974848.85928963,1508187.63242703,-661412.911283438,8481104.73741691,8618207.38924336,7336795.63371408,8481104.73741691,7819691.82613348,71896762.0746119,111936644.027607,1598520.09316796,185431926.195387,185431926.195387,193251618.02152,-6171000,797000,7382000,4714000,6722000,-832000,-212000,-3814000,458606.014182236,506046.886502315,-2000.00000000006,-2000,2906000,2918000,2918000,5527000,0,10854000,0.87518,0.37774000000001,-0.492809999999992,0.293975895683518,0.26252129930611,-1.75887,13.5812338842433,0.023995006325428,-4.70843605196968e-25,-0.355,-0.35472,0.72036,10.6477261127066,0.6244,0.282080047631066,-0.019053368238656,-8.65254552096571,-10.0334239431304
"3","2011_Q3",10.54875,"Down",13334000,-1849000,11485000,-7273000,-3473000,-3800000,4212000,375000,167000,4587000,0,4587000,-1763000,2824000,2488000,2488000,2488000,39901517.3648245,24674943.6611329,14866541.0920902,14866541.0920902,4163513.53234823,-2539000.82242258,5678347.40865957,56392571.1668404,120586028.815368,-16447137.9153957,24383750.3100982,8010000.00166283,-2106522.38084751,6613086.64903114,133768946.85468,190161518.02152,4275428.29350104,1449795.03243094,2823146.60658742,-3004541.20478448,2822548.85928963,1972787.63242703,1270887.08871656,8550604.73741691,7607807.38924336,6671195.63371408,8550604.73741691,9821491.82613348,73173562.0746119,105843644.027607,1322820.09316796,180340026.195387,180340026.195387,190161518.02152,2488000,807000,2232000,1890000,7417000,-414000,-158000,-6559000,383000,383000,-46000,337000,1195000,1185000,1185000,5019000,0,8258000,0.86133,0.31588,0.18659,0.265441895683518,0.23760229930611,3.31913,12.0696408842433,0.041907006325428,-4.70843605196968e-25,0.14293,0.14241,0.76601,10.3466791127066,0.47441,0.254285047631066,-0.028190368238656,-8.5862255209657,-10.2906069431304
"4","2011_Q4",11.5436507936508,"Up",12999000,-1302000,11697000,-7440000,-3533000,-3907000,4257000,318000,147000,4575000,5.82076609134674e-11,4575000,-1524000,3051000,3842000,3842000,3842000,34346000,18437000,9166000,9166000,3735000,2526000.00000001,2526000,49773000,63841999.9999999,30935000,14097000,8010000,3932000,4896000,123676000,173449000,3449000,1615000,1834000,4074000,1376000,2698000,7523000,8050000,3656000,4394000,8050000,15573000,74249000,83059000,568000,157876000,157876000,173449000,3842000,789000,1229000,-2809000,3051000,-141000,-112000,-248000,104000,104000,38000,142000,2945000,2943000,2943000,5046000,0,3620000,0.89984,0.32749,0.295559999999998,0.0243399999999997,0.02215,0.94222,6.61611,0.0986400000000001,0,0.22034,0.21954,0.74548,9.05408,0.2076,0.0231500000000001,0.02182,-6.80658,-8.06812
"5","2012_Q1",14.6346774193548,"Up",13901000,-2036000,11865000,-7925000,-4132000,-3793000,3940000,129000,129000,4069000,-1007000,3062000,-872000,2190000,-18665000,-18665000,-18665000,38443000,23217000,4385000,4385000,3181000,8251000,2268000,54260000,14586000,58182000,5199000,8010000,9159000,3303000,102522000,156782000,2813000,1572000,1241000,8227000,53000,2825000,11040000,6134000,222000,2421000,6134000,17174000,75367000,64394000,-153000,139608000,139608000,156782000,-18665000,766000,20700000,2909000,5710000,-164000,-80000,-983000,87000,87000,-34000,53000,4780000,4780000,4780000,4706000,0,8323000,0.85354,0.28343,-1.34271,-0.1337,-0.11905,-0.44591,4.91486,0.12302,0,-1.06969,-1.06779,0.79666,8.00092,0.47699,-0.12807,0.05711,-8.16893,-9.75711
"6","2012_Q2",15.0133333333333,"Up",11916000,-1590000,10326000,-7104000,-3466000,-3638000,3222000,146000,138000,3368000,-1378057.32383266,3368000,-1213000,2155000,2706000,2706000,2706000,62924000,49359000,4767000,4767000,2972000,10459000,7342000,81122000,14042000,25323000,4987000,8010000,9328000,2998000,70865000,151987000,2680000,879000,1801000,3788000,51000,1753000,6468000,2578000,210000,2368000,2578000,9046000,76174000,67100000,-333000,142941000,142941000,151987000,2706000,749000,317000,-1831000,1941000,-157000,-83000,24308000,79000,79000,-186000,-107000,26142000,26142000,26142000,3971000,4.93038065763132e-32,3196000,0.86657,0.27039,0.22709,0.01893,0.0178,1.18108,12.54205,0.06328,0,0.15484,0.15438,0.68185,8.17927,0.18288,0.0186,0.02196,-15.84588,-19.52948
"7","2012_Q3",18.1736507936508,"Up",12210000,-1615000,10595000,-6906000,-3394000,-3512000,3689000,305000,143000,3994000,-804000,3190000,-1244000,1946000,1723000,1723000,1723000,73588000,60184000,4628000,4628000,3665000,4922000,3494000,86803000,13695000,25139000,4802000,8010000,9303000,3024000,67600000,154403000,2464000,1496000,968000,3411000,51000,1602000,5875000,2598000,207000,2391000,2598000,8473000,77009000,68824000,97000,145930000,145930000,154403000,1723000,731000,1270000,509000,4233000,-112000,-91000,6438000,138000,138000,16000,154000,10825000,10825000,10825000,4420000,0,6061000,0.86773,0.30213,0.14111,0.01181,0.01116,3.5177,14.77498,0.05806,0,0.09834,0.09778,0.69692,8.32934,0.34595,0.0116,0.04081,-16.64887,-19.94795
"8","2012_Q4",19.9145161290323,"Up",13959000,-2251000,11708000,-6915000,-3412000,-3503000,4793000,139000,137000,4932000,0,4932000,-1758000,3174000,3062000,3062000,3062000,79387000,65868000,5177000,5177000,3263000,2690000,1560000,90517000,13214000,25143000,4616000,8010000,9527000,2990000,67158000,157675000,1569000,740000,829000,3904000,49000,2139000,5473000,2551000,196000,2355000,2551000,8024000,77626000,71886000,139000,149651000,149651000,157675000,3062000,734000,549000,1466000,5811000,-160000,-43000,-87999.9999999981,63000,63000,-102000,-39000.0000000037,5684000,5684000,5684000,5527000,1.57772181044202e-30,8591000,0.83874,0.34336,0.21936,0.02046,0.01942,2.80568,16.53883,0.05362,2.93873587705572e-39,0.17478,0.17369,0.79679,8.54221,0.49038,0.02012,0.05644,-14.36349,-16.56311
"9","2013_Q1",24.9853333333333,"Up",13843000,-1962000,11881000,-7243000,-3753000,-3490000,4638000,178000,122000,4816000,-1.16415321826935e-10,4816000,-1962000,2854000,2740000,2740000,2740000,29657000,15540000,5069000,5069000,3524000,1486000,603000,39736000,13610000,22540000,4430000,8010000,6025000,4075000,64583000,104319000,2723000,1657000,1066000,4176000,47000,2489000,6899000,2432000,185000,2247000,2432000,9331000,19079000,75869000,40000,94988000,94988000,104319000,2740000,715000,314000,1872000,5641000,-334000,-67000,-1040000,-54927000,64000,-2000,-54929000,-50328000,-50328000,-50328000,5353000,0,8853000,0.85827,0.33504,0.19793,0.02885,0.02627,3.23102,5.75968,0.09823,0,0.16351,0.1617,0.8261,5.66856,0.52832,0.02813,0.09087,-5.54026,-6.39435
"10","2013_Q2",25.03171875,"Up",13851000,-1959000,11892000,-7015000,-3653000,-3362000,4877000,72000,72000,4949000,1176000,6125000,-1877000,4248000,4248000,4248000,4248000,30961000,21465000,4416000,4416000,3222000,1287000,478000,39886000,13587000,21257000,4245000,8010000,5972000,3030000,67930000,107816000,4313000,943000,1367000,2622000,46000,936000,6935000,2179000,174000,2005000,2179000,9114000,19552000,78873000,277000,98702000,98702000,107816000,4248000,722000,-753000,1190000,5407000,-857000,-38000,438000,84000,84000,-4000,80000,5925000.00000001,5925000.00000001,5925000,5599000,0,7809000,0.85857,0.3521,0.30669,0.04304,0.0394,1.83828,5.75141,0.09234,0,0.28987,0.28581,0.94514,6.73504,0.53286,0.04211,0.07741,-5.52974,-6.34837
"11","2013_Q3",21.4328125,"Down",13695000,-1945000,11750000,-7621000,-3847000,-3774000,4129000,220000,55000,4349000,-12000.0000000002,4337000,-917000,3420000,4102000,4102000,4102000,35684000,20537000,4911000,4911000,3364000,1624000,1495000,45583000,13214000,21290000,4060000,8010000,6075000,3145000,62010000,107593000,1849000,969000,880000,1619000,45000,1303000,3468000,2140000,181000,1959000,2140000,5608000,17639000,84219000,127000,101985000,101985000,107593000,4102000,724000,343000,-3751000,1418000,-382000,-73000,412000,-2532000,149000,-226000,-2758000,-928000,-928000,-928000,4853000,0,1637000,0.85798,0.3015,0.29953,0.04022,0.03813,0.39907,13.14389,0.05499,0,0.28052,0.27569,0.93654,6.97429,0.11195,0.03939,0.01572,-7.35298,-8.64229
"12","2013_Q4",23.5778125,"Up",14289000,-1990000,12299000,-8061000,-4052000,-4009000,4238000,1236000,60000,5474000,-1174000,4300000,-1122000,3178000,3131000,3131000,3131000,28434000,17711000,4736000,4736000,3210000,1765000,1720000,38145000,12870000,21217000,3874000,8010000,6188000,3145000,65781000,103926000,1608000,736000,872000,2191000,44000,2022000,3799000,2088000,171000,1917000,2088000,5887000,10721000,87350000,-32000,98039000,98039000,103926000,3131000,728000,713000,507000,5079000,-209000,-1000,-242000,-7602000,40000,-61000,-7663000,-2826000,-2826000,-2826000,4966000,0,6386000,0.86073,0.29659,0.21912,0.03194,0.03013,2.0396,10.0408,0.06005,7.52316384526264e-37,0.21726,0.2126,0.99153,6.80307,0.44313,0.03127,0.06378,-5.72573,-6.7093
