"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",1.35746031746032,"Up",16834000,-5408000,11426000,-10584000,-9358000,-1226000,842000,22000,22000,864000,1022000,-4000,1018000,1018000,1018000,1018000,-17288722.8778553,-17823981.2605108,535258.382655531,15393808.8986697,15393808.8986697,18794084.3514368,19185612.0242463,6030543.54542761,23239870.6503524,810522427.112888,285310327.515675,495512476.933096,29699622.6641164,833763978.270824,839794521.816251,63581596.8735171,63490907.5859353,4367658.96531279,24226197.2365587,24226197.2365587,87807794.1100759,-8034499.65814837,-8034524.35995999,-8034499.65814835,79773294.4519275,955500706.5247,-194014275.053975,-1465204.10640181,760021227.364324,760021227.364324,839794521.816251,1018000,273000,-85000,887000,2093000,-629000,-315000,-1942000,-9000,-106000,14000,-115000,36000,36000,36000,1115000,0,1377000,0.67875,0.05002,0.06047,-1.8401661070102,-1.08384588710573,1.35265,-11.4508417556127,-6.40393222444926,2.61842884642636e-17,0.01605,0.01576,0.26536,12.4628201616058,0.02171,-1.73353685304356,-2.83110882138412,-202.20496706144,-386.730537296697
"2","2010_Q3",1.53015625,"Up",17367000,-5620000,11747000,-9796000,-8525000,-1271000,1951000,12000,12000,1963000,1972000,-3000,1969000,1969000,1969000,1969000,3149638.56107236,1827009.3697446,1322629.19132777,6900904.44933484,6900904.44933484,8395042.1757184,8590806.01212316,15503271.7727138,11329435.3251762,347842213.556444,120711163.757838,211145238.466548,15985811.3320582,359172489.135412,374675760.908126,32578298.4367586,30689453.7929676,2820829.48265639,10884598.6182794,10884598.6182794,43462897.0550379,-3774249.82907418,-3774262.17998,-3774249.82907418,39688647.2259637,526949353.26235,-191284637.526987,-677602.053200906,334987113.682162,334987113.682162,374675760.908126,1969000,326000,47000,-141000,2201000,-450000,0,-450000,-9000,-1959000,621000,-1968000,-217000,-217000,-217000,2277000,0,1689000,0.6764,0.11234,0.11338,-0.656703053505098,-0.377272943552863,0.8578,-3.66212587780636,-2.29141111222463,1.30921442321318e-17,0.03107,0.03036,0.274,5.4715000808029,0.02665,-0.60947842652178,-1.18007441069206,-87.3166285307199,-165.079938648348
"3","2010_Q4",2.5803125,"Up",17778000,-5659000,12119000,-10701000,-9570000,-1131000,1418000,78000,78000,1496000,1496000,0,1496000,1496000,1496000,1496000,14102546.1870241,12349003.1232482,1753543.06377592,2431968.14977828,2431968.14977828,2826680.72523947,2891935.33737439,20353423.9242379,4879478.44172539,97429404.5188147,32859387.9192792,58573746.155516,5996270.4440194,102309163.045137,122662586.969375,16032432.8122529,12337151.2643225,2710276.4942188,3660199.53942645,3660199.53942645,19692632.3516793,-1222416.60969139,-1222420.72666,-1222416.60969139,18470215.7419879,296123784.420783,-191684879.175662,-246534.017733635,104192371.227387,104192371.227387,122662586.969375,1496000,361000,99000,724000,2680000,-810000,880000,-2031000,-10000,72000,1398000,62000,711000,711000,711000,1779000,0,1693000,0.68169,0.07976,0.08415,-0.064394351168366,-0.0315276478509543,1.13168,0.496834707397879,-0.110693704074877,4.36404807737727e-18,0.02364,0.02237,0.28094,1.6916400269343,0.02675,-0.0504794755072601,-0.27283480356402,-28.0204361769066,-49.6734062161161
"4","2011_Q1",2.69709677419355,"Up",18184000,-5936000,12248000,-10215000,-9024000,-1191000,2033000,26000,26000,2059000,2059000,-48000,2011000,2011000,2011000,2011000,18401000,16474000,1927000,863000,863000,707000,707000,22076000,2398000,2110000,214000,1210000,686000,4508000,26584000,9849000,4551000,3470000,835000,835000,10684000,39000,39000,39000,10723000,208280000,-192346000,-73000,15861000,15861000,26584000,2011000,369000,230000,-995000,1615000,-162000,-1.16415321826935e-10,-6e+05,-10000,-3117000,519000,-3127000,-2112000,-2112000,-2112000,2402000,1.29246970711411e-26,1293000,0.67356,0.1118,0.11059,0.12679,0.07565,0.64296,2.06627,0.67606,0,0.03231,0.02994,0.29213,0.25481,0.02077,0.12648,0.08132,-7.6607,-9.05116
"5","2011_Q2",3.29968253968254,"Up",18507000,-6085000,12422000,-10816000,-9409000,-1407000,1606000,20000,20000,1626000,1626000,321000,1947000,1947000,1947000,1947000,18876000,16934000,1942000,1070000,1070000,654000,654000,22166000,2393000,4709999.99999999,1234000,2466000,1010000,7103000,29269000,9933000,3448000,4534000,691000,691000,10624000,428000,428000,428000,11052000,208674000,-190399000,-58000,18217000,18217000,29269000,1947000,364000,-70000,-101000,2140000,-185000,-608314.065717038,-9e+05,-9000,-771000,267000,-780000,460000,460000,460000,1970000,0,1363000,0.67121,0.08678,0.1052,0.10688,0.06652,0.70005,2.08641,0.60669,0,0.03127,0.02959,0.29723,0.29258,0.02189,0.10442,0.0731,-9.58173,-11.75342
"6","2011_Q3",4.219375,"Up",19819000,-6672000,13147000,-12282000,-10742000,-1540000,865000,-11000,-11000,854000,854000,-22000.0000000005,832000,832000,832000,832000,19104000,17200000,1904000,1796000,1796000,1195000,1195000,22749000,3252000,35666000,12336000,22642000,688000,38918000,61667000,11794000,4719000,5374000,1323000,1323000,13117000,409000,409000,409000,13526000,237804000,-189567000,-96000,48141000,48141000,61667000,832000,426000,329000,-485000,1102000,-1026000,-562559.453702945,-1024000,-238000,426000,426000,188000,266000,266000,266000,1291000,0,-198000.000000002,0.66335,0.04364,0.04198,0.01728,0.01349,-0.23798,1.73431,0.28097,0,0.01306,0.01228,0.31108,0.75563,-0.00311,0.01714,-0.00408,-14.79783,-22.08555
"7","2011_Q4",3.82460317460317,"Down",23278000,-7474000,15804000,-13252000,-11297000,-1955000,2552000,49000,49000,2601000,2601000,-15000,2586000,2586000,2586000,2586000,21916000,20004000,1912000,1917000,1917000,948000,948000,25320000,3483000,37804000,11979000,25150000,675000.000000004,41287000,66607000,11337000,4481000,5424000,1013000,1013000,12350000,4e+05,4e+05,4e+05,12750000,240926000,-186981000,-88000,53857000,53857000,66607000,2586000,742000,418000,-580000,3166000,-532000,-228525.11483738,-532000,-26000,196000,196000,170000,2804000,2804000,2804000,3294000,0,2197000,0.67892,0.10963,0.11109,0.04802,0.03882,0.84957,2.0502,0.23674,0,0.03724,0.03532,0.3352,0.77553,0.03164,0.04766,0.04049,-6.65331,-8.58777
"8","2012_Q1",4.11629032258065,"Up",21768000,-5565000,16203000,-12595000,-10752000,-1843000,3608000,-363000,-363000,3245000,3245000,62070000,65315000,63863000,63863000,63863000,24368000,22426000,1942000,2279000,2279000,928000,928000,28156000,3820000,98757000,11622000,25150000,61985000,102577000,130733000,11324000,5476000,4376000,891000,891000,12215000,68000,68000,68000,12283000,241626000,-123118000,-58000,118450000,118450000,130733000,63863000,791000,-61593000,-258000,2803000,-557000,28000,-913000,-2000.00000000003,534000,2046000,532000,2422000,2422000,2422000,4399000,-3.30872245021211e-24,-58486000,0.74435,0.16575,2.9338,0.53916,0.4885,-0.9158,2.30503,0.1037,0,0.9093,0.86518,0.30994,1.68653,-0.83274,0.53885,-0.49348,-5.53944,-6.75388
"9","2012_Q2",4.0884126984127,"Down",25252000,-8396000,16856000,-14431000,-12605000,-1826000,2425000,8000,8000,2433000,14398000,-5781000,8617000,8617000,8617000,8617000,38242000,36274000,1968000,2837000,2837000,2898000,946000,44570000,5240000,90814000,11265000,25150000,54399000,96054000,140624000,12272000,6375000,4313000,708000,708000,12980000,39000,39000,39000,13019000,242138000,-114501000,-32000,127605000,127605000,140624000,8617000,862000,6334000,-887000,14926000,-1048000,0,-1048000,-43000,13000,87000,-30000,13848000,13848000,13848000,3287000,0,7133000,0.66751,0.09603,0.34124,0.06753,0.06128,0.82778,3.43374,0.10203,-1.23259516440783e-32,0.12185,0.11627,0.35709,1.80445,0.10087,0.06751,0.0558799999999999,-11.63432,-15.7699
"10","2012_Q3",5.61873015873016,"Up",24313000,-7280000,17033000,-14600000,-12570000,-2030000,2433000,9000,9000,2442000,2442000,-898999.999999993,1542999.99999999,1741000,1741000,1741000,40117000,38108000,2009000,4153000,4153000,2209000,1058000,47050000,7225000,90444000,10908000,25150000,54386000,97669000,144719000,10926000,5065000,4184000,985000,985000,11911000,1820000,1820000,1820000,13731000,243739000,-112760000,9000,130988000,130988000,144719000,1741000,984000,1306999.99999999,405000,4437000,-3682000,7.27595761418343e-12,-3682000,-16000,1095000,1168000,1079000,1834000,1834000,1834000,3417000,0,1039000,0.70057,0.10007,0.0716099999999997,0.01329,0.01203,0.59678,3.95013,0.10483,0,0.0244299999999999,0.0233500000000001,0.34118,1.83814,0.01458,0.01311,0.00782,-11.74042,-16.4887
