"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",25.3293650793651,"Down",2.3193e+10,-1.7653e+10,5.54e+09,-3.524e+09,-2.48e+08,2.016e+09,-1.25e+08,-1.25e+08,1.891e+09,1.891e+09,-7e+08,1.191e+09,1.191e+09,1.191e+09,1.191e+09,1.1075e+10,9.92e+09,1.155e+09,2.309e+09,2.309e+09,4.995e+09,5.95e+08,4.065e+09,1.8379e+10,2.07e+09,1.3835e+10,2.5257e+10,2.083e+10,2.297e+09,2.13e+09,4.1162e+10,5.9541e+10,6.385e+09,2.522e+09,1.4035e+10,1.144e+09,1.2891e+10,2.2942e+10,8.001e+09,4.279e+09,4.279e+09,1.228e+10,3.5222e+10,1.1e+07,2.4056e+10,2.52e+08,2.4319e+10,2.4319e+10,5.9541e+10,1.191e+09,2.48e+08,3.8e+07,-2.72e+08,1.205e+09,-1.32e+08,-3.73e+08,-7.8e+07,-109706303.115826,-5.83e+08,0,-6.08e+08,-5.31e+08,9.5e+07,-6.26e+08,6.37e+08,-5.02e+08,1.2e+08,1.2e+08,1.2e+08,2.264e+09,1.0523e+10,2.56e+09,0.23887,0.08692,0.05135,0.04897,0.02,2.14945,0.80111,1.44833,0.17674,1.04017,1.03028,20.2559,21.2393,2.23581,0,-0.094083560787368,0.03044,0.06544,0,-0.24382,-0.27381
"2","2010_Q3",26.975,"Up",2.3264e+10,-1.7755e+10,5.509e+09,-3.608e+09,-2.49e+08,1.901e+09,-1.19e+08,-1.19e+08,1.782e+09,1.782e+09,-6.59e+08,1.123e+09,1.123e+09,1.123e+09,1.123e+09,1.1073e+10,9.983e+09,1.09e+09,2.766e+09,2.766e+09,5.143e+09,5.01e+08,4.251e+09,1.8982e+10,2.069e+09,1.4019e+10,2.5354e+10,2.0985e+10,2.257e+09,2.112e+09,4.1442e+10,6.0424e+10,6.122e+09,2.676e+09,1.4305e+10,9.92e+08,1.3313e+10,2.3103e+10,8.036e+09,4.456e+09,4.456e+09,1.2492e+10,3.5595e+10,1.1e+07,2.4465e+10,3.53e+08,2.4829e+10,2.4829e+10,6.0424e+10,1.123e+09,2.49e+08,1e+08,-7.49e+08,7.23e+08,-2.11e+08,63000000.0000002,-8.7e+07,0,-2.35e+08,-1.74e+08,1.55e+08,-6.04e+08,1.1e+07,-6.15e+08,1.98e+08,-4.25e+08,6.3e+07,6.3e+07,63000000.0000001,2.15e+09,1.0712e+10,1.849e+09,0.2368,0.08171,0.04827,0.04523,0.01859,1.64648,0.82162,1.43361,0.17728,0.99645,0.98856,20.64241,22.03106,1.64064,0.15439,5.08315543424674,0.03243,0.04623,0.15494,-0.16791,-0.1899
"3","2010_Q4",30.27921875,"Up",2.3668e+10,-1.7728e+10,5.94e+09,-3.795e+09,-2.47e+08,2.145e+09,-1.19e+08,-1.19e+08,2.026e+09,2.026e+09,-7.49e+08,1.277e+09,1.277e+09,1.277e+09,1.277e+09,1.1003e+10,9.577e+09,1.426e+09,2.082e+09,2.082e+09,5.171e+09,4.5e+08,4.216e+09,1.8256e+10,2.033e+09,1.4749e+10,2.7985e+10,2.2855e+10,3.008e+09,2.122e+09,4.4767e+10,6.3023e+10,7.152e+09,2.929e+09,1.4361e+10,1.11e+09,1.3251e+10,2.4442e+10,8.076e+09,4.894e+09,4.894e+09,1.297e+10,3.7412e+10,1.1e+07,2.5109e+10,4.91e+08,2.5611e+10,2.5611e+10,6.3023e+10,1.277e+09,2.47e+08,2.26e+08,1.154e+09,2.904e+09,-2.05e+08,-7.04e+08,-1.907e+09,0,-2.816e+09,-1.39e+08,2.51e+08,-5.68e+08,8.3e+07,-6.51e+08,-3.8e+07,-4.94e+08,-4.06e+08,-4.06e+08,-4.06e+08,2.392e+09,1.1005e+10,4.09e+09,0.25097,0.09063,0.05395,0.04986,0.02026,3.20282,0.74691,1.46078,0.17462,1.14529,1.13511,21.22691,22.96951,3.66816,0.12466,7.53118328784253,0.03411,0.09853,0.10885,0.00084,0.00093
"4","2011_Q1",35.2801612903226,"Up",2.403e+10,-1.7821e+10,6.209e+09,-4.407e+09,-3.2e+08,1.802e+09,-1.18e+08,-1.18e+08,1.684e+09,1.684e+09,-6.41e+08,1.043e+09,1.043e+09,1.043e+09,1.043e+09,1.1195e+10,9.123e+09,2.072e+09,2.061e+09,2.061e+09,5.137e+09,5.41e+08,4.193e+09,1.8393e+10,2.2e+09,1.4707e+10,2.7763e+10,2.2745e+10,2.91e+09,2.108e+09,4.467e+10,6.3063e+10,6.488e+09,2.48e+09,1.4732e+10,1.533e+09,1.3199e+10,2.37e+10,8.662e+09,4.876e+09,4.876e+09,1.3538e+10,3.7238e+10,1.1e+07,2.5562e+10,2.52e+08,2.5825e+10,2.5825e+10,6.3063e+10,1.043e+09,3.2e+08,2.2e+08,-1.42e+08,1.441e+09,-3.3e+08,-1.143e+09,-2.51e+08,1.9e+07,-1.705e+09,-1.36e+08,2.96e+08,-5.42e+08,8.3e+07,-6.25e+08,1.92e+08,-1.9e+08,-4.54e+08,-4.54e+08,-4.54e+08,2.122e+09,1.1142e+10,2.291e+09,0.25839,0.07499,0.0434,0.04039,0.01654,2.19655,0.77608,1.44194,0.17668,0.95425,0.94219,21.98536,23.62763,2.09607,0.12443,8,0.02818,0.05475,0.13039,-0.02498,-0.02941
"5","2011_Q2",40.9128571428571,"Up",2.5432e+10,-1.9324e+10,6.108e+09,-3.887e+09,-2.7e+08,2.221e+09,-1.18e+08,-1.18e+08,2.103e+09,2.103e+09,-7.57e+08,1.346e+09,1.346e+09,1.346e+09,1.346e+09,1.215e+10,9.79e+09,2.36e+09,2.495e+09,2.495e+09,5.173e+09,6.41e+08,4.297e+09,1.9818e+10,2.189e+09,1.4932e+10,2.8396e+10,2.3393e+10,2.893e+09,2.11e+09,4.5517e+10,6.5335e+10,6.382e+09,2.286e+09,1.5859e+10,1.382e+09,1.4477e+10,2.4527e+10,9.359e+09,4.878e+09,4.878e+09,1.4237e+10,3.8764e+10,1.1e+07,2.6353e+10,2.07e+08,2.6571e+10,2.6571e+10,6.5335e+10,1.346e+09,2.7e+08,2.57e+08,-6.49e+08,1.224e+09,-2.13e+08,-5.83e+08,-5.41e+08,271927469.900086,-1.337e+09,-1.35e+08,5.51e+08,-5.24e+08,9.6e+07,-6.2e+08,8.88e+08,7.8e+08,6.67e+08,6.67e+08,6.67e+08,2.491e+09,1.1645e+10,2.386e+09,0.24017,0.08733,0.05293,0.05066,0.0206,1.77266,0.80801,1.45888,0.17824,1.23941,1.22475,23.41805,24.46685,2.19705,0.12431,7.23960557071916,0.03437,0.05537,0.1003,-0.20273,-0.22738
"6","2011_Q3",40.70375,"Down",2.5234e+10,-1.9132e+10,6.102e+09,-4.003e+09,-2.7e+08,2.099e+09,-1.19e+08,-1.19e+08,1.98e+09,1.98e+09,-7.13e+08,1.267e+09,1.267e+09,1.267e+09,1.267e+09,1.2307e+10,9.775e+09,2.532e+09,2.851e+09,2.851e+09,5.271e+09,6.47e+08,4.471e+09,2.0429e+10,2.302e+09,1.4935e+10,2.8449e+10,2.3423e+10,2.878e+09,2.148e+09,4.5686e+10,6.6115e+10,6.373e+09,1.689e+09,1.6312e+10,1.474e+09,1.4838e+10,2.4374e+10,9.442e+09,4.936e+09,4.936e+09,1.4378e+10,3.8752e+10,1.1e+07,2.702e+10,3.32e+08,2.7363e+10,2.7363e+10,6.6115e+10,1.267e+09,2.7e+08,2e+08,-5.42e+08,1.195e+09,-3.03e+08,-1e+07,-2.86e+08,3.78e+08,-2.21e+08,-1.74e+08,-6.05e+08,-5.06e+08,1.29e+08,-6.35e+08,2.96e+08,-9.89e+08,-1.5e+07,-1.5e+07,-1.5e+07,2.369e+09,1.1131e+10,2.237e+09,0.24182,0.08318,0.05021,0.0463,0.01916,1.76559,0.83815,1.41622,0.16836,1.1786,1.15814,23.47349,25.45395,2.08093,0.16186,6,0.03318,0.05151,0.13733,-0.49641,-0.56027
"7","2011_Q4",40.0598412698413,"Down",2.528e+10,-1.9017e+10,6.263e+09,-4.193e+09,-2.94e+08,2.07e+09,-1.29e+08,-1.29e+08,1.941e+09,1.941e+09,-6.7e+08,1.271e+09,1.271e+09,1.271e+09,1.271e+09,1.6377e+10,1.3679e+10,2.698e+09,2.234e+09,2.234e+09,5.897e+09,6.66e+08,4.739e+09,2.4508e+10,2.388e+09,1.5398e+10,2.8616e+10,2.3723e+10,2.855e+09,2.038e+09,4.6402e+10,7.091e+10,6.643e+09,2.364e+09,1.9611e+10,3.631e+09,1.598e+10,2.8618e+10,9.555e+09,4.865e+09,4.865e+09,1.442e+10,4.3038e+10,1.1e+07,2.7464e+10,3.97e+08,2.7872e+10,2.7872e+10,7.091e+10,1.271e+09,2.94e+08,2.33e+08,3.166e+09,4.964e+09,-2.9e+08,-4.31e+08,-6.51e+08,7e+06,-1.365e+09,-1.72e+08,7.98e+08,-7.53e+08,8.6e+07,-8.39e+08,4.32e+08,3.05e+08,3.904e+09,3.904e+09,3.904e+09,2.364e+09,1.1919e+10,5.91e+09,0.24775,0.08188,0.05028,0.0456,0.01792,4.64988,0.85638,1.54413,0.16809,1.19343,1.17685,23.73709,26.17089,5.5493,0.1615,5,0.03231,0.13235,0.13533,-1.88579,-2.15362
"8","2012_Q1",45.9508064516129,"Up",2.5916e+10,-1.9244e+10,6.672e+09,-4.598e+09,-2.9e+08,2.074e+09,-1.39e+08,-1.39e+08,1.935e+09,1.935e+09,-6.77e+08,1.258e+09,1.258e+09,1.258e+09,1.258e+09,1.2006e+10,9.429e+09,2.577e+09,2.294e+09,2.294e+09,6.05e+09,6.15e+08,4.963e+09,2.035e+10,2.515e+09,1.6166e+10,2.8858e+10,2.3975e+10,2.795e+09,2.088e+09,4.7539e+10,6.7889e+10,6.853e+09,9.82e+08,1.6087e+10,1.225e+09,1.4862e+10,2.3922e+10,1.0656e+10,5.019e+09,3.668e+09,1.5675e+10,3.9597e+10,1e+07,2.7821e+10,4.61e+08,2.8292e+10,2.8292e+10,6.7889e+10,1.258e+09,2.9e+08,1.85e+08,-2.148e+09,-414999999.999999,-2.12e+08,-6.71e+08,1.9e+07,-3.85e+08,-1.249e+09,-1.7e+08,-2.66e+08,-8.3e+08,7e+07,-9e+08,-1.32e+09,-2.586e+09,-4.25e+09,-4.25e+09,-4.25e+09,2.364e+09,1.1638e+10,681000000.000001,0.25745,0.08003,0.04854,0.04446,0.01853,0.54134,0.85068,1.39958,0.17143,1.19355,1.17023,24.58824,26.8425,0.646109999999999,0.16129,5,0.03177,0.01515,0.13514,-0.15567,-0.17743
"9","2012_Q2",48.9425396825397,"Up",2.7282e+10,-2.0573e+10,6.709e+09,-4.392e+09,-2.96e+08,2.317e+09,-1.48e+08,-1.48e+08,2.169e+09,2.169e+09,-7.81e+08,1.388e+09,1.388e+09,1.388e+09,1.388e+09,1.4326e+10,1.1661e+10,2.665e+09,2.688e+09,2.688e+09,5.676e+09,6.98e+08,4.546e+09,2.269e+10,2.56e+09,1.6492e+10,3.0948e+10,2.5754e+10,3.103e+09,2.091e+09,5e+10,7.269e+10,6.197e+09,1.771e+09,1.9494e+10,3.816e+09,1.5678e+10,2.7462e+10,1.1083e+10,5.289e+09,5.289e+09,1.6372e+10,4.3834e+10,1e+07,2.8388e+10,4.58e+08,2.8856e+10,2.8856e+10,7.269e+10,1.388e+09,2.96e+08,-7e+07,1.972e+09,3.586e+09,-2.69e+08,-1.94e+08,-1.935e+09,-495661641.227918,-2.398e+09,-1.68e+08,1.239e+09,-7.34e+08,2.57e+08,-9.91e+08,7.07e+08,1.044e+09,2.232e+09,2.232e+09,2.232e+09,2.613e+09,1.2854e+10,5.097e+09,0.24591,0.08493,0.05088,0.0481,0.01909,3.67219,0.82623,1.51906,0.17683,1.3359,1.30943,26.25794,27.77286,4.90568,0.16169,6,0.03311,0.10845,0.12104,-0.56334,-0.6353
"10","2012_Q3",46.397619047619,"Down",2.7265e+10,-2.0633e+10,6.632e+09,-4.406e+09,-3.26e+08,2.226e+09,-1.53e+08,-1.53e+08,2.073e+09,2.073e+09,-7.36e+08,1.337e+09,1.337e+09,1.337e+09,1.337e+09,1.443e+10,1.1578e+10,2.852e+09,2.648e+09,2.648e+09,5.649e+09,6.73e+08,4.515e+09,2.2727e+10,2.589e+09,1.6698e+10,3.1451e+10,2.6191e+10,3.141e+09,2.119e+09,5.0738e+10,7.3465e+10,6.46e+09,1.461e+09,1.9702e+10,3.853e+09,1.5849e+10,2.7623e+10,1.1156e+10,5.311e+09,5.311e+09,1.6467e+10,4.409e+10,1e+07,2.8896e+10,4.69e+08,2.9375e+10,2.9375e+10,7.3465e+10,1.337e+09,3.26e+08,-1.08e+08,630000000.000001,2.185e+09,-1.96e+08,-3.4e+08,-4.69e+08,-382478611.7626,-1.005e+09,-2.18e+08,-2.44e+08,-6.65e+08,1.53e+08,-8.18e+08,-1.36e+08,-1.263e+09,-8.3e+07,-8.3e+07,-82999999.999999,2.552e+09,1.2617e+10,3.722e+09,0.24324,0.08164,0.04904,0.04551,0.0182,2.78384,0.82276,1.50094,0.17174,1.29932,1.27455,26.4966,28.54713,3.6171,0.21186,5,0.03287,0.07868,0.16305,-0.71042,-0.81447
