"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.354126984127,"Up",8.15e+08,-2.22e+08,5.93e+08,-4.91e+08,-2.01e+08,-2.75e+08,-1.5e+07,1.02e+08,37437600.6725952,37437600.6725952,1.02e+08,9.3e+07,3e+06,9.6e+07,9.6e+07,9.6e+07,9.6e+07,1.73e+09,1.057e+09,6.73e+08,1.03e+08,1.03e+08,3.13e+08,2.7e+08,2.228e+09,5.16e+08,1.501e+09,1.85e+08,1.09e+09,4.9e+07,1.77e+08,2.017e+09,4.245e+09,6.75e+08,5.5e+07,6.2e+08,4.9e+08,4.9e+08,1.165e+09,504015631.078114,3.28e+08,2e+06,3.26e+08,3.28e+08,1.493e+09,2.42e+09,2.19e+08,1.13e+08,2.752e+09,2.752e+09,4.245e+09,9.6e+07,4.8e+07,5.7e+07,-3.49e+08,-1.48e+08,-1.1e+07,-5e+07,-5.3e+07,1e+06,1e+06,-425359268.982429,-4181217485.8793,1e+06,-2e+08,-2e+08,-1.6e+07,-2.16e+08,1.5e+08,0,-2.13e+08,0.72761,0.12515,0.11779,0.03488,0.02261,-2.21875,1.91245,0.54251,0,0.29721,0.29721,2.52322,8.52012,-0.65944,-77.4070514306397,0.03117,-0.06916,-11.53333,-16.96078
"2","2010_Q3",15.71734375,"Down",6.31e+08,-3.63e+08,2.68e+08,-5.42e+08,-2.5e+08,-2.77e+08,-1.5e+07,-2.74e+08,6e+06,6e+06,-2.68e+08,-2.18e+08,1.7e+07,-2.01e+08,-2.01e+08,-2.01e+08,-2.01e+08,1.657e+09,1.056e+09,6.01e+08,4.44e+08,4.44e+08,2.29e+08,2.07e+08,2.485e+09,5.1e+08,1.499e+09,1.68e+08,1.094e+09,4.8e+07,1.89e+08,2.009e+09,4.494e+09,8.25e+08,2.05e+08,6.2e+08,7.43e+08,7.43e+08,1.568e+09,509010420.718743,2.88e+08,2e+06,2.86e+08,2.88e+08,1.856e+09,2.476e+09,1.8e+07,1.44e+08,2.638e+09,2.638e+09,4.494e+09,-2.01e+08,4.6e+07,9e+06,1.2e+07,-1.34e+08,-1.2e+07,-1.5e+07,9.7e+07,1.6e+07,1.6e+07,-187179634.491215,-1766608742.93965,1.6e+07,-2.1e+07,-2.1e+07,2e+07,-1000000.00000003,-2.28e+08,0,-2.45e+08,0.42472,-0.43423,-0.31854,-0.07619,-0.04473,1.21891,1.58482,0.70356,0,-0.62229,-0.62229,1.95356,8.16718,-0.75851,-28.2035257153198,-0.06869,-0.08373,7.26754,6.04745
"3","2010_Q4",15.74765625,"Up",1.053e+09,-5.86e+08,4.67e+08,-6.15e+08,-3.28e+08,-2.73e+08,-1.4e+07,-1.48e+08,0,0,-1.48e+08,-3.03e+08,-1.9e+07,-3.22e+08,-3.22e+08,-3.22e+08,-3.22e+08,1.971e+09,1.353e+09,6.18e+08,3.9e+08,3.9e+08,2.48e+08,2.26e+08,2.714e+09,5.02e+08,1.511e+09,1.6e+08,1.107e+09,4.4e+07,2e+08,2.013e+09,4.727e+09,9.08e+08,1.62e+08,7.46e+08,1.1e+09,1.1e+09,2.008e+09,514006252.431246,3.61e+08,4e+06,3.57e+08,3.61e+08,2.369e+09,2.507e+09,-3.04e+08,1.55e+08,2.358e+09,2.358e+09,4.727e+09,-3.22e+08,4.4e+07,5.6e+07,5.71e+08,3.49e+08,-1.5e+07,-2e+07,-5.1e+07,0,0,-77393211.4970715,-480536247.64655,0,2.98e+08,2.98e+08,-1e+06,2.97e+08,-1.04e+08,0,4.71e+08,0.44349,-0.14055,-0.30579,-0.13656,-0.06812,-1.46273,1.35159,1.00466,0,-0.99077,-0.99077,3.24,7.25538,1.44923,-2.73450857177328,-0.11843,0.17323,18.95192,13.31757
"4","2011_Q1",17.5461290322581,"Up",1.09e+09,-3.28e+08,7.62e+08,-6.1e+08,-2.98e+08,-2.99e+08,-1.3e+07,1.52e+08,4e+06,4e+06,1.56e+08,1.49e+08,2e+06,1.51e+08,1.51e+08,1.51e+08,1.51e+08,2.237e+09,1.579e+09,6.58e+08,3.35e+08,3.35e+08,3.83e+08,3.27e+08,3.032e+09,5.13e+08,1.383e+09,1.44e+08,1.11e+09,4.9e+07,8e+07,1.896e+09,4.928e+09,9.96e+08,2.28e+08,7.68e+08,1.005e+09,1.005e+09,2.001e+09,519003126.215623,3.63e+08,3.7e+07,3.26e+08,3.63e+08,2.364e+09,2.498e+09,-1.53e+08,2.19e+08,2.564e+09,2.564e+09,4.928e+09,1.51e+08,4.2e+07,3.7e+07,2.3e+07,2.53e+08,-2.1e+07,1.3e+07,-8e+06,-4.1e+07,1.7e+07,-5.8e+07,1e+06,-4e+07,2.05e+08,2.05e+08,2.1e+07,2.26e+08,1.94e+08,0,1.94e+08,0.69908,0.13945,0.13853,0.05889,0.03064,1.28477,1.51524,0.922,-8.67361737988404e-19,0.46462,0.46462,3.35385,7.88923,0.59692,6,0.05159,0.06628,-11.53093,-14.71711
"5","2011_Q2",21.7055555555556,"Up",9.99e+08,-2.4e+08,7.59e+08,-5.12e+08,-2.14e+08,-2.85e+08,-1.3e+07,2.47e+08,3e+06,3e+06,2.5e+08,2.3e+08,-9e+06,2.21e+08,2.21e+08,2.21e+08,2.21e+08,1.848e+09,1.173e+09,6.75e+08,3e+07,3e+07,4.01e+08,3.43e+08,2.354e+09,5.16e+08,1.485e+09,1.34e+08,1.132e+09,4.9e+07,1.7e+08,2.001e+09,4.355e+09,6.95e+08,9.1e+07,6.04e+08,5.3e+08,5.3e+08,1.225e+09,524001042.071874,3.8e+08,4.2e+07,3.38e+08,3.8e+08,1.605e+09,2.442e+09,6.8e+07,2.4e+08,2.75e+09,2.75e+09,4.355e+09,2.21e+08,4.3e+07,4.1e+07,-5.79e+08,-2.74e+08,-3.2e+07,-7e+06,-6.4e+07,-7.7e+07,1.4e+07,-9.1e+07,2000000.00000003,-7.5e+07,-4.13e+08,-4.13e+08,7e+06,-4.06e+08,2.9e+08,0,-3.12e+08,0.75976,0.24725,0.22122,0.08036,0.05075,-1.41176,1.92163,0.58364,0,0.67378,0.66566,3.04573,8.38415,-0.95122,5,0.07061,-0.09968,-6.37241,-7.48178
"6","2011_Q3",21.6715625,"Down",7.15e+08,-4.32e+08,2.83e+08,-6.41e+08,-3.1e+08,-3.18e+08,-1.3e+07,-3.58e+08,-6e+06,-6e+06,-3.64e+08,-3.8e+08,4e+07,-3.4e+08,-3.4e+08,-3.4e+08,-3.4e+08,1.499e+09,9.3e+08,5.69e+08,5.62e+08,5.62e+08,4.17e+08,3.2e+08,2.568e+09,5.32e+08,2.335e+09,4.16e+08,1.7e+09,4.5e+07,1.74e+08,2.867e+09,5.435e+09,1.005e+09,2.13e+08,7.92e+08,8.49e+08,8.49e+08,1.854e+09,5.29e+08,5.12e+08,8.4e+07,4.28e+08,1.041e+09,2.895e+09,2.554e+09,-2.72e+08,2.58e+08,2.54e+09,2.54e+09,5.435e+09,-3.4e+08,5.1e+07,-1e+06,79000000.0000001,-2.11e+08,-2.6e+07,1.47e+08,-5.11e+08,-7.7e+07,2.1e+07,-9.8e+07,-1.06e+08,4.99e+08,-2.23e+08,-2.23e+08,-2e+07,-2.43e+08,-3.07e+08,5.29e+08,-2.94e+08,0.3958,-0.5007,-0.47552,-0.13386,-0.06256,0.864709999999999,1.38511,1.13976,0.09733,-1.01796,-1.01796,2.14072,7.60479,-0.88024,2,-0.09495,-0.0821,3.15961,2.7095
"7","2011_Q4",22.2514285714286,"Up",1.061e+09,-5.52e+08,5.09e+08,-7.03e+08,-3.67e+08,-3.25e+08,-1.1e+07,-1.94e+08,-1e+07,-1e+07,-2.04e+08,-1.93e+08,-1.2e+07,-2.05e+08,-2.05e+08,-2.05e+08,-2.05e+08,1.791e+09,1.242e+09,5.49e+08,5.26e+08,5.26e+08,4.2e+08,3.28e+08,2.806e+09,5.47e+08,2.343e+09,4.02e+08,1.716e+09,4.4e+07,1.81e+08,2.89e+09,5.696e+09,9.58e+08,1.12e+08,8.46e+08,1.439e+09,1.439e+09,2.397e+09,5.34e+08,5e+08,8.2e+07,4.18e+08,1.034e+09,3.431e+09,2.552e+09,-4.77e+08,1.9e+08,2.265e+09,2.265e+09,5.696e+09,-2.05e+08,5.4e+07,3.8e+07,5.88e+08,4.75e+08,-4.4e+07,-5.1e+07,-1.14e+08,-3.7e+07,4e+06,-4.1e+07,1e+06,-3.6e+07,3.25e+08,3.25e+08,-1.3e+07,3.12e+08,-1.4e+08,5.34e+08,4.16e+08,0.47974,-0.18285,-0.19321,-0.09051,-0.03599,-2.02927,1.17063,1.51479,0.09375,-0.61747,-0.61747,3.19578,6.82229,1.25301,4,-0.06214,0.1261,8.97857,6.47938
"8","2012_Q1",17.5496774193548,"Down",1.368e+09,-3.74e+08,9.94e+08,-6.27e+08,-3.69e+08,-2.52e+08,-6e+06,3.67e+08,-4e+06,-4e+06,3.63e+08,3.61e+08,3.9e+07,4e+08,4e+08,4e+08,4e+08,1.849e+09,1.293e+09,5.56e+08,3.66e+08,3.66e+08,3.35e+08,2.68e+08,2.609e+09,5.68e+08,2.314e+09,3.69e+08,1.718e+09,4.2e+07,1.85e+08,2.882e+09,5.491e+09,1.072e+09,2.15e+08,8.57e+08,1.048e+09,1.048e+09,2.12e+09,5.39e+08,3.74e+08,8e+06,3.66e+08,9.13e+08,3.033e+09,2.362e+09,-7.7e+07,1.73e+08,2.458e+09,2.458e+09,5.491e+09,4e+08,6.8e+07,-4999999.99999999,-1.76e+08,2.87e+08,-4.4e+07,4.4e+07,0,-2.23e+08,1.8e+07,-2.41e+08,-2.5e+07,-2.48e+08,38999999.9999999,38999999.9999999,1.2e+07,5.1e+07,4.35e+08,5.39e+08,1.76e+08,0.72661,0.26827,0.2924,0.16273,0.07285,0.44,1.23066,1.23393,0.09816,1.22699,1.22699,4.19632,7.53988,0.53988,5,0.11866,0.05221,-3.01149,-3.56948
"9","2012_Q2",14.0865079365079,"Down",9.55e+08,-2.05e+08,7.5e+08,-5.28e+08,-2.39e+08,-2.82e+08,-7e+06,2.22e+08,-5e+06,-5e+06,2.17e+08,2.1e+08,-9e+06,2.01e+08,2.01e+08,2.01e+08,2.01e+08,1.439e+09,9.19e+08,5.2e+08,1.11e+08,1.11e+08,3.41e+08,2.73e+08,1.951e+09,5.58e+08,2.316e+09,3.47e+08,1.716e+09,4.4e+07,2.09e+08,2.874e+09,4.825e+09,7.52e+08,5e+07,7.02e+08,5.84e+08,5.84e+08,1.336e+09,5.44e+08,3.93e+08,2e+06,3.91e+08,9.37e+08,2.273e+09,2.313e+09,1.24e+08,1.15e+08,2.552e+09,2.552e+09,4.825e+09,2.01e+08,5.6e+07,1.6e+07,-5.17e+08,-2.44e+08,-3.1e+07,-9e+06,-4e+07,-7.1e+07,0,-7.1e+07,-1e+06,-7.2e+07,-3.56e+08,-3.56e+08,-1.8e+07,-3.74e+08,2.78e+08,5.44e+08,-2.61e+08,0.78534,0.23246,0.21047,0.07876,0.04166,-1.29851,1.46033,0.89067,0.11275,0.60725,0.59644,2.8852,7.70997,-0.78852,2,0.05761,-0.07481,-3.21942,-4.03153
"10","2012_Q3",12.5547619047619,"Down",7.11e+08,-4.45e+08,2.66e+08,-6.32e+08,-3.19e+08,-3.06e+08,-7e+06,-3.66e+08,-4e+06,-4e+06,-3.7e+08,-3.68e+08,-1.3e+07,-3.81e+08,-3.81e+08,-3.81e+08,-3.81e+08,1.315e+09,8.71e+08,4.44e+08,6.43e+08,6.43e+08,3.03e+08,2.39e+08,2.332e+09,5.61e+08,2.298e+09,3.34e+08,1.723e+09,4.9e+07,1.92e+08,2.859e+09,5.191e+09,1.093e+09,2.19e+08,8.74e+08,9.53e+08,9.53e+08,2.046e+09,5.49e+08,4.42e+08,2e+06,4.4e+08,9.91e+08,3.037e+09,2.262e+09,-2.57e+08,1.49e+08,2.154e+09,2.154e+09,5.191e+09,-3.81e+08,5.6e+07,4.4e+07,2.53e+08,-2.8e+07,-2.5e+07,1.17e+08,8.2e+07,-9e+07,1.8e+07,-1.08e+08,-2.7e+07,-1.17e+08,-62999999.9999999,-62999999.9999999,1.5e+07,-47999999.9999999,-3.1e+08,5.49e+08,-6.9e+07,0.37412,-0.51477,-0.53586,-0.17688,-0.0734,0.1811,1.13978,1.40994,0.10576,-1.15106,-1.15106,2.14804,6.50755,-0.20846,2,-0.12114,-0.02194,2.47097,2.0929
