"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",31.9673015873016,"Up",581183000,-177471000,403712000,-365727000,-260261000,-105466000,37985000,-11770000,-11770000,26215000,26215000,-8191000,18024000,18024000,18024000,18024000,1544929228.80548,1544929228.80548,390703410.66459,390703410.66459,-1247171535.43208,-90307514.2117767,-15995971.7947823,598153589.826217,1161957346.31232,1747556972.36783,-585599626.055509,42027191.5491744,42027191.5491744,1203984537.86149,1802138127.68771,4610727289.51947,121764218.641261,-3807751747.0699,-5838411028.50481,804266246.221953,566121902.246251,-107126991.475916,59271506.4777377,107045365.536646,458994910.770335,1263261156.99229,-38852170.5602756,403235254.308213,538876970.695421,538876970.695421,1802138127.68771,18024000,14118000,3534000,-12269000,23407000,-14854000,33000,-14821000,-4627000,715000,324000,-5445000,3141000,3141000,3141000,52103000,0,33171000,0.69464,0.06536,0.03101,1.58648824787901,0.291754160994189,1.84038,0.765483590928985,4.78967827970299,0.268134797648152,0.79184,0.77903,25.53298,14.2518012696486,1.45729,0.20328,0.402881151190308,3.75718711814286,0.25671,-87.6388011086775,-155.587052180229
"2","2010_Q3",30.96328125,"Down",632616000,-211898000,420718000,-369070000,-263569000,-105501000,51648000,-13293000,-13293000,38355000,36092000,-10699000,25393000,25393000,25393000,25393000,706856114.40274,706856114.40274,174262205.332295,174262205.332295,-468687767.716038,-25007257.1058884,-5552485.89739115,387423294.913108,1068548673.15616,1663521986.18391,-594973313.027755,46101095.7745872,46101095.7745872,1114649768.93075,1502073063.84385,2247792144.75974,131931609.320631,-1704644373.53495,-2609856014.25241,547176623.110977,570895951.123125,74242004.2620421,59181753.2388688,96234682.768323,645137955.385167,1192314578.49614,-27735585.2801378,291037127.154107,309758485.347711,309758485.347711,1502073063.84385,25393000,16381000,5359000,15724000,62857000,-12596000,143000,-12453000,-4646000,-3950000,-2004000,-52003000,-1599000,-1599000,-1599000,68029000,0,81856000,0.66504,0.08164,0.04014,0.784214123939506,0.137592080497094,3.22357,0.680631795464493,6.20544913985149,0.374637398824076,1.11218,1.0853,27.70786,9.38046063482428,3.5852,0.20349,0.192830575595154,1.69446355907143,0.18296,-32.3181305543387,-59.1857060901145
"3","2010_Q4",35.2165625,"Up",578233000,-173041000,405192000,-373361000,-264059000,-109302000,31831000,-12186000,-12186000,19645000,19645000,-5217000,14428000,14428000,14428000,14428000,241439038.134247,241439038.134247,58091401.7774316,58091401.7774316,-36175589.2386794,13087580.9647039,2692838.03420295,276442431.637703,1020352224.38539,1626099995.39464,-605747771.009252,49286365.2581957,49286365.2581957,1069638589.64358,1346081021.28129,883498048.253245,128201203.106877,-498762457.844983,-782156338.084135,390588874.370326,573399317.041042,174993001.420681,58199251.0796229,92556560.9227743,748392318.461722,1138981192.83205,-11068861.7600459,240734709.051369,207099828.449237,207099828.449237,1346081021.28129,14428000,15130000,1560000,19373000,50491000,-12539000,48000,-12491000,-4547000,31001000,3613000,28240000,66240000,66240000,66240000,46961000,0,59012000,0.70074,0.05505,0.02495,0.336111374646502,0.0542006934990315,4.0901,0.692923931821498,6.3683863799505,0.430272466274692,0.62194,0.60614,24.92544,7.73998687827476,2.54378,0.196,0.0784701918650513,0.547264519690478,0.31515,-2.67966351811292,-7.8346453633715
"4","2011_Q1",33.2240322580645,"Down",612483000,-183408000,429075000,-383071000,-266204000,-116867000,46004000,-11710000,-11710000,34294000,33757000,-6344000,27413000,27413000,27413000,27413000,47700000,47700000,13530000,13530000,144079000,30950000,8609000,236259000,1004103000,1621545000,-617442000,51705000,51705000,1055808000,1292067000,258175000,116218000,44608000,17064000,309548000,573744000,217158000,57055000,93822000,790902000,1100450000,6428000,234038000,191617000,191617000,1292067000,27413000,15395000,5046000,27497000,75351000,-29878000,17000,-29861000,-4725000,-52793000,221999.999999999,-77181000,-31691000,-31691000,-31691000,61399000,580509000,65362000,0.70055,0.07511,0.04476,0.14306,0.02122,2.38434,0.76324,5.74297,0.44929,1.1796,1.14305,26.35557,8.24541,2.81257,0.20332,0.03249,0.06607,0.17236,8.67781,11.5818
"5","2011_Q2",32.0768253968254,"Down",598691000,-179753000,418938000,-373439000,-261480000,-111959000,45499000,-11714000,-11714000,33785000,33702000,-9968000,23734000,23734000,23734000,23734000,24661000,24661000,11917000,11917000,165790000,35553000,12065000,237921000,1006536000,1636111000,-629575000,53479000,53479000,1060015000,1297936000,112153000,101627000,160181000,160181000,279099000,572042000,222769000,56480000,97842000,794811000,1073910000,20035000,252657000,224026000,224026000,1297936000,23734000,15027000,2416000,-51114000,-9937000,-17981000,24000,-17957000,-4547000,10307000,838000,4855000,-23039000,-23039000,-23039000,60526000,578807000,1399000,0.69976,0.076,0.03964,0.10594,0.01829,0.05894,0.85246,4.79368,0.44594,1.03949,1.00594,26.22112,9.81176,0.06127,0.19915,0.02758,0.00136000000000001,0.19158,9.1555,12.1793
"6","2011_Q3",28.35125,"Down",640277000,-219390000,420887000,-368414000,-256250000,-112164000,52473000,-11830000,-11830000,40643000,40642000,-11865000,28777000,28777000,28777000,28777000,63249000,63249000,20933000,20933000,130524000,32322000,12833000,247028000,1012756000,1654459000,-641703000,54673000,54673000,1067429000,1314457000,144344000,88424000,119911000,71438000,271020000,570265000,213292000,55844000,101821000,783557000,1054577000,22987000,276166000,259880000,259880000,1314457000,28777000,15427000,1902000,21136000,67242000,-22321000,68000,-22253000,-5151000,-961000,1456000,-6401000.00000001,38588000,38588000,38588000,67900000,577030000,78580000,0.65735,0.08195,0.04494,0.11073,0.02189,2.73065,0.91148,4.05794,0.43899,1.23839,1.20309,27.55362,11.18365,3.3816,0.22167,0.03231,0.07482,0.179,7.56673,9.79134
"7","2011_Q4",29.8573015873016,"Up",582525000,-179774000,402751000,-373504000,-261392000,-112112000,29247000,-11619000,-11619000,17628000,19586000,-4432000,15154000,15154000,15154000,15154000,62486000,62486000,11917000,11917000,131995000,28230000,10782000,234628000,1009498000,1662843000,-653345000,55409000,55409000,1064907000,1299535000,95078000,82254000,158512000,123211000,260356000,568525000,210759000,55878000,103570000,779284000,1039640000,10564000,286275000,259895000,259895000,1299535000,15154000,16083000,792000,-156000,31873000,-10984000,34000,-10950000,-5102000,-14883000,44000,-21686000,-763000,-763000,-763000,45330000,575291000,38622000,0.69139,0.05021,0.02601,0.05831,0.01166,2.54863,0.90118,4.00023,0.44269,0.65749,0.64206,25.27412,11.27611,1.6757,0.22136,0.01937,0.03693,0.33668,11.31271,17.53359
"8","2012_Q1",36.1040322580645,"Up",612942000,-193554000,419388000,-380051000,-264329000,-115722000,39337000,-16327000,-16327000,23010000,21761000,-4218000,17543000,17543000,17543000,17543000,52274000,52274000,12279000,12279000,141547000,39815000,9e+06,245915000,1009164000,1673873000,-664709000,55805000,55805000,1064969000,1310884000,210455000,99679000,56648000,24018000,267103000,550143000,225604000,68339000,105661000,775747000,1042850000,7309000,298757000,268034000,268034000,1310884000,17543000,16251000,2379000,12861000,49034000,-18479000,150000,-18329000,-5046000,-7486000,-3355000,-40917000,-10212000,-10212000,-10212000,55588000,550143000,54188000,0.68422,0.06418,0.02862,0.06545,0.01338,3.08887,0.92067,3.89074,0.41967,0.76692,0.74896,26.79571,11.71752,2.36891,0.22059,0.02164,0.05192,0.28764,8.95641,12.65651
"9","2012_Q2",38.8622222222222,"Up",598437000,-186307000,412130000,-367506000,-258462000,-109044000,44624000,-11135000,-11135000,33489000,33489000,-9687000,23802000,23802000,23802000,23802000,49771000,49771000,16187000,16187000,160668000,35195000,12704000,261821000,1011994000,1690936000,-678942000,54113000,54113000,1066107000,1327928000,112885000,101467000,157910000,157910000,275607000,545429000,213431000,67738000,98351000,758860000,1034467000,10762000,316781000,293461000,293461000,1327928000,23802000,15453000,2966000,-21977000,20244000,-18671000,66000,-18605000,-5018000,823000,83000,-4142000,-2503000,-2503000,-2503000,60077000,550241000,29116000,0.68868,0.07457,0.03977,0.08111,0.01792,1.22326,0.94998,3.52506,0.41436,1.04071,1.02835,26.16583,12.83118,1.27306,0.21941,0.02726,0.02754,0.21082,8.33048,11.21527
"10","2012_Q3",42.7257142857143,"Up",673234000,-235391000,437843000,-390506000,-271370000,-119136000,47337000,-11025000,-11025000,36312000,36312000,-10703000,25609000,25609000,25609000,25609000,119385000,119385000,16991000,16991000,127176000,37085000,14707000,300637000,1015234000,1707752000,-692518000,54458000,54458000,1069692000,1370329000,108824000,93592000,177370000,122475000,295684000,540715000,213535000,67084000,101401000,754250000,1049934000,15547000,336518000,320395000,320395000,1370329000,25609000,15886000,4083000,48137000,93715000,-19687000,50000,-19637000,-5804000,1314000,72000,-4464000,69614000,69614000,69614000,63223000,550205000,102376000,0.65036,0.07031,0.03804,0.07993,0.01869,3.99766,1.01675,3.277,0.40151,1.11499,1.09881,29.31182,13.94962,4.45733,0.2527,0.02898,0.09443,0.22664,6.81429,9.10113
"11","2012_Q4",43.323064516129,"Up",608514000,-189615000,418899000,-379791000,-269844000,-109947000,39108000,-11173000,-11173000,27935000,27935000,-8961000,18974000,18974000,18974000,18974000,127320000,127320000,19107000,19107000,131004000,30551000,12333000,307982000,1016469000,1722418000,-705949000,56301000,56301000,1072770000,1380752000,116927000,87656000,165111000,124238000,296216000,536001000,212284000,65465000,108117000,748285000,1044501000,23110000,340271000,336251000,336251000,1380752000,18974000,16403000,2292000,-9743000,27926000,-18585000,552000,-18033000,-5746000,2313000,1503000,-1958000,7935000,7935000,7935000,55511000,550179000,36144000,0.6884,0.06427,0.03118,0.05643,0.01374,1.90492,1.03972,3.10631,0.39846,0.82022,0.80618,26.30533,14.53572,1.56246,0.24839,0.0225,0.0329,0.30284,7.61757,10.8126
