"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.9174603174603,"Up",1025883000,-615194000,410689000,-365001000,-338706000,-26295000,45688000,-54576000,-47992000,-6584000,-618622179.031019,-8888000,-52786026.6682259,-8888000,-7299000,-16187000,-16187000,9560000,-6627000,-6627000,-13748301.7754149,-27065937.7046726,928369422.703254,928369422.703254,1404703561.81728,133877202.157286,-12156021.1343684,1199046916.55074,2319324682.74512,254929389.103056,2468945982.10464,1157582660.95888,300126333.343018,89924858.1916318,947124367.221547,2750185596.42482,5069510279.16994,1330305302.78969,384501003.242574,864472196.000494,879487408.404397,1076816542.1793,-197329133.774905,83881210.2754758,83881210.2754758,2293673921.46956,1252033602.58335,1252033602.58335,867664785.58289,63636993.4870514,827571588.159726,2119698388.16624,4413372309.63581,781223567.044566,3186474.26308927,778037092.781477,125678144.901883,-335149707.581924,571752004.364525,84385965.1696089,656137969.534134,5069510279.16994,-16187000,26295000,22382000,11595000,-25399000,-20990000,-48007000,7091000,-1936000,-2898000,-3765000,-3765000,853000,-4848000,-52659000,7198000,-59857000,-65595000,5738000,2974717.07607486,-1565000,-54224000,-51981000,-51981000,-9281000,-61262000,71983000,0,51947000,0.40033,0.04454,-0.00646,0.25808410653992,0.0485964985337384,-7.83869,1.12166644186251,6.35425677405532,0.433031086324535,-0.02118,-0.02118,3.27884,1.79232005324288,0.16603,0.0675285034755873,0.12462716753243,9.95470577593806,14.0459913657778
"2","2010_Q3",16.42046875,"Up",1171919000,-678714000,493205000,-399649000,-372033000,-27616000,93556000,-32929000,-47164000,14235000,-319289307.418611,60627000,3623000,64250000,-26704000,37546000,44686000,10104000,54790000,54790000,743563000,743563000,731621000,731621000,577920000,92999000,54204000,342840000,2053104000,153104000,2694174000,1276840000,323500000,119120000,974689000,2877946000,4931050000,785709000,364634000,421075000,373991000,286143000,87848000,235439000,235439000,1395139000,1972310000,1972310000,742991000,75433000,607500000,2715301000,4110440000,781084000,3218000,777866000,33155000,-172438000,641801000,178809000,820610000,4931050000,44686000,27784000,-7510000,-18741000,28956000,-2747000,70340000,93916000,56553000,-4263000,-58955000,-58955000,11275000,8873000.00000001,-46255000,-5392000,-40863000,-47080000,6217000,312000,11026000,-34917000,67872000,67872000,-4604000,63268000,121340000,2346301000,233553000,0.42085,0.07983,0.04675,0.06677,0.01111,4.26269,1.47161,5.00901,0.47582,0.1751,0.17207,3.74522,2.05107,0.74639,0.01401,0.05973,13.20865,17.13132
"3","2010_Q4",19.4503125,"Up",1266218000,-735393000,530825000,-400420000,-374815000,-25605000,130405000,-44610000,-48292000,3682000,-133702653.709306,85795000,174000,85969000,-38075000,47894000,55715000,1323000,57038000,57038000,768675000,768675000,818030000,818030000,590882000,88821000,61874000,360533000,2177587000,154157000,2711528000,1316843000,331748000,132388000,919184000,2897476000,5075063000,985925000,405800000,580125000,388254000,280021000,108233000,235689000,235689000,1609868000,1798062000,1798062000,710169000,78359000,568682000,2508231000,4118099000,795243000,3230000,792013000,90193000,-112039000,773397000,183567000,956964000,5075063000,55715000,25638000,-12833000,-26168000,155397000,27846000,183780000,223917000,3663000,-10724000,-5900000,-5900000,-22643000,-24880000,-189779000,-8695000,-181084000,-191713000,10629000,266000,5633000,-183880000,15157000,15157000,9955000,25112000,156043000,2186316000,353178000,0.41922,0.10299,0.04505,0.0596,0.01124,6.19198,1.35265,4.3033,0.4308,0.18177,0.1786,4.03522,2.46468,1.12552,0.0148,0.09165,9.08494,10.87106
"4","2011_Q1",24.1967741935484,"Up",1651296000,-930869000,720427000,-550993000,-522128000,-28865000,169434000,-24059000,-39287000,15228000,-35920217.9031019,145375000,-14649000,130726000,-58290000,72436000,71795000,23349000,95144000,95144000,509592000,506574000,940167000,940167000,811111000,96951000,39593986.7910198,585561000,2260870000,188397000,2640365000,1323801000,332855000,138973000,834416000,2860698000,5121568000,1265797000,445337000,802062000,509453000,471367000,38086000,181518000,181518000,1956768000,1390236000,1390236000,708769000,78306000,590456000,2099005000,4055773000,817480000,3236000,814244000,185337000,-94602000,908215000,157580000,1065795000,5121568000,71795000,29245000,25021000,13573000,165602000,41036000,253427000,291663000,-37847000,-50579000,-1770000,-1770000,-2031000,-41648000,-486308000,-3057000,-483251000,-1484969000,1001718000,1823000,-26716000,-511201000,-261186000,-261186000,-915000,-262101000,198679000,1899689000,384724000,0.43628,0.10261,0.05762,0.08927,0.01858,4.0436,1.15541,3.8054,0.37092,0.30117,0.29238,5.22708,2.8749,1.21782,0.02589,0.10471,6.9967,8.20436
"5","2011_Q2",26.3063492063492,"Up",1185105000,-713755000,471350000,-400203000,-377025000,-23178000,71147000,-15871000,-31050000,15179000,0,55276000,1972000,57248000,-23406000,33842000,44486000,-10117000,34369000,34369000,427645000,427645000,889076000,889076000,652312000,95523000,26912000,403077000,1969033000,193367000,2597417000,1342850000,331758000,146799000,774996000,2823865000,4792898000,1043942000,429526000,614416000,376437000,338382000,38055000,161224000,161224000,1581603000,1381047000,1381047000,681103000,80554000,559923000,2062150000,3643753000,841205000,3247000,837958000,219706000,-64401000,996510000,152635000,1149145000,4792898000,44486000,23469000,-30345000,-40964000,-151492000,-25406000,-215088000,-113882000,56845000,-13622000,-244000,-244000,8720000,65321000,-24069000,4.3e+07,-67069000,-68827000,1758000,4255671.94432222,-15095000,-39164000,-87725000,-87725000,8796000,-78929000,94616000,1757484000,23375000,0.39773,0.06003,0.029,0.02991,0.00717,0.68012,1.24496,3.17084,0.36669,0.10857,0.10643,3.74366,3.1479,0.07384,0.00958,0.00652,14.05512,18.69143
"6","2011_Q3",17.98890625,"Down",1422218000,-839822000,582396000,-458241000,-432856000,-25385000,124155000,-15246000,-32314000,17068000,1.86264514923096e-09,108909000,6027000,114936000,-46336000,68600000,74867000,-13644000,61223000,61223000,752109000,752109000,968585000,968585000,658360000,100251000,36356000,408226000,2379054000,216584000,2653164000,1407543000,333940000,145158000,760223000,2903678000,5282732000,1003830000,441799000,562031000,455764000,413726000,42038000,171242000,171242000,1630836000,1767914000,1767914000,644324000,81217000,523046000,2412238000,4043074000,858233000,3250000,854983000,280929000,-56158000,1083004000,156654000,1239658000,5282732000,74867000,25619000,-6504000,-17177000,-136490000,-9548999.99999999,-42070000,-42507999.9999999,10775000,-33526000,-40831000,-40831000,12444000,-17612000,384953000,49733000,335220000,-68238000,403458000,4858000,-11004000,378807000,318687000,318687000,5777000,324464000,149774000,2223678000,70395000,0.4095,0.0873,0.04305,0.04939,0.01159,1.14981,1.45879,3.26144,0.42093,0.19271,0.18891,4.47663,3.40891,0.22158,0.0149,0.01714,9.82526,11.85268
"7","2011_Q4",15.5066666666667,"Down",1534463000,-894607000,639856000,-500446000,-469138000,-31308000,139410000,-35682000,-36587000,6714000,-5809000,103728000,3595000,107323000,-47290000,60033000,60033000,3774000,63807000,63807000,662594000,662594000,997931000,997931000,1565386000,104339000,9080000,1308400000,3225911000,249889000,2903933000,1581760000,514662000,145882000,661629000,3189192000,6415103000,1155724000,495833000,659891000,764084000,718066000,46018000,308363000,308363000,2228171000,2152751000,2152751000,676119000,111764000,526215000,2828870000,5057041000,874533000,3279000,871254000,344736000,-136895000,1082374000,275688000,1358062000,6415103000,60033000,31308000,129142000,117568000,40031000,2484000,77488000,260514000,-3.8e+07,-48250000,-224580000,-224580000,-331670000,-594250000,319758000,-66414000,386172000,-18993000,405165000,2201000,-62081000,259878000,-73858000,-73858000,-15657000,-89515000,170718000,2916835000,220039000,0.41699,0.09085,0.04158,0.04698,0.00995,3.44851,1.44778,3.72372,0.45468,0.20011,0.19711,4.81223,3.39443,0.69006,0.01289,0.04444,13.20447,16.16987
"8","2012_Q1",18.6461290322581,"Up",1763625000,-1008946000,754679000,-639495000,-603647000,-35848000,115184000,33475000,-40855000,65815000,8515000,148659000,1372000,150031000,-72071000,77960000,110939000,-31176000,79763000,79763000,1095972000,1093182000,1135371000,1135371000,1318704000,111879000,13434090.9267295,1011685000,3550047000,295488000,3339003000,1828407000,794325000,166832000,549439000,3669096000,7219143000,1545820000,574136000,943316000,826041000,758203000,67838000,308787000,308787000,2680648000,2404848000,2404848000,716484000,228896000,426728000,3121332000,5801980000,885421000,3280000,882141000,424499000,-158439000,1151481000,265682000,1417163000,7219143000,110939000,36534000,-109443000,-127051000,219065000,-30379000,337303000,257095000,65640000,-52582000,-365030000,-365030000,369478000,66286000,152933000,1173000,151760000,-157352000,309112000,77000,-41206000,111804000,435185000,435185000,-4597000,430588000,151718000,3230889000,508494000,0.42791,0.06531,0.04523,0.05628,0.01105,6.37506,1.32432,4.09408,0.44754,0.24872,0.24606,5.49951,3.59066,1.58564,0.01487,0.09479,14.07161,18.53484
"9","2012_Q2",17.2068253968254,"Down",1349989000,-787556000,562433000,-487179000,-440722000,-46457000,75254000,-20704000,-41678000,14386000,6588000,54550000,809000,55359000,-25413000,29946000,29946000,-2971000,26975000,26975000,706010000,703937000,1075495000,1075495000,1000200000,115519000,32725000,680090000,2781705000,287548000,3417936000,1838601000,795615000,186875000,596845000,3757852000,6539557000,1211077000,524233000,686844000,513675000,445181000,68494000,267927000,267927000,1992679000,2396227000,2396227000,748308000,248291000,437750000,3144535000,5137214000,899198000,3280000,895918000,451474000,-138445000,1212227000,190116000,1402343000,6539557000,29946000,46457000,-54714000,-66353000,-320638000,-51491000,-321457000,-298949000,-3248000,-8086000,0,0,-69177000,-74395000,-25677000,-10795000,-14882000,-19340000,4458000,-1880670.94323539,3192000,-22485000,-395829000,-395829000,6584000,-389245000,121711000,2909902000,-176762000,0.41662,0.05574,0.01998,0.01924,0.00412,-6.55281,1.39596,3.66331,0.44497,0.08412,0.08281,4.20988,3.78028,-0.55122,0.00533,-0.03493,18.10758,29.28604
"10","2012_Q3",17.2968253968254,"Up",1601117000,-908143000,692974000,-520713000,-482377000,-38336000,172261000,-42321000,-42826000,2608999.99999999,-2104000,129940000,439000,130379000,-54780000,75599000,75599000,273999.999999996,75873000,75873000,733270000,731202000,1092964000,1092964000,1002464000,110538000,48414000,656634000,2828698000,299310000,3393251000,1816040000,784779000,210115000,582317000,3747697000,6576395000,1180072000,496127000,683945000,542835000,474775000,68060000,255551000,255551000,1978458000,2374578000,2374578000,788417000,244769000,483021000,3162995000,5141453000,911939000,3282000,908657000,527347000,-184424000,1254862000,180080000,1434942000,6576395000,75599000,38336000,56674000,45707000,-73319000,4035999.99999999,-42054999.9999999,97289999.9999999,-24529000,-30619000,-183000.00000003,-183000.00000003,-33372000,-59152000,3926000,23470000,-19544000,-25747000,6203000,3137000,-10615000,-3552000,34586000,34586000,-7321000,27264999.9999999,210597000,2917413000,167529000,0.43281,0.10759,0.04739,0.05288,0.01154,2.20802,1.42975,3.58304,0.44362,0.23647,0.23268,4.9902,3.91103,0.52214,0.01476,0.03259,10.3712,12.67927
