"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q1",21.8270967741935,"Up",3.9e+09,-3.221e+09,6.79e+08,-2.57e+08,-2.34e+08,-2.3e+07,4.22e+08,-6.7e+07,-3.9e+07,-2.8e+07,3.55e+08,-1.1e+07,3.44e+08,-2.9e+07,-3e+06,3.12e+08,3.12e+08,-2.2e+07,2.9e+08,2.9e+08,1.363e+09,1.363e+09,2.459e+09,2.459e+09,1.054e+09,6.25e+08,6.25e+08,5.501e+09,2.315e+09,2.315e+09,1.312e+09,5.88e+08,2.57e+08,4.59e+08,3.627e+09,9.128e+09,3.605e+09,2.397e+09,1.208e+09,1.07e+08,3.712e+09,1.996e+09,1.249e+09,6.74e+08,5.75e+08,3.245e+09,6.957e+09,1.761e+09,3e+06,1.758e+09,1.1e+08,-1.83e+08,1.688e+09,4.83e+08,2.171e+09,9.128e+09,3.12e+08,3.12e+08,1.19e+08,-1.38e+08,1.75e+08,4.68e+08,-1.76e+08,5e+06,-1.4e+07,-1.85e+08,-7e+07,-1.23e+08,-2.86e+08,-3e+06,-3e+06,-2e+07,-2.3e+07,5.41e+08,2.103e+09,5.69e+08,0.1741,0.10821,0.07436,0.13358,0.03177,1.96207,1.48195,3.20451,0.23039,0.89661,0.89661,12.05788,5.2189,1.75921,0.06935,0.10302,1.36784,1.75355
"2","2012_Q2",22.0688888888889,"Up",4.092e+09,-3.373e+09,7.19e+08,-2.49e+08,-2.28e+08,-2.1e+07,4.7e+08,-2.8e+07,-3.5e+07,7e+06,4.42e+08,-6e+06,4.36e+08,-7.7e+07,4e+06,3.63e+08,3.63e+08,-2.1e+07,3.42e+08,3.42e+08,1.412e+09,1.412e+09,2.854e+09,2.854e+09,1.137e+09,6.13e+08,6.13e+08,6.016e+09,2.403e+09,2.403e+09,1.269e+09,5.8e+08,2.09e+08,4.8e+08,3.672e+09,9.688e+09,3.799e+09,2.469e+09,1.33e+09,8.9e+07,3.888e+09,1.996e+09,1.159e+09,6.94e+08,4.65e+08,3.155e+09,7.043e+09,1.765e+09,3e+06,1.762e+09,4.52e+08,-54999999.9999999,2.162e+09,4.83e+08,2.645e+09,9.688e+09,3.63e+08,3.63e+08,1.14e+08,1.9e+07,-2.03e+08,2.93e+08,-2.6e+08,-1.6e+07,3.6e+07,-2.4e+08,-1.8e+07,-5e+06,-23000000.0000001,3e+07,3e+07,1.9e+07,4.9e+07,5.84e+08,2.085e+09,1.98e+08,0.17571,0.11486,0.08358,0.1293,0.0353,0.57895,1.54733,2.66276,0.21521,1.04192,1.04119,12.46649,6.58664,0.60322,0.05807,0.03362,1.1524,1.43191
"3","2012_Q3",21.8638095238095,"Down",3.997e+09,-3.272e+09,7.25e+08,-2.49e+08,-2.3e+08,-1.9e+07,4.76e+08,-2.8e+07,-3.3e+07,5e+06,4.48e+08,-8e+06,4.4e+08,-9.8e+07,8e+06,3.5e+08,3.5e+08,-2e+07,3.3e+08,3.3e+08,1.523e+09,1.523e+09,2.635e+09,2.635e+09,1.106e+09,5.86e+08,5.86e+08,5.85e+09,2.367e+09,2.367e+09,1.22e+09,5.52e+08,2.07e+08,4.61e+08,3.587e+09,9.437e+09,3.627e+09,2.356e+09,1.271e+09,6.9e+07,3.696e+09,1.995e+09,1.083e+09,6.71e+08,4.12e+08,3.078e+09,6.774e+09,1.745e+09,3e+06,1.742e+09,6.6e+08,-2.2e+08,2.185e+09,4.78e+08,2.663e+09,9.437e+09,3.5e+08,3.5e+08,1.13e+08,-5e+06,3e+06,4.61e+08,-1.4e+08,0,1.4e+07,-1.26e+08,-2e+07,0,-1.7e+08,1.65e+08,1.65e+08,-5.4e+07,1.11e+08,5.89e+08,2.064e+09,5.5e+08,0.18139,0.11909,0.08256,0.12392,0.03497,1.66667,1.58279,2.54375,0.21871,1.01267,1.01184,12.26563,6.70513,1.68779,0.0568,0.09466,0.91851,1.13655
"4","2012_Q4",25.105,"Up",3.663e+09,-3.058e+09,6.05e+08,-2.35e+08,-2.15e+08,-2e+07,3.7e+08,-2.9e+07,-3.2e+07,3e+06,3.41e+08,-3e+06,3.38e+08,-5.2e+07,6e+06,2.92e+08,2.92e+08,-2.3e+07,2.69e+08,2.69e+08,1.634e+09,1.634e+09,2.54e+09,2.54e+09,1.121e+09,6.02e+08,6.02e+08,5.897e+09,2.466e+09,2.466e+09,1.276e+09,5.48e+08,2.22e+08,5.06e+08,3.742e+09,9.639e+09,3.578e+09,2.244e+09,1.334e+09,9.2e+07,3.67e+09,1.998e+09,1.101e+09,6.94e+08,4.07e+08,3.099e+09,6.769e+09,1.724e+09,3e+06,1.721e+09,7.96e+08,-1.14e+08,2.406e+09,4.64e+08,2.87e+09,9.639e+09,2.92e+08,2.92e+08,1.13e+08,4e+06,5e+06,4.14e+08,-1.63e+08,2.98023223876953e-08,3e+06,-1.6e+08,1.7e+07,-3.4e+07,-1.67e+08,8.7e+07,8.7e+07,2.4e+07,1.11e+08,4.83e+08,2.09e+09,3.77e+08,0.16517,0.10101,0.07344,0.09373,0.02791,1.40149,1.60681,2.35854,0.21683,0.83819,0.83728,11.4137,7.49696,1.17471,0.04438,0.0622,0.9441,1.23243
"5","2013_Q1",30.4868333333333,"Up",3.767e+09,-3.158e+09,6.09e+08,-2.78e+08,-2.54e+08,-2.4e+07,3.31e+08,-4.6e+07,-3.6e+07,-1e+07,2.85e+08,-1.54e+08,1.31e+08,1.5e+07,9e+06,1.55e+08,1.55e+08,-1.9e+07,1.36e+08,1.36e+08,1.105e+09,1.105e+09,2.425e+09,2.425e+09,1.066e+09,6.31e+08,6.31e+08,5.227e+09,2.86e+09,2.86e+09,2.089e+09,8.03e+08,2.31e+08,5.82e+08,4.949e+09,1.0176e+10,3.519e+09,2.278e+09,1.241e+09,1.4e+08,3.659e+09,2.324e+09,1.363e+09,9.29e+08,4.34e+08,3.687e+09,7.346e+09,1.726e+09,3e+06,1.723e+09,8.56e+08,-2.37e+08,2.345e+09,4.85e+08,2.83e+09,1.0176e+10,1.55e+08,1.55e+08,1.46e+08,1.4e+07,-5e+06,3.1e+08,-1.42e+08,-9.8e+08,1.7e+07,-1.105e+09,3.66e+08,-8e+06,2.55e+08,-5.4e+08,-5.4e+08,1.1e+07,-5.29e+08,4.77e+08,2.464e+09,3.15e+08,0.16167,0.08787,0.0361,0.04806,0.01336,2.31618,1.42853,2.59576,0.24214,0.4294,0.42866,11.89379,7.40402,0.99457,0.02043,0.04732,2.84906,4.10574
"6","2013_Q2",35.55625,"Up",4.024e+09,-3.339e+09,6.85e+08,-2.56e+08,-2.3e+08,-2.6e+07,4.29e+08,-7e+07,-3.6e+07,-3.4e+07,3.59e+08,-3.2e+07,3.27e+08,-3.7e+07,8e+06,2.98e+08,2.98e+08,-2.2e+07,2.76e+08,2.76e+08,8.3e+08,8.3e+08,2.795e+09,2.795e+09,1.148e+09,6.14e+08,6.14e+08,5.387e+09,2.843e+09,2.843e+09,2.043e+09,7.66e+08,2.23e+08,5.88e+08,4.886e+09,1.0273e+10,3.571e+09,2.386e+09,1.185e+09,1.03e+08,3.674e+09,2.375e+09,1.327e+09,8.88e+08,4.39e+08,3.702e+09,7.376e+09,1.719e+09,3e+06,1.716e+09,9.71e+08,-2.92e+08,2.398e+09,4.99e+08,2.897e+09,1.0273e+10,2.98e+08,2.98e+08,1.31e+08,4.9e+07,-3.29e+08,1.49e+08,-2.13e+08,2000000.00000024,6e+06,-2.05e+08,-19000000.0000001,-2.2e+07,-2.16e+08,-2.72e+08,-2.72e+08,-3e+06,-2.75e+08,5.6e+08,2.478e+09,5.5e+07,0.17023,0.10661,0.06859,0.09527,0.02687,0.19928,1.46625,2.54608,0.24121,0.87708,0.87519,12.78759,7.62044,0.17478,0.04909,0.00821000000000001,2.94286,3.84149
"7","2013_Q3",42.29625,"Up",4.24e+09,-3.464e+09,7.76e+08,-2.67e+08,-2.41e+08,-2.6e+07,5.09e+08,-3.1e+07,-3.6e+07,5e+06,4.78e+08,-2.6e+07,4.52e+08,-7.3e+07,1e+07,3.89e+08,3.89e+08,-2.2e+07,3.67e+08,3.67e+08,1.001e+09,1.001e+09,2.868e+09,2.868e+09,1.162e+09,6.02e+08,6.02e+08,5.633e+09,2.875e+09,2.875e+09,2.043e+09,7.57e+08,2.08e+08,6.11e+08,4.918e+09,1.0551e+10,3.75e+09,2.501e+09,1.249e+09,5.9e+07,3.809e+09,2.367e+09,1.333e+09,8.88e+08,4.45e+08,3.7e+09,7.509e+09,1.721e+09,3e+06,1.718e+09,1.177e+09,-3.77e+08,2.521e+09,5.21e+08,3.042e+09,1.0551e+10,3.89e+08,3.89e+08,1.32e+08,8e+06,-6e+06,5.23e+08,-1.23e+08,0,1e+06,-1.22e+08,-5.3e+07,0,-2.24e+08,1.77e+08,1.77e+08,-6e+06,1.71e+08,6.41e+08,2.426e+09,5.85e+08,0.18302,0.12005,0.08656,0.12064,0.03478,1.59401,1.47887,2.46844,0.22993,1.17655,1.17369,13.59279,8.08194,1.87542,0.06176,0.08602,2.22309,2.79961
"8","2013_Q4",44.1684375,"Up",4.017e+09,-3.338e+09,6.79e+08,-2.55e+08,-2.28e+08,-2.7e+07,4.24e+08,-3e+07,-3.4e+07,4e+06,3.94e+08,-3.7e+07,3.57e+08,-7.2e+07,8e+06,2.93e+08,2.93e+08,-2.2e+07,2.71e+08,2.71e+08,1.053e+09,1.053e+09,2.856e+09,2.856e+09,1.233e+09,6.45e+08,6.45e+08,5.787e+09,2.982e+09,2.982e+09,2.042e+09,7.42e+08,2.17e+08,5.98e+08,5.024e+09,1.0811e+10,3.798e+09,2.504e+09,1.294e+09,5.9e+07,3.857e+09,2.359e+09,1.372e+09,9.09e+08,4.63e+08,3.731e+09,7.588e+09,1.721e+09,3e+06,1.718e+09,1.287e+09,-2.62e+08,2.746e+09,4.77e+08,3.223e+09,1.0811e+10,2.93e+08,2.93e+08,1.38e+08,2.8e+07,-6.1e+07,3.98e+08,-1.76e+08,-1.2e+07,2e+07,-1.68e+08,-8e+06,-1.8e+07,-1.92e+08,37999999.9999999,37999999.9999999,1.4e+07,52000000.0000001,5.62e+08,2.418e+09,3.97e+08,0.16903,0.10555,0.06746,0.08408,0.02507,1.46494,1.50039,2.35433,0.22366,0.8751,0.87245,12.97145,8.86722,1.28197,0.0462,0.05661,2.42883,3.21934
"9","2014_Q1",48.9259016393443,"Up",2.77e+09,-2.133e+09,6.37e+08,-2.35e+08,-2.17e+08,-1.8e+07,4.02e+08,-3e+07,-3.7e+07,7e+06,3.72e+08,-4.2e+07,3.3e+08,-5.8e+07,-1.1e+07,2.61e+08,3.21e+08,-2.3e+07,2.98e+08,2.98e+08,1.389e+09,1.389e+09,2.662e+09,2.662e+09,1.093e+09,6.08e+08,6.08e+08,5.752e+09,3.216e+09,3.216e+09,2.079e+09,7.23e+08,2.34e+08,6.26e+08,5.295e+09,1.1047e+10,3.833e+09,2.595e+09,1.238e+09,6.1e+07,3.894e+09,2.351e+09,1.368e+09,9.59e+08,4.09e+08,3.719e+09,7.613e+09,1.702e+09,3e+06,1.699e+09,1.446e+09,-2.37e+08,2.911e+09,5.23e+08,3.434e+09,1.1047e+10,2.61e+08,3.21e+08,9.8e+07,-9.5e+07,3.22e+08,6.8e+08,-1.05e+08,1.2e+07,1.1e+07,-1.6e+08,-5e+06,-2.9e+07,-1.9e+08,3.3e+08,3.3e+08,6e+06,3.36e+08,5e+08,2.412e+09,7.75e+08,0.22996,0.14513,0.10758,0.08678,0.02698,2.60067,1.47714,2.21695,0.21834,0.97072,0.96587,9.0231,9.48239,2.52451,0.04852,0.10743,2.046,2.54478
"10","2014_Q2",52.1968253968254,"Up",3.897e+09,-3.164e+09,7.33e+08,-2.72e+08,-2.48e+08,-2.4e+07,4.61e+08,-5.2e+07,-3.5e+07,-1.7e+07,4.09e+08,-2.1e+07,3.88e+08,-6.9e+07,7e+06,3.26e+08,3.41e+08,-2.1e+07,3.2e+08,3.2e+08,9.78e+08,9.78e+08,3.066e+09,3.066e+09,1.235e+09,6.01e+08,6.01e+08,5.88e+09,3.251e+09,3.251e+09,2.051e+09,6.96e+08,2.29e+08,6.32e+08,5.302e+09,1.1182e+10,3.899e+09,2.681e+09,1.218e+09,3.1e+07,3.93e+09,2.418e+09,1.34e+09,9.58e+08,3.82e+08,3.758e+09,7.688e+09,1.696e+09,3e+06,1.693e+09,1.544e+09,-2.79e+08,2.961e+09,5.33e+08,3.494e+09,1.1182e+10,3.26e+08,3.41e+08,1.34e+08,2.7e+07,-3.69e+08,1.36e+08,-2.72e+08,-18990929.0482891,-2e+06,-3e+08,4e+06,-1.5e+07,-2.41e+08,-4.05e+08,-4.05e+08,-6e+06,-4.11e+08,5.95e+08,2.449e+09,23000000.0000001,0.18809,0.1183,0.08211,0.09159,0.02862,0.0718699999999997,1.49618,2.20034,0.21901,1.04626,1.04272,12.74154,9.68122,0.0752000000000006,0.05451,0.00316000000000001,2.47227,3.19089
