"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",42.8219047619048,"Up",1567400000,-794500000,772900000,-449700000,-354500000,-95200000,323200000,-23400000,-23400000,-16618023.7144217,299800000,299800000,-72900000,226900000,226900000,226900000,226900000,724800000,724800000,9.72e+08,9.72e+08,558100000,104300000,104300000,2359200000,538300000,5235800000,4.048e+09,775800000,4.12e+08,5774100000,8133300000,1.369e+09,619400000,749600000,1.369e+09,3509100000,695600000,695600000,4204700000,5573700000,2378800000,202700000,-25500000,2.556e+09,3600000,2559600000,8133300000,226900000,45100000,15500000,44100000,331600000,-28600000,-177800000,-206500000,-24200000,138500000,-2700000,111600000,236700000,236700000,9e+05,237600000,368300000,3509100000,456700000,0.49311,0.2062,0.14476,0.08865,0.0279,2.01278,1.7233,2.17757,0.43145,0.54877,0.54374,3.79084,6.18183,1.10455,0.05853,0.03712,0.06752,0.10665,7.55987,8.61479
"2","2017_Q1",46.4856451612903,"Up",7.81e+08,-331700000,449300000,-295900000,-230500000,-65400000,153400000,-25100000,-20300000,-4800000,128300000,128300000,-35900000,92400000,224500000,224500000,224500000,803200000,803200000,945400000,945400000,544600000,195500000,195500000,2488700000,547600000,5153500000,3.979e+09,747300000,427200000,5701100000,8189800000,1466500000,666200000,800300000,1466500000,3.358e+09,674300000,674300000,4032300000,5498800000,2430700000,4.03e+08,-145800000,2687900000,3100000,2.691e+09,8189800000,92400000,2.7e+07,-7699999.99999999,51299999.9999999,317500000,-20100000,9500000,-34500000,-24200000,-156700000,2500000,-1.77e+08,1.06e+08,1.06e+08,-27600000,78400000,180400000,3.358e+09,247500000,0.57529,0.19641,0.28745,0.08343,0.02741,1.10245,1.69703,2.0434,0.41002,0.54234,0.53737,1.88671,6.49333,0.5979,0.05846,0.03699,0.03681,0.1078,14.16186,16.6545
"3","2017_Q2",51.0688888888889,"Up",1535200000,-791200000,7.44e+08,-448400000,-352200000,-96200000,295600000,-23300000,-22600000,-7e+05,272300000,272300000,-72600000,199700000,199700000,199700000,199700000,817600000,817600000,944100000,944100000,571600000,184100000,184100000,2517400000,552900000,5.164e+09,3999200000,736200000,428600000,5716900000,8234300000,1.401e+09,623300000,777700000,1.401e+09,3262700000,678700000,678700000,3941400000,5342400000,2411300000,578500000,-101400000,2888400000,3500000,2891900000,8234300000,199700000,36700000,1.2e+07,-100100000,148300000,-26800000,0,-27400000,-24200000,-95500000,3e+05,-119400000,1500000,1500000,12900000,14400000,332300000,3262700000,2.78e+08,0.48463,0.19255,0.13008,0.06905,0.02425,1.39209,1.79686,1.84737,0.39623,0.48159,0.47543,3.70227,6.96562,0.67042,0.05836,0.03277,0.04068,0.12118,7.35811,8.27165
"4","2017_Q3",54.0522222222222,"Up",1628800000,-823700000,805100000,-4.56e+08,-356900000,-99100000,349100000,-23500000,-22700000,-8e+05,325600000,325600000,-85500000,240100000,240100000,240100000,240100000,968400000,968400000,9.85e+08,9.85e+08,560600000,187700000,187700000,2701700000,562800000,5202600000,4032100000,729800000,440700000,5765400000,8467100000,1370800000,648600000,722200000,1370800000,3208100000,715200000,715200000,3923300000,5294100000,2430600000,794200000,-55300000,3169500000,3500000,3.173e+09,8467100000,240100000,37100000,13300000,-44800000,245700000,-28800000,2.98023223876953e-08,-31200000,-24400000,-63300000,7e+06,-80700000,133800000,133800000,1.7e+07,150800000,386200000,3208100000,398100000,0.49429,0.21433,0.14741,0.07567,0.02836,1.65806,1.97089,1.66848,0.37889,0.57869,0.57047,3.92573,7.63912,0.9595,0.05881,0.03727,0.0561,0.10162,5.79933,6.41564
"5","2017_Q4",59.5461904761905,"Up",1685300000,-845900000,839400000,-482700000,-380700000,-1.02e+08,356700000,-23700000,-22900000,-8e+05,3.33e+08,348300000,-80500000,267800000,267800000,267800000,267800000,910900000,910900000,1075100000,1075100000,576200000,133100000,133100000,2695300000,673200000,5958500000,4632300000,886100000,440100000,6631700000,9.327e+09,1379300000,646100000,733200000,1379300000,3671900000,797500000,797500000,4469400000,5848700000,2452700000,1037800000,-16300000,3474200000,4100000,3478300000,9.327e+09,267800000,39900000,-3400000,14700000,3.19e+08,-32100000,-802100000,-829700000,-24200000,461500000,3600000,440900000,-69800000,-69800000,12300000,-57500000,396600000,3671900000,459700000,0.49807,0.21165,0.1589,0.07699,0.02871,1.71658,1.95411,1.68148,0.39369,0.64452,0.63503,4.05606,8.36146,1.10637,0.05824,0.03674,0.05784,0.09037,6.96167,7.7404
"6","2018_Q1",61.9460655737705,"Up",906800000,-373900000,532900000,-391300000,-319300000,-7.2e+07,141600000,-14200000,-20500000,6300000,127400000,127400000,49300000,176700000,336900000,336900000,336900000,962100000,962100000,1020500000,1020500000,506700000,447500000,243700000,2936800000,610400000,6953400000,4560300000,1256400000,469500000,7563800000,10500600000,1444300000,6.29e+08,815300000,1602300000,4056200000,1033900000,969700000,5090100000,6692400000,2447600000,1350300000,-7600000,3790300000,17900000,3808200000,10500600000,176700000,44600000,-59700000,145500000,463400000,-23400000,-7.33e+08,-781400000,-24400000,379400000,2500000,358900000,40900000,40900000,10300000,51200000,186200000,4056200000,2.59e+08,0.58767,0.15615,0.37153,0.08847,0.03208,0.76877,1.83287,1.75737,0.38628,0.8099,0.79685,2.17992,9.11175,0.62263,0.05866,0.0406,0.02911,0.07243,16.61708,21.85099
"7","2018_Q2",62.2209375,"Up",1492200000,-725900000,766300000,-488400000,-388500000,-99900000,277900000,-2.4e+07,-23300000,-7e+05,253900000,253900000,-39900000,2.14e+08,261200000,261200000,261200000,1015700000,1015700000,1172100000,1172100000,615900000,2.76e+08,2.76e+08,3079700000,709800000,6865900000,5126200000,1259200000,480500000,7575700000,10655400000,1461400000,711700000,749700000,1461400000,3996900000,1087400000,1087400000,5084300000,6545700000,2479600000,1583300000,29500000,4092400000,17300000,4109700000,10655400000,2.14e+08,55900000,1.1e+07,-150100000,1.71e+08,-25900000,-7700000,-3.9e+07,-24300000,-74200000,4400000,-94200000,37800000,37800000,15800000,53600000,333800000,3996900000,197700000,0.51354,0.18624,0.17504,0.06356,0.02451,0.75689,2.10736,1.59274,0.37511,0.62701,0.61675,3.58205,9.82387,0.47458,0.05833,0.03105,0.0215,0.09303,8.9311,10.7276
"8","2018_Q3",66.8626984126984,"Up",2104500000,-1061100000,1043400000,-600700000,-480700000,-1.2e+08,442700000,-27700000,-26600000,-1100000,4.15e+08,4.15e+08,-72800000,342200000,2.95e+08,2.95e+08,294800000,2368200000,2368200000,1187800000,1187800000,642300000,305100000,305100000,4503400000,690400000,6792300000,5081900000,1230900000,479500000,7482700000,11986100000,1499400000,763500000,735900000,2298700000,2927400000,1118100000,1118100000,4045500000,6344200000,3840300000,1853900000,-69600000,5624600000,17300000,5641900000,11986100000,342200000,62300000,15500000,-3.8e+07,341800000,-32800000,-1600000.00000012,-25100000.0000002,-24400000,-251800000,10900000,1.073e+09,1389700000,1389700000,-37200000,1352500000,5.05e+08,3726700000,5.07e+08,0.49579,0.21036,0.14008,0.05225,0.0246,1.71981,1.95911,1.12448,0.31092,0.70646,0.69491,5.04321,13.47875,1.21497,0.05847,0.03044,0.04835,0.08277,2.6901,3.06867
"9","2018_Q4",61.2998412698413,"Down",1840100000,-915800000,924300000,-602800000,-490300000,-112500000,321500000,-25200000,-24400000,-8e+05,296300000,296300000,-5.1e+07,245300000,245300000,245300000,227900000,1145100000,1145100000,1295600000,1295600000,649200000,324400000,324400000,3414300000,682300000,9766200000,6743300000,2499900000,5.23e+08,10448500000,13862800000,1.655e+09,758700000,896300000,3479500000,3.178e+09,1356200000,1356200000,4534200000,8013700000,3.866e+09,2057100000,-92800000,5830300000,18800000,5849100000,13862800000,245300000,66600000,1.4e+07,60900000,386800000,-3.5e+07,-2815900000,-2850700000,-24500000,1286700000,-5700000,1255700000,-1208200000,-1208200000,-14900000,-1223100000,388100000,5002500000,4.65e+08,0.50231,0.17472,0.12385,0.03896,0.01644,2.04037,0.98126,1.37007,0.36086,0.54505,0.53676,4.40078,13.94373,1.11209,0.05859,0.02068,0.03809,0.1075,9.93919,11.99813
"10","2019_Q1",63.6401639344262,"Up",-1636400000,1088600000,-547800000,1.51e+08,96699999.9999999,54300000,-396800000,-2600000,-2900000,3e+05,-399400000,-399400000,88100000,-311300000,2112300000,2112300000,2.095e+09,1178400000,1178400000,1195100000,1195100000,574500000,223200000,193200000,3171200000,576100000,9158300000,6133100000,2476300000,548900000,9734400000,12905600000,1705800000,706500000,999300000,2192100000,2974700000,1125900000,1125900000,4100600000,6292700000,3129400000,3552700000,-86600000,6595500000,17400000,6612900000,12905600000,-311300000,-10600000,-25200000,131600000,444800000,23800000,46599999.9999995,948200000,73200000,1900000,-9.9e+07,-1355400000,37600000,37600000,-4300000,33300000,-407400000,3430300000,-340100000,0.33476,0.24248,-1.28025,0.31681,0.16233,-0.16234,1.44665,0.95158,0.2658,5.24421,5.18526,-4.09624,16.50986,-0.85134,-0.18323,0.18102,-0.03045,-0.03494,-5.52749,-5.67514999999999
