"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",23.418253968254,"Down",3.761e+09,-3.259e+09,5.02e+08,-5.8e+07,-5.8e+07,4.44e+08,-1.16e+08,-7.6e+07,-4e+07,3.28e+08,3.33e+08,-1.21e+08,2.12e+08,2.07e+08,-1e+06,2.06e+08,2.06e+08,3.191e+09,1.383e+09,3.176e+09,3.176e+09,1.658e+09,5.41e+08,5.41e+08,8.566e+09,5.98e+09,2.434e+09,1.138e+09,1.048e+09,8.414e+09,1.698e+10,1.484e+09,9.64e+08,5.2e+08,9.11e+08,6.29e+08,3.145e+09,3.824e+09,1.051e+09,4.25e+08,6.26e+08,4.875e+09,8.02e+09,3.064e+09,-4.915e+09,1.0988e+10,-2.06e+08,8.931e+09,2.9e+07,8.96e+09,1.698e+10,2.07e+08,2.07e+08,2.61e+08,-2e+07,-1.31e+08,3.17e+08,-4.04e+08,4.7e+07,-9.7e+08,-8.1e+07,1e+07,-3.7e+07,-6.9e+08,-6.9e+08,-9e+06,-6.99e+08,7.05e+08,4.574e+09,2.91e+08,0.13348,0.11805,0.05477,0.02299,0.01213,1.41262,2.72369,0.89509,0.26938,0.22762,0.22687,4.1558,9.86851,0.32155,0.0895,19.9468323238846,0.01968,0.01995,0.3932,1.9617,3.11486
"2","2010_Q3",24.7940625,"Up",4.387e+09,-3.573e+09,8.14e+08,-4.7e+07,-4.7e+07,7.67e+08,-8.5e+07,-7.6e+07,-9e+06,6.82e+08,6.77e+08,-2e+08,4.77e+08,4.83e+08,-3e+06,4.8e+08,4.8e+08,3.095e+09,1.16e+09,3.453e+09,3.453e+09,1.767e+09,6.14e+08,6.14e+08,8.929e+09,6.175e+09,2.436e+09,1.132e+09,1.03e+09,8.611e+09,1.754e+10,1.652e+09,1.069e+09,5.83e+08,9.13e+08,6.56e+08,3.315e+09,3.824e+09,1.017e+09,4.3e+08,5.87e+08,4.841e+09,8.156e+09,3.027e+09,-4.851e+09,1.1386e+10,-2.09e+08,9.353e+09,3.1e+07,9.384e+09,1.754e+10,4.83e+08,4.83e+08,2.72e+08,1.8e+07,-2.82e+08,4.91e+08,-4.51e+08,3.5e+07,-6.25e+08,-8.2e+07,-5000000.00000006,-81000000.0000001,-2.15e+08,-2.15e+08,-8e+06,-2.23e+08,1.039e+09,4.574e+09,5.06e+08,0.18555,0.17483,0.10941,0.05115,0.02737,1.05417,2.69351,0.86914,0.26078,0.5298,0.52805,4.84216,10.3234,0.5585,0.09051,13.3716439060718,0.03753,0.03379,0.17083,1.42348,1.92829
"3","2010_Q4",30.57234375,"Up",4.665e+09,-3.785e+09,8.8e+08,-6.2e+07,-6.2e+07,8.18e+08,-8.3e+07,-7.6e+07,-7e+06,7.35e+08,7.35e+08,-2.49e+08,4.86e+08,5.45e+08,-1e+06,5.44e+08,5.44e+08,2.755e+09,1.875e+09,3.723e+09,3.723e+09,1.889e+09,6.05e+08,6.05e+08,8.972e+09,6.486e+09,2.74e+09,1.254e+09,1.242e+09,9.226e+09,1.8198e+10,1.761e+09,1.095e+09,6.66e+08,8.22e+08,6.03e+08,3.333e+09,3.824e+09,1.188e+09,4.45e+08,7.43e+08,5.012e+09,8.345e+09,2.974e+09,-4.773e+09,1.1848e+10,-2.09e+08,9.84e+09,1.3e+07,9.853e+09,1.8198e+10,4.85e+08,5.45e+08,2.84e+08,8.2e+07,-2.97e+08,5.54e+08,-5.57e+08,4e+07,3.4e+08,-8.2e+07,-1.34e+08,-1.78e+08,7.16e+08,7.16e+08,-1e+06,7.15e+08,1.102e+09,4.574e+09,4.97e+08,0.18864,0.17535,0.11661,0.05521,0.02989,0.9136,2.69187,0.84695,0.25135,0.5978,0.59649,5.12637,10.81319,0.54615,0.09011,9.63936646477691,0.04009,0.03183,0.15074,1.65064,2.22372
"4","2011_Q1",37.0532258064516,"Up",5.16e+09,-4.118e+09,1.042e+09,-6.2e+07,-6.2e+07,9.8e+08,-7e+07,-6.9e+07,-999999.999999999,9.1e+08,9.1e+08,-2.83e+08,6.27e+08,6.07e+08,-2e+06,6.05e+08,6.05e+08,2.051e+09,1.398e+09,3.924e+09,3.924e+09,1.94e+09,7.14e+08,7.14e+08,8.629e+09,6.842e+09,2.826e+09,1.315e+09,1.254e+09,9.668e+09,1.8297e+10,1.855e+09,1.139e+09,7.16e+08,9.02e+08,6.36e+08,2.757e+09,3.824e+09,1.329e+09,4.87e+08,8.42e+08,5.153e+09,7.91e+09,3.013e+09,-4.771e+09,1.2371e+10,-2.4e+08,1.0373e+10,1.4e+07,1.0387e+10,1.8297e+10,6.27e+08,6.07e+08,3.02e+08,1.14e+08,-1.93e+08,8.5e+08,-4.3e+08,-1.55e+08,-5e+08,-8.2e+07,1.71e+08,-8.18e+08,-4.68e+08,-4.68e+08,-9e+06,-4.77e+08,1.282e+09,3.824e+09,9.42e+08,0.20194,0.18992,0.11725,0.05825,0.03307,1.55702,3.12985,0.76153,0.209,0.66411,0.6612,5.66411,11.38639,1.03403,0.09001,8,0.04421,0.06062,0.13554,1.383,1.80918
"5","2011_Q2",40.304126984127,"Up",5.282e+09,-4.398e+09,8.84e+08,-7e+07,-7e+07,8.14e+08,-7.3e+07,-6.9e+07,-4e+06,7.41e+08,7.41e+08,-2.29e+08,5.12e+08,5.11e+08,0,5.11e+08,5.11e+08,1.882e+09,1.03e+09,4.132e+09,4.132e+09,2.099e+09,6.75e+08,6.75e+08,8.788e+09,7.248e+09,2.954e+09,1.323e+09,1.391e+09,1.0202e+10,1.899e+10,2.009e+09,1.372e+09,6.37e+08,9.1e+08,6.3e+08,2.919e+09,3.824e+09,1.307e+09,4.79e+08,8.28e+08,5.131e+09,8.05e+09,3.063e+09,-4.701e+09,1.28e+10,-2.38e+08,1.0924e+10,1.6e+07,1.094e+10,1.899e+10,5.11e+08,5.11e+08,3.2e+08,-4.9e+07,-2.17e+08,5.65e+08,-7.04e+08,-1.2e+07,-9.17e+08,-8.2e+07,7e+06,-9e+06,-3.61e+08,-3.61e+08,-7e+06,-3.68e+08,1.134e+09,3.824e+09,4.42e+08,0.16736,0.15411,0.09674,0.04671,0.02691,0.86497,3.01062,0.73583,0.20137,0.55908,0.55604,5.77899,11.95186,0.48359,0.08972,7.70354451174103,0.0369,0.0275,0.16047,1.71252,2.38575
"6","2011_Q3",38.006875,"Down",5.935e+09,-4.709e+09,1.226e+09,-6.5e+07,-6.5e+07,1.161e+09,-6.8e+07,-6.3e+07,-5e+06,1.093e+09,1.093e+09,-3.52e+08,7.41e+08,7.41e+08,-2e+06,7.39e+08,7.39e+08,1.889e+09,1.438e+09,4.448e+09,4.448e+09,2.235e+09,7.1e+08,7.1e+08,9.282e+09,7.626e+09,3.048e+09,1.369e+09,1.421e+09,1.0674e+10,1.9956e+10,2.26e+09,1.554e+09,7.06e+08,9.06e+08,6.46e+08,3.166e+09,3.824e+09,1.308e+09,4.83e+08,8.25e+08,5.132e+09,8.298e+09,3.04e+09,-4.617e+09,1.3456e+10,-2.37e+08,1.1642e+10,1.6e+07,1.1658e+10,1.9956e+10,7.41e+08,7.41e+08,3.31e+08,1e+07,-2.59e+08,8.23e+08,-7.19e+08,-8000000.00000001,-3.26e+08,-8.3e+07,7.3e+07,-75999999.9999999,4.21e+08,4.21e+08,-1.3e+07,4.08e+08,1.492e+09,3.824e+09,8.66e+08,0.20657,0.19562,0.12452,0.06339,0.03703,1.17185,2.93178,0.71179,0.19162,0.80677,0.80239,6.47926,12.70961,0.94541,0.09061,8,0.04896,0.05158,0.11231,1.29692,1.66667
"7","2011_Q4",29.3769841269841,"Down",6.548e+09,-5.137e+09,1.411e+09,-7.9e+07,-7.9e+07,1.332e+09,-7.1e+07,-6.2e+07,-9e+06,1.261e+09,1.261e+09,-4.11e+08,8.5e+08,6.85e+08,-2e+06,6.83e+08,6.83e+08,2.175e+09,1.775e+09,4.769e+09,4.769e+09,2.412e+09,7.12e+08,7.12e+08,1.0068e+10,7.993e+09,3.143e+09,1.373e+09,1.532e+09,1.1136e+10,2.1204e+10,2.466e+09,1.733e+09,7.33e+08,1.19e+09,9.21e+08,3.656e+09,3.824e+09,1.348e+09,4.77e+08,8.71e+08,5.172e+09,8.828e+09,3.112e+09,-4.571e+09,1.4057e+10,-2.4e+08,1.2358e+10,1.8e+07,1.2376e+10,2.1204e+10,8.51e+08,6.85e+08,3.4e+08,1.69e+08,-3.82e+08,9.78e+08,-7.41e+08,5.6e+07,-6.35e+08,-8.2e+07,7.9e+07,-3e+06,3.4e+08,3.4e+08,-3e+06,3.37e+08,1.672e+09,3.824e+09,9.6e+08,0.21549,0.20342,0.10431,0.05519,0.03221,1.40556,2.75383,0.71332,0.18034,0.74239,0.73838,7.11739,13.43261,1.04348,0.08913,8,0.04359,0.05471,0.12006,0.98624,1.23799
"8","2012_Q1",29.9848387096774,"Up",7.064e+09,-5.567e+09,1.497e+09,-6.7e+07,-6.7e+07,1.43e+09,-7.6e+07,-6.9e+07,-7e+06,1.354e+09,1.354e+09,-4.47e+08,9.07e+08,9.07e+08,-1e+06,9.06e+08,9.06e+08,2.698e+09,2.698e+09,5.084e+09,5.084e+09,2.57e+09,9.04e+08,9.04e+08,1.1256e+10,8.492e+09,3.929e+09,1.776e+09,1.832e+09,1.2421e+10,2.3677e+10,2.688e+09,1.826e+09,8.62e+08,1.433e+09,1.124e+09,4.121e+09,4.82e+09,1.52e+09,5.34e+08,9.86e+08,6.34e+09,1.0461e+10,3.138e+09,-4.547e+09,1.488e+10,-2.73e+08,1.3198e+10,1.8e+07,1.3216e+10,2.3677e+10,9.07e+08,9.07e+08,3.68e+08,3.18e+08,-2.75e+08,1.318e+09,-6.29e+08,-5.3e+07,-1.312e+09,-8.3e+07,-1.34e+08,9.21e+08,9.27e+08,9.27e+08,-4e+06,9.23e+08,1.798e+09,4.82e+09,1.341e+09,0.21192,0.20243,0.12826,0.06855,0.03826,1.48013,2.73138,0.79154,0.20357,0.98265,0.98158,7.66161,14.31453,1.45445,0.09002,7,0.05057,0.06857,0.09161,1.1802,1.48392
"9","2012_Q2",26.2907936507936,"Down",6.868e+09,-5.477e+09,1.391e+09,-6.8e+07,-6.8e+07,1.323e+09,-8.1e+07,-7.4e+07,-7e+06,1.242e+09,9.42e+08,-3.04e+08,6.38e+08,6.3e+08,-3e+06,6.27e+08,6.27e+08,2.655e+09,2.655e+09,5.336e+09,5.336e+09,2.916e+09,7.94e+08,7.94e+08,1.1701e+10,8.897e+09,4.07e+09,1.966e+09,1.787e+09,1.2967e+10,2.4668e+10,2.634e+09,1.941e+09,6.93e+08,1.676e+09,1.358e+09,4.31e+09,4.82e+09,1.674e+09,5.09e+08,1.165e+09,6.494e+09,1.0804e+10,3.161e+09,-4.475e+09,1.5424e+10,-2.66e+08,1.3844e+10,2e+07,1.3864e+10,2.4668e+10,6.3e+08,6.3e+08,3.85e+08,1.94e+08,-4.75e+08,7.34e+08,-7.82e+08,5e+06,-7.27e+08,-8.3e+07,3.4e+07,-4.9e+07,-4.2e+07,-4.2e+07,-1e+06,-4.3e+07,1.708e+09,4.82e+09,7.55e+08,0.20253,0.19263,0.09129,0.04523,0.02542,1.20415,2.71485,0.77928,0.19539,0.67931,0.67711,7.44095,14.99892,0.81798,0.08992,6,0.03488,0.03709,0.13238,1.26756,1.63643
"10","2012_Q3",28.1936507936508,"Up",7.234e+09,-5.966e+09,1.268e+09,-6.7e+07,-6.7e+07,1.201e+09,-9.7e+07,-8e+07,-1.7e+07,1.104e+09,1.104e+09,-3.57e+08,7.47e+08,7.39e+08,-2e+06,7.37e+08,7.37e+08,2.172e+09,2.172e+09,5.674e+09,5.674e+09,3.297e+09,1.391e+09,1.391e+09,1.2534e+10,9.363e+09,3.674e+09,1.986e+09,1.688e+09,1.3037e+10,2.5571e+10,2.902e+09,2.113e+09,7.89e+08,1.538e+09,1.538e+09,4.44e+09,4.82e+09,1.75e+09,5.12e+08,1.238e+09,6.57e+09,1.101e+10,3.107e+09,-4.383e+09,1.6077e+10,-2.61e+08,1.454e+10,2.1e+07,1.4561e+10,2.5571e+10,7.39e+08,7.39e+08,4.06e+08,3.94e+08,-1.14e+09,3.99e+08,-8.69e+08,2.9e+07,-7.9e+08,-8.4e+07,-9000000.00000003,-9.3e+07,-4.84e+08,-4.84e+08,-1e+06,-4.85e+08,1.607e+09,4.82e+09,-4.5e+07,0.17528,0.16602,0.10188,0.05061,0.02882,-0.0610599999999999,2.82297,0.75613,0.18849,0.79848,0.7959,7.83749,15.75298,-0.04875,0.09101,4,0.03885,-0.00213,0.11398,1.64779,2.20483
