"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",23.197619047619,"Up",1207172000,-738991000,-657788000,468181000,-235350000,-235350000,232831000,-22579000,-23455000,876000,210252000,-80042000,130210000,-61469000,68741000,33325000,33325000,33325000,1482214000,1442798000,2348717000,286518000,2062199000,322238000,868340000,717165000,5021509000,847480000,4573804000,4573804000,260110000,29818000,230292000,5681394000,10702903000,865725000,265905000,599820000,1455941000,160837000,1295104000,2383392000,5570473000,5570473000,661639000,504562000,265117000,157077000,6232112000,8615504000,2087399000,10702903000,200842000,-14558000,198104000,183546000,-23488000,-495918000,-495918000,-90000,1101000,-1191000,-554196000,-169808000,-184559000,-185165000,7026414000,0.38783,0.19287,0.02761,0.01596,0.00311,2.10687,4.12739,0.6565,0.14311,0.14228,5.18402,0.10087,5.74807221897989,0.00581,0.70482,23.81212
"2","2010_Q3",20.13890625,"Down",1308806000,-807238000,-738117000,501568000,-243429000,-243429000,258139000,-22040000,-23591000,1551000,236099000,-39387000,196712000,-57425000,139287000,71157000,71157000,71157000,1501430000,1414912000,2053915000,248620000,1805295000,296920000,733736000,648610000,4586001000,810104000,4568328000,4568328000,259460000,28110000,231350000,5637892000,10223893000,833904000,241719000,592185000,1481995000,322941000,1159054000,2377400000,5052359000,5052359000,657130000,509441000,265326000,147689000,5709489000,8086889000,2137004000,10223893000,525168000,-31196000,-35728000,-114068000,-23545000,-473118000,-473118000,6083000,6083000,0,-430534000,-19434000,-28549000,-31115000,6534354000,0.38323,0.19723,0.05437,0.0333,0.00696,1.929,3.78422,0.63913,0.30497,0.30311,5.60939,0.10091,6,0.01015,0.33089,19.49695
"3","2010_Q4",24.8934375,"Up",1259960000,-770089000,-707309000,489871000,-241976000,-241976000,247895000,-21863000,-23102000,1239000,226032000,-95525000,130507000,-36790000,93717000,88829000,88829000,88829000,1549530000,1494301000,2045559000,306085000,1739474000,319101000,584770000,584770000,4498960000,779991000,4471037000,4471037000,290972000,29992000,260980000,5.542e+09,10040960000,934651000,243840000,690811000,1521240000,587981000,933259000,2455891000,4615937000,4615937000,779182000,626128000,272232000,153054000,5395119000,7851010000,2189950000,10040960000,443492000,-31805000,38197000,39618000,-23447000,-404650000,-403805000,-214000,282000,-496000,-371139000,111971000,65992000,74085000,6137177000,0.3888,0.19675,0.0705,0.04056,0.00885,1.83191,3.58502,0.61121,0.38041,0.37816,5.39579,0.10041,6,0.01233,0.26396,18.50641
"4","2011_Q1",30.6803225806452,"Up",1083398000,-705390000,-646010000,378008000,-299616000,-299616000,78392000,-18433000,-20209000,1776000,59959000,-126919000,-66960000,24884000,-42076000,-46766000,-46766000,-46766000,1162051000,1021933000,2041840000,262382000,1779458000,326446000,536289000,389878000,4066626000,815112000,4238111000,4238111000,310891000,29590000,67312000,5364114000,9430740000,782017000,225346000,556671000,1231765000,480472000,751293000,2013782000,4520591000,4520591000,689501000,536847000,254762000,152654000,5210092000,7223874000,2206866000,9430740000,-6084000,-93286000,215857000,36341000,-23665000,-475819000,-693249000,360000,379000,-18999.9999999995,-500221000,-469964000,-472387000,-472368000,5752356000,0.34891,0.07236,-0.04317,-0.02119,-0.00496,2.0194,3.27336,0.60996,-0.20024,-0.19878,4.63879,0.10133,5,-0.00267,-0.50603,58.55578
"5","2011_Q2",29.2763492063492,"Down",1224930000,-769213000,-711178000,455717000,-234115000,-234115000,221602000,-10083000,-11481000,1398000,211519000,-28605000,182914000,-63654000,119260000,119260000,119260000,119260000,1047724000,932515000,2212211000,297671000,1914540000,372323000,538330000,538330000,4170588000,799091000,4110883000,4110883000,324580000,30988000,293592000,5234554000,9405142000,872759000,292676000,580083000,1114572000,393393000,721179000,1987331000,4566959000,4566959000,510604000,354132000,254505000,156472000,5077563000,7064894000,2340248000,9405142000,-104918000,-27704000,127752000,125022000,-23643000,-79569000,-79569000,-838000,3861000,-4699000,-106804000,-86700000,-86725000,-89418000,5681531000,0.37204,0.18091,0.09736,0.05096,0.01268,2.09859,3.01887,0.60409,0.51005,0.50555,5.23877,0.10112,3,0.01675,0.19825,20.91049
"6","2011_Q3",29.94296875,"Up",1505597000,-928467000,-871476000,577130000,-268424000,-268424000,308706000,-9602000,-11350000,1748000,299104000,-6803999.99999999,292300000,-101720000,190580000,190580000,190580000,190580000,1218033000,973478000,1983757000,265663000,1718094000,337472000,461716000,461716000,4000978000,788943000,4245346000,4245346000,326712000,31156000,295556000,5361001000,9361979000,867491000,277395000,590096000,1329741000,694137000,635604000,2197232000,4111240000,4111240000,522111000,362392000,258881000,159719000,4633351000,6830583000,2531396000,9361979000,577880000,-41563000,-145749000,-314973000,-29509000,-244167000,-244167000,-306000,673000,-979000.000000004,-222925000,39982000,39972000,40963000,5440981000,0.38332,0.20504,0.12658,0.07529,0.02036,1.82092,2.69835,0.58118,0.81322,0.80691,6.42451,0.12592,7,0.02591,0.15484,13.67951
"7","2011_Q4",29.0238095238095,"Down",1397256000,-879215000,-817308000,518041000,-256735000,-256735000,261306000,-8791000,-11270000,2479000,252515000,-18618000,233897000,-50303000,183594000,183594000,183594000,183594000,1608038000,1428753000,1975532000,285332000,1690200000,345963000,455653000,455653000,4385186000,775213000,4215628000,4215628000,328332000,30004000,298328000,5319173000,9704359000,1021433000,289490000,731943000,1419750000,774971000,644779000,2441183000,4154899000,4154899000,507017000,368891000,262096000,138126000,4661916000,7103099000,2601260000,9704359000,428639000,-36848000,-15778000,12383000,-29405000,137323000,-433470000,-88549000,3229000,-91778000,24447000,465469000,465430000,455275000,5574649000,0.37076,0.18701,0.1314,0.07058,0.01892,1.79634,2.73064,0.57445,0.78526,0.7784,5.97629,0.12577,6,0.02453,0.16016,15.17995
"8","2012_Q1",35.5990322580645,"Up",1183930000,-758885000,-706326000,425045000,-301669000,-301669000,123376000,-8827000,-11165000,2338000,114549000,-30996000,83553000,-28909000,54644000,105680000,105680000,105680000,1680330000,1526950000,1979506000,219039000,1760467000,418006000,464364000,332033000,4542206000,809459000,4026214000,4026214000,296285000,29081000,64765000,5131958000,9674164000,819885000,255713000,564172000,1878733000,838486000,1040247000,2698618000,3843886000,3843886000,711404000,571065000,268582000,140339000,4555290000,7253908000,2420256000,9674164000,-16310000,-82920000,171800000,114026000,-28454000,139653000,710929000,-127015000,77000.0000000019,-127092000,-3662000.00000003,94054000.0000001,94128000.0000001,98197000.0000001,5722619000,0.35901,0.10421,0.08926,0.04366,0.01092,1.68316,2.99717,0.59154,0.46031,0.45606,5.15685,0.12394,6,0.01515,0.26925,32.76398
"9","2012_Q2",38.3177777777778,"Up",1429691000,-868115000,-816859000,561576000,-265653000,-265653000,295923000,-9562000,-11495000,1933000,286361000,-20465000,265896000,-93861000,172035000,172035000,172035000,172035000,1411283000,1276337000,2149761000,264272000,1885489000,467941000,484545000,484545000,4513530000,791064000,3991914000,3991914000,308839000,29740000,279099000,5091817000,9605347000,933521000,355902000,577619000,1649706000,629143000,1020563000,2583227000,3918384000,3918384000,529077000,384083000,265871000,144994000,4447461000,7030688000,2574659000,9605347000,-73616000,-24680000,36657000,32019000,-35943000,-160157000,-160157000,-4464000,16281000,-20745000,-209942000,-251539000,-251539000,-250613000,5568090000,0.3928,0.20698,0.12033,0.06682,0.01791,1.74724,2.73073,0.57969,0.75128,0.74383,6.24352,0.15696,6,0.02398,0.20893,14.04692
"10","2012_Q3",34.2028571428571,"Down",1729660000,-1053942000,-1005230000,675718000,-283245000,-283245000,392473000,-9364000,-11595000,2231000,383109000,-960000,382149000,-134899000,247250000,247250000,247250000,247250000,1207344000,1071496000,2105106000,250268000,1854838000,323046000,434371000,434371000,4069867000,776793000,4161731000,4161731000,308393000,28604000,279789000,5246917000,9316784000,787336000,252239000,535097000,1753257000,845868000,907389000,2540593000,3576994000,3576994000,532810000,385791000,263295000,147019000,4109804000,6650397000,2666387000,9316784000,361858000,-35398000,-184439000,-221826000,-35702000,-237470000,-328500000,-132941000,19056000,-151997000,-339914000,-199882000,-199882000,-204841000,5330251000,0.39067,0.22691,0.14295,0.09273,0.02654,1.60194,2.49416,0.57211,1.08046,1.0707,7.55845,0.15601,8,0.03317,0.1444,10.50494
