"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",41.7414285714286,"Up",2477785000,-2128576000,349209000,-235728000,-235728000,113481000,-333000,226000,-559000,113148000,113148000,-40747000,72401000,72401000,36000,72437000,72437000,1055038000,1055038000,1549760000,168074000,50437000,2772872000,221575000,1686089000,1133309000,552780000,1907664000,4680536000,1060021000,338269000,684559000,113459000,276832000,276832000,1450312000,628000,506182000,506182000,506810000,1957122000,842741000,124511000,718230000,2081354000,-206207000,2717888000,5526000,2723414000,4680536000,72437000,5282000,139871000,240369000,3921000,-220131000,-327208000,97416000,7938000,2057000,107411000,20572000,20572000,847000,21419000,114087000,0.14094,0.0458,0.02923,0.0266,0.01548,1.91191,0.71863,0.02437,0.58596,0.5781,20.04324,21.98547,-24.3303005534974,0.02166,-8.29171
"2","2010_Q3",34.93484375,"Down",2586974000,-2223793000,363181000,-241177000,-241177000,122004000,-844000.000000002,90999.9999999981,-935000,121160000,121160000,-43593000,77567000,77567000,-67000,77500000,77500000,839057000,839057000,1698774000,172499000,44055000,2710330000,223776000,1716716000,1125591000,591125000,1940492000,4650822000,1019442000,316308000,695803000,95579000,237685000,237685000,1352706000,561000,485268000,485268000,485829000,1838535000,860107000,124905000,735202000,2156895000,-210308000,2806694000,5593000,2812287000,4650822000,77531000,6214000,-229009000,-123202000,-15114000,-41719000,-78851000,-18348000,10124000,-6427000,-14651000,-216704000,-216704000,723000,-215981000,96140000,0.14039,0.04716,0.02996,0.02756,0.01666,2.00364,0.65375,0.02067,0.6254,0.61714,20.87616,22.64924,-9.73905586305412,0.02284,-6.08928
"3","2010_Q4",39.1909375,"Up",2507725000,-2235537000,272188000,-227105000,-227105000,45083000,-7844000,-6200000,-1644000,37239000,37239000,-17999000,19240000,19240000,-197000,19043000,19043000,941680000,941680000,1661767000,169754000,41246000,2773201000,220153000,1667422000,1118195000,549227000,1887575000,4660776000,1069212000,284999000,784213000,93610000,203876000,203876000,1366698000,517000,475769000,475769000,476286000,1842984000,878235000,125623000,752612000,2174378000,-240613000,2.812e+09,5792000,2817792000,4660776000,19240000,8170000,71760000,120043000,-16262000,3052000,9428000,-1996000,9580000,1370000,8954000,138425000,138425000,-35802000,102623000,94127000,0.10854,0.01798,0.00759,0.00676,0.00409,2.02912,0.65405,0.0202,0.15316,0.15118,20.16861,22.61577,-0.695622345221648,0.00562,-18.79984
"4","2011_Q1",47.2616129032258,"Up",2343033000,-1995006000,348027000,-228512000,-228512000,119515000,872000,800000.000000001,72000,120387000,120387000,-43308000,77079000,77079000,-85000.0000000001,76994000,76994000,938842000,938842000,1659844000,168356000,50658000,2767042000,215032000,1701843000,1118889000,582954000,1916875000,4683917000,965155000,303877000,661278000,79399000,194899000,194899000,1239453000,508999.999999996,579027000,579027000,579536000,1818989000,893423000,125909000,767514000,2251366000,-285741000,2859048000,5880000,2864928000,4683917000,77079000,27565000,-141014000,-13589000,-7241000,-694000.000000007,-1854999.99999999,-19199000,8567000,2032000,-8600000,-24044000,-24044000,21206000,-2837999.99999997,79908000,0.14854,0.05101,0.03286,0.02687,0.01644,2.23247,0.63492,0.01706,0.61765,0.60954,18.79599,22.9355,4,0.02185,-7.18683
"5","2011_Q2",43.9044444444444,"Down",2356175000,-2025137000,331038000,-227419000,-227419000,103619000,104000,97000,7000,103723000,103723000,-37026000,66697000,66697000,-874000,65823000,65823000,1039683000,1039683000,1617830000,179696000,61330000,2837209000,207092000,1862335000,1161262000,701073000,2069427000,4906636000,974070000,283083000,660300000,70587000,210268000,210268000,1254925000,11837000,684963000,684963000,696800000,1951725000,911448000,126265000,785183000,2317182000,-281271000,2947359000,7552000,2954911000,4906636000,66697000,6710000,52130000,145770000,-5078000,-57993000,-60783000,3527000,11074000,301000,14902000,99889000,99889000,952000,100841000,82424000,0.1405,0.04398,0.02794,0.02228,0.01342,2.26086,0.6605,0.0168,0.52663,0.51976,18.85121,23.58114,5.54781117261082,0.01768,-9.23826
"6","2011_Q3",35.4365625,"Down",2558016000,-2168835000,389181000,-261166000,-261166000,128015000,-1534000,-1571000,37000,126481000,126481000,-45140000,81341000,81341000,-1091000,80250000,80250000,747911000,747911000,1984258000,201345000,74298000,2933514000,234548000,2469551000,1731661000,737890000,2704099000,5637613000,1140991000,306026000,815287000,54538000,290795000,290795000,1486324000,379696000,722139000,722139000,1101835000,2588159000,938519000,126754000,811765000,2386861000,-284571000,3040809000,8645000,3049454000,5637613000,81341000,-512000,-186536000,-81973000,-10591000,-555174000,-567065000,343536000,11078000,3529000,358143000,-290895000,-290895000,-877000,-291772000,434234000,0.15214,0.05004,0.03137,0.02632,0.01423,1.97367,0.84873,0.07702,0.63994,0.63009,20.39853,24.24849,5.14781117261082,0.01908,-2.45031
"7","2011_Q4",37.2463492063492,"Up",2744178000,-2331466000,412712000,-273332000,-273332000,139380000,1921000,-1251000,3172000,141301000,141301000,-49365000,91936000,91936000,-1260000,90676000,90676000,773819000,773819000,2177632000,173275000,56381000,3124726000,292870000,2621721000,1744255000,877466000,2914591000,6039317000,1300008000,330335000,934185000,548743000,281064000,281064000,2129815000,2455000,753869000,753869000,756324000,2886139000,968101000,127472000,840629000,2470018000,-296276000,3141843000,11335000,3153178000,6039317000,91936000,-5835000,-50885000,60392000,-64843000,-92987000,-155162000,111302000,14014000,2934000,128250000,33480000,33480000,-7572000,25908000,551198000,0.1504,0.05079,0.03304,0.02876,0.01501,1.46713,0.91531,0.09127,0.72009,0.71014,21.79234,24.95031,4,0.02034,-1.59722
"8","2012_Q1",43.0532258064516,"Up",2723295000,-2296733000,426562000,-278658000,-278658000,147904000,-2748000,-1157000,-1591000,145156000,145156000,-49909000,95247000,95247000,-967000,94280000,94280000,905633000,905633000,2077494000,196964000,63546000,3180091000,284633000,2734502000,1872768000,861734000,3019135000,6199226000,1325756000,351299000,937291000,566031000,276739000,276739000,2168526000,2041999.99999994,705273000,705273000,707315000,2875841000,986245000,127785000,858460000,2564281000,-237538000,3312988000,10397000,3323385000,6199226000,95247000,17309000,-26482000,112301000,-14377000,-6e+05,-18826000,45788000,9777000,73000,55638000,149113000,149113000,-17299000,131814000,568073000,0.15663,0.05431,0.03462,0.02837,0.01521,1.46648,0.86533,0.09164,0.74571,0.7409,21.53994,26.20413,4,0.02051,-2.28229
"9","2012_Q2",37.1928571428571,"Down",2631768000,-2210726000,421042000,-279090000,-279090000,141952000,-2398000,-2267000,-131000,139554000,139554000,-48118000,91436000,91436000,-1726000,89710000,89710000,959237000,959237000,2026973000,172311000,58592000,3158521000,291429000,2676325000,1780745000,895580000,2967754000,6126275000,1191190000,307055000,821785000,535724000,296431000,296431000,2023345000,0,650187000,650187000,650187000,2673532000,1014481000,128384000,886097000,2648454000,-223756000,3439179000,13564000,3452743000,6126275000,91436000,-3932000,33442000,146182000,-19979000,-65806000,-85841000,-22732000,9653000,699000,-12380000,47961000,47961000,5643000,53604000,535724000,0.15998,0.05394,0.03409,0.02598,0.01464,1.56104,0.77432,0.08745,0.70682,0.70038,20.73548,27.09701,6,0.01934,-2.98349
"10","2012_Q3",37.7544444444444,"Up",2702851000,-2276647000,426204000,-293066000,-293066000,133138000,-823000,-933000,110000,132315000,132315000,-44869000,87446000,87446000,-3513000,83933000,83933000,921507000,921507000,2146879000,196836000,61338000,3265222000,297403000,2769145000,1877585000,891560000,3066548000,6331770000,1318252000,345656000,965434000,255778000,254941000,254941000,1828971000,285385000,654999000,654999000,940384000,2769355000,1044411000,128911000,915500000,2718508000,-217505000,3545414000,17001000,3562415000,6331770000,87446000,1673000,-138537000,-24146000,-17591000,-3463000,-21694000,-12201000,11066000,4219000,3084000,-42756000,-42756000,5026000,-37730000,541163000,0.15769,0.04926,0.03105,0.02356,0.01326,1.78528,0.77738,0.08547,0.65871,0.65263,21.21197,27.82441,3,0.01764,-2.85677
