"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.9674603174603,"Up",844673000,-663441000,181232000,-113792000,-6659000,-48012000,-59121000,67440000,-6494000,-6494000,60946000,60946000,-23464000,37482000,37482000,37482000,37482000,-368763638.752633,-368763638.752633,219001292.146054,219001292.146054,219095127.931444,145910421.50319,1498860914.09966,2260324335.85717,-761463421.757513,18616001.5764014,18616001.5764014,1517476915.67606,1663387337.17925,215969762.807502,-23444938.1037328,239414700.911235,591397636.272171,95243832.729245,520610077.156353,498105481.137824,22504596.0185286,615853909.885598,1207251546.15777,456135791.02148,1663387337.17925,37482000,48012000,14510000,-13329000,86675000,-47673000,-68000,-47741000,-15271000,-24977000,393000,865000,-38990000,-56000,-56000,-56000,115452000,0,77914000,0.21456,0.07984,0.04437,0.159322484600031,0.0454084075917957,2.0787,0.117027149847315,2.55612783696943,0.29220565820794,0.29448,0.28745,6.63623,0.61214,0.11998,0.0629535526099764,-0.168957328904765,0.40742,5.14941918294977,7.05008933356625
"2","2010_Q3",30.58171875,"Down",942776000,-732207000,210569000,-119222000,-8822000,-49148000,-61252000,91347000,-6611000,-6611000,84736000,84736000,-32624000,52112000,52112000,52112000,52112000,7714000,7714000,363669000,363669000,52188000,423571000,1457660000,2242480000,-784820000,19710000,19710000,1477370000,1900941000,316731000,196730000,120001000,527847000,417100000,384935000,346870000,38065000,802035000,1329882000,571059000,1900941000,52112000,49148000,-2358000,23253000,122155000,-56272000,16000,-56256000,-14982000,74748000,-129224000,3486000,-65972000,-73000,-73000,-73000,140495000,617100000,140100000,0.22335,0.09689,0.05528,0.09126,0.02741,2.68844,0.80245,2.3288,0.32463,0.41462,0.40422,7.50104,1.11468,0.1192,0.04265,0.08906,0.2875,4.33742,6.67111
"3","2010_Q4",33.3271875,"Up",986024000,-768666000,217358000,-125868000,-13147000,-49808000,-62913000,91490000,-6662000,-6662000,84828000,84828000,-32658000,52170000,52170000,52170000,52170000,68560000,68560000,371120000,371120000,46585000,486265000,1450032000,2277087000,-827055000,19712000,19712000,1469744000,1956009000,314108000,218703000,95405000,525216000,449164000,387171000,346056000,41115000,836335000,1361551000,594458000,1956009000,52170000,49808000,3156000,16273000,121407000,-41415000,3000,-41412000,-14852000,32257000,-41120000,4566000,-19149000,60846000,60846000,60846000,141298000,649164000,148814000,0.22044,0.09279,0.05291,0.08776,0.02667,2.85248,0.92584,2.29041,0.33188,0.42281,0.41272,7.99112,1.20605,0.12037,0.0411,0.09125,0.28468,4.10907,6.34609
"4","2011_Q1",37.5359677419355,"Up",1020012000,-801618000,218394000,-121046000,-8389000,-50094000,-62563000,97348000,-8164000,-8164000,89184000,89184000,-31331000,57853000,57853000,57853000,57853000,7651000,7651000,351187000,351187000,86471000,462645000,1479484000,2338336000,-858852000,19531000,19531000,1499015000,1961660000,301084000,192103000,108981000,509949000,454207000,424483000,385003000,39480000,878690000,1388639000,573021000,1961660000,57853000,50094000,44646000,-54752000,97841000,-80572000,-35000,-80607000,-14805000,7564000,-74139000,3237000,-78143000,-60909000,-60909000,-60909000,147442000,654207000,43449000,0.21411,0.09544,0.05672,0.10096,0.02949,0.75102,0.90724,2.42336,0.3335,0.47231,0.46154,8.32731,0.35471,0.12087,0.04399,0.02631,0.25591,4.38515,6.6417
"5","2011_Q2",40.8480952380952,"Up",1000780000,-794707000,206073000,-116250000,-6880000,-51357000,-58013000,89823000,-8434000,-8434000,81389000,81389000,-31294000,50095000,50095000,50095000,50095000,5393000,5393000,402922000,402922000,67252000,475567000,1545125000,2402559000,-857434000,19680000,19680000,1564805000,2040372000,360400000,249730000,110670000,424977000,649249000,406880000,366457000,40423000,1056129000,1481106000,559266000,2040372000,50095000,51357000,-10694000,45825000,136583000,-112346000,-12000,-112358000,-15752000,42870000,-54306000,705000,-26483000,-2258000,-2258000,-2258000,141180000,698249000,105953000,0.20591,0.08975,0.05006,0.08957,0.02455,2.11504,1.11904,2.6483,0.34222,0.41408,0.4041,8.27228,0.87579,0.1302,0.03956,0.06366,0.31444,4.90761,7.71357
"6","2011_Q3",37.431875,"Down",1149855000,-912425000,237430000,-123987000,-7516000,-52551000,-63920000,113443000,-6707000,-6707000,106736000,106736000,-41040000,65696000,65696000,65696000,65696000,11149000,11149000,440755000,440755000,56247000,508151000,1593250000,2479869000,-886619000,19460000,19460000,1612710000,2120861000,408772000,270961000,137811000,446134000,649292000,427096000,384554000,42542000,1076388000,1522522000,598339000,2120861000,65696000,52551000,30247000,22596000,171090000,-98617000,98000,-98519000,-15641000,-33062000,-26110000,7998000,-66815000,5756000.00000001,5756000.00000001,5756000.00000001,165994000,664292000,131013000,0.20649,0.09866,0.05713,0.1098,0.03098,1.99423,1.13901,2.54458,0.31322,0.54639,0.53288,9.56324,1.08962,0.13008,0.04814,0.07754,0.23808,3.93474,5.75746
"7","2011_Q4",38.3503174603175,"Up",1171270000,-926269000,245001000,-126321000,-6115000,-54404000,-65802000,118680000,-7145000,-7145000,111535000,111535000,-42885000,68650000,68650000,68650000,68650000,7747000,7747000,424634000,424634000,45009000,477390000,1656384000,2567669000,-911285000,28882000,28882000,1685266000,2162656000,414853000,275673000,139180000,487215000,718034000,459776000,413483000,46293000,1177810000,1665025000,497631000,2162656000,68650000,54404000,30254000,27228000,180536000,-113303000,264000,-113039000,-15658000,103664000,-163672000,4767000,-70899000,-3402000,-3402000,-3402000,173084000,768034000,129894000,0.20918,0.10133,0.05861,0.13795,0.03174,1.89212,0.97983,3.3459,0.35513,0.5787,0.56677,9.87355,1.09498,0.13199,0.04886,0.07528,0.22808,4.39259,6.40619
"8","2012_Q1",45.8329032258065,"Up",1204937000,-954960000,249977000,-127690000,-8389000,-55631000,-63670000,122287000,-6214000,-6214000,116073000,116073000,-43508000,72565000,72565000,72565000,72565000,5450000,5450000,411479000,411479000,75681000,513542000,1726870000,2658143000,-931273000,26920000,26920000,1753790000,2267332000,388515000,251625000,136890000,438515000,699177000,562097000,516715000,45382000,1261274000,1699789000,567543000,2267332000,72565000,55631000,80636000,-61349000,147483000,-121603000,-10000,-121613000,-15192000,-16511000,9147000.00000003,-5611000,-28167000,-2297000,-2297000,-2297000,177918000,749177000,38474000,0.20746,0.10149,0.06022,0.12786,0.032,0.5302,1.17109,2.995,0.33042,0.62134,0.6082,10.3173,0.32943,0.13008,0.04671,0.02048,0.20936,4.18017,6.08182
"9","2012_Q2",50.6525396825397,"Up",1165922000,-926715000,239207000,-122610000,-3995000,-56120000,-62495000,116597000,-6987000,-6987000,109610000,109610000,-41926000,67684000,67684000,67684000,67684000,5713000,5713000,447706000,447706000,82667000,536086000,1760514000,2713194000,-952680000,26262000,26262000,1786776000,2322862000,443420000,301636000,141784000,543420000,602119000,547027000,500039000,46988000,1149146000,1692566000,630296000,2322862000,67684000,56120000,-9148000,31616000,146272000,-83782000,16000,-83766000,-16386000,-49211000,1218000,2136000,-62243000,263000,263000,263000,172717000,702119000,162477000,0.20517,0.1,0.05805,0.10738,0.02914,2.40052,0.9865,2.68535,0.30226,0.57841,0.56521,9.9637,1.38849,0.14003,0.04473,0.08645,0.2421,4.03206,5.97276
"10","2012_Q3",49.3060317460317,"Down",1255130000,-985673000,269457000,-132242000,-6355000,-56227000,-69660000,137215000,-6929000,-6929000,130286000,130286000,-49834000,80452000,80452000,80452000,80452000,5887000,5887000,472077000,472077000,62461000,540425000,1795790000,2777107000,-981317000,29061000,29061000,1824851000,2365276000,424361000,298587000,125774000,524361000,579462000,548180000,498457000,49723000,1127642000,1652003000,713273000,2365276000,80452000,56227000,2643000,-25015000,114307000,-87098000,8000,-87090000,-16394000,-21280000,3854999.99999999,6776000,-27043000,174000,174000,174000,193442000,679462000,131163000,0.21468,0.10932,0.0641,0.11279,0.03401,1.63033,1.03064,2.31609,0.28727,0.6863,0.67028,10.70693,1.11889,0.13985,0.0499,0.06758,0.20377,3.48205,4.9089
