"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","other_abnormal_items","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_investments","long_term_receivables","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.0307936507937,"Down",259295000,-109097000,-77606000,150198000,-102358000,-42373000,-19489000,-40496000,47840000,47840000,151194000,151194000,199034000,-2702000,196332000,191505000,-26000,191479000,191479000,318157000,218983000,116845000,442324000,701104000,2341706000,2114684000,227022000,3502928000,72379000,2913727000,516822000,6545738000,6988062000,324266000,113394000,32271000,437660000,1657428000,1657428000,313450000,313450000,1970878000,2408538000,1774627000,243300000,1531327000,1795742000,997543000,4567912000,11612000,4579524000,6988062000,191505000,26455000,-268189000,-21818000,-72047000,-3476000,-6519000,-6519000,-12850000,4991000,127091000,10814000,261000,-1264000,9811000,64855000,64855000,64855000,74295000,1981694000,51703000,0.57926,0.1845,0.73846,0.04181,0.0274,0.27002,1.01066,0.52594,0.28358,0.70452,0.69227,0.95404,16.80694,0.19023,0.02785,0.00752,22.39097,34.77293
"2","2010_Q3",13.99390625,"Down",289200000,-117120000,-85630000,172080000,-91785000,-42858000,-19842000,-29085000,80295000.0000001,80295000.0000001,-321922000,-321922000,-241627000,-4665000,-246292000,-236278000,1134000,-235144000,-235144000,359312000,248237000,128364000,495672000,687216000,2112614000,1835774000,276840000,3135199000,69632000,2549770000,515797000,5935029000,6430701000,380725000,128569000,37935000,509294000,1625086000,1625086000,311447000,311447000,1936533000,2445827000,1775673000,243317000,1532356000,1560598000,638481000,3974752000,10122000,3984874000,6430701000,-236278000,26057000,188768000,35858000,14405000,-4634000,-6064000,-6064000,-4800999.99999999,33387000,-9017000,23873000,358000.000000001,-365000,23866000,29254000,29254000,29254000,106352000,2005811000,142241000,0.59502,0.27765,-0.81308,-0.05901,-0.03657,-0.60491,0.97325,0.61378,0.31191,-0.8651,-0.8651,1.06398,14.62324,0.52331,-0.03731,0.02257,15.4816,20.50562
"3","2010_Q4",17.16640625,"Up",185865000,-111776000,-80423000,74089000,-132774000,-69126000,-19814000,-43834000,-58685000,-58685000,324712000,324712000,266027000,-3569000,262458000,289970000,-2215000,287755000,287755000,433450000,323284000,93292000,535173000,601518000,2687425000,2585700000,101725000,3483219000,44272000,2817684000,589870000,6772162000,7307335000,134924000,532283000,430326000,667207000,1608376000,1608376000,242253000,238903000,1850629000,2517836000,1776364000,243317000,1533047000,1848353000,1158674000,4783391000,6108000,4789499000,7307335000,250088000,27674000,-112033000,-62187000,103542000,-6845000,-7525000,-7525000,-13557000,76023000,-162977000,146990000,0,-617000,146373000,86938000,86938000,86938000,-31011000,1743300000,-96474000,0.39862,-0.31574,1.54819,0.06008,0.03938,-0.33526,0.80211,0.5257,0.23857,1.05864,1.04044,0.68379,17.59789,-0.35492,0.04247,-0.01424,-42.23824,-22.32001
"4","2011_Q1",21.5046774193548,"Up",209243000,-9885000,19356000,199358000,-145709000,-86939000,5917000,-64687000,53649000,53649000,226782000,226782000,280431000,1147904000,1428335000,1435198000,183000,1435381000,1435381000,705912000,441340000,71070000,835262000,587371000,3982987000,3832659000,150328000,3944678000,42636000,2274163000,452321000,8515036000,9350298000,142659000,428589000,428589000,571248000,1548469000,1548469000,267200000,267200000,1815669000,2386917000,1786772000,243808000,1542964000,3482623000,1687363000,6956758000,6623000,6963381000,9350298000,1673924000,25668000,-1339343000,25117000,385366000,126572000,-24236000,-24236000,-310956000,462555000,-163815000,-64981000,10658000,-111000,-115386000,106165000,106165000,106165000,79317000,1691128000,-916898000,0.95276,0.2564,6.85988,0.20613,0.15351,-0.63878,1.46217,0.34278,0.18086,5.27466,5.0945,0.76891,25.56429,-3.36936,0.16772,-0.10277,12.42125,18.36411
"5","2011_Q2",23.0788888888889,"Up",220269000,-104501000,-75524000,115768000,-100003000,-44536000,-17762000,-37705000,15765000,15765000,-28048000,-28048000,-12283000,-39053000,-51336000,-52979000,-279000,-53258000,-53258000,545774000,313932000,105760000,651534000,570623000,4096807000,3980669000,116138000,3905421000,41098000,2207688000,463012000,8572851000,9224385000,33550000,560514000,560514000,594064000,1506237000,1506237000,215973000,215973000,1722210000,2316274000,1787239000,244379000,1542860000,3493130000,1622305000,6902674000,5437000,6908111000,9224385000,10707000,23787000,29980000,-82249000,-17775000,11759000,-4052000,-4052000,-5342000,10279000,-179521000,71910000,1340000,-3362000,69888000,-127408000,-127408000,-127408000,39552000,1539787000,8115000,0.52558,0.07157,-0.24179,-0.00771,-0.00577,-0.15237,1.09674,0.3353,0.16693,-0.19532,-0.19489,0.80782,25.31504,0.02976,-0.00615,0.00094,25.1318,63.05189
"6","2011_Q3",19.23546875,"Down",688831000,-109150000,-81313000,579681000,-125096000,-51105000,-18579000,-55412000,454585000,454585000,-145796000,-145796000,308789000,-190108000,118681000,121851000,-149000,121702000,121702000,1159960000,539092000,134463000,1294423000,604261000,3710477000,3517048000,193429000,3583020000,62665000,1825176000,434110000,7897758000,9192181000,1040000.00000001,680773000,680773000,681813000,1471239000,1471239000,233650000,233650000,1704889000,2386702000,1806543000,244573000,1561970000,3679439000,1314743000,6800725000,4754000,6805479000,9192181000,185114000,24711000,-243672000,53546000,19699000.0000001,-9697000,-17212000,-17212000,-213227000,278364000,157037000,43238000,5513000,-326999.999999999,48424000,225160000,225160000,225160000,479296000,1472279000,713253000,0.84154,0.65994,0.17668,0.01788,0.01324,5.86065,1.8985,0.3507,0.16017,0.44553,0.43747,2.5217,24.89637,2.61111,0.0143,0.0838,0.651619999999998,0.687040000000003
"7","2011_Q4",15.4292063492063,"Down",72150000,-38690000,-11267000,33460000,-84244000,-53555000,-2867000,-27822000,-50784000,-50784000,-296812000,-296812000,-347596000,-12908000,-360504000,-354753000,330000,-354423000,-354423000,1117242000,306270000,130720000,1247962000,595112000,2430348000,2258897000,171451000,3941632000,60037000,1767283000,428254000,6967092000,8215054000,1103000,515889000,515889000,516992000,1471294000,1471294000,198365000,198365000,1669659000,2186651000,1810846000,244583000,1566263000,3388417000,824179000,6023442000,4961000,6028403000,8215054000,-292541000,23679000,355679000,-65787000,21030000,-8856000,-9625000,-9625000,-435487000,31760000,-90267000,-159594000,273000,-4264000,-163585000,-232822000,-232822000,-232822000,-27105000,1472397000,-88840000,0.46376,-0.70387,-4.91231,-0.05879,-0.04314,0.25066,2.41389,0.36272,0.17923,-1.29717,-1.29717,0.26407,22.04555,-0.32515,-0.04603,-0.01154,-13.10293,-6.99344
"8","2012_Q1",18.0488709677419,"Up",-338619000,-75329000,-47859000.0000001,-413948000,27692000,-17753000,2409000,43036000,-386256000,-386256000,532669000,532669000,146413000,179671000,326084000,310837000,373000,311210000,311210000,318625000,168490000,209170000,882373000,884109000,2565885000,2226875000,339010000,4930822000,876589000,1991795000,439466000,8380816000,9263189000,29264000,473547000,459049000,502811000,1874389000,1874389000,471819000,470637000,2346208000,2849019000,1815267000,244583000,1570684000,3446708000,912421000,6174396000,239774000,6414170000,9263189000,112007000,24446000,-889261000,173083000,-579725000,-5358000,-7697000,-7697000,-497330000,33008000,503420000,-6996000,-155000,6933000,-61364000,-137669000,-137669000,-137780000,-361810000,1903653000,-373756000,1.22246,1.14068,-0.919060000000001,0.04852,0.0336,-1.20098,1.75488,0.44418,0.20551,1.13931,1.16043,-1.23965,22.60385,-1.36828,0.04236,-0.04252,-4.38083,-4.10357
"9","2012_Q2",14.8177777777778,"Down",2385261000,-1852007000,-1823162000,533254000,-176862000,-90450000,-34293000,-52119000,356392000,356392000,262539000,262539000,618931000,-133425000,485506000,487235000,3642000,490877000,490877000,330771000,205291000,106753000,793260000,1043313000,2091597000,1759427000,332170000,5058467000,865864000,2376701000,404144000,8193377000,8986637000,39257000,447577000,447577000,486834000,1425187000,1425187000,411711000,411711000,1836898000,2323732000,1818515000,244583000,1573932000,3937585000,671579000,6427679000,235226000,6662905000,8986637000,487235000,50141000,-488215000,-91848000,-42687000,-16596000,-18575000,-18575000,-1746000,18795000,539658000,-455507000,-3849111.19182325,-4663000,-460170000,36801000,36801000,36801000,406533000,1464444000,431514000,0.22356,0.14941,0.2058,0.07367,0.05462,0.87907,1.62943,0.34876,0.16296,1.79657,1.76509,8.72985,23.52475,1.5793,0.05749,0.05053,2.78864,3.18097
"10","2012_Q3",14.4892063492063,"Down",2119957000,-1901925000,-1880582000,218032000,-131816000,-72787000,-35917000,-23112000,86216000,86216000,-221011000,-221011000,-134795000,-51861000,-186656000,-187768000,-9483000,-197251000,-197251000,380407000,186665000,157512000,878356000,1013283000,1949484000,1542199000,407285000,4762155000,852435000,1964167000,395341000,7724922000,8603278000,39777000,408908000,408908000,448685000,1370845000,1370845000,442063000,442063000,1812908000,2261593000,1810228000,244583000,1565645000,3740334000,541721000,6092283000,249402000,6341685000,8603278000,-187768000,44353000,224510000,24761000,105856000,-12344000,-14246000,-14246000,-2546000,28954000,-31243000,-86198000,-12026583.5418153,-7041000,-93238999.9999999,-18625999.9999999,-18626000,-18626000,130569000,1410622000,194847000,0.10285,0.0406699999999999,-0.09304,-0.0311,-0.02293,-0.98781,1.95762,0.35662,0.16396,-0.72192,-0.72192,7.75886,22.29723,0.71312,-0.02407,0.02378,7.8902,11.94923
