"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",17.1480952380952,"Up",1.2252e+10,-1.0943e+10,1.309e+09,-2.44e+08,-2.11e+08,-3.3e+07,1.065e+09,-1.4e+08,-1.55e+08,5.8e+07,-4.3e+07,9.25e+08,9.23e+08,-2.63e+08,6.6e+08,-1263568774.01776,-1263568774.01776,6.6e+08,3e+06,6.63e+08,6.63e+08,-13365168533.3859,-13365151994.5961,5941316503.59038,5941316503.59038,5106058176.01612,558151774.780797,944371756.971262,-386219982.190466,-1759642078.99859,7964734571.88871,2158641461.05494,2455641889.6302,1371574867.00654,635302730.365455,448764292.258209,12579017922.5739,10819375843.5753,6210917736.40633,4894174113.65407,1316743622.75226,71518422.211743,1626241539.03218,1329694897.47977,7908677697.65025,200216947.406081,2307206100.83528,-880090994.702083,3187297095.53736,2507423048.24136,10416100745.8916,9109361959.55892,334776340.198795,-9269665017.68272,220945916.839005,395419198.914003,7855898.76965393,403275097.683659,10819375843.5753,6.6e+08,2.15e+08,-1.36e+08,-5.18e+08,2.21e+08,-2.16e+08,0,-2.16e+08,0,0,3.7e+07,-9e+06,2.8e+07,3.3e+07,3.3e+07,1.28e+08,1.61e+08,1.28e+09,0,8.09e+08,0.10684,0.08692,0.05411,-0.309284295912791,-0.154758798580034,1.22021,-1.83924787189922,1.85991105040277,0.119269055001996,1.17138,1.1652,21.64664,1.20886419620875,1.42933,0,0.45428580889997,-0.0461254244918424,0,18.6043307515282,29.2856591455003
"2","2011_Q3",14.39234375,"Down",1.2434e+10,-1.0798e+10,1.636e+09,-2.96e+08,-2.4e+08,-5.6e+07,1.34e+09,-5.1e+07,-1.64e+08,7.3e+07,4e+07,1.289e+09,1.261e+09,-3.88e+08,8.73e+08,-7e+07,-7e+07,8.03e+08,1e+06,8.04e+08,8.04e+08,4.687e+09,4.687e+09,4.605e+09,4.605e+09,5.577e+09,1.644e+09,1.098e+09,5.46e+08,1.6513e+10,7.569e+09,2.153e+09,2.24e+09,1.31e+09,6.21e+08,3.09e+08,1.1962e+10,2.8475e+10,4.601e+09,2.988e+09,1.613e+09,5.2e+07,1.326e+09,1.011e+09,5.979e+09,5.813e+09,3.057e+09,9.47e+08,2.11e+09,8.87e+09,1.4849e+10,1.0012e+10,-1.6e+07,2.997e+09,5.86e+08,1.3579e+10,4.7e+07,1.3626e+10,2.8475e+10,8.03e+08,2.24e+08,5.8e+07,-5.9e+07,1.026e+09,-1.96e+08,-2.39e+08,-4.35e+08,-57000000.0000002,-2.6e+08,7.45058059692383e-09,-1e+07,-3.27e+08,2.64e+08,2.64e+08,4e+07,3.04e+08,1.564e+09,5.865e+09,1.697e+09,0.13157,0.10777,0.06466,0.059,0.02824,2.1107,2.76183,1.08975,0.20597,1.42049,1.41301,21.9682,23.99117,2.99823,0.10071,0.03819,0.07526,0.0709000000000009,0.7532,0.8791
"3","2011_Q4",14.3530158730159,"Down",1.2516e+10,-1.0734e+10,1.782e+09,-2.89e+08,-2.36e+08,-5.3e+07,1.493e+09,-7.5e+07,-1.46e+08,5.2e+07,1.9e+07,1.418e+09,1.418e+09,-5.06e+08,9.12e+08,-17000000.0000001,-17000000.0000001,8.95e+08,0,8.95e+08,8.95e+08,5.609e+09,5.609e+09,3.786e+09,3.786e+09,5.682e+09,1.641e+09,1.097e+09,5.44e+08,1.6718e+10,7.363e+09,2.083e+09,2.103e+09,1.237e+09,5.98e+08,2.68e+08,1.1549e+10,2.8267e+10,3.945e+09,2.44e+09,1.505e+09,5.1e+07,1.182e+09,8.67e+08,5.178e+09,5.782e+09,3.225e+09,1.204e+09,2.021e+09,9.007e+09,1.4185e+10,1.0296e+10,-1.28e+08,3.778e+09,7.9e+07,1.4025e+10,5.7e+07,1.4082e+10,2.8267e+10,8.95e+08,2.37e+08,5.55e+08,-1.56e+08,1.531e+09,-2.78e+08,-4.2e+07,-3.2e+08,-1.14e+08,0,0,-4e+06,-1.18e+08,1.093e+09,1.093e+09,-1.71e+08,9.22e+08,1.73e+09,5.833e+09,1.802e+09,0.14238,0.11929,0.07151,0.06356,0.03166,2.01341,3.22866,1.00731,0.20635,1.5757,1.56469,22.03521,24.6919,3.17254,0.2007,0.0436,0.07787,0.12737,0.12948,0.15003
"4","2012_Q1",20.5838709677419,"Up",1.0981e+10,-1.0257e+10,7.24e+08,-2.85e+08,-2.31e+08,-5.4e+07,4.39e+08,-4.95e+08,-5.42e+08,3.3e+07,1.4e+07,-5.6e+07,-7.1e+07,98000000.0000001,26999999.9999999,-2.45e+08,-2.45e+08,-2.18e+08,3e+06,-2.15e+08,-2.15e+08,1.065e+09,1.065e+09,3.582e+09,3.582e+09,5.499e+09,1.289e+09,1.04e+09,2.49e+08,1.1435e+10,7.333e+09,2.043e+09,2.028e+09,1.177e+09,5.85e+08,2.66e+08,1.1404e+10,2.2839e+10,3.804e+09,2.562e+09,1.242e+09,5.2e+07,1.162e+09,8.52e+08,5.018e+09,3.98e+09,3.194e+09,9.17e+08,2.277e+09,7.174e+09,1.2192e+10,1.0303e+10,-1.24e+08,8.41e+08,-4.27e+08,1.0593e+10,5.4e+07,1.0647e+10,2.2839e+10,-2.18e+08,2.55e+08,-4.35e+08,5.92e+08,1.94e+08,-3.6e+08,1.98e+08,-1.62e+08,-2.722e+09,-1.803e+09,-3.7e+07,2.4e+07,-4.538e+09,-4.506e+09,-4.506e+09,-37999999.9999999,-4.544e+09,6.94e+08,4.032e+09,8.28e+08,0.06593,0.03998,-0.01958,-0.02019,-0.00941,-3.85116,2.2788,1.14511,0.17654,-0.37852,-0.37587,19.33275,18.64965,1.45775,4.79225,0.14027,0.04633,-12.66047,4.27522,6.75854
"5","2012_Q2",20.2504761904762,"Down",1.1734e+10,-1.0532e+10,1.202e+09,-2.62e+08,-2.23e+08,-3.9e+07,9.4e+08,-5e+07,-9.5e+07,4.6e+07,-1e+06,8.9e+08,8.95e+08,-3.01e+08,5.94e+08,4999999.99999994,4999999.99999994,5.99e+08,1e+06,6e+08,6e+08,1.67e+09,1.67e+09,3.973e+09,3.973e+09,5.208e+09,1.247e+09,1.002e+09,2.45e+08,1.2098e+10,7.426e+09,2.092e+09,1.993e+09,1.149e+09,5.95e+08,2.49e+08,1.1511e+10,2.3609e+10,3.687e+09,2.638e+09,1.049e+09,4.2e+07,1.217e+09,9.07e+08,4.946e+09,3.984e+09,3.316e+09,1.035e+09,2.281e+09,7.3e+09,1.2246e+10,1.035e+10,-1.2e+08,1.298e+09,-2.18e+08,1.131e+10,5.3e+07,1.1363e+10,2.3609e+10,5.99e+08,2.37e+08,2.99e+08,-2.22e+08,9.13e+08,-2.28e+08,4.3e+07,-1.85e+08,-1.43e+08,-1119808574.19191,-28059804.4197587,3e+06,-1.4e+08,5.88e+08,5.88e+08,1.7e+07,6.05e+08,1.177e+09,4.026e+09,1.028e+09,0.10244,0.08011,0.05113,0.0528,0.02541,1.71333,2.44602,1.07771,0.17053,1.04895,1.04348,20.51399,19.77273,1.7972,0.25,0.03972,0.05496,0.23833,2.0017,2.50638
"6","2012_Q3",23.355873015873,"Up",1.1248e+10,-9.561e+09,1.687e+09,-2.38e+08,-2.01e+08,-3.7e+07,1.449e+09,-3.7e+08,-4.09e+08,2.7e+07,1.2e+07,1.079e+09,1.074e+09,-3.06e+08,7.68e+08,0,0,7.68e+08,2e+06,7.7e+08,7.7e+08,1.95e+09,1.95e+09,3.667e+09,3.667e+09,5.759e+09,9.9e+08,7.55e+08,2.35e+08,1.2366e+10,7.237e+09,2.002e+09,1.94e+09,1.103e+09,5.76e+08,2.61e+08,1.1179e+10,2.3545e+10,3.084e+09,2.169e+09,9.15e+08,4.8e+07,1.112e+09,8.35e+08,4.244e+09,4.305e+09,3.453e+09,1.245e+09,2.208e+09,7.758e+09,1.2002e+10,1.0354e+10,-1.11e+08,1.838e+09,-5.89e+08,1.1492e+10,5.1e+07,1.1543e+10,2.3545e+10,7.68e+08,2.44e+08,2.27e+08,-7.35e+08,5.04e+08,-2.33e+08,-1.2e+07,-2.45e+08,-2.3e+08,3.21e+08,0,-3.6e+07,55000000.0000005,3.14e+08,3.14e+08,-3.4e+07,280000000.000001,1.693e+09,4.353e+09,1.031e+09,0.14998,0.12882,0.06846,0.06671,0.0327,1.33896,2.91376,1.03976,0.18488,1.34615,1.33913,19.66434,20.09091,1.80245,0.4021,0.05168,0.05328,0.298700000000001,1.41937,1.65839
"7","2012_Q4",27.3156451612903,"Up",1.1273e+10,-9.67e+09,1.603e+09,-2.75e+08,-2.36e+08,-3.9e+07,1.328e+09,-4.2e+07,-6.7e+07,3.2e+07,-7e+06,1.286e+09,1.286e+09,-4.35e+08,8.51e+08,-7000000.00000001,-7000000.00000001,8.44e+08,2e+06,8.46e+08,8.46e+08,3.527e+09,3.527e+09,3.814e+09,3.814e+09,5.234e+09,8.2e+08,5.32e+08,2.88e+08,1.3395e+10,7.412e+09,2.347e+09,1.95e+09,1.073e+09,5.85e+08,2.92e+08,1.1709e+10,2.5104e+10,3.673e+09,2.496e+09,1.177e+09,4.7e+07,1.105e+09,8.01e+08,4.825e+09,4.305e+09,3.613e+09,1.46e+09,2.153e+09,7.918e+09,1.2743e+10,1.0359e+10,-1e+08,2.454e+09,-4.01e+08,1.2312e+10,4.9e+07,1.2361e+10,2.5104e+10,8.44e+08,2.36e+08,3.01e+08,6.61e+08,2.042e+09,-2.66e+08,0,-2.66e+08,-2.3e+08,0,0,-4e+06,-2.34e+08,1.542e+09,1.542e+09,3.5e+07,1.577e+09,1.564e+09,4.352e+09,2.394e+09,0.1422,0.1178,0.07505,0.06844,0.0337,2.82979,2.77617,1.0309,0.17336,1.47902,1.4713,19.70804,21.52448,4.18531,0.4021,0.05294,0.11778,0.27187,0.52749,0.62123
"8","2013_Q1",33.3126666666667,"Up",1.1097e+10,-9.832e+09,1.265e+09,-3.06e+08,-2.49e+08,-5.7e+07,9.59e+08,-2.9e+07,-69000000.0000001,3.8e+07,2e+06,9.3e+08,9.3e+08,-2.85e+08,6.45e+08,-2.2e+07,-2.2e+07,6.23e+08,9e+06,6.32e+08,6.32e+08,2.732e+09,2.732e+09,3.72e+09,3.72e+09,5.075e+09,7.59e+08,5.7e+08,1.89e+08,1.2286e+10,7.696e+09,2.363e+09,1.875e+09,1.038e+09,5.91e+08,2.46e+08,1.1934e+10,2.422e+10,3.597e+09,2.44e+09,1.157e+09,9.6e+07,1.403e+09,8.45e+08,5.096e+09,4.304e+09,3.641e+09,1.314e+09,2.327e+09,7.945e+09,1.3041e+10,1.0382e+10,-1.06e+08,1.274e+09,-4.11e+08,1.1139e+10,4e+07,1.1179e+10,2.422e+10,6.23e+08,2.66e+08,89999999.9999999,3.49e+08,1.328e+09,-3.33e+08,1.6e+07,-3.17e+08,-1.812e+09,5.96046447753906e-08,9.31322574615479e-10,-1.4e+07,-1.826e+09,-8.15e+08,-8.15e+08,2e+07,-7.95e+08,1.225e+09,4.4e+09,1.526e+09,0.11399,0.08642,0.05695,0.05653,0.02609,2.41456,2.41091,1.16656,0.18167,1.1049,1.09913,19.40035,19.47378,2.66783,3.16783,0.12716,0.0794,2.86709,1.36163,1.73931
"9","2013_Q2",34.4565625,"Up",1.0669e+10,-9.153e+09,1.516e+09,-2.49e+08,-2.13e+08,-3.6e+07,1.267e+09,-4e+06,-6.9e+07,5.9e+07,6e+06,1.263e+09,1.263e+09,-3.57e+08,9.06e+08,-6e+06,-6e+06,9e+08,1e+06,9.01e+08,9.01e+08,2.879e+09,2.879e+09,3.685e+09,3.685e+09,5.27e+09,8.21e+08,6.22e+08,1.99e+08,1.2655e+10,7.779e+09,2.429e+09,1.814e+09,9.99e+08,5.82e+08,2.33e+08,1.2022e+10,2.4677e+10,3.698e+09,2.481e+09,1.217e+09,1.16e+08,1.293e+09,7.36e+08,5.107e+09,4.307e+09,3.583e+09,1.277e+09,2.306e+09,7.89e+09,1.2997e+10,1.0398e+10,-1.04e+08,1.946e+09,-5.99e+08,1.1641e+10,3.9e+07,1.168e+10,2.4677e+10,9e+08,2.53e+08,4.2e+07,-3.96e+08,7.99e+08,-3.91e+08,-1.7e+07,-4.08e+08,-2.29e+08,0,0,-5e+06,-2.34e+08,1.57e+08,1.57e+08,-1e+07,1.47e+08,1.52e+09,4.423e+09,1.09e+09,0.14209,0.11876,0.08445,0.07714,0.03651,1.20977,2.47797,1.11276,0.17924,1.57517,1.56696,18.6521,20.3514,1.90559,0.40035,0.0574,0.05537,0.25416,1.01579,1.21863
"10","2013_Q3",38.18375,"Up",1.1103e+10,-9.496e+09,1.607e+09,-2.43e+08,-2.08e+08,-3.5e+07,1.364e+09,-3.1e+07,-6.5e+07,4.3e+07,-9e+06,1.333e+09,1.333e+09,-4.1e+08,9.23e+08,4e+06,4e+06,9.27e+08,2e+06,9.29e+08,9.29e+08,3.233e+09,3.233e+09,3.787e+09,3.787e+09,5.197e+09,8.15e+08,5.77e+08,2.38e+08,1.3032e+10,7.979e+09,2.262e+09,1.775e+09,9.66e+08,5.88e+08,2.21e+08,1.2016e+10,2.5048e+10,3.578e+09,2.531e+09,1.047e+09,1.15e+08,1.343e+09,7.93e+08,5.036e+09,4.306e+09,3.637e+09,1.312e+09,2.325e+09,7.943e+09,1.2979e+10,1.0401e+10,-4.51e+08,2.587e+09,-5.05e+08,1.2032e+10,3.7e+07,1.2069e+10,2.5048e+10,9.27e+08,2.54e+08,-5.2e+07,1.17e+08,1.246e+09,-3.87e+08,-2e+06,-3.89e+08,-2.61e+08,5.96046447753906e-08,-2.7e+08,2.3e+07,-5.08e+08,3.49e+08,3.49e+08,5e+06,3.54e+08,1.618e+09,4.421e+09,1.758e+09,0.14474,0.12285,0.08367,0.07697,0.03709,1.89236,2.58777,1.0754,0.1765,1.62413,1.61565,19.41084,21.03497,3.07343,0.45629,0.05912,0.08735,0.28095,0.73424,0.87097
