"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",5.54269841269841,"Up",7.71e+08,-4.11e+08,3.6e+08,-2.48e+08,-1.57e+08,-2.5e+07,-6.6e+07,1.12e+08,-2.3e+07,-2.3e+07,8.9e+07,-48814149.333207,8.9e+07,-2.9e+07,6e+07,6e+07,6.1e+07,6.1e+07,796411357.773128,905427333.146245,-109015975.373118,457301635.71799,457301635.71799,17170026367.275,6456764654.12483,18423739360.7661,145957358.797047,5960822860.39868,1063440814.01092,2976873131.50431,382095419.351075,6106780219.19572,24530519579.9619,1154772646.0155,281148988.388719,873623657.626777,17307325139.7241,34288400.8233175,17264443132.8323,18605039964.1461,3205561016.35223,672228837.29732,363843060.126157,187262015.383842,3877789853.64955,22482829817.7957,3776990179.99979,-1471471929.64062,1774542657.5576,-2039241776.80718,2040819131.10959,2047689762.16621,24530519579.9619,6e+07,2.5e+07,4.5e+07,-1.46e+08,-1.6e+07,-1.1e+07,4.4e+07,3.3e+07,-2.2e+07,-4.5e+07,-1e+06,-6.8e+07,-5.1e+07,-5.1e+07,-8e+06,-5.9e+07,1.37e+08,0,9e+06,0.46693,0.14527,0.07912,0.0607666317518409,0.00864082491251771,0.14754,0.714126526252919,5.47146559207706,0.121663603611082,0.09933,0.09478,1.25551,1.60464185726349,0.01466,0.0318712022012958,0.178610551880104,10.344125664459,12.0234407765113
"2","2010_Q3",5.29359375,"Down",8.86e+08,-4.96e+08,3.9e+08,-2.11e+08,-1.21e+08,-2.5e+07,-6.5e+07,1.79e+08,-2.1e+07,-2.3e+07,1.58e+08,-1.2e+07,1.46e+08,-5.2e+07,9.4e+07,9.4e+07,9.6e+07,9.6e+07,8.36e+08,5.26e+08,3.1e+08,3.61e+08,3.61e+08,1.691e+09,1.56e+08,2.888e+09,1.54e+08,6.868e+09,1.513e+09,4.526e+09,1.89e+08,7.022e+09,9.91e+09,3.83e+08,1.72e+08,2.11e+08,1.811e+09,1.88e+08,1.601e+09,2.334e+09,1.912e+09,9.71e+08,6.44e+08,1.7e+08,2.883e+09,5.217e+09,3.776e+09,-2.12e+08,1.766e+09,-6.47e+08,4.683e+09,4.693e+09,9.91e+09,9.4e+07,2.5e+07,2.4e+07,96000000.0000001,2.39e+08,-9e+06,-3.5e+07,-4.7e+07,-4.3e+07,-1.51e+08,4e+06,-1.9e+08,2e+06,2e+06,-1.1e+07,-9e+06,2.04e+08,2.052e+09,3.43e+08,0.44018,0.20203,0.10835,0.02046,0.00969,3.57292,1.23736,1.11166,0.20706,0.15361,0.15094,1.41765,7.49309,0.54882,0.01244,0.04445,5.96078,6.7933
"3","2010_Q4",6.0309375,"Up",7.57e+08,-3.86e+08,3.71e+08,-2.04e+08,-1.18e+08,-2.5e+07,-6.1e+07,1.67e+08,-2.3e+07,-2.3e+07,1.44e+08,-1e+06,1.43e+08,-4.3e+07,1e+08,1e+08,1.01e+08,1.01e+08,6.79e+08,3.36e+08,3.43e+08,3.08e+08,3.08e+08,1.893e+09,2.19e+08,2.88e+09,1.6e+08,7.315e+09,1.68e+09,5.041e+09,1.91e+08,7.475e+09,1.0355e+10,2.54e+08,1.38e+08,1.16e+08,1.973e+09,1.56e+08,1.791e+09,2.367e+09,1.846e+09,1.064e+09,7.13e+08,1.82e+08,2.91e+09,5.277e+09,3.778e+09,-3.1e+08,1.867e+09,-2.68e+08,5.067e+09,5.078e+09,1.0355e+10,1e+08,2.5e+07,1.5e+07,-1.06e+08,3.4e+07,-1.2e+07,1.9e+07,-6.5e+07,-7.1e+07,-9.9e+07,-2e+06,-1.72e+08,-2.03e+08,-2.03e+08,1.3e+07,-1.9e+08,1.92e+08,1.986e+09,1.17e+08,0.49009,0.22061,0.13342,0.01989,0.00975,1.15842,1.21673,1.03919,0.19179,0.16831,0.16535,1.26151,8.44393,0.19498,0.01243,0.01439,6.80729,7.82635
"4","2011_Q1",7.22709677419355,"Up",7.77e+08,-3.82e+08,3.95e+08,-2.18e+08,-1.29e+08,-2.8e+07,-6.1e+07,1.77e+08,-2.7e+07,-2.4e+07,1.5e+08,-2e+06,1.48e+08,-1.3e+07,1.35e+08,1.35e+08,1.37e+08,1.37e+08,5.68e+08,3.15e+08,2.53e+08,2.98e+08,2.98e+08,7.644e+09,3.594e+09,8.51e+09,1.64e+08,7.533e+09,1.719e+09,5.127e+09,2.54e+08,7.697e+09,1.6207e+10,3.46e+08,1.42e+08,2.04e+08,7.745e+09,1.22e+08,7.597e+09,8.231e+09,2.181e+09,1.066e+09,6.98e+08,1.98e+08,3.247e+09,1.1478e+10,3.782e+09,-7.96e+08,2.004e+09,-2.72e+08,4.718e+09,4.729e+09,1.6207e+10,1.35e+08,2.8e+07,-9e+06,2.9e+07,1.83e+08,-1e+07,8.5e+07,-3.9e+07,3.29e+08,-4.96e+08,2e+06,-1.65e+08,-2.1e+07,-2.1e+07,-3.72529029846191e-09,-2.1e+07,2.05e+08,2.321e+09,2.37e+08,0.50837,0.2278,0.17632,0.02897,0.00845,1.72993,1.0339,2.42715,0.14321,0.23392,0.23012,1.32666,8.0556,0.40466,0.01688,0.0292,8.55122,9.90395
"5","2011_Q2",7.19555555555556,"Down",8.15e+08,-4.02e+08,4.13e+08,-2.25e+08,-1.3e+08,-2.7e+07,-6.8e+07,1.88e+08,-3.1e+07,-3e+07,1.57e+08,-5e+06,1.52e+08,-4.9e+07,1.03e+08,1.03e+08,1.04e+08,1.04e+08,7.22e+08,4.39e+08,2.83e+08,3.27e+08,3.27e+08,9.126e+09,6.823e+09,1.0175e+10,1.66e+08,7.724e+09,1.773e+09,5.339e+09,2.54e+08,7.89e+09,1.8065e+10,2.92e+08,1.51e+08,1.41e+08,9.363e+09,2.37e+08,9.099e+09,9.795e+09,2.15e+09,1.083e+09,7.16e+08,1.95e+08,3.233e+09,1.3028e+10,3.786e+09,-7.86e+08,2.108e+09,-8.2e+07,5.026e+09,5.037e+09,1.8065e+10,1.03e+08,2.7e+07,0,4.1e+07,1.71e+08,-1e+07,-1.4e+07,-2.4e+07,-3.5e+07,5e+06,3e+06,-2.7e+07,1.2e+08,1.2e+08,4e+06,1.24e+08,2.15e+08,2.29e+09,2.95e+08,0.50675,0.23067,0.12761,0.02065,0.00576,2.83654,1.0388,2.58646,0.12676,0.19687,0.19144,1.54275,9.51392,0.55842,0.01237,0.03508,7.29302,8.34043
"6","2011_Q3",6.538125,"Down",8.36e+08,-4.22e+08,4.14e+08,-2.27e+08,-1.33e+08,-2.6e+07,-6.8e+07,1.87e+08,-2.7e+07,-2.8e+07,1.6e+08,-2.9e+07,1.31e+08,-4e+07,9.1e+07,9.1e+07,9.2e+07,9.2e+07,8.98e+08,5.78e+08,3.2e+08,3.44e+08,3.44e+08,5.187e+09,3.746e+09,6.429e+09,1.65e+08,7.623e+09,1.767e+09,5.345e+09,2.38e+08,7.788e+09,1.4217e+10,4.15e+08,1.8e+08,2.35e+08,5.364e+09,2.02e+08,5.135e+09,5.919e+09,2.069e+09,1.069e+09,7.12e+08,1.87e+08,3.138e+09,9.057e+09,3.782e+09,-7.7e+08,2.2e+09,-6.2e+07,5.15e+09,5.16e+09,1.4217e+10,9.1e+07,2.6e+07,3e+06,1.39e+08,2.59e+08,-1.4e+07,-3.6e+07,-5.2e+07,-8.5e+07,3e+06,1.3e+07,-6.9e+07,1.38e+08,1.38e+08,1e+06,1.39e+08,2.13e+08,2.209e+09,3.78e+08,0.49522,0.22368,0.11005,0.01783,0.00647,4.1087,1.08616,1.75523,0.15538,0.1736,0.17109,1.5775,9.71783,0.71327,0.0109,0.0448,6.15493,7.0107
"7","2011_Q4",6.9431746031746,"Up",9.44e+08,-5.08e+08,4.36e+08,-2.37e+08,-1.41e+08,-2.8e+07,-6.8e+07,1.99e+08,-2.5e+07,-2.7e+07,1.74e+08,-4e+06,1.7e+08,-6.2e+07,1.08e+08,1.08e+08,1.1e+08,1.1e+08,8.37e+08,5.43e+08,2.94e+08,3.47e+08,3.47e+08,4.493e+09,3.05e+09,5.677e+09,1.68e+08,7.312e+09,1.657e+09,5.046e+09,2.24e+08,7.48e+09,1.3157e+10,3.1e+08,1.75e+08,1.35e+08,4.625e+09,1.52e+08,4.447e+09,4.98e+09,2.168e+09,1.013e+09,6.78e+08,1.77e+08,3.181e+09,8.161e+09,3.792e+09,-7.69e+08,2.31e+09,-3.46e+08,4.987e+09,4.996e+09,1.3157e+10,1.08e+08,2.8e+07,2.7e+07,-1.57e+08,6e+06,-2.7e+07,7e+06,-2e+07,0,1e+06,-1e+07,-9e+06,-2.3e+07,-2.3e+07,-1.2e+07,-3.5e+07,2.27e+08,2.213e+09,1.05e+08,0.46186,0.21081,0.11653,0.02202,0.00836,0.95455,1.13996,1.63351,0.1682,0.20703,0.203,1.77672,9.38613,0.19762,0.01338,0.01277,6.06167,6.91457
"8","2012_Q1",7.17854838709677,"Up",8.43e+08,-4.16e+08,4.27e+08,-2.67e+08,-1.61e+08,-2.8e+07,-7.8e+07,1.6e+08,-2.2e+07,-2.3e+07,1.38e+08,-1.8e+07,1.2e+08,-3.9e+07,8.1e+07,8.1e+07,8.1e+07,8.1e+07,7.85e+08,5.06e+08,2.79e+08,3.08e+08,3.08e+08,5.488e+09,3.906e+09,6.581e+09,1.93e+08,7.317e+09,1.648e+09,5.061e+09,2.16e+08,7.51e+09,1.4091e+10,4.02e+08,1.64e+08,2.38e+08,5.591e+09,1.24e+08,5.44e+09,6.038e+09,2.072e+09,9.95e+08,6.7e+08,1.71e+08,3.067e+09,9.105e+09,3.795e+09,-8.6e+08,2.391e+09,-3.5e+08,4.976e+09,4.986e+09,1.4091e+10,8.1e+07,2.8e+07,6.7e+07,56999999.9999999,2.33e+08,-3.7e+07,1.1e+07,-5e+07,-1.28e+08,-9.9e+07,6999999.99999999,-2.2e+08,-3.7e+07,-3.7e+07,0,-3.7e+07,1.88e+08,2.117e+09,2.47e+08,0.50652,0.1898,0.09609,0.01625,0.00575,3.04938,1.08993,1.82611,0.15024,0.15387,0.15076,1.60134,9.45228,0.46919,0.01,0.0305,7.08511,8.325
"9","2012_Q2",6.45396825396825,"Down",8.04e+08,-3.9e+08,4.14e+08,-2.32e+08,-1.32e+08,-2.6e+07,-7.4e+07,1.82e+08,-2.2e+07,-2.2e+07,1.6e+08,-2.3e+07,1.37e+08,-5.3e+07,8.4e+07,8.4e+07,8.5e+07,8.5e+07,7.4e+08,5.25e+08,2.15e+08,3.27e+08,3.27e+08,338999999.999999,3.25e+08,1.406e+09,1.95e+08,7.42e+09,1.68e+09,5.21e+09,2.04e+08,7.615e+09,9.021e+09,2.72e+08,1.47e+08,1.25e+08,5.42e+08,2.37e+08,2.78e+08,8.59e+08,1.962e+09,1.039e+09,6.84e+08,1.82e+08,3.001e+09,3.86e+09,3.8e+09,-9.06e+08,2.476e+09,-2.18e+08,5.152e+09,5.161e+09,9.021e+09,8.4e+07,2.6e+07,2.2e+07,-2.4e+07,1.08e+08,-1.6e+07,7.9e+07,6.3e+07,-1.11e+08,-4.9e+07,1e+06,-1.59e+08,1.2e+07,1.2e+07,7e+06,1.9e+07,2.08e+08,2.007e+09,2.21e+08,0.51493,0.22637,0.10572,0.01647,0.00942,2.6,1.63679,0.74792,0.22248,0.16382,0.15962,1.54951,9.92919,0.42592,0.01036,0.02693,6.09135,6.96154
"10","2012_Q3",6.4584126984127,"Up",8.15e+08,-3.88e+08,4.27e+08,-2.34e+08,-1.35e+08,-2.5e+07,-7.4e+07,1.93e+08,-2.2e+07,-2.2e+07,1.71e+08,-4.6e+07,1.25e+08,-3.3e+07,9.2e+07,9.2e+07,9.3e+07,9.3e+07,6.87e+08,4.91e+08,1.96e+08,3.41e+08,3.41e+08,3.82e+08,3.66e+08,1.41e+09,1.98e+08,7.319e+09,1.625e+09,5.103e+09,1.99e+08,7.517e+09,8.927e+09,3.9e+08,1.6e+08,2.3e+08,5.52e+08,2.01e+08,3.24e+08,9.87e+08,1.951e+09,1.019e+09,6.61e+08,1.98e+08,2.97e+09,3.957e+09,3.799e+09,-1.017e+09,2.547e+09,-3.68e+08,4.961e+09,4.97e+09,8.927e+09,9.2e+07,2.5e+07,2.6e+07,6.7e+07,2.1e+08,-2.5e+07,5e+06,-7.7e+07,-1.1e+07,-1.24e+08,-999999.999999998,-1.58e+08,-2.5e+07,-2.5e+07,-9e+06,-3.4e+07,2.18e+08,1.996e+09,2.93e+08,0.52393,0.23681,0.11411,0.01871,0.01042,3.15054,1.42857,0.79618,0.22359,0.18305,0.17943,1.60411,9.76438,0.57669,0.0144,0.03669,6.00459,6.78238
