"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","investment_securities_available_for_sale","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","short_term_borrowings","long_term_debt","derivatives_hedging_liabilities","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",18.3903125,"Up",1.161e+09,8.2e+08,9.13e+08,-9.3e+07,3.41e+08,2e+06,3.1e+08,3e+07,-7.7e+07,1.084e+09,-8.1e+08,-1.06e+08,-7.04e+08,2.74e+08,2.74e+08,2.74e+08,-8.5e+07,1.89e+08,1.89e+08,1.89e+08,1.89e+08,9.93e+08,2.188e+09,2.188e+09,2.6973e+10,1.8666e+10,3.018e+09,8.9548e+10,-1.201e+09,9.0749e+10,5.41e+08,6.876e+09,4.222e+09,1.31341e+11,9.3463e+10,6.7586e+10,2.5877e+10,1.3986e+10,6.715e+09,2.062e+09,6.38e+08,1.809e+09,1.11958e+11,1.8666e+10,1.866e+10,-762839978.371204,1.152e+09,-4.35e+08,1.9383e+10,1.9383e+10,1.31341e+11,1.89e+08,1.17e+08,7.7e+07,-2.8e+07,-1.69e+08,1.86e+08,1.8e+08,-1.941e+09,-3.6e+07,-1.797e+09,-3.83e+08,-2.28e+09,0,1.807e+09,-8.56e+08,-2.467e+09,-2.467e+09,-2.467e+09,3.91e+08,1.6048e+10,0.236,0.16279,0.00975,0.00144,5.77609,0.12219,0.37638,0.37523,2.31202,38.59945,0.76271,0.00436,2.02646,38.50384,54.94526
"2","2015_Q1",18.9939344262295,"Up",1.179e+09,8.4e+08,9.41e+08,-1.01e+08,3.39e+08,1e+06,3.06e+08,3.5e+07,-7.2e+07,1.107e+09,-8.24e+08,-1.06e+08,-7.18e+08,2.83e+08,2.83e+08,2.83e+08,-8.6e+07,1.97e+08,1.97e+08,1.97e+08,1.97e+08,1.171e+09,2.475e+09,2.475e+09,2.7141e+10,1.8656e+10,3.337e+09,9.2215e+10,-1.195e+09,9.341e+10,5.95e+08,6.876e+09,2.384e+09,1.32857e+11,9.5707e+10,6.9621e+10,2.6086e+10,1.0529e+10,6.253e+09,4.642e+09,6.12e+08,2.099e+09,1.13589e+11,1.8682e+10,1.8676e+10,-3.36e+08,1.294e+09,-3.72e+08,1.9268e+10,1.9268e+10,1.32857e+11,1.97e+08,7.3e+07,7.2e+07,1.2e+08,-2.79e+08,1.83e+08,2.28e+08,-3.015e+09,-5.4e+07,-2.867e+09,-54999999.9999999,1.216e+09,-3.34e+08,2.244e+09,3.071e+09,3.87e+08,3.87e+08,3.87e+08,3.56e+08,1.5171e+10,0.24003,0.16709,0.01022,0.00148,5.89521,0.11419,0.39231,0.39112,2.34787,38.37044,0.10953,0.0019,0.27919,39.32584,49.46996
"3","2015_Q2",20.6187301587302,"Up",1.183e+09,8.36e+08,9.42e+08,-1.06e+08,3.47e+08,8e+06,3.01e+08,3.9e+07,-5.8e+07,1.125e+09,-8.1e+08,-7.9e+07,-7.31e+08,3.15e+08,3.15e+08,3.15e+08,-1.06e+08,2.09e+08,2.09e+08,2.09e+08,2.09e+08,9.54e+08,4.665e+09,4.665e+09,2.7739e+10,1.9041e+10,3.52e+09,9.3292e+10,-1.202e+09,9.4494e+10,5.84e+08,6.876e+09,2.425e+09,1.36535e+11,9.899e+10,7.232e+10,2.667e+10,1.1486e+10,7.004e+09,3.904e+09,6.16e+08,1.975e+09,1.16971e+11,1.8713e+10,1.8707e+10,-3.57e+08,1.448e+09,-2.4e+08,1.9564e+10,1.9564e+10,1.36535e+11,2.09e+08,1.13e+08,5.8e+07,-4.5e+07,-2.37e+08,9.8e+07,-2.68e+08,-1.436e+09,-4.7e+07,-1.74e+09,-5.5e+07,1.42e+08,-321217107.471508,3.283e+09,3.37e+09,1.728e+09,1.728e+09,1.728e+09,4.28e+08,1.539e+10,0.26627,0.17667,0.01068,0.00153,5.97889,0.11272,0.4162,0.41494,2.35583,38.95989,0.10953,0.00193,0.26316,33.72897,45.82857
"4","2015_Q3",19.94875,"Down",1.2e+09,8.4e+08,9.52e+08,-1.12e+08,3.6e+08,9e+06,3.22e+08,3.1e+07,-7.7e+07,1.123e+09,-8.41e+08,-9.9e+07,-7.42e+08,2.82e+08,2.82e+08,2.82e+08,-9.2e+07,1.9e+08,1.9e+08,1.9e+08,1.9e+08,9.61e+08,2.094e+09,2.094e+09,2.8e+10,1.8662e+10,3.771e+09,9.5337e+10,-1.201e+09,9.6538e+10,5.8e+08,6.876e+09,3.403e+09,1.37251e+11,1.00615e+11,7.3937e+10,2.6678e+10,1.0546e+10,6.762e+09,3.89e+09,5.56e+08,2.058e+09,1.17665e+11,1.872e+10,1.8714e+10,-6.07e+08,1.585e+09,-3.59e+08,1.9586e+10,1.9586e+10,1.37251e+11,1.9e+08,1.21e+08,7.7e+07,-8000000.00000001,3.7e+07,4.17e+08,-1.22e+09,-1.969e+09,-4.5e+07,-3.23e+09,-5.3e+07,-6.44e+08,-2.5e+08,1.625e+09,6.78e+08,-2.135e+09,-2.135e+09,-2.135e+09,4.03e+08,1.4436e+10,0.235,0.15833,0.0097,0.00138,6.00761,0.10518,0.37837,0.37722,2.38969,38.51183,0.10554,0.00177,0.27895,33.43672,47.78369
"5","2015_Q4",19.73875,"Down",1.209e+09,8.56e+08,9.74e+08,-1.18e+08,3.53e+08,2e+06,3.07e+08,4.6e+07,-7.6e+07,1.133e+09,-7.98e+08,-8.9e+07,-7.09e+08,3.35e+08,3.35e+08,3.35e+08,-1.15e+08,2.2e+08,2.2e+08,2.2e+08,2.13e+08,1.067e+09,1.052e+09,1.052e+09,2.7165e+10,1.8197e+10,3.683e+09,9.623e+10,-1.201e+09,9.7431e+10,5.6e+08,6.876e+09,2.497e+09,1.35447e+11,1.01866e+11,7.4493e+10,2.7373e+10,7.154e+09,5.861e+09,4.153e+09,6.41e+08,2.033e+09,1.15847e+11,1.8724e+10,1.8718e+10,-8.57e+08,1.745e+09,-2.59e+08,1.96e+10,1.96e+10,1.35447e+11,2.2e+08,1.16e+08,7.6e+07,1.5e+07,-1.11e+08,3.16e+08,1.756e+09,-9.29e+08,-5e+07,7.74e+08,-6e+07,-3.144e+09,-2.5e+08,1.251e+09,-2.203e+09,-1.113e+09,-1.113e+09,-1.113e+09,4.51e+08,1.1307e+10,0.27709,0.17618,0.01087,0.00157,5.91056,0.08348,0.42417,0.42288,2.40761,38.53971,0.11948,0.00202,0.28169,22.7051,30.56716
"6","2016_Q1",16.7004918032787,"Down",1.232e+09,8.7e+08,9.86e+08,-1.16e+08,3.62e+08,1e+07,3.64e+08,-1e+07,-9.1e+07,1.141e+09,-8.1e+08,-1.04e+08,-7.06e+08,3.31e+08,3.31e+08,3.31e+08,-1.1e+08,2.21e+08,2.21e+08,2.21e+08,2.21e+08,1.099e+09,2.342e+09,2.342e+09,2.6629e+10,1.7884e+10,3.487e+09,9.7826e+10,-1.216e+09,9.9042e+10,5.95e+08,6.876e+09,2.841e+09,1.38208e+11,1.02539e+11,7.489e+10,2.7649e+10,3.432e+09,2.63e+09,9.886e+09,4.85e+08,2.22e+09,1.18562e+11,1.8731e+10,1.8725e+10,-8.58e+08,1.913e+09,-3.87e+08,1.9646e+10,1.9646e+10,1.38208e+11,2.21e+08,1.21e+08,9.1e+07,2.82e+08,-3.17e+08,3.98e+08,3.2e+07,-1.708e+09,-3.6e+07,-1.709e+09,-5.3e+07,2.02e+09,-2.98023223876953e-08,6.73e+08,2.64e+09,1.329e+09,1.329e+09,1.329e+09,4.52e+08,1.3318e+10,0.26867,0.17938,0.01125,0.0016,6.03492,0.09636,0.4401,0.43877,2.45341,38.63131,0.10554,0.00198,0.23982,27.03319,36.91541
"7","2016_Q2",17.5753125,"Up",1.234e+09,9.04e+08,1.019e+09,-1.15e+08,3.3e+08,9e+06,3.01e+08,2.1e+07,-9.1e+07,1.143e+09,-8.11e+08,-9.1e+07,-7.2e+08,3.32e+08,3.32e+08,3.32e+08,-1.09e+08,2.23e+08,2.23e+08,2.23e+08,2.16e+08,8.39e+08,1.55e+09,1.55e+09,2.7452e+10,1.7964e+10,4.359e+09,9.9767e+10,-1.224e+09,1.00991e+11,5.7e+08,6.876e+09,3.023e+09,1.40077e+11,1.02606e+11,7.542e+10,2.7186e+10,4.29e+09,3.3e+09,1.0035e+10,8.32e+08,2.349e+09,1.20112e+11,1.8736e+10,1.873e+10,-8.58e+08,2.076e+09,-2.36e+08,1.9965e+10,1.9965e+10,1.40077e+11,2.23e+08,1.12e+08,9.1e+07,2.2e+07,-7.4e+07,3.74e+08,3.12e+08,-2.591e+09,-4.5e+07,-2.321e+09,-5.3e+07,7.03e+08,127767224.955716,6.7e+07,7.17e+08,-1.23e+09,-1.23e+09,-1.23e+09,4.44e+08,1.4325e+10,0.26904,0.17504,0.01082,0.00154,6.01613,0.10227,0.43014,0.42884,2.4574,39.26657,0.10554,0.00192,0.24537,30.37387,40.62048
"8","2016_Q3",18.29828125,"Up",1.278e+09,9.23e+08,1.046e+09,-1.23e+08,3.55e+08,4e+06,3.36e+08,2.2e+07,-9e+07,1.188e+09,-8.27e+08,-8.6e+07,-7.41e+08,3.61e+08,3.61e+08,3.61e+08,-1.18e+08,2.43e+08,2.43e+08,2.43e+08,2.43e+08,9.76e+08,3.406e+09,3.406e+09,2.8147e+10,1.8479e+10,4.695e+09,1.02305e+11,-1.246e+09,1.03551e+11,5.51e+08,6.876e+09,2.922e+09,1.45183e+11,1.06257e+11,7.9149e+10,2.7108e+10,3.573e+09,2.77e+09,1.181e+10,1.01e+09,2.307e+09,1.24957e+11,1.8741e+10,1.8735e+10,-8.58e+08,2.255e+09,-1.59e+08,2.0226e+10,2.0226e+10,1.45183e+11,2.43e+08,1.33e+08,9e+07,-1.3e+07,-1.23e+08,3.3e+08,-4.28e+08,-2.848e+09,-4e+07,-3.316e+09,-7.1e+07,1.206e+09,-5.96046447753906e-08,3.651e+09,4.786e+09,1.8e+09,1.8e+09,1.8e+09,4.94e+08,1.5383e+10,0.28247,0.19014,0.01201,0.00167,6.17804,0.10596,0.48391,0.48244,2.54502,39.78633,0.14139,0.00216,0.29218,29.16397,39.90859
"9","2016_Q4",24.2409523809524,"Up",1.38e+09,9.45e+08,1.079e+09,-1.34e+08,4.35e+08,0,3.48e+08,9e+07,-8.6e+07,1.294e+09,-8.67e+08,-1.02e+08,-7.65e+08,4.27e+08,4.27e+08,4.27e+08,-1.3e+08,2.97e+08,2.97e+08,2.97e+08,2.9e+08,9.15e+08,2.72e+09,2.72e+09,2.8932e+10,1.9425e+10,4.218e+09,1.04227e+11,-1.24e+09,1.05467e+11,5.4e+08,6.876e+09,2.805e+09,1.47015e+11,1.08327e+11,8.1035e+10,2.7292e+10,3.412e+09,2.512e+09,1.1902e+10,8.4e+08,2.353e+09,1.26834e+11,1.8746e+10,1.874e+10,-1.108e+09,2.483e+09,-1.87e+08,2.0181e+10,2.0181e+10,1.47015e+11,2.97e+08,1.42e+08,8.6e+07,1.5e+07,-4.6e+07,4.94e+08,-1.336e+09,-1.685e+09,-4.1e+07,-3.062e+09,-6.2e+07,7e+07,-2.5e+08,2.07e+09,1.828e+09,-7.4e+08,-7.4e+08,-7.4e+08,5.69e+08,1.5314e+10,0.30942,0.21014,0.01437,0.00197,6.28482,0.10417,0.57751,0.57576,2.74814,39.69671,0.12347,0.00239,0.21379,25.3058,33.72131
"10","2017_Q1",29.3074193548387,"Up",1.363e+09,9.86e+08,1.122e+09,-1.36e+08,3.77e+08,3e+06,3.49e+08,2.6e+07,-1.02e+08,1.261e+09,-8.47e+08,-9.8e+07,-7.49e+08,4.14e+08,4.14e+08,4.14e+08,-1.32e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,9.55e+08,3.188e+09,3.188e+09,2.8474e+10,1.9501e+10,3.902e+09,1.06433e+11,-1.236e+09,1.07669e+11,6.01e+08,6.876e+09,2.993e+09,1.4952e+11,1.09804e+11,8.1332e+10,2.8472e+10,4.359e+09,3.211e+09,1.279e+10,6.59e+08,2.161e+09,1.29773e+11,1.8728e+10,1.8722e+10,-1.263e+09,2.703e+09,-6.68e+08,1.9747e+10,1.9747e+10,1.4952e+11,2.82e+08,1.36e+08,1.02e+08,-1.38e+08,-9e+07,2.92e+08,-5.07e+08,-2.081e+09,-3.9e+07,-2.627e+09,-6.9e+07,1.896e+09,-1.8e+08,1.477e+09,3.124e+09,7.89e+08,7.89e+08,7.89e+08,5.5e+08,1.7149e+10,0.30374,0.2069,0.01428,0.00189,6.57178,0.11469,0.56158,0.55987,2.71429,38.83244,0.13741,0.00235,0.24468,29.44364,39.11594
