"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.3461904761905,"Down",737173000,-469045000,268128000,-255937000,-255668000,-269000,12191000,74000,74000,12265000,12265000,-3790000,8475000,8475000,8475000,8475000,277989044.062865,277989044.062865,187732409.828607,187732409.828607,197722785.690887,166981445.761391,663444239.582359,118988875.256454,166219621.034867,187317829.621097,861008.242477918,285208496.291321,948652735.87368,213818980.881622,1731424.39738351,-36635174.7169111,307617994.170439,121044.662082811,213940025.543705,29485081.4556506,29485081.4556506,31231190.9244785,245171216.468184,732302217.625341,-1763.79165056487,-28818934.4281944,703481519.405496,703481519.405496,948652735.87368,8475000,15192000,8271000,-17419000,14519000,-8276000,639000,-7637000,-19592000,-27000,-708000,-19906000,-13024000,-13024000,-3406000,-16430000,27383000,0,5478000,0.36372,0.01654,0.0115,0.00145813713186849,0.00156751422520105,0.64637,2.82177501312476,0.372945308589337,0.00182866069648685,0.05876,0.05818,5.11077,4.90530374598312,0.03798,0.13583,0.0247321490419329,-0.014684300602422,2.31174,-12.6357390209895,-24.8191082259502
"2","2010_Q3",19.265625,"Down",769090000,-479232000,289858000,-267471000,-267471000,-342948.856261797,22387000,785435.001073061,785435.001073061,22387000,22387000,-10206000,12181000,12181000,12181000,12181000,290044000,290044000,384642000,384642000,222937000,128779000,897623000,108318000,208329000,188613000,77000,316647000,1214270000,357541000,96629000,1597000,259315000,118000,357659000,26071000,26071000,27790000,385449000,797917000,0,30904000,828821000,828821000,1214270000,12181000,14033000,15063000,-4812000,36465000,-6136000,-30000,-6166000,-19042000,-28000,-65668000,-84450000,-54151000,-54151000,-5169000,-59320000,36420000,1837000,35678000,0.37688,0.02911,0.01584,0.0147,0.01003,2.92899,2.50972,0.46506,0.00151,0.08513,0.0844,5.37468,5.7921,0.24933,0.13307,0.03644,0.04164,1.56325,-7.91343,-12.87386
"3","2010_Q4",22.54109375,"Up",817258000,-508118000,309140000,-271872000,-271872000,-273748.856261797,37268000,821635.001073061,821635.001073061,37268000,37268000,-16645000,20623000,20623000,20623000,20623000,311056000,311056000,427770000,427770000,231849000,129905000,970675000,103779000,209778000,189311000,31000,313557000,1284232000,404600000,106943000,14184000,283473000,120000,404720000,27486000,27486000,29174000,433894000,802910000,0,47428000,850338000,850338000,1284232000,20623000,13507000,9421000,6938000,50489000,-7637000,-1221000,-8858000,-18978000,-29000,-10735000,-29534000,12097000,12097000,8915000,21012000,50775000,1808000,66721000,0.37826,0.0456,0.02523,0.02425,0.01606,3.23527,2.39839,0.51026,0.00141,0.14502,0.14423,5.74676,5.97937,0.46917,0.13345,0.04502,0.07585,0.92023,-6.09056,-8.29795
"4","2011_Q1",25.4195161290323,"Up",851572000,-524665000,326907000,-284164000,-284022000,-142000,42743000,505000,505000,43248000,43248000,-18458000,24790000,24790000,24790000,24790000,315137000,315137000,423175000,423175000,233548000,141461000,971860000,103651000,198473000,189787000,219000,302124000,1273984000,408337000,93690000,12817640.8019306,314647000,123000,408460000,29497000,29497000,31153000,439613000,787251000,0,47120000,834371000,834371000,1273984000,24790000,13226000,32715000,3679000,74410000,-13039000,-2812000,-16436000,-18979000,-29000,-39994000,-54105000,3869000,3869000,211999.999999998,4081000,55969000,1779000,65067000,0.38389,0.05019,0.02911,0.02971,0.01946,2.62473,2.37933,0.52688,0.0014,0.17484,0.1732,6.00604,5.88472,0.45891,0.13386,0.05056,0.07517,0.76559,-5.59878,-7.33121
"5","2011_Q2",22.745873015873,"Down",880869000,-542780000,338089000,-293725000,-293686000,-39000,44364000,212000,212000,44576000,44576000,-17871000,26705000,26705000,26705000,26705000,281830000,281830000,466540000,466540000,236271000,137657000,984641000,106097000,199857000,190381000,180000,305954000,1290595000,420315000,110802000,11517000,297996000,123000,420438000,28572000,28572000,30198000,450636000,785406000,4.54747350886464e-13,54553000,839959000,839959000,1290595000,26705000,12795000,5273000,-25821000,18952000,-14563000,-1015000,-15578000,-20294000,-30000,-21306000,-41009000,-37635000,-37635000,4328000,-33307000,57159000,1749000,34646000,0.38381,0.05036,0.03032,0.03179,0.02069,1.29736,2.34194,0.5365,0.00136,0.1872,0.18528,6.17491,5.88813,0.24287,0.14226,0.054,0.03981,0.75993,-4.90003,-6.31325
"6","2011_Q3",19.335,"Down",937966000,-565678000,372288000,-311242000,-311202000,-40000,61046000,238000,238000,61284000,61284000,-24859000,36425000,36425000,36425000,36425000,261071000,261071000,495381000,495381000,238658000,139590000,995110000,107300000,199371000,190489000,141000,306671000,1301781000,453109000,110973000,18483000,323653000,119000,453228000,30323000,30323000,31923000,485151000,758496000,0,58134000,816630000,816630000,1301781000,36425000,12987000,14758000,4760000,68930000,-13812000,-1770000,-15582000,-20013000,-30000,-56546000,-76266000,-22918000,-22918000,2159000,-20759000,74033000,1719000,89840000,0.39691,0.06508,0.03883,0.0446,0.02798,2.46644,2.19561,0.59409,0.00132,0.25782,0.25547,6.6391,5.78026,0.6359,0.14166,0.0665,0.10586,0.54943,-3.50319,-4.24847
"7","2011_Q4",21.1507936507937,"Up",984668000,-592765000,391903000,-319856000,-319817000,-39000,72047000,148000,148000,72195000,72195000,-28027000,44168000,44168000,44168000,44168000,242726000,242726000,516047000,516047000,246219000,141163000,1004992000,106424000,197119000,189386000,94000,303543000,1308535000,483283000,120890000,19983000,342410000,115000,483398000,31615000,31615000,33187000,516585000,748427000,7.27595761418343e-12,43523000,791950000,791950000,1308535000,44168000,12845000,13829000,944000,71786000,-13333000,-2027000,-15360000,-19717000,-32000,-47260000,-66866000,-10440000,-10440000,-7905000,-18345000,84892000,1687000,100530000,0.39801,0.07317,0.04486,0.05577,0.03375,2.27608,2.07902,0.65229,0.00129,0.31679,0.31458,7.0625,5.68024,0.72105,0.14142,0.07741,0.12182,0.44641,-2.83936,-3.34558
"8","2012_Q1",23.9775806451613,"Up",973473000,-586151000,387322000,-315514000,-315479000,-35000,71808000,353000,353000,72161000,72161000,-29537000,42624000,42624000,42624000,42624000,279336000,279336000,493327000,493327000,234015000,145437000,1006678000,107972000,197186000,189423000,50000,305158000,1311836000,472890000,117596000,13723918.5353634,355294000,111000,473001000,36785000,36785000,38330000,511331000,759618000,0,40887000,800505000,800505000,1311836000,42624000,12788000,36664000,4572000,96648000,-14827000,-2055000,-16882000,-20279000,1000,-24682000,-41836000,37930000,37930000,-1320000,36610000,84596000,1656000,103878000,0.39788,0.07376,0.04379,0.05325,0.03249,2.43708,2.12828,0.63876,0.00126,0.30762,0.30437,7.02554,5.77723,0.74969,0.14635,0.07498,0.12382,0.47576,-3.28242,-3.86698
"9","2012_Q2",23.6992063492063,"Down",1015444000,-613361000,402083000,-322053000,-322018000,-35000,80030000,234000,234000,80264000,80264000,-31930000,48334000,48334000,48334000,48334000,244453000,244453000,523453000,523453000,238643000,149781000,1006549000,104486000,197602000,189848000,27000,302088000,1308637000,454799000,110247000,13776000,330776000,112000,454911000,36530000,36530000,38046000,492957000,770721000,1.16415321826935e-10,44959000,815680000,815680000,1308637000,48334000,12281000,7215000,-44616000,23214000,-10372000,-1478000,-11850000,-21016000,-32000,-30313000,-48923000,-37559000,-37559000,2676000,-34883000,92311000,1628000,69253000,0.39597,0.07881,0.0476,0.05926,0.03693,1.4328,2.21263,0.60435,0.00124,0.34677,0.34415,7.28523,5.85203,0.49685,0.15078,0.08122,0.08111,0.43481,-2.63051,-3.03417
"10","2012_Q3",22.7538095238095,"Down",1028383000,-613080000,415303000,-343316000,-343264000,-52000,71987000,285000,285000,72272000,72272000,-26943000,45329000,45329000,45329000,45329000,258578000,258578000,531848000,531848000,250238000,148602000,1040664000,105504000,198231000,190388000,567000,303735000,1344399000,496203000,123706000,25728000,346769000,114000,496317000,37235000,37235000,38722000,535039000,770853000,0,38507000,809360000,809360000,1344399000,45329000,12086000,765999.999999996,33891000,92072000,-13839000,-2118000,-17441000,-20858000,-23000,-35676000,-56100000,18531000,18531000,-4406000,14125000,84073000,1601000,131068000,0.40384,0.07,0.04408,0.05601,0.03372,2.89148,2.09677,0.66106,0.00119,0.32708,0.32464,7.42043,5.84004,0.94574,0.1505,0.07803,0.15453,0.46015,-3.05659,-3.56977
