"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","net_otti_losses_recognised_in_earnings","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","trading_securities","investment_securities_available_for_sale","investment_securities_held_to_maturity","other_investments","net_loans","net_fixed_assets","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","securities_sold_under_repo","short_term_borrowings","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",31.1355555555556,"Down",2.296e+09,6.61e+08,8.78e+08,-2.17e+08,1.635e+09,1.468e+09,9.5e+07,7.2e+07,-1.5e+07,2.281e+09,-1.566e+09,-2.34e+08,-1.332e+09,7.15e+08,7.15e+08,-1.3e+07,7.02e+08,-2.07e+08,4.95e+08,4.95e+08,4.95e+08,1642686.87584177,4.95e+08,2.097e+09,2.4269e+10,9.4848e+10,1.47e+08,7.2956e+10,1.9831e+10,1.914e+09,1.2245e+10,1.88e+09,4.515e+09,1.768e+09,1.2349e+10,1.53971e+11,9.0336e+10,7.6786e+10,1.355e+10,2.9794e+10,1.328e+10,1.6514e+10,8.815e+09,9.616e+09,1.38561e+11,9.724e+09,5.02e+08,9.222e+09,-1.7e+07,7.588e+09,-1.885e+09,1.541e+10,1.541e+10,1.53971e+11,4.95e+08,3.4e+07,-1.34e+08,1.408e+09,1.803e+09,-2.5e+07,1.551e+09,7.85e+08,6.1e+08,2.921e+09,-5e+06,-5.503e+09,-3.4e+07,2.74e+08,-5.268e+09,-5.44e+08,-5.44e+08,-5.44e+08,7.49e+08,3.8609e+10,2.339e+09,0.31141,0.21559,0.03212,0.00321,4.72525,8.99163,0.25076,1.00083,0.99386,4.64225,31.15725,4.72919,0.01011,0.00325,0.01519,0.0101,48.74766,51.06573
"2","2010_Q3",28.53625,"Down",2.304e+09,6.58e+08,8.46e+08,-1.88e+08,1.646e+09,1.587e+09,-5e+07,1.09e+08,-1e+07,2.294e+09,-1.489e+09,-2.49e+08,-1.24e+09,8.05e+08,8.05e+08,-4.55e+08,3.5e+08,8.2e+07,4.32e+08,4.32e+08,4.32e+08,-8e+06,4.24e+08,5.312e+09,2.0298e+10,1.01055e+11,2.03e+08,7.9936e+10,1.8166e+10,2.75e+09,1.1687e+10,1.839e+09,5.38e+09,2.731e+09,1.3773e+10,1.62075e+11,9.5743e+10,8.4039e+10,1.1704e+10,3.0254e+10,1.4505e+10,1.5749e+10,8.546e+09,1.1473e+10,1.46016e+11,9.768e+09,5.02e+08,9.266e+09,-1.7e+07,8.015e+09,-1.707e+09,1.6059e+10,1.6059e+10,1.62075e+11,4.32e+08,4.6e+07,-3.5e+07,1.156e+09,1.599e+09,-5.4e+07,-5.376e+09,4.403e+09,-6.72e+08,-3.939e+09,-5e+06,1.5e+08,3e+06,5.407e+09,5.555e+09,3.215e+09,3.215e+09,3.215e+09,8.51e+08,3.88e+10,1.871e+09,0.34939,0.18403,0.0264,0.00262,4.41274,9.09247,0.2394,0.85551,0.85049,4.64882,32.40249,3.77515,0.01009,0.00265,0.01154,0.01179,39.35135,41.6
"3","2010_Q4",32.7871875,"Up",2.31e+09,7.24e+08,9.04e+08,-1.8e+08,1.586e+09,1.501e+09,1.7e+07,6.8e+07,-1e+06,2.309e+09,-1.504e+09,-2.23e+08,-1.281e+09,8.05e+08,8.05e+08,-2.3e+07,7.82e+08,-2.36e+08,5.46e+08,5.46e+08,5.46e+08,-6e+06,5.4e+08,4.583e+09,2.456e+10,1.03722e+11,1.485e+09,8.0719e+10,1.7577e+10,3.941e+09,1.3665e+10,1.835e+09,5.521e+09,2.812e+09,1.6266e+10,1.72964e+11,1.05034e+11,8.7721e+10,1.7313e+10,2.7636e+10,1.3979e+10,1.3657e+10,8.573e+09,1.4152e+10,1.55395e+11,9.812e+09,5.02e+08,9.31e+09,-1.7e+07,8.556e+09,-7.82e+08,1.7569e+10,1.7569e+10,1.72964e+11,5.46e+08,5.2e+07,-4.4e+07,-2.964e+09,-2.41e+09,-7.8e+07,2.499e+09,-6.233e+09,-1.166e+09,-4.984e+09,-5e+06,-2.62e+09,-1e+06,9.291e+09,6.665e+09,-7.29e+08,-7.29e+08,-7.29e+08,8.57e+08,3.6209e+10,-1.949e+09,0.34848,0.23377,0.03074,0.00312,-3.60926,8.84484,0.20934,1.08929,1.08749,4.65972,35.44009,-3.93151,0.01009,0.00315,-0.01127,0.00926,36.90315,39.28696
"4","2011_Q1",34.766935483871,"Up",2.043e+09,6.56e+08,8.34e+08,-1.78e+08,1.387e+09,1.666e+09,-3.48e+08,6.9e+07,1e+06,2.044e+09,-1.617e+09,-2.24e+08,-1.393e+09,4.27e+08,4.27e+08,-1.75e+08,2.52e+08,-1.69e+08,8.3e+07,8.3e+07,82999999.9999999,-2e+06,8.1e+07,3.311e+09,2.2234e+10,9.7537e+10,4.79e+08,8.1881e+10,1.2249e+10,2.928e+09,1.1857e+10,1.802e+09,5.597e+09,2.593e+09,1.5574e+10,1.60505e+11,9.8345e+10,8.0881e+10,1.7464e+10,2.2549e+10,1.5347e+10,7.202e+09,8.55e+09,1.3274e+10,1.42718e+11,9.858e+09,5.02e+08,9.356e+09,-1.6e+07,8.634e+09,-6.89e+08,1.7787e+10,1.7787e+10,1.60505e+11,82999999.9999999,4.7e+07,1.334e+09,-1.633e+09,-1.69e+08,-1.05e+08,-4.64e+08,4.123e+09,5.726e+09,9.194e+09,-5e+06,-3.601e+09,-2000000.00000001,-6.689e+09,-1.0297e+10,-1.272e+09,-1.272e+09,-1.272e+09,4.74e+08,3.1099e+10,-1.095e+09,0.20901,0.03965,0.00455,5e-04,-13.51852,8.02373,0.19376,0.16343,0.16247,4.12194,35.88693,-2.20926,0.01009,0.000540000000000001,-0.00682,0.06173,58.62447,65.07728
"5","2011_Q2",34.4539682539683,"Down",2.361e+09,5.77e+08,7.34e+08,-1.57e+08,1.784e+09,1.725e+09,-7e+06,6.6e+07,1e+06,2.362e+09,-1.683e+09,-2.62e+08,-1.421e+09,6.79e+08,6.79e+08,-1.9e+07,6.6e+08,-1.89e+08,4.71e+08,4.71e+08,4.71e+08,-5e+06,4.66e+08,2.637e+09,1.9984e+10,1.07029e+11,1.832e+09,9.0691e+10,1.2253e+10,2.253e+09,1.2646e+10,1.845e+09,5.72e+09,2.644e+09,1.9291e+10,1.71796e+11,1.07414e+11,8.3747e+10,2.3667e+10,1.9798e+10,1.1738e+10,8.06e+09,9.531e+09,1.5873e+10,1.52616e+11,9.92e+09,5.04e+08,9.416e+09,-1.5e+07,9.013e+09,-2.38e+08,1.918e+10,1.918e+10,1.71796e+11,4.71e+08,4.9e+07,2.7e+07,-3.94e+08,1.53e+08,-8.9e+07,-7.592e+09,1.475e+09,6.89e+08,-5.594e+09,-5e+06,-4.77e+09,4.73e+08,9.069e+09,4.767e+09,-6.74e+08,-6.74e+08,-6.74e+08,7.28e+08,2.9329e+10,4.34e+08,0.28759,0.19737,0.0243,0.00271,0.93133,7.95704,0.17072,0.93674,0.93018,4.74601,37.54993,0.87241,0.01005,0.00274,0.00253,0.01073,36.66484,39.31075
"6","2011_Q3",28.455,"Down",2.491e+09,5.72e+08,7.19e+08,-1.47e+08,1.919e+09,1.755e+09,2.7e+07,1.37e+08,-2e+06,2.489e+09,-1.757e+09,-2.77e+08,-1.48e+09,7.32e+08,7.32e+08,-1.7e+07,7.15e+08,-2.02e+08,5.13e+08,5.13e+08,5.13e+08,-1.1e+07,5.02e+08,4.572e+09,3.0899e+10,1.10264e+11,2.427e+09,9.4783e+10,1.1131e+10,1.923e+09,1.2878e+10,1.853e+09,5.748e+09,2.616e+09,2.1625e+10,1.90455e+11,1.25409e+11,9.7344e+10,2.8065e+10,2.0889e+10,1.2247e+10,8.642e+09,9.544e+09,1.4779e+10,1.70621e+11,9.978e+09,5.04e+08,9.474e+09,-2.34e+08,9.43e+09,1.6e+08,1.9834e+10,1.9834e+10,1.90455e+11,5.13e+08,5e+07,8000000.00000024,-2.785e+09,-2.214e+09,-1.03e+08,-2.921e+09,-1.1294e+10,5.1e+08,-1.3808e+10,-9.8e+07,2.79e+08,-2.19e+08,1.7995e+10,1.7957e+10,1.935e+09,1.935e+09,1.935e+09,7.82e+08,3.0433e+10,-1.904e+09,0.29386,0.20153,0.02531,0.00264,-3.79283,8.60245,0.15979,1.01045,1.00294,5.01403,38.9166,-3.83248,0.19726,0.00315,-0.01,0.19522,33.07033,35.32923
"7","2011_Q4",29.5266666666667,"Up",2.427e+09,5.78e+08,7.28e+08,-1.5e+08,1.849e+09,1.759e+09,5e+06,8.5e+07,0,2.427e+09,-1.713e+09,-2.63e+08,-1.45e+09,7.14e+08,7.14e+08,-8.5e+07,6.29e+08,-7.4e+07,5.55e+08,5.55e+08,5.55e+08,-1.2e+07,5.43e+08,9.487e+09,3.6484e+10,1.14607e+11,1.936e+09,9.6595e+10,1.0018e+10,6.058e+09,1.1718e+10,1.738e+09,5.639e+09,2.486e+09,2.6636e+10,2.08795e+11,1.34998e+11,9.8563e+10,3.6435e+10,2.5647e+10,1.6477e+10,9.17e+09,8.112e+09,2.0387e+10,1.89144e+11,1.0032e+10,5.04e+08,9.528e+09,-4.55e+08,9.889e+09,-3.15e+08,1.9651e+10,1.9651e+10,2.08795e+11,5.55e+08,5e+07,-4e+07,1.721e+09,2.286e+09,-1.7e+07,-1.372e+09,-4.483e+09,-4.049e+09,-9.921e+09,-9.6e+07,3.281e+09,-2.24e+08,9.589e+09,1.255e+10,4.915e+09,4.915e+09,4.915e+09,7.64e+08,3.3759e+10,2.542e+09,0.29419,0.22373,0.02763,0.0026,4.6814,9.62516,0.16168,1.10643,1.09746,4.94531,39.02251,5.17964,0.19561,0.00306,0.01217,0.1768,31.76963,33.9944
"8","2012_Q1",32.5553225806452,"Up",2.315e+09,6.06e+08,7.65e+08,-1.59e+08,1.709e+09,1.577e+09,4.2e+07,9e+07,1e+06,2.316e+09,-1.636e+09,-2.77e+08,-1.359e+09,6.8e+08,6.8e+08,-1.48e+08,5.32e+08,-1.51e+08,3.81e+08,3.81e+08,3.81e+08,-1e+07,3.71e+08,2.193e+09,5.8886e+10,1.16905e+11,7.07e+08,9.9832e+10,9.321e+09,7.045e+09,1.0031e+10,1.747e+09,5.645e+09,2.459e+09,1.8961e+10,2.16827e+11,1.57287e+11,9.8058e+10,5.9229e+10,1.3994e+10,9.228e+09,4.766e+09,8.131e+09,1.8017e+10,1.97429e+11,1.0061e+10,5.04e+08,9.557e+09,-6.8e+08,1.0176e+10,-6.59e+08,1.9398e+10,1.9398e+10,2.16827e+11,3.81e+08,5.1e+07,3.74e+08,2.343e+09,3.149e+09,-8.9e+07,-2.654e+09,-2.0712e+10,-9.8e+08,-2.4572e+10,-9.6e+07,-7.845e+09,-2.19e+08,2.2289e+10,1.4129e+10,-7.294e+09,-7.294e+09,-7.294e+09,7.31e+08,2.2125e+10,3.136e+09,0.29374,0.16026,0.01913,0.00171,8.45283,10.1778,0.10204,0.7644,0.76024,4.76978,38.93709,6.46136,0.1978,0.00215,0.01446,0.25876,27.26676,29.31176
"9","2012_Q2",33.7890476190476,"Up",2.421e+09,6.25e+08,7.65e+08,-1.4e+08,1.796e+09,1.688e+09,1.1e+07,9.7e+07,0,2.421e+09,-1.814e+09,-2.62e+08,-1.552e+09,6.07e+08,6.07e+08,-2.1e+07,5.86e+08,-1.59e+08,4.27e+08,4.27e+08,4.27e+08,-1e+07,4.17e+08,1.383e+09,2.6709e+10,1.2204e+11,7.73e+08,1.04704e+11,8.668e+09,7.895e+09,1.2253e+10,1.736e+09,5.7e+09,2.443e+09,1.5692e+10,1.87956e+11,1.3018e+11,9.2979e+10,3.7201e+10,1.2817e+10,8.058e+09,4.759e+09,8.117e+09,1.6683e+10,1.67797e+11,1.005e+10,5.04e+08,9.546e+09,-5.7e+08,1.0478e+10,-2.99e+08,2.0159e+10,2.0159e+10,1.87956e+11,4.27e+08,5.1e+07,1.22e+08,2.3e+07,6.23e+08,-8.5e+07,-2.255e+09,2.9947e+10,-8.24e+08,2.6783e+10,-9.5e+07,-1.183e+09,1.69e+08,-2.7107e+10,-2.8216e+10,-8.1e+08,-8.1e+08,-8.1e+08,6.58e+08,2.0934e+10,7.55e+08,0.25072,0.17224,0.02069,0.00222,1.81055,8.32368,0.11138,0.8599,0.85023,4.99235,40.53887,1.55689,0.1959,0.00272,0.00402,0.22782,29.71277,32.20923
"10","2012_Q3",32.835873015873,"Down",2.423e+09,6.72e+08,7.86e+08,-1.14e+08,1.751e+09,1.635e+09,-2.7e+07,1.43e+08,1e+06,2.424e+09,-1.735e+09,-2.68e+08,-1.467e+09,6.89e+08,6.89e+08,-36999999.9999999,6.52e+08,-1.62e+08,4.9e+08,4.9e+08,4.9e+08,-1e+07,4.8e+08,6.088e+09,3.1145e+10,1.22935e+11,6.06e+08,1.06378e+11,7.807e+09,8.144e+09,1.2338e+10,1.702e+09,5.611e+09,2.334e+09,1.8624e+10,2.00777e+11,1.43771e+11,1.02577e+11,4.1194e+10,1.4278e+10,9.564e+09,4.714e+09,6.392e+09,1.6439e+10,1.8088e+11,1.0127e+10,5.04e+08,9.623e+09,-1.039e+09,1.0846e+10,-5.37e+08,1.9897e+10,1.9897e+10,2.00777e+11,4.9e+08,4.8e+07,-6.3e+07,-2.161e+09,-1.686e+09,-5.8e+07,-1.584e+09,-4.544e+09,-2.06e+08,-6.392e+09,-1.24e+08,-2.95e+08,-3.89e+08,1.3591e+10,1.2783e+10,4.705e+09,4.705e+09,4.705e+09,7.37e+08,2.067e+10,-1.32e+09,0.28436,0.1981,0.02412,0.00239,-2.75,9.09082,0.10295,0.99708,0.98256,5.03319,40.29256,-2.74198,0.25758,0.00301,-0.00657,0.25833,19.78562,21.16401
