"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.6733333333333,"Up",4.29e+08,-1.93e+08,2.36e+08,-1.5e+08,-1.18e+08,-3.2e+07,8.6e+07,0,8.6e+07,8.6e+07,-1.9e+07,6.7e+07,6.7e+07,6.7e+07,6.7e+07,1241094427.1081,1241094427.1081,175147882.636188,175147882.636188,-14279465.3585382,67505527.5752675,67505527.5741207,1469468371.96102,94873424.121735,-347699686.818733,-309120999.336774,53492561.8770457,-100783293.755262,-252826262.696998,1216642109.26402,191774438.168622,111591398.804142,80183039.3644797,281896572.841498,261837142.344143,20059430.4973553,473671018.417329,-5916335714.69266,101114880.483646,63340639.3867287,37313181.2112854,-265255002.462153,208416015.955176,664935670.914932,693895111.393181,-17648350.9077189,1008226093.30885,1008226093.30885,1216642109.26402,6.7e+07,1.4e+07,1.3e+07,5e+06,9e+06,4.4e+07,5.2e+07,-1e+07,2e+06,1.38e+08,-6e+06,-6e+06,-1.5e+07,-2.1e+07,0,-400467248.587345,138223811.372224,-7.1e+07,-7.1e+07,6e+06,-6.5e+07,5.2e+07,5.2e+07,-1e+06,5.1e+07,1e+08,0,1.57e+08,0.55012,0.20047,0.15618,0.122498623545582,0.0809539597384113,2.34328,2.91418188459147,0.30909655872678,-0.155898479140262,0.39928,0.39296,2.55662,6.00551780560781,0.93564,0.120661505817941,0.330574232155088,-9.94961551003,-10.7151179426726
"2","2010_Q3",30.368125,"Up",4.7e+08,-2.02e+08,2.68e+08,-1.62e+08,-1.26e+08,-3.6e+07,1.06e+08,0,1.06e+08,1.06e+08,-3.2e+07,7.4e+07,7.4e+07,7.4e+07,7.4e+07,7.24e+08,7.24e+08,3.81e+08,3.81e+08,4.6e+07,5.7e+07,5.7e+07,1.208e+09,1.01e+08,3.53e+08,1.35e+08,7.4e+07,3.1e+07,4.54e+08,1.662e+09,1.76e+08,8.2e+07,9.4e+07,3.67e+08,3.07e+08,6e+07,5.43e+08,-2800167857.34633,1.13e+08,7.9e+07,3.4e+07,1.13e+08,6.56e+08,6.48e+08,7.25e+08,1.5e+07,1.006e+09,1.006e+09,1.662e+09,7.4e+07,1.4e+07,7e+06,6e+06,2e+06,-3.3e+07,-4.7e+07,8999999.99999999,5e+06,6.2e+07,-1.1e+07,-1.1e+07,-4.4e+07,-5.5e+07,0,0,0,0,0,8e+06,8000000.00000001,1.5e+07,1.5e+07,-3e+06,1.2e+07,1.2e+08,0,1.08e+08,0.57021,0.22553,0.15745,0.07356,0.04452,1.45946,2.22468,0.65209,0,0.44311,0.43555,2.81437,6.02395,0.64671,0.06613,0.09651,-6.03333,-6.83019
"3","2010_Q4",37.2471875,"Up",4.89e+08,-2.1e+08,2.79e+08,-1.73e+08,-1.33e+08,-4e+07,1.06e+08,0,1.06e+08,1.06e+08,-3.1e+07,7.5e+07,7.5e+07,7.5e+07,7.5e+07,7.41e+08,7.41e+08,4.11e+08,4.11e+08,6.5e+07,5.5e+07,5.5e+07,1.272e+09,1.03e+08,3.8e+08,1.36e+08,6.9e+07,6.1e+07,4.83e+08,1.755e+09,2.12e+08,8.8e+07,1.24e+08,3.38e+08,2.65e+08,7.3e+07,5.5e+08,-930722619.115443,1.21e+08,8.5e+07,3.6e+07,1.21e+08,6.71e+08,6.65e+08,8e+08,1.8e+07,1.084e+09,1.084e+09,1.755e+09,7.5e+07,1.5e+07,1.1e+07,7e+06,5e+06,-3.6e+07,-2.9e+07,-1.7e+07,1e+07,6.5e+07,-8e+06,-8e+06,-3.9e+07,-4.7e+07,0,0,0,-1.7e+07,-1.7e+07,1e+07,-7e+06,1.1e+07,1.1e+07,6e+06,1.7e+07,1.21e+08,0,1.08e+08,0.57055,0.21677,0.15337,0.06919,0.04274,1.44,2.31273,0.619,6.93889390390723e-18,0.44883,0.44144,2.92639,6.48713,0.64632,0.06224,0.08963,-6.12397,-6.99057
"4","2011_Q1",43.41,"Up",5.48e+08,-2.43e+08,3.05e+08,-1.88e+08,-1.49e+08,-3.9e+07,1.17e+08,-1e+06,1.16e+08,1.16e+08,-3.1e+07,8.5e+07,8.5e+07,8.5e+07,8.5e+07,8.83e+08,8.83e+08,4.02e+08,4.02e+08,6.5e+07,5.6e+07,5.6e+07,1.406e+09,1.05e+08,3.72e+08,1.36e+08,5.9e+07,4.9e+07,4.77e+08,1.883e+09,2.36e+08,1.02e+08,1.34e+08,3.33e+08,2.63e+08,7e+07,5.69e+08,0,1.25e+08,8.5e+07,4e+07,1.25e+08,6.94e+08,6.92e+08,8.84e+08,1.2e+07,1.189e+09,1.189e+09,1.883e+09,8.5e+07,1.7e+07,2.6e+07,8e+06,2.5e+07,2e+07,8999999.99999999,0,1.1e+07,1.48e+08,-9e+06,-9e+06,-1.3e+07,-2.2e+07,1.49011611938477e-08,0,0,3.72529029846191e-09,3.72529029846191e-09,1.7e+07,1.7e+07,1.43e+08,1.43e+08,-1e+06,1.42e+08,1.34e+08,7.45058059692383e-09,1.76e+08,0.55657,0.2135,0.15511,0.07149,0.04514,2.07059,2.471,0.58368,0,0.50686,0.49621,3.26774,7.09004,1.04949,0.06469,0.13394,-6.58955,-7.54701
"5","2011_Q2",49.8842857142857,"Up",5.06e+08,-2.31e+08,2.75e+08,-1.84e+08,-1.5e+08,-3.4e+07,9.1e+07,-1e+06,9e+07,9e+07,-2.5e+07,6.5e+07,6.5e+07,6.5e+07,6.5e+07,7.78e+08,7.78e+08,4.67e+08,4.67e+08,6.6e+07,5.6e+07,5.6e+07,1.367e+09,1.11e+08,8.81e+08,5.16e+08,6.2e+07,4.7e+07,9.92e+08,2.359e+09,1.97e+08,9.8e+07,9.9e+07,4.63e+08,4e+08,6.3e+07,6.6e+08,3e+08,1.25e+08,8.3e+07,4.2e+07,4.25e+08,1.085e+09,7.08e+08,9.49e+08,1.6e+07,1.274e+09,1.274e+09,2.359e+09,6.5e+07,2.1e+07,1.2e+07,9e+06,6e+06,8e+06,-4.3e+07,-1e+06,5.2e+07,1.06e+08,-8e+06,-8e+06,-5.18e+08,-5.26e+08,3e+08,3e+08,-225156552.009032,-7841280.08226582,-7841280.08226582,1.1e+07,3.11e+08,-1.09e+08,-1.09e+08,4e+06,-1.05e+08,1.12e+08,3e+08,1.37e+08,0.54348,0.17984,0.12846,0.05102,0.02755,2.10769,2.07121,0.85165,0.12717,0.38599,0.37835,3.00475,7.56532,0.81354,0.03826,0.08064,-4.26786,-5.25275
"6","2011_Q3",49.54859375,"Down",5.81e+08,-2.65e+08,3.16e+08,-2.06e+08,-1.65e+08,-4.1e+07,1.1e+08,2.7e+07,1.37e+08,1.37e+08,-3.4e+07,1.03e+08,1.03e+08,1.03e+08,1.03e+08,6.82e+08,6.82e+08,4.16e+08,4.16e+08,5.9e+07,6.5e+07,6.5e+07,1.222e+09,1.19e+08,1.12e+09,7.14e+08,5.8e+07,1e+07,1.239e+09,2.461e+09,2.15e+08,8.7e+07,1.28e+08,4.64e+08,3.92e+08,7.2e+07,6.79e+08,2.95e+08,1.22e+08,8.5e+07,3.7e+07,4.17e+08,1.096e+09,7.32e+08,1.052e+09,1.8e+07,1.365e+09,1.365e+09,2.461e+09,1.03e+08,1.6e+07,-2.1e+07,8e+06,5e+06,8.1e+07,5.6e+07,6e+06,1.9e+07,1.79e+08,-1.4e+07,-1.4e+07,-2.39e+08,-2.53e+08,0,0,-3e+08,-3.8e+07,-3.8e+07,1.4e+07,-2.4e+07,-9.8e+07,-9.8e+07,2e+06,-9.6e+07,1.26e+08,2.95e+08,2.27e+08,0.54389,0.18933,0.17728,0.07546,0.04185,2.20388,1.79971,0.80293,0.11987,0.61091,0.59745,3.44603,8.09609,1.34638,0.0578,0.12738,-3.07143,-3.51818
"7","2011_Q4",49.685873015873,"Up",6.02e+08,-2.74e+08,3.28e+08,-2.06e+08,-1.63e+08,-4.3e+07,1.22e+08,-1e+06,1.21e+08,1.21e+08,-3.4e+07,8.7e+07,8.7e+07,8.7e+07,8.7e+07,6.91e+08,6.91e+08,4.41e+08,4.41e+08,6.4e+07,6.5e+07,6.5e+07,1.261e+09,1.19e+08,1.106e+09,7.36e+08,4.8e+07,1.1e+07,1.225e+09,2.486e+09,2.36e+08,9.6e+07,1.4e+08,4.35e+08,3.53e+08,8.2e+07,6.71e+08,2.93e+08,1.21e+08,8.3e+07,3.8e+07,4.14e+08,1.085e+09,7.46e+08,1.139e+09,1e+07,1.401e+09,1.401e+09,2.486e+09,8.7e+07,3.7e+07,2.7e+07,8e+06,2e+07,-4.9e+07,-2.5e+07,-5e+06,-1.9e+07,1.02e+08,-9e+06,-9e+06,-2.1e+07,-3e+07,0,0,0,-5.7e+07,-5.7e+07,4e+06,-5.3e+07,1.9e+07,1.9e+07,-1e+07,9e+06,1.59e+08,2.93e+08,1.35e+08,0.54485,0.20266,0.14452,0.0621,0.035,1.55172,1.87928,0.77445,0.11786,0.51817,0.50552,3.58547,8.34425,0.80405,0.04793,0.07438,-2.50314,-3.2623
"8","2012_Q1",55.4362903225806,"Up",6.73e+08,-2.99e+08,3.74e+08,-2.41e+08,-1.85e+08,-5.6e+07,1.33e+08,0,1.33e+08,1.33e+08,-3.5e+07,9.8e+07,9.8e+07,9.8e+07,9.8e+07,7.72e+08,7.72e+08,4.94e+08,4.94e+08,6.1e+07,8.5e+07,8.5e+07,1.412e+09,1.2e+08,1.084e+09,7.42e+08,2.8e+07,1.1e+07,1.204e+09,2.616e+09,2.66e+08,9.7e+07,1.69e+08,4.29e+08,3.39e+08,9e+07,6.95e+08,2.9e+08,1.37e+08,7.7e+07,1.6e+07,4.27e+08,1.122e+09,7.67e+08,1.237e+09,1.6e+07,1.494e+09,1.494e+09,2.616e+09,9.8e+07,2.8e+07,4.6e+07,1e+07,4e+07,-4.6e+07,-5.3e+07,3e+06,4e+06,1.26e+08,-1.1e+07,-1.1e+07,-1.2e+07,-2.3e+07,0,0,-2.98023223876953e-08,-3.2e+07,-3.2e+07,1e+07,-2.2e+07,8.1e+07,8.1e+07,1.86264514923096e-09,8.1e+07,1.61e+08,2.9e+08,1.39e+08,0.55572,0.19762,0.14562,0.0656,0.03746,1.41837,2.03165,0.751,0.11086,0.58507,0.5721,4.01791,8.9194,0.82985,0.05102,0.07236,-2.99379,-3.62406
"9","2012_Q2",64.1001587301587,"Up",6.13e+08,-2.75e+08,3.38e+08,-2.11e+08,-1.65e+08,-4.6e+07,1.27e+08,-1e+06,1.26e+08,1.26e+08,-3.5e+07,9.1e+07,9.1e+07,9.1e+07,9.1e+07,9.78e+08,9.78e+08,4.99e+08,4.99e+08,5.4e+07,8.3e+07,8.3e+07,1.614e+09,1.22e+08,1.076e+09,7.43e+08,1.6e+07,1.6e+07,1.198e+09,2.812e+09,2.08e+08,9.7e+07,1.11e+08,5.37e+08,4.54e+08,8.3e+07,7.45e+08,2.86e+08,1.41e+08,7.7e+07,6.4e+07,4.27e+08,1.172e+09,8.17e+08,1.328e+09,2.1e+07,1.64e+09,1.64e+09,2.812e+09,9.1e+07,3e+07,7e+06,1.1e+07,1.3e+07,6.4e+07,-5e+06,7e+06,6.2e+07,1.92e+08,-1.2e+07,-1.2e+07,-1.8e+07,-3e+07,0,-1.86264514923096e-09,0,0,0,4.1e+07,4.1e+07,2.03e+08,2.03e+08,3e+06,2.06e+08,1.57e+08,2.86e+08,2.44e+08,0.55139,0.20718,0.14845,0.05549,0.03236,2.68132,2.16644,0.71463,0.10171,0.54199,0.5303,3.65098,9.76772,1.45325,0.04403,0.11805,-4.40764,-5.44882
"10","2012_Q3",66.8773015873016,"Up",6.65e+08,-2.83e+08,3.82e+08,-2.22e+08,-1.79e+08,-4.3e+07,1.6e+08,-4.65661287307739e-10,1.6e+08,1.6e+08,-4.8e+07,1.12e+08,1.12e+08,1.12e+08,1.12e+08,8.21e+08,8.21e+08,5.05e+08,5.05e+08,3.5e+07,7.9e+07,7.9e+07,1.44e+09,1.34e+08,1.341e+09,9.25e+08,3.3e+07,3.1e+07,1.475e+09,2.915e+09,2.21e+08,1e+08,1.21e+08,4.98e+08,4.1e+08,8.8e+07,7.19e+08,2.82e+08,1.79e+08,7.6e+07,1.03e+08,4.61e+08,1.18e+09,8.46e+08,1.44e+09,1.1e+07,1.735e+09,1.735e+09,2.915e+09,1.12e+08,3.1e+07,1.2e+07,1e+07,9e+06,-3000000.00000001,4e+06,1.9e+07,-2.6e+07,1.52e+08,-1.9e+07,-1.9e+07,-2.58e+08,-2.77e+08,-4e+06,-4e+06,-4e+06,-3.7e+07,-3.7e+07,1.9e+07,-2.2e+07,-1.47e+08,-1.47e+08,-1e+07,-1.57e+08,1.91e+08,2.82e+08,2.17e+08,0.57444,0.2406,0.16842,0.06455,0.03842,1.9375,2.00278,0.68012,0.09674,0.6639,0.64965,3.94191,10.28453,1.28631,0.051,0.09882,-2.82199,-3.36875
