"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.3134920634921,"Up",710917000,-479986000,230931000,-214464000,-197810000,-16654000,16467000,-318000,-318000,16149000,16149000,-5567000,10582000,10582000,10582000,10582000,138060000,138060000,832881000,38772000,38772000,1009713000,365838000,28788000,4856000,394626000,1404339000,498158000,394955000,308000,102895000,515448000,1324000,95169000,30819000,96493000,611941000,202810000,624000,202186000,812595000,792398000,792398000,1404339000,10582000,16654000,6403000,-54614000,-20975000,-12652000,-12652000,-5074000,-115000,2384000,1641000,-1164000,-34791000,-34791000,-34791000,33121000,1684000,-28578000,0.32484,0.02316,0.01489,0.01335,0.00754,-2.70062,1.9589,0.77226,0.0012,0.07317,0.0715,4.91583,5.47925,-0.19761,0.03509,336.050929994755,0.01761,-0.03214,0.47949,-4.11751,-8.28178
"2","2010_Q3",15.2984375,"Up",1065656000,-705527000,360129000,-236481000,-219324000,-17157000,123648000,-241000,-241000,123407000,123407000,-46089000,77318000,77318000,77318000,77318000,196992000,181079000,780994000,40253000,40253000,1018239000,372542000,33486000,5391000,406028000,1424267000,451125000,289538000,51190000,110397000,464637000,1238000,93954000,27569000,95192000,559829000,212518000,625000,211893000,884820000,864438000,864438000,1424267000,77318000,17157000,-4660000,2141000,91956000,-23985000,-39898000,-5093000,-102000,-4143000,298999.999999999,-9039000,43019000,43019000,43019000,140805000,1582000,165050000,0.33794,0.11603,0.07255,0.08944,0.05429,2.13469,2.19147,0.64762,0.00111,0.53202,0.51768,7.33266,5.9481,1.13569,0.03504,204.36728666317,0.08585,0.17193,0.0658699999999999,-1.38781,-1.58037
"3","2010_Q4",18.5184375,"Up",829114000,-553426000,275688000,-228281000,-210779000,-17502000,47407000,-38000,-38000,47369000,47369000,-17506000,29863000,29863000,29863000,29863000,186833000,170920000,833821000,50926000,50926000,1071580000,385223000,31165000,7697000,416388000,1487968000,482815000,348610000,0,134205000,496975000,1151000,97600000,30033000,98751000,595726000,224741000,628000,224113000,909597000,892242000,892242000,1487968000,29863000,17502000,7835000,-31664000,23536000,-30157000,-30157000,-5086000,-87000,-2761000,4396000,-3538000,-10159000,-10159000,-10159000,64909000,1495000,20594000,0.33251,0.05718,0.03602,0.03347,0.02007,0.68962,2.15621,0.66767,0.001,0.20567,0.19927,5.71015,6.14492,0.14183,0.03503,112.620371997902,0.03525,0.02077,0.17031,-2.85535,-3.90951
"4","2011_Q1",22.5537096774194,"Up",1032649000,-695732000,336917000,-258215000,-239731000,-18484000,78702000,-687000,-687000,78015000,78015000,-27806000,50209000,50209000,50209000,50209000,273252000,257339000,736520000,33945000,33945000,1043717000,395789000,23968000,7960000,419757000,1463474000,417619000,247388000,8268999.99999999,161962000,426564000,1316000,102352000,31655000,103668000,530232000,235914000,631000,235283000,954704000,933242000,933242000,1463474000,50209000,18484000,-3870000,63268000,128091000,-29404000,-29404000,-5102000,-88000,-9774000,2696000,-12268000,86419000,86419000,86419000,97186000,1407000,158856000,0.32626,0.07621,0.04862,0.0538,0.03431,3.16389,2.4468,0.56816,0.00096,0.34478,0.33413,7.09101,6.4084,1.09083,0.03503,53.810185998951,0.05334,0.15319,0.10162,-2.79716,-3.45411
"5","2011_Q2",26.8957142857143,"Up",836576000,-562970000,273606000,-244840000,-226575000,-18265000,28766000,-243000,-243000,28523000,28523000,-10188000,18335000,18335000,18335000,18335000,156361000,140448000,941377000,40698000,40698000,1138436000,413818000,24899000,11861000,438717000,1577153000,545871000,406408000,0,139463000,560216000,1302000,103529000,31825000,104831000,665047000,254700000,636000,254064000,967928000,912106000,912106000,1577153000,18335000,18265000,7230000,-88631000,-44801000,-28849000,-28849000,-5111000,-47000,-42041000,3958000,-43241000,-116891000,-116891000,-116891000,47031000,1360000,-60261000,0.32705,0.03439,0.02192,0.0201,0.01163,-3.28666,2.03214,0.72913,0.00086,0.12609,0.12235,5.7533,6.27274,-0.41443,0.03515,20.936728666317,0.02305,-0.05925,0.27876,-3.29572,-5.38834
"6","2011_Q3",28.01484375,"Up",1178363000,-775866000,402497000,-258234000,-239405000,-18829000,144263000,-217000,-217000,144046000,144046000,-52886000,91160000,91160000,91160000,91160000,185517000,185517000,875483000,68233000,46363000,1129233000,431614000,22016000,11758000,453630000,1582863000,528390000,351763000,42431000,134196000,535771000,1300000,105097000,32672000,106397000,642168000,270503000,639000,269864000,1050441000,940695000,940695000,1582863000,91160000,18829000,-4201000,56374000,162162000,-45097000,-51054000,-8647000,-27000,-61323000,3958000,-66039000,45069000,45069000,45069000,163092000,1333000,227255000,0.34157,0.12243,0.07736,0.09691,0.05759,2.49292,2.10768,0.68265,0.00084,0.63299,0.61424,8.18228,6.53197,1.57801,0.06004,7,0.09532,0.21703,0.09486,-1.12933,-1.27672
"7","2011_Q4",31.0203174603175,"Up",977776000,-650173000,327603000,-259474000,-239883000,-19591000,68129000,-591000,-591000,67538000,67538000,-24805000,42733000,42733000,42733000,42733000,96590000,96590000,913738000,62068000,40198000,1072396000,450449000,25005000,12635000,475454000,1547850000,499469000,340208000,2850000,156411000,502815000,1292000,106838000,33747000,108130000,610945000,281742000,641000,281101000,1084632000,936905000,936905000,1547850000,42733000,19591000,-5953000,-62400000,-6029000,-32659000,-32659000,-8542000,-9000,-44693000,3005000,-50239000,-88927000,-88927000,-88927000,87720000,1324000,17466000,0.33505,0.06968,0.0437,0.04561,0.02761,0.40872,2.13278,0.65209,0.00086,0.29998,0.29133,6.8639,6.57699,0.12261,0.05996,5,0.04906,0.01671,0.19989,-1.08602,-1.39832
"8","2012_Q1",36.3890322580645,"Up",1240028000,-836862000,403166000,-291621000,-267959000,-23662000,111545000,-1036000,-1036000,110509000,110509000,-39997000,70512000,70512000,70512000,70512000,176965000,176965000,830819000,82465000,51728000,1090249000,480855000,23728000,13470000,504583000,1594832000,460592000,266409000,11874000,182309000,460625000,1284000,124633000,35075000,125917000,586542000,299069000,643000,298426000,1146594000,1008290000,1008290000,1594832000,70512000,23662000,3341000,45297000,142812000,-58799000,-58799000,-8550000,-7000,-480000,5399000,-3638000,80375000,80375000,80375000,135207000,1317000,161702000,0.32513,0.08995,0.05686,0.06993,0.04421,2.29326,2.36689,0.58172,0.00083,0.49537,0.48157,8.71161,7.08357,1.13601,0.06007,7,0.0697,0.14256,0.12126,-1.2991,-1.57468
"9","2012_Q2",40.9128571428571,"Up",1020417000,-687617000,332800000,-268407000,-246668000,-21739000,64393000,-583000,-583000,63810000,63810000,-23482000,40328000,40328000,40328000,40328000,126695000,126695000,1031780000,73638000,50337000,1232113000,488670000,22868000,12610000,511538000,1743651000,565511000,423913000,6526000,135072000,565546000,1272000,121678000,34405000,122950000,688496000,318366000,649000,317717000,1178305000,1055155000,1055155000,1743651000,40328000,21739000,-1182000,-81183000,-20298000,-31829000,-31829000,-8617000,-10000,7131000,3353000,1857000,-50270000,-50270000,-50270000,86132000,1307000,-3398000,0.32614,0.0631,0.03952,0.03822,0.02313,-0.08426,2.17863,0.65251,0.00075,0.28164,0.27436,7.12641,7.36902,-0.02373,0.06018,6,0.04154,-0.00288,0.21367,-1.45577,-1.94723
"10","2012_Q3",40.1869841269841,"Down",1291899000,-840438000,451461000,-281617000,-259184000,-22433000,169844000,-31000,-31000,169813000,169813000,-63192000,106621000,106621000,106621000,106621000,179100000,179100000,946934000,72215000,56331000,1198249000,501029000,23134000,12876000,524163000,1722412000,534687000,314757000,64160000,155770000,534722000,1263000,119288000,36464000,120551000,655273000,336551000,652000,335899000,1270497000,1067139000,1067139000,1722412000,106621000,22433000,-11747000,55161000,172468000,-33737000,-20667000,-14429000,-9000.00000000047,-91521000,6563000,-99396000,52405000,52405000,52405000,192277000,1298000,276893000,0.34946,0.13147,0.08253,0.09991,0.0619,2.59698,2.24088,0.61405,0.00075,0.74234,0.72543,8.99476,7.42988,1.92785,0.10046,8,0.10192,0.23313,0.13533,-0.92472,-1.04685
"11","2012_Q4",40.3353225806452,"Up",1065638000,-708467000,357171000,-279392000,-257184000,-22208000,77779000,-241000,-241000,77538000,77538000,-27517000,50021000,50021000,50021000,50021000,70185000,70185000,1020140000,71599000,50892000,1161924000,528999000,25380000,15122000,554379000,1716303000,541998000,362059000,24834000,155105000,542033000,1255000,118802000,38910000,120057000,662090000,349098000,1305000,347793000,1306328000,1054213000,1054213000,1716303000,50021000,22208000,-7612000,-60946000,3671000,-45289000,-44889000,-14190000,-8000,-56740000,3241000,-67697000,-108915000,-108915000,-108915000,99987000,1290000,21269000,0.33517,0.07299,0.04694,0.04745,0.02914,0.4252,2.14364,0.62804,0.00075,0.35355,0.34586,7.53197,7.45122,0.15033,0.1003,8,0.05468,0.01811,0.28368,-0.68904,-0.88578
"12","2013_Q1",43.971,"Up",1286166000,-861544000,424622000,-299846000,-277251000,-22595000,124776000,-2e+05,-2e+05,124576000,124576000,-45089000,79487000,79487000,79487000,79487000,138630000,138630000,908116000,83306000,51808000,1130052000,549998000,26758000,16500000,576756000,1706808000,560467000,320392000,43359000,196716000,560505000,1242000,120087000,42374000,121329000,681834000,362413000,1307000,361106000,1371733000,1024974000,1024974000,1706808000,79487000,22595000,-14159000,134538000,222461000,-41690000,-41690000,-14082000,-9999.99999999255,-104092000,5858000,-112326000,68445000,68445000,68445000,147371000,1280000,285308000,0.33015,0.09701,0.0618,0.07755,0.04657,3.58937,2.01613,0.66522,0.000750000000000002,0.56599,0.55405,9.15825,7.29841,2.03156,0.10027,7,0.08162,0.24889,0.17716,-0.932,-1.10077
"13","2013_Q2",49.01265625,"Up",1085838000,-733747000,352091000,-284168000,-261469000,-22699000,67923000,-179000,-179000,67744000,67744000,-23738000,44006000,44006000,44006000,44006000,57022000,57022000,1142900000,67469000,51855000,1267391000,583294000,30643000,16689000,613937000,1881328000,624091000,476043000,3749000,144299000,624130000,106233000,120739000,44534000,226972000,851102000,387451000,1315000,386136000,1401810000,1030226000,1030226000,1881328000,44006000,22699000,1959000,-163963000,-95299000,-49150000,-49150000,-13929000,104992000,-36273000,8051000,62841000,-81608000,-81608000,-81608000,90622000,106272000,-98753000,0.32426,0.06255,0.04053,0.04271,0.02339,-2.24408,2.03065,0.82613,0.05649,0.31683,0.31075,7.81763,7.41725,-0.71099,0.10028,3,0.04608,-0.07855,0.31653,0.54347,0.72509
"14","2013_Q3",54.671875,"Up",1455767000,-949627000,506140000,-308161000,-283941000,-24220000,197979000,-556000,-556000,197423000,197423000,-73843000,123580000,123580000,123580000,123580000,55698000,55698000,1082861000,67122000,52676000,1205681000,611476000,29267000,16363000,640743000,1846424000,579493000,360811000,53482000,165200000,579532000,1223999.99999999,121921000,45447000,123145000,702677000,415017000,1322000,413695000,1507206000,1143747000,1143747000,1846424000,123580000,24220000,-15478000,25799999.9999999,158122000,-49241000,-40841000,-18184000,-105009000,-8223000,12811000,-118605000,-1324000.00000003,-1324000.00000003,-1324000.00000003,222199000,1263000,272601000,0.34768,0.136,0.08489,0.10805,0.06693,2.20587,2.08044,0.61436,0.00068,0.88687,0.87342,10.44729,8.20808,1.95632,0.1305,7,0.1119,0.21517,0.14714,-0.24498,-0.27495
"15","2013_Q4",63.53078125,"Up",1208090000,-792424000,415666000,-313996000,-287859000,-26137000,101670000,-350000,-350000,101320000,101320000,-36553000,64767000,64767000,64767000,64767000,45988000,45988000,1142013000,65617000,45794000,1253618000,634396000,31292000,15751000,665688000,1919306000,570476000,403521000,2323000,164632000,570515000,41214000,123066000,46152000,164280000,734795000,430470000,1326000,429144000,1553814000,1184511000,1184511000,1919306000,64767000,26137000,-11413000,-43704000,35787000,-58069000,-58069000,-18159000,39990000,-16081000,6822000,12572000,-9710000,-9710000,-9710000,127807000,41253000,62587000,0.34407,0.08416,0.05361,0.05468,0.03375,0.96634,2.19734,0.62034,0.02149,0.4642,0.45621,8.65865,8.48966,0.44858,0.13015,7,0.06148,0.0464,0.28037,-0.03705,-0.04657
