"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.7779365079365,"Down",1232700000,-714600000,518100000,-202300000,-202300000,315800000,-38900000,-37900000,-1e+06,276900000,2.76e+08,-68100000,207900000,207900000,207900000,207900000,1529800000,1529800000,1529800000,1.96e+08,5315200000,2157900000,474500000,2682800000,5511200000,7.041e+09,7.83e+08,7.83e+08,2547100000,2287600000,259500000,3330100000,3.048e+09,282300000,282300000,3330300000,6660400000,66400000,400500000,-86300000,380600000,380600000,7.041e+09,207900000,4.2e+07,14200000,-189700000,74400000,-14700000,2200000,-40500000,0,-191500000,-2.32e+08,-155400000,-155400000,-155400000,357800000,3.048e+09,221500000,0.4203,0.25619,0.16865,0.54624,0.02953,1.06542,0.45939,17.49974,0.43289,0.30488,0.30386,1.80774,0.55815,0.32483,0.05939,123.080749516863,0.06694,0.05969,0.19481,4.24315,4.80747
"2","2010_Q3",10.560625,"Down",1273400000,-727700000,545700000,-234700000,-234700000,3.11e+08,-39400000,-40600000,1200000,271600000,272300000,-51300000,2.21e+08,2.21e+08,2.21e+08,2.21e+08,1746800000,1746800000,1746800000,196100000,5404800000,2156500000,471800000,2776500000,5600900000,7347700000,7.75e+08,7.75e+08,2599900000,2341300000,258600000,3374900000,3296500000,276600000,276600000,3573100000,6.948e+09,79800000,364900000,-4.5e+07,399700000,399700000,7347700000,2.21e+08,43600000,1500000,-14400000,251700000,-28900000,-28900000,-39600000,247500000,-213700000,-5800000,2.17e+08,2.17e+08,2.17e+08,354600000,3296500000,362600000,0.42854,0.24423,0.17355,0.55291,0.03008,1.64072,0.51759,17.38304,0.44864,0.3302,0.32906,1.90258,0.59719,0.54176,0.05917,58.0403747584315,0.0656,0.09127,0.17919,4.37028,4.98296
"3","2010_Q4",11.78984375,"Up",1329600000,-752600000,5.77e+08,-225800000,-225800000,351200000,-43600000,-44300000,7e+05,307600000,308600000,-70200000,238400000,238400000,238400000,238400000,1996700000,1996700000,1996700000,195200000,5378500000,2145300000,462800000,2770400000,5573700000,7570400000,937900000,937900000,2642900000,2393400000,249500000,3580800000,3296500000,255300000,255300000,3551800000,7132600000,94300000,465300000,-121800000,437800000,437800000,7570400000,238400000,44900000,3300000,97200000,383800000,-44200000,-46500000,0,-4e+05,-8.7e+07,-87400000,249900000,249900000,249900000,396100000,3296500000,519300000,0.43397,0.26414,0.1793,0.54454,0.03149,2.17827,0.55761,16.29191,0.43545,0.36171,0.3605,2.0173,0.66424,0.78789,0,22.0134582528105,0.05976,0.13016,0,3.28149,3.70103
"4","2011_Q1",13.5075806451613,"Up",1.357e+09,-783500000,573500000,-251400000,-251400000,322100000,-30500000,-44300000,13800000,291600000,288300000,-45700000,242600000,242600000,242600000,242600000,2157400000,2157400000,2157400000,196500000,5575300000,2151700000,4.38e+08,2985600000,5771800000,7929200000,8.77e+08,8.77e+08,2889700000,2635200000,254500000,3766700000,3289900000,289900000,289900000,3579800000,7346500000,123900000,591600000,-132800000,582700000,582700000,7929200000,242600000,45400000,47500000,-5.1e+07,284500000,-25900000,8599999.99999999,-85200000,-1e+05,-47100000,-132400000,160700000,160700000,160700000,367500000,3289900000,336300000,0.42262,0.23736,0.17878,0.41634,0.0306,1.38623,0.57276,12.60769,0.41491,0.36999,0.36841,2.06954,0.88867,0.51289,0.12994,7,0.07875,0.08079,0.3512,3.08163,3.51599
"5","2011_Q2",13.4471428571429,"Down",1.283e+09,-745400000,537600000,-224700000,-224700000,312900000,-40100000,-42200000,2100000,272800000,274700000,-64500000,210200000,210200000,210200000,210200000,2215800000,2215800000,2215800000,194100000,5477800000,2159300000,421100000,2897400000,5671900000,7887700000,939800000,939800000,2810800000,2533600000,277200000,3750600000,3583300000,273500000,273500000,3856800000,7607400000,203500000,230200000,-153400000,280300000,280300000,7887700000,210200000,44700000,-7200000,3900000,251600000,-21900000,-21900000,-44700000,299500000,-426100000,-171300000,58400000,58400000,58400000,357600000,3583300000,404100000,0.41902,0.24388,0.16383,0.74991,0.02665,1.92245,0.59079,27.14021,0.45429,0.32493,0.32234,1.9833,0.4333,0.62467,0.0691,5,0.06161,0.09768,0.21265,3.82411,4.37041
"6","2011_Q3",11.449375,"Down",1366300000,-764200000,602100000,-251400000,-251400000,350700000,-1.6e+07,-42900000,26900000,334700000,333400000,-70200000,263200000,263200000,263200000,263200000,2089700000,2089700000,2089700000,196400000,5723400000,2329600000,4.83e+08,2910800000,5919800000,8009500000,906900000,906900000,2850500000,2585300000,265200000,3757400000,3585500000,287500000,287500000,3.873e+09,7630400000,227900000,307700000,-156500000,379100000,379100000,8009500000,263200000,46600000,-18600000,-36500000,254700000,-53500000,-189200000,-50300000,-500000.00000006,-140800000,-191600000,-126100000,-126100000,-126100000,397300000,3585500000,377500000,0.44068,0.25668,0.19264,0.69428,0.03286,1.43427,0.55616,20.12767,0.44766,0.41705,0.41397,2.16495,0.6007,0.59816,0.0797,7,0.07373,0.08878,0.19111,3.76491,4.26518
"7","2011_Q4",11.3419047619048,"Down",1410800000,-8e+08,610800000,-247800000,-247800000,3.63e+08,-43800000,-45600000,1800000,319200000,313900000,-74200000,239700000,239700000,239700000,239700000,2671100000,2671100000,2671100000,193500000,5955100000,2325800000,488100000,3141200000,6148600000,8819700000,1047600000,1047600000,2992800000,2.757e+09,235800000,4040400000,3982800000,294600000,294600000,4277400000,8317800000,239300000,357300000,-94700000,501900000,501900000,8819700000,239700000,45900000,18400000,72500000,376500000,-48900000,-50100000,0,397800000,-142800000,2.55e+08,581400000,581400000,581400000,408900000,3982800000,506700000,0.43295,0.2573,0.1699,0.47759,0.02718,2.11389,0.6611,16.57262,0.45158,0.38358,0.38224,2.25764,0.80317,0.81085,0,5,0.05015,0.10602,0,3.20787,3.6135
"8","2012_Q1",12.1332258064516,"Up",1431300000,-792400000,638900000,-280500000,-280500000,358400000,-24500000,-4.6e+07,21500000,333900000,352600000,99700000,452300000,452300000,452300000,452300000,1370900000,1370900000,1370900000,198100000,7500900000,3198900000,847400000,3454600000,7.699e+09,9069900000,837400000,837400000,3364800000,3091200000,273600000,4202200000,3583200000,389700000,389700000,3972900000,8175100000,253300000,7.6e+08,-118500000,894800000,894800000,9069900000,452300000,55400000,8500000,-224100000,292100000,-38200000,-1099100000,-99200000,-399800000,5800000.00000003,-493200000,-1300200000,-1300200000,-1300200000,413800000,3583200000,51799999.9999999,0.44638,0.2504,0.31601,0.50548,0.04987,0.11453,0.32623,9.13623,0.39506,0.7301,0.7274,2.31041,1.44439,0.0836199999999999,0.16013,6,0.1133,0.01064,0.21932,5.3463,6.17271
"9","2012_Q2",11.4831746031746,"Down",1393400000,-7.83e+08,610400000,-277900000,-277900000,332500000,-4.4e+07,-42900000,-1100000,288500000,290100000,-42800000,247300000,247300000,247300000,247300000,1395900000,1395900000,1395900000,196300000,7605600000,3166300000,878300000,3.561e+09,7801900000,9197800000,757900000,757900000,3446800000,3185100000,261700000,4204700000,3633700000,3.92e+08,3.92e+08,4025700000,8230400000,3.05e+08,794900000,-132500000,967400000,967400000,9197800000,247300000,63900000,1600000,-97800000,2.15e+08,-75800000,-75800000,-61600000,5.3e+07,-105600000,-114200000,2.5e+07,2.5e+07,2.5e+07,396400000,3633700000,265600000,0.43807,0.23862,0.17748,0.25563,0.02689,1.074,0.33199,8.50775,0.39506,0.39945,0.39765,2.25069,1.56259,0.42901,0.0995,6,0.06187,0.05319,0.24909,5.64531,6.73023
"10","2012_Q3",11.8553968253968,"Up",1425100000,-797500000,627600000,-281700000,-281700000,345900000,-35100000,-43900000,8800000,310800000,310100000,-38900000,271200000,271200000,271200000,271200000,1403800000,1403800000,1403800000,196400000,7565800000,3174100000,861600000,3530100000,7762200000,9.166e+09,685600000,685600000,3365700000,3103300000,262400000,4051300000,3673100000,388800000,388800000,4061900000,8113200000,3.17e+08,842800000,-1.07e+08,1052800000,1052800000,9.166e+09,271200000,5.9e+07,-4e+05,-99100000,230700000,-45500000,-50300000,-60700000,4e+07,-151800000,-172500000,7900000,7900000,7900000,404900000,3673100000,299200000,0.44039,0.24272,0.1903,0.2576,0.02959,1.10324,0.34651,7.70631,0.40073,0.44394,0.44234,2.33279,1.72336,0.48977,0.09936,4,0.06489,0.0585,0.22382,5.60459,6.56057
