"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",58.57578125,"Up",414865000,-163865000,2.51e+08,-139057000,-126002000,-13055000,111943000,-60000,-435000,375000,111883000,111883000,-43238000,68645000,68645000,68645000,68645000,-5606201110.29323,-5606201110.29323,1787038318.38628,1787038318.38628,1221486562.66015,1884726520.59738,1863173470.8363,-712949708.649415,247956296.523968,190569026.512178,116622440.685451,14009843.8460968,34107506.4971888,25829235.4834411,438525323.036146,-274424385.61327,-1084210937.58258,-228142106.052862,-1180443138.74391,324374307.214194,-1084210209.47016,282499228.420885,52363803.6510773,230135424.769808,282499840.380983,-801710369.089177,689475768.448257,-353583814.490296,158252049.737874,527284770.467189,527285983.475907,-274424385.61327,68645000,13055000,-4102000,-19016000,58582000,-17370000,-17370000,6577000,2561000,6389000,15527000,56739000,56739000,-1018000,55721000,124998000,0,131850000,0.60502,0.26983,0.16546,-0.469078347518618,-0.328669808560145,1.92075,32.8907132415605,-0.521054015960077,1.94337342969517e-06,0.35606,0.34427,2.1519,2.33678943073104,0.6839,-0.455594719935855,-7.60876449309807,8.44315406979556,7.60017756600065
"2","2013_Q3",69.70453125,"Up",532935000,-217035000,315900000,-157972000,-145714000,-12258000,157928000,-280000,-555000,275000,157648000,157648000,-59820000,97828000,97828000,97828000,97828000,-2233392555.14661,-2233392555.14661,925758659.193141,925758659.193141,628372781.330075,820722260.29869,805591235.41815,141461145.675292,236832648.261984,110247513.256089,57813720.3427255,14007421.9230484,16333253.2485944,22093117.7417205,347080161.518073,488541307.193365,-398596468.791288,-65350553.0264312,-518230569.371954,184984653.607097,-398596104.73508,157145114.210443,27385901.8255387,129759212.384904,157145420.190492,-241450684.544588,512321384.224128,136859592.754852,66687024.8689369,729991385.233594,729991991.737954,488541307.193365,97828000,12258000,-104695000,49707000,55098000,-25471000,-25471000,-15520000,21106000,113639000,119225000,148852000,148852000,1317000,150169000,170186000,0,254242000,0.59276,0.29634,0.18356,-0.148369173759309,-0.0972799042800726,2.59887,17.7899066207803,-0.103302007980039,9.71686714847583e-07,0.50343,0.48867,2.74251,3.54604471536552,1.30834,-0.146182359967928,-3.19902224654903,2.21962203489778,1.68184878300033
"3","2013_Q4",78.88796875,"Up",636778000,-253327000,383451000,-178612000,-164844000,-13768000,204839000,-1798000,-311000,-1487000,203041000,203041000,-73013000,130028000,130028000,130028000,130028000,-346080185.048871,-346080185.048871,428570219.731047,428570219.731047,340020260.443358,254379420.099563,243678078.472717,676889715.225097,234967549.420661,69810171.085363,28668573.4475752,14005807.3076828,7265084.41619814,19870705.9139068,304777720.506024,981667435.731122,-10387156.2637628,32333482.3245229,-148237856.457318,105517217.869032,-10387034.9116933,95196038.0701475,15757300.6085129,79438737.4616346,95196140.0634972,84809105.1518039,433819794.741376,442464197.584951,16682008.2896456,896858128.411198,896858330.579318,981667435.731122,130028000,13768000,-106000,-8203000,135487000,-35613000,-38845000,-13731000,2089000,8678000,-2964000,93678000,93678000,-146000,93532000,218607000,0,247804000,0.60217,0.32168,0.2042,0.0262736087468969,0.0282733652399758,1.90577,9.45742554026009,0.131095997339987,3.23895571615861e-07,0.65245,0.64111,3.19521,4.47001490512184,1.24342,0.0221925466773574,-0.798674082183011,-1.26815932170074,-1.62516040566656
"4","2014_Q1",90.3234426229508,"Up",597154000,-240939000,356215000,-200186000,-184976000,-15210000,156029000,-749000,-223000,-526000,155280000,154555000,-53454000,101101000,101101000,101101000,101101000,472511000,472511000,206454000,206454000,266894000,43330000,34850000,989189000,242113000,58263000,20980000,14005000,4389000,18889000,300376000,1289565000,164248000,82977000,9074000,72197000,164248000,78071000,13163000,64908000,78071000,242319000,424454000,626253000,-3461000,1047246000,1047246000,1289565000,101101000,15210000,-4927999.99999999,3287000.00000001,114670000,-51413000,-57413000,0,4679000,14094000,18773000,76030000,76030000,-1794000,74236000,171239000,0,176567000,0.59652,0.26129,0.1693,0.09654,0.0784,1.74644,6.02253,0.23139,0,0.50537,0.49618,2.98496,5.23481,0.8826,0.08984,0.1569,-2.75937,-3.02835
"5","2014_Q2",91.8673015873016,"Up",640859000,-243588000,397271000,-199709000,-183734000,-15975000,197562000,-428000,-170000,-258000,197134000,197134000,-72138000,124996000,124996000,124996000,124996000,639156000,639156000,170391000,170391000,319459000,45206000,36523000,1174212000,258021000,64612000,26541000,14005000,5191000,18875000,322633000,1496845000,209140000,104647000,33244000,71249000,209140000,87189000,15288000,71901000,87189000,296329000,454707000,751249000,-5440000,1200516000,1200516000,1496845000,124996000,15975000,-10955000,52634000,182650000,-39152000,-39152000,0,6411000,18265000,24676000,168174000,168174000,-1529000,166645000,213537000,0,299157000,0.6199,0.30828,0.19504,0.10412,0.08351,2.39333,5.61448,0.24683,0,0.62123,0.61172,3.18505,5.96654,1.4868,0.09707,0.23232,-2.99319,-3.23522
"6","2014_Q3",80.38765625,"Down",740303000,-290428000,449875000,-228415000,-210358000,-18057000,221460000,-148000,-130000,-18000.0000000001,221312000,221312000,-75504000,145808000,145808000,145808000,145808000,618841000,618841000,228850000,228850000,404194000,94056000,84675000,1345941000,284580000,77253000,36316000,14005000,7777000,19155000,361833000,1707774000,218198000,119420000,7588000,91190000,218198000,103279000,19010000,84269000,103279000,321477000,490941000,897057000,-1701000,1386297000,1386297000,1707774000,145808000,18057000,-9540000,-155489000,-1164000,-49116000,-49116000,4.65661287307739e-10,6632000,21866000,28498000,-21782000,-21782000,1467000,-20315000,239517000,-5.6843418860808e-14,110416000,0.60769,0.29915,0.19696,0.10518,0.08538,0.75727,6.16844,0.2319,0,0.71982,0.71072,3.65472,6.84385,0.5451,0.09789,0.07413,-2.5837,-2.79437
"7","2014_Q4",74.40984375,"Down",1012229000,-392731000,619498000,-276258000,-254603000,-21655000,343240000,-112000,-109000,-3000,343128000,343128000,-113485000,229643000,229643000,229643000,229643000,828341000,828341000,292812000,292812000,431564000,47512000,36722000,1600229000,321542000,85192000,42098000,14005000,9633000,19456000,406734000,2006963000,275253000,145363000,11645000,118245000,275253000,107760000,20014000,87746000,107760000,383013000,503639000,1126700000,-3942000,1623950000,1623950000,2006963000,229643000,21655000,7155000,9904000,268357000,-60636000,-60636000,0,-1955000,4424000,2469000,210190000,210190000,-690000,209500000,364895000,0,427648000,0.61201,0.33909,0.22687,0.14141,0.11442,1.86223,5.81367,0.23585,1.05879118406788e-22,1.13027,1.1143,4.98205,7.99285,2.10482,0.13261,0.24695,-2.27008,-2.4133
"8","2015_Q1",68.6096721311475,"Down",917409000,-367953000,549456000,-302218000,-278205000,-24013000,247238000,188000,9000,179000,247426000,246126000,-85073000,161053000,161053000,161053000,161053000,971194000,971194000,298006000,298006000,426938000,81031000,50492000,1777169000,350678000,89126000,48034000,14005000,3662000,23425000,439804000,2216973000,308370000,143563000,47385000,117422000,308370000,102472000,5887000,96585000,102472000,410842000,527213000,1287738000,-6373000,1806131000,1806131000,2216973000,161053000,24013000,-28360000,26451000,183157000,-64596000,-66596000,0,5512000,9945000,15457000,132018000,132018000,-3948000,128070000,271251000,-9.09494701772928e-13,318179000,0.59892,0.2695,0.17555,0.08917,0.07265,1.97562,5.76311,0.22747,0,0.79185,0.77813,4.51065,8.88025,1.5644,0.08438,0.16671,-3.58043,-3.92817
"9","2015_Q2",56.3760317460317,"Down",919154000,-347521000,571633000,-294862000,-265864000,-28998000,276771000,-769000,41000,-1153000,276002000,276002000,-88286000,187716000,187716000,187716000,187716000,1125037000,1125037000,229106000,229106000,527254000,83345000,54550000,1964742000,404018000,93599000,50602000,14005000,3662000,25330000,497617000,2462359000,322629000,140340000,63631000,118658000,322629000,110376000,3478000,106898000,110376000,433005000,559226000,1475454000,-1842000,2029354000,2029354000,2462359000,187716000,28998000,-8873000,14544000,222385000,-77691000,-77691000,20005033.5775343,4136000,18686000,22822000,167516000,167516000,3060000,170576000,305769000,0,330908000,0.62191,0.30111,0.20423,0.0925,0.07623,1.76281,6.08979,0.21337,1.6940658945086e-21,0.92131,0.90607,4.51119,9.96004,1.62409,0.08773,0.15465,-3.67937,-4.06487
"10","2015_Q3",42.30390625,"Down",1056605000,-411578000,645027000,-339469000,-305405000,-34064000,305558000,-1461000,-72000,-2395000,304097000,304097000,-97107000,206990000,206990000,206990000,206990000,1012393000,1012393000,346822000,346822000,619296000,154862000,125658000,2133373000,453836000,102221000,53278000,14005000,6423000,28515000,556057000,2689430000,325865000,179079000,19361000,127425000,325865000,118436000,3905000,114531000,118436000,444301000,586588000,1682444000,-20419000,2245129000,2245129000,2689430000,206990000,34064000,4113000,-268699000,-23532000,-91772000,-94712000,33453472.4214608,2969999.99999999,10967000,13937000,-104307000,-104307000,-8482000,-112789000,339622000,0,76258000.0000001,0.61047,0.28919,0.1959,0.0922,0.07696,0.36841,6.5468,0.1979,0,1.01235,0.99787,5.16766,10.98051,0.37296,0.08758,0.03226,-2.98094,-3.31326
