"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.4466666666667,"Up",912618000,-300597000,612021000,-442507000,-235513000,-206994000,169514000,1459000,1459000,170973000,-9242000,161731000,2879000,164610000,164610000,163115000,163115000,2316628000,1723949000,592679000,402934000,402934000,277418000,67858000,2996980000,457957000,450450000,3773348000,12672000,3658602000,92290000,4681755000,7678735000,485765000,230330000,194532000,769387000,619968000,1255152000,-19318343955.511,302260000,169920000,132340000,302260000,1557412000,9267589000,-3143924000,-4466000,6119199000,6121323000,7678735000,164610000,35269000,-161760000,50427000,88546000,-37807000,6740000,0,-32617000,42695000,118920000,-76225000,63297000,119226000,119226000,119226000,204783000,0,214524000,0.67062,0.18574,0.17873,0.02665,0.02124,1.31517,2.38774,0.25442,0,0.313,0.30391,1.75119,11.74193,0.41164,10.0954457999017,0.02539,0.0334,-11.3126,-13.66629
"2","2010_Q3",22.65046875,"Up",978300000,-318362000,659938000,-472951000,-248183000,-224768000,186987000,4065000,4065000,191052000,-2009000,189043000,-58700000,130343000,130343000,130511000,130511000,2223401000,1660086000,563315000,391545000,391545000,284360000,59568000,2899306000,466172000,512817000,3866032000,23360000,3711726000,122741000,4845021000,7744327000,541613000,243228000,244808000,679406000,544578000,1221019000,-9159747477.75549,351503000,223217000,128286000,351503000,1572522000,9363249000,-3181733000,-10667000,6170849000,6171805000,7744327000,130343000,37479000,20481000,33040000,221343000,-45350000,-28908000,-64215000,-149219000,-119705000,57742000,-177447000,-135987000,-63863000,-63863000,-63863000,224466000,0,270856000,0.67458,0.19113,0.13341,0.02115,0.01685,2.07535,2.3745,0.25479,0,0.24885,0.24202,1.86534,11.76603,0.51644,8.91757109328091,0.02001,0.04152,-9.90529,-11.89067
"3","2010_Q4",27.751875,"Up",1012407000,-334620000,677787000,-479628000,-248477000,-231151000,198159000,205000,205000,198364000,-2623000,195741000,-61404000,134337000,134337000,134543000,134543000,2099437000,1460914000,638523000,473953000,473953000,293421000,111466000,2866811000,484802000,599036000,3940248000,47629000,3759631000,132988000,5024086000,7890897000,502494000,251431000,221301000,738273000,594437000,1240767000,-3053261492.58516,333231000,190701000,142530000,333231000,1573998000,9449558000,-3137836000,4427000,6316149000,6316899000,7890897000,134337000,39618000,91765000,-134309000,131411000,-54324000,-161716000,-69118000,-285294000,-53995000,81031000,-135026000,-45289000,-199172000,-199172000,-199172000,237777000,0,110548000,0.66948,0.19573,0.13289,0.0213,0.01705,0.82166,2.31052,0.24917,0,0.25845,0.25125,1.94476,12.13288,0.21236,7.46908915998034,0.02023,0.01662,-8.82944,-10.59471
"4","2011_Q1",32.9804838709677,"Up",1189975000,-397921000,792054000,-557814000,-302827000,-254987000,234240000,4871000,4871000,239111000,-7426000,231685000,-41575000,190110000,190110000,190231000,190231000,2286401000,1811887000,474514000,596622000,596622000,331347000,169812000,3214370000,493881000,535178000,4224422000,121803000,3927807000,174812000,5253481000,8467851000,574016000,292270000,256746000,897960000,660264000,1471976000,0,387075000,224165000,162910000,387075000,1859051000,9717788000,-3108337000,-1251000,6608200000,6608800000,8467851000,190110000,42934000,75614000,62342000,3.71e+08,-47819000,223684000,-241467000,-65570000,16605000,193307000,-176702000,45578999.9999999,351009000,351009000,351009000,277174000,0,333272000,0.66561,0.19684,0.15986,0.02878,0.02247,1.75193,2.18371,0.2813,-3.46944695195361e-18,0.36344,0.34987,2.27348,12.62516,0.63673,6,0.02719,0.04764,-8.24897,-9.76093
"5","2011_Q2",29.2334920634921,"Down",1101612000,-365727000,735885000,-553194000,-291215000,-261979000,182691000,-6462000,-6462000,176229000,-5298000,170931000,-41271000,129660000,129660000,129750000,129750000,3437940000,2944383000,493557000,471012000,471012000,395475000,235443000,4304427000,516445000,645609000,4227219000,143506000,3927280000,156433000,5389273000,9693700000,480982000,228275000,227056000,922762000,733249000,1403744000,998923000,394184000,217024000,177160000,1393107000,2796851000,9998130000,-3111537000,9746000,6896339000,6896849000,9693700000,129660000,40758000,10048000,59184000,239650000,-53972000,-126679000,-28573000,-209224000,58942000,264113000,-205171000,1102070000,1132496000,1132496000,1132496000,223449000,998923000,269932000,0.66801,0.16584,0.11778,0.01881,0.01338,2.0804,3.06639,0.40553,0.10305,0.24445,0.23641,2.07542,12.99262,0.50855,4.76030361333989,0.01565,0.03256,-10.91532,-13.3505
"6","2011_Q3",19.4009375,"Down",1120544000,-398378000,722166000,-548145000,-290895000,-257250000,174021000,-13688000,-13688000,160333000,-3101000,157232000,-41714000,115518000,115518000,115560000,115560000,3469847000,2838066000,631781000,488037000,488037000,328059000,175201000,4285943000,544389000,750603000,4212182000,136736000,3927883000,147563000,5507174000,9793117000,536872000,250068000,254556000,892476000,707422000,1429348000,998960000,402879000,222802000,180077000,1401839000,2831187000,10041423000,-3090731000,10770000,6961462000,6961930000,9793117000,115518000,41891000,61814000,99084000,318307000,-61969000,-255503000,-2500000,-321208000,-110239000,39761000,-1.5e+08,-103416000,-106317000,-106317000,-106317000,215912000,998960000,294741000,0.64448,0.1553,0.10313,0.0166,0.0118,2.55055,2.99853,0.40667,0.10201,0.21685,0.2114,2.10269,13.06313,0.55308,4,0.01382,0.03524,-11.44395,-14.19879
"7","2011_Q4",17.5212698412698,"Down",1105796000,-394192000,711604000,-556484000,-299388000,-257096000,155120000,-15957000,-15957000,139163000,-18094000,121069000,-37398000,83671000,83671000,83663000,83663000,3354845000,2722449000,632396000,4.44e+08,4.44e+08,332745000,165196000,4131590000,576415000,775457000,4223630000,130034000,3928525000,165071000,5575502000,9707092000,530903000,262594000,231567000,835777000,668824000,1366680000,998997000,403231000,216968000,186263000,1402228000,2768908000,10011741000,-3068565000,-5468000,6937708000,6938184000,9707092000,83671000,43337000,59877000,-1721000,185164000,-71945000,-51183000,-28000,-123064000,-156230000,37189000,-193419000,-177717000,-115617000,-115617000,-115617000,198457000,998997000,162189000,0.64352,0.14028,0.07566,0.01206,0.00862,1.9386,3.02309,0.39908,0.10291,0.15807,0.15586,2.08922,13.10767,0.30643,4,0.01003,0.01945,-11.87082,-15.18726
"8","2012_Q1",18.0791935483871,"Up",1120748000,-421803000,698945000,-561677000,-311202000,-250475000,137268000,-10693000,-10693000,126575000,-4107000,122468000,-26317000,96151000,96151000,96127000,96127000,3551700000,2910400000,641300000,577400000,577400000,310600000,156300000,4439700000,598600000,740700000,4204800000,123100000,3928100000,153600000,5544100000,9983800000,588700000,324900000,251300000,8.78e+08,712600000,1466700000,9.99e+08,428400000,254400000,1.74e+08,1427400000,2894100000,10079200000,-2972400000,-17600000,7089200000,7089700000,9983800000,96151000,44014000,79161000,24253000,243579000,-78414000,24365000,400999.999999996,-53704000,5827000,5837000.00000001,-10000,-1937000,187938000,187938000,187938000,181282000,9.99e+08,153438000,0.62364,0.12248,0.08577,0.01356,0.00963,1.5962,3.027,0.40821,0.10006,0.18268,0.18024,2.12983,13.47203,0.29159,5,0.01129,0.01802,-14.08138,-18.59647
"9","2012_Q2",15.1928571428571,"Down",1032500000,-398400000,634100000,-5.82e+08,-312400000,-269600000,52100000,-24400000,-24400000,27700000,-4400000,23300000,-7e+06,16300000,16300000,16300000,16300000,3430498000,2913095000,517403000,450987000,450987000,349533000,181319000,4231018000,647414000,785285000,4281306000,152541000,3987707000,141058000,5714005000,9945023000,436525000,195420000,238539000,924231000,760621000,1360756000,999071000,412237000,238964000,173273000,1411308000,2772064000,10147790000,-2974595000,-712000,7172483000,7172959000,9945023000,16300000,43400000,6.3e+07,-20400000,102300000,-8.2e+07,79200000,-90500000,-93300000,-18300000,37800000,-56100000,-6300000,2700000,2700000,2700000,95500000,999071000,1e+05,0.61414,0.05046,0.01579,0.00227,0.00164,0.00613,3.10931,0.38646,0.10046,0.03092,0.03054,1.95846,13.60486,0.00019,6,0.0019,1e-05,-25.45997,-46.66846
"10","2012_Q3",14.2653968253968,"Down",1073800000,-405900000,667900000,-5.77e+08,-308300000,-268700000,90900000,2799999.99999999,2799999.99999999,93700000,-4200000,89500000,-31800000,57700000,57700000,57700000,57700000,3438817000,3044310000,394507000,406756000,406756000,384183000,206771000,4229756000,711953000,832966000,4271606000,143774000,3987707000,140125000,5816525000,10046281000,499612000,199563000,275107000,953652000,773275000,1453264000,999108000,384986000,219617000,165369000,1384094000,2837358000,10154462000,-2937653000,-8362000,7208447000,7208923000,10046281000,57700000,46500000,38700000,69200000,212100000,-87700000,87800000,0,-4e+05,-8.2e+07,1.2e+07,-9.4e+07,-80500000,131200000,131200000,131200000,137400000,999108000,150700000,0.622,0.08465,0.05373,0.008,0.00574,2.61179,2.91052,0.39359,0.09945,0.10932,0.1085,2.03448,13.65754,0.28552,5,0.00671,0.01754,-17.75625,-26.83948
