"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","loans_mortgages","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","premium_reserve_unearned","life_policy_benefits","other_insurance_reserves","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","change_in_insurance_reserves","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.4836507936508,"Up",6.257e+09,3.527e+09,1.76e+09,9.7e+08,1.18e+09,-2.74e+08,6.4e+07,-3.834e+09,-1.768e+09,6.55e+08,-1.2e+08,-1.2e+08,5.35e+08,5.35e+08,-2.16e+08,3.19e+08,3.19e+08,3.19e+08,-1.64e+08,1.27351e+11,8.4129e+10,7.339e+09,3.3206e+10,2.677e+09,2.079e+09,3.402e+09,1.032e+09,1.027e+10,1.73148e+11,3.17282e+11,1.22258e+11,5.293e+09,5.0017e+10,4.5388e+10,6.597e+09,1.69478e+11,2.99442e+11,1.048e+10,5e+06,1.0475e+10,-1.825e+09,1.1006e+10,-2.377e+09,1.784e+10,1.784e+10,3.17282e+11,3.19e+08,1.44e+08,6.48e+08,-6.23e+08,4.88e+08,3.8e+08,-2.81e+08,9.9e+07,-8.4e+07,7.2e+08,-1.236e+09,-1.46e+08,9.4e+07,-6.52e+08,-6.5e+07,-6.5e+07,2e+06,-6.3e+07,7.99e+08,7.706e+09,0.10468,-0.02621,-0.00919,-0.00052,16.78487,0.02429,-0.41656,-0.41656,15.89281,43.90145,0.21336,-0.00025,-0.5122,7.04255,8.59084
"2","2010_Q3",17.40484375,"Down",3.26e+09,3.506e+09,-1.506e+09,1.26e+09,1.186e+09,9e+06,6.5e+07,-9.43e+08,-2.04e+09,2.77e+08,-1.32e+08,-1.32e+08,1.45e+08,1.45e+08,3.1e+07,1.76e+08,75999999.9999999,75999999.9999999,65000000.0000001,1.28071e+11,8.5863e+10,6.855e+09,3.1286e+10,4.067e+09,2.998e+09,3.371e+09,1.15e+09,9.689e+09,1.68871e+11,3.1415e+11,1.21854e+11,5.291e+09,4.869e+10,4.6394e+10,6.6e+09,1.66353e+11,2.95259e+11,1.0475e+10,5e+06,1.047e+10,-1.81e+09,1.1049e+10,-1.379e+09,1.8891e+10,1.8891e+10,3.1415e+11,75999999.9999999,1.71e+08,-1.05e+09,1.515e+09,7.12e+08,4.71e+08,1.03e+09,1.501e+09,-2e+07,-6.57e+08,5999999.99999976,-4.627e+09,3.983e+09,-1.315e+09,8.98e+08,8.98e+08,2.1e+07,918999999.999999,4.48e+08,7.052e+09,0.08497,0.01994,0.00344,0.00021,15.62961,0.02245,0.14643,0.13536,7.344,41.30435,0.04506,0.00027,0.30769,9.04911,14.63538
"3","2010_Q4",19.41140625,"Up",6.602e+09,3.513e+09,2.116e+09,9.73e+08,1.164e+09,-2.57e+08,6.6e+07,-4.08e+09,-1.477e+09,1.045e+09,-1.28e+08,-1.28e+08,9.17e+08,9.17e+08,-2.52e+08,6.65e+08,6.66e+08,6.66e+08,6.56e+08,1.3359e+11,8.9817e+10,6.864e+09,3.3663e+10,3.246e+09,1.707e+09,3.37e+09,1.143e+09,9.386e+09,1.6473e+11,3.13926e+11,1.23545e+11,5.296e+09,7.236e+10,4.5889e+10,6.603e+09,1.62485e+11,2.93017e+11,1.046e+10,5e+06,1.0455e+10,-1.789e+09,1.1488e+10,1.94e+08,2.0909e+10,2.0909e+10,3.13926e+11,6.66e+08,1.34e+08,3.201e+09,-2.956e+09,1.045e+09,-1.427e+09,-4.59e+08,-1.886e+09,-3.3e+07,-6.8e+07,3e+06,-2.195e+09,1.865e+09,-4.28e+08,-1.269e+09,-1.269e+09,-2.2e+07,-1.291e+09,1.179e+09,6.987e+09,0.15829,0.09936,0.03137,0.00209,14.01392,0.02226,1.47714,1.32445,14.86602,45.82977,0.07431,0.00219,0.0503,4.47837,5.05263
"4","2011_Q1",22.1720967741935,"Up",5.93e+09,3.509e+09,1.22e+09,1.201e+09,1.218e+09,-88999999.9999999,7.2e+07,-3.394e+09,-1.733e+09,8.03e+08,-1.28e+08,-1.28e+08,6.75e+08,6.75e+08,-1.35e+08,5.4e+08,5.75e+08,5.75e+08,5.64e+08,1.30995e+11,8.6997e+10,6.67e+09,3.3793e+10,3.535e+09,2.062e+09,3.273e+09,1.15e+09,9.857e+09,1.71009e+11,3.18346e+11,1.22117e+11,5.176e+09,7.2391e+10,4.455e+10,6.207e+09,1.68929e+11,2.98035e+11,1.0453e+10,5e+06,1.0448e+10,-1.774e+09,1.2077e+10,-1.001e+09,2.0311e+10,2.0311e+10,3.18346e+11,5.75e+08,1.47e+08,4.21e+08,-7.9e+07,1.064e+09,7.54e+08,-9.02e+08,-1.48e+08,-3.3e+07,-2000000.00000006,8e+06,-2.906e+09,2.373e+09,-5.6e+08,3.56e+08,3.56e+08,-999999.999999993,3.55e+08,9.5e+08,6.989e+09,0.13541,0.09511,0.02777,0.00177,14.67358,0.02195,1.26941,1.01293,13.34684,44.4632,0.07427,0.00188,0.05851,5.18632,6.13574
"5","2011_Q2",20.9885714285714,"Down",6.3e+09,3.519e+09,1.911e+09,8.7e+08,1.209e+09,-4.03e+08,6.4e+07,-3.981e+09,-1.804e+09,5.15e+08,-1.28e+08,-1.28e+08,3.87e+08,3.87e+08,-4.8e+07,3.39e+08,5.01e+08,5.01e+08,4.91e+08,1.29689e+11,8.6828e+10,6.917e+09,3.3332e+10,2.612e+09,2.317e+09,3.396e+09,1.132e+09,9.843e+09,1.76161e+11,3.22538e+11,1.20922e+11,5.314e+09,7.1717e+10,4.3891e+10,6.21e+09,1.73625e+11,3.01539e+11,1.0396e+10,5e+06,1.0391e+10,-1.722e+09,1.2533e+10,-7.64e+08,2.0999e+10,2.0999e+10,3.22538e+11,5.01e+08,1.28e+08,-1.65e+08,1e+07,4.74e+08,8.1e+08,-5.56e+08,2.54e+08,-3e+07,-72091041.3915614,-2e+06,-2.836e+09,2.417e+09,-4.51e+08,2.77e+08,2.77e+08,-2.2e+07,2.55e+08,6.43e+08,6.992e+09,0.08175,0.07794,0.02338,0.00152,14.35968,0.02168,1.10436,0.96616,14.17004,45.98066,0.06748,0.00162,0.0611,7.27061,9.07767
"6","2011_Q3",16.19359375,"Down",5.401e+09,3.545e+09,5.07e+08,1.349e+09,1.219e+09,68999999.9999999,6.1e+07,-3.379e+09,-2.044e+09,-2.2e+07,-1.28e+08,-1.28e+08,-1.5e+08,-1.5e+08,2.63e+08,1.13e+08,33000000.0000001,33000000.0000001,22000000.0000001,1.32072e+11,8.822e+10,7.492e+09,3.3359e+10,3.001e+09,1.898e+09,3.418e+09,1.02e+09,9.584e+09,1.69477e+11,3.17469e+11,1.21809e+11,5.315e+09,7.2421e+10,4.4073e+10,6.214e+09,1.67003e+11,2.95794e+11,1.0398e+10,5e+06,1.0393e+10,-1.705e+09,1.2503e+10,-7.7e+07,2.1675e+10,2.1675e+10,3.17469e+11,33000000.0000001,2.56e+08,1.47e+08,5.4e+07,4.9e+08,-4.04e+08,-6.57e+08,-1.061e+09,-5.5e+07,-1.4e+07,4e+06,-3.025e+09,3.222e+09,1.32e+08,-4.39e+08,-4.39e+08,2e+07,-4.19e+08,2.34e+08,6.982e+09,-0.00407,0.00407,0.00101,7e-05,13.64678,0.02199,0.0494300000000001,0.0456100000000002,12.13435,47.44776,0.12357,0.00024,2.5,21.7265,-231.09091
"7","2011_Q4",13.9255555555556,"Down",4.52e+09,3.518e+09,-8.28e+08,1.83e+09,1.192e+09,5.75e+08,6.3e+07,-2.117e+09,-2.292e+09,1.11e+08,-1.28e+08,-1.28e+08,-1.7e+07,-1.7e+07,7.4e+07,5.7e+07,6e+07,6e+07,5e+07,1.36178e+11,9.129e+10,7.766e+09,3.1759e+10,5.363e+09,2.589e+09,3.525e+09,1.029e+09,8.729e+09,1.53548e+11,3.05598e+11,1.23045e+11,5.409e+09,7.1768e+10,4.5868e+10,6.217e+09,1.52806e+11,2.82817e+11,1.04e+10,5e+06,1.0395e+10,-1.687e+09,1.2447e+10,1.065e+09,2.2781e+10,2.2781e+10,3.05598e+11,6e+07,1.48e+08,-9.48e+08,1.4e+09,6.6e+08,-1.123e+09,1.034e+09,-8.9e+07,-5.4e+07,-1.9e+07,4e+06,-1.843e+09,1.992e+09,8e+07,6.51e+08,6.51e+08,4e+07,6.91e+08,2.59e+08,6.966e+09,0.02456,0.01106,0.00219,0.00016,12.4146,0.02279,0.11228,0.10562,10.15046,49.91017,0.12127,0.00034,1.08,16.89961,39.43243
"8","2012_Q1",15.7864516129032,"Up",5.512e+09,3.506e+09,1.328e+09,6.78e+08,1.08e+09,-4.67e+08,6.5e+07,-3.805e+09,-1.573e+09,1.34e+08,-1.24e+08,-1.24e+08,9999999.99999997,-2e+07,8.4e+07,6.4e+07,1.18e+08,1.18e+08,1.07e+08,1.34948e+11,9.0873e+10,7.729e+09,3.142e+10,4.926e+09,2.581e+09,3.446e+09,1.029e+09,6.556e+09,1.54049e+11,3.02609e+11,1.22311e+11,5.222e+09,7.1477e+10,4.5612e+10,6.216e+09,1.52282e+11,2.81123e+11,1.0396e+10,5e+06,1.0391e+10,-1.718e+09,1.1001e+10,1.251e+09,2.1486e+10,2.1486e+10,3.02609e+11,1.18e+08,1.36e+08,5.17e+08,-1.21e+08,6.5e+08,1.207e+09,-1.493e+09,-2.86e+08,-5.6e+07,-4.4e+08,-4.2e+07,-1.787e+09,1.955e+09,-3.7e+08,-6e+06,-6000000.00000024,-2e+06,-8e+06,2.7e+08,6.53e+09,0.02431,0.01941,0.00498,0.00035,13.08401,0.02158,0.24045,0.23884,12.38652,47.03371,0.12584,0.00054,0.52336,14.62593,29.47015
"9","2012_Q2",15.057619047619,"Down",7.661e+09,3.442e+09,3.936e+09,2.83e+08,1.134e+09,-9.1e+08,5.9e+07,-5.902e+09,-1.633e+09,1.26e+08,-1.24e+08,-1.24e+08,2e+06,2e+06,9.5e+07,9.7e+07,9.6e+07,9.6e+07,8.6e+07,1.336e+11,8.9704e+10,8.245e+09,3.166e+10,3.991e+09,2.059e+09,3.565e+09,1.017e+09,6.577e+09,1.6373e+11,3.10548e+11,1.20614e+11,5.325e+09,7.1209e+10,4.408e+10,6.22e+09,1.6213e+11,2.89274e+11,1.0036e+10,5e+06,1.0031e+10,-1.688e+09,1.1042e+10,1.328e+09,2.1274e+10,2.1274e+10,3.10548e+11,9.6e+07,9.8e+07,1.536e+09,-5.9e+08,1.14e+09,1.559e+09,-2.926e+09,-1.367e+09,-5.5e+07,-4e+06,-5.2e+07,-2.34e+09,2.218e+09,-2.33e+08,-4.6e+08,-4.6e+08,-6.2e+07,-5.22e+08,2.24e+08,6.53e+09,0.01645,0.01123,0.00404,0.00028,13.59754,0.02103,0.19514,0.18337,17.38371,47.01157,0.1248,0.00045,0.63953,19.95982,35.48413
"10","2012_Q3",14.448253968254,"Down",4.429e+09,3.4e+09,-6.76e+08,1.705e+09,1.095e+09,5.49e+08,6.1e+07,-1.853e+09,-1.846e+09,7.3e+08,-1.15e+08,-1.15e+08,6.15e+08,-2.95e+08,1.5e+08,-1.45e+08,-1.01e+08,-1.01e+08,-1.12e+08,1.34935e+11,9.1546e+10,8.831e+09,3.0066e+10,4.492e+09,2.338e+09,3.537e+09,1.001e+09,6.336e+09,1.5583e+11,3.03977e+11,1.19446e+11,5.278e+09,7.0154e+10,4.4014e+10,7.125e+09,1.55191e+11,2.82016e+11,1.0042e+10,5e+06,1.0037e+10,-1.78e+09,1.0887e+10,2.256e+09,2.1961e+10,2.1961e+10,3.03977e+11,-1.01e+08,1.52e+08,-1.054e+09,1.099e+09,9.6e+07,-5e+08,3.16e+08,-1.84e+08,-5.5e+07,-6.6e+07,-4.01e+08,-3.536e+09,4.4e+09,3.42e+08,2.54e+08,2.54e+08,2.5e+07,2.79e+08,8.82e+08,7.379e+09,0.16482,-0.02529,-0.0051,-0.00037,12.84167,0.02427,-0.25559,-0.25559,10.10726,48.84756,0.12551,-0.00019,-0.491069999999999,5.71542,6.90548
