"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2014_Q2",47.8304761904762,"Up",4379900000,-3632100000,747800000,-3.42e+08,-1.45e+08,-52700000,-144300000,405800000,4400000,5800000,-1400000,410200000,-3700000,406500000,-132600000,273900000,273900000,273900000,273900000,20774594706.9486,14008064364.8884,6766530342.06017,-4956481134.89748,-4956481134.89748,2567098937.86753,-61877655.9750142,-61877655.9750142,18323334853.9436,15486103401.5505,20461927004.6355,20461927004.6355,35948030406.1861,54271365260.1297,4734861316.76646,4734861316.27183,11814836739.3843,11814836739.3843,42818953922.798,-7525689551.86532,176152112.644832,339148883.802935,-162996771.158103,-7349537439.22049,35469416483.5775,1179183063.31075,7054974361.84175,10481718939.1717,18801948776.5522,18801948776.5522,54271365260.1297,273900000,-5.6e+07,-1.52e+08,285700000,3100000,83400000,-80300000,-80300000,12800000,-191500000,-175600000,-389700000,-1.9e+08,11600000,-568100000,-4.58e+08,-4.58e+08,-2200000,-460200000,0,0.17073,0.09265,0.06254,0.321876253129016,0.107869164024869,-2.11308890431618,1.68968930358005,0.256145959201807,0.77177,0.76938,12.34122,52.868254543776,1.09806,-0.864061816791513,1.42278,-44.1160480882214
"2","2014_Q3",46.843125,"Down",4569600000,-3753100000,816500000,-337900000,-139600000,-49900000,-148400000,478600000,6400000,5500000,900000.000000002,4.85e+08,-4e+06,4.81e+08,-161800000,319200000,319200000,319200000,319200000,10810747353.4743,7152582182.44421,3658165171.03008,-1783290567.44874,-1783290567.44874,1676299468.93377,86461172.0124929,86461172.0124929,10790217426.9718,10052401700.7753,14383963502.3178,14383963502.3178,24436365203.093,35226582630.0648,3309630658.38323,3309630658.13592,6234768369.69214,6234768369.69214,22682726961.399,-361744775.932658,987626056.322416,652874441.901467,334751614.420948,625881280.389758,23308608241.7888,818141531.655376,6717187180.92088,4418209469.58583,11917974388.2761,11917974388.2761,35226582630.0648,319200000,80900000.0000001,-72700000,555100000,26700000,104400000,-77700000,-77700000,-82600000,-421700000,-477600000,-78099999.9999999,78800000,1700000,2400000.00000024,79900000,79900000,10500000,90400000,4.76837158203125e-07,0.17868,0.10474,0.06985,0.174333126564508,0.0578845820124346,-0.535349452158088,1.92416965179003,0.336192979600903,0.8989,0.89562,12.86849,33.568232271888,0.21994,-0.370875908395757,0.24467,-13.9303440441107
"3","2014_Q4",48.82359375,"Up",4928400000,-4038900000,889500000,-334500000,-136700000,-50500000,-147300000,5.55e+08,2200000,5700000,-3500000,557200000,-4800000,552400000,-1.81e+08,371400000,371400000,371400000,371400000,5285815784.49143,3331327394.14807,1954488390.34336,117869810.85042,117869810.85042,1162533156.31126,204820390.670831,204820390.670831,6771039142.32394,6944000566.92509,11082187834.1059,11082187834.1059,18026188401.031,24797227543.3549,2723910219.46108,2723910219.37864,2923889456.56405,2923889456.56405,11427308987.133,3738918408.02245,1439142018.77414,831158147.300489,607983871.47365,5178060426.79659,16605369413.9296,609347177.218459,6684162393.64029,964869823.195276,8191858129.42536,8191858129.42536,24797227543.3549,371400000,-221500000,380800000,760800000,31800000,102200000,-70400000,-70400000,-58100000,-402800000,-429100000,-7.8e+07,90300000,3100000,-10100000,321600000,321600000,-53500000,268100000,0,0.18048,0.11261,0.07536,0.0921343755215027,0.0302548606708116,0.375283515947304,2.03335655059668,0.380530993200301,1.04531,1.04267,13.87109,23.1007540906293,0.21953,-0.0924486361319189,0.21002,2.50902198529644
"4","2015_Q1",48.7931147540984,"Down",5119100000,-4191200000,927900000,-351100000,-140100000,-62500000,-148500000,576800000,3800000,5300000,-1500000,580600000,-2900000,577700000,-183400000,394300000,394300000,394300000,394300000,3009600000,1737600000,1.272e+09,1047100000,1047100000,925700000,290500000,290500000,5272900000,5553800000,9792100000,9792100000,15345900000,20618800000,2681700000,2681700000,1325300000,1325300000,6648900000,5588700000,1.628e+09,909200000,718800000,7216700000,13865600000,511900000,6863800000,-579800000,6753200000,6753200000,20618800000,394300000,-292600000,180200000,5.22e+08,35700000,105500000,-69800000,-69800000,3300000,-488600000,-449600000,-7.8e+07,137800000,12700000,55300000,127700000,127700000,-38500000,89200000,8230600000,0.18126,0.11268,0.07703,0.05839,0.01912,0.79305,2.05319,0.39918,1.11164,1.10821,14.4322,19.03919,0.2199,0.02843,0.19782,9.05166
"5","2015_Q2",49.7514285714286,"Up",4832700000,-3939300000,893400000,-329600000,-1.33e+08,-56200000,-140400000,563800000,6e+05,5100000,-4500000,564400000,-2700000,561700000,-183300000,378400000,378400000,378400000,378400000,2791900000,1564700000,1227200000,1304500000,1304500000,865700000,340800000,340800000,5302900000,5274700000,9749200000,9749200000,15023900000,20326800000,2.887e+09,2.887e+09,882100000,882100000,5943700000,6e+09,1651500000,922200000,729300000,7651500000,13595200000,484900000,7.164e+09,-917300000,6731600000,6731600000,20326800000,378400000,-224700000,101400000,476200000,68200000,1.23e+08,-54800000,-54800000,-45800000,-354600000,-332200000,-432400000,186200000,6300000,-239900000,-95900000,-95900000,-7.7e+07,-172900000,8174600000,0.18487,0.11666,0.0783,0.05621,0.01862,0.89219,2.01961,0.40216,1.06562,1.06262,13.60941,18.95691,1.21769,0.04897,1.14271,9.54718
"6","2015_Q3",46.84796875,"Down",5079900000,-4090800000,989100000,-337300000,-132100000,-59300000,-145900000,651800000,4e+06,5300000,-1300000,655800000,-3600000,652200000,-2.05e+08,447200000,447200000,447200000,447200000,3360400000,1963100000,1397300000,1228100000,1228100000,888200000,363400000,363400000,5840100000,5455900000,10119300000,10119300000,15575200000,21415300000,3042900000,3042900000,961400000,961400000,6660700000,5914200000,1621800000,911600000,710200000,7.536e+09,14196700000,495100000,7533100000,-809600000,7218600000,7218600000,21415300000,447200000,-189900000,226300000,710900000,73500000,118100000,-44600000,-44600000,-148600000,-507400000,-582500000,-78100000.0000001,316900000,6400000,245200000,373600000,373600000,24800000,398400000,8570600000,0.19471,0.12831,0.08803,0.06195,0.02088,0.8768,1.96668,0.40021,1.25865,1.25512,14.2975,20.31692,0.21981,0.03017,0.17464,7.99356
"7","2015_Q4",39.7734375,"Down",4847200000,-3880500000,966700000,-341100000,-1.31e+08,-57600000,-152500000,625600000,1300000,6200000,-4900000,626900000,-2400000,624500000,-193300000,431200000,431200000,431200000,431200000,3524900000,2126100000,1398800000,1.118e+09,1.118e+09,893100000,355600000,355600000,5891600000,5490300000,10137900000,10137900000,15628200000,21519800000,2853400000,2853400000,1006300000,1006300000,6396100000,6143700000,1636200000,912600000,723600000,7779900000,1.4176e+10,501600000,7.879e+09,-958200000,7343800000,7343800000,21519800000,431200000,3200000,-1200000,664100000,10900000,9.9e+07,-88100000,-88100000,-21700000,-476200000,-4.87e+08,-85200000,1.72e+08,3500000,19600000,196700000,196700000,-33700000,1.63e+08,8680100000,0.19943,0.12906,0.08896,0.05872,0.02004,0.92112,1.93034,0.40335,1.21499,1.21158,13.65793,20.69259,0.24007,0.02924,0.19759,8.24041
"8","2016_Q1",40.2727868852459,"Up",4355300000,-3499500000,855800000,-3.57e+08,-145400000,-66700000,-144900000,498800000,3600000,5200000,-1600000,502400000,-3700000.00000003,498700000,-151500000,347200000,347200000,347200000,347200000,3464500000,2016400000,1448100000,8.79e+08,8.79e+08,796500000,245700000,245700000,5385700000,5549400000,10174700000,10174700000,15724100000,21109800000,2428600000,2428600000,1.54e+09,1.54e+09,6765100000,5.795e+09,1609300000,889100000,720200000,7404300000,14169400000,420600000,7536800000,-1.017e+09,6940400000,6940400000,21109800000,347200000,72299999.9999999,57500000,704800000,9500000.00000001,108700000,-99200000,-99200000,-78200000,-504500000,-573200000,-84800000,-11300000,5600000,-221400000,-89800000,-89800000,-19900000,-109700000,8591500000,0.1965,0.11453,0.07972,0.05003,0.01645,0.7961,2.04158,0.40699,0.98329,0.98051,12.33447,19.65562,0.24016,0.0252,0.24424,10.27867
"9","2016_Q2",44.39734375,"Up",4.3e+09,-3443900000,856100000,-345300000,-134800000,-59600000,-150900000,510800000,5600000,5700000,-1e+05,516400000,-9.46e+08,-429600000,-1.65e+08,-594600000,-594600000,-594600000,-594600000,3313400000,1847300000,1466100000,1066100000,1066100000,829100000,266300000,266300000,5474900000,5707700000,10174300000,10174300000,1.5882e+10,21356900000,2712600000,2712600000,2.069e+09,2.069e+09,7536300000,5822600000,1654800000,907100000,747700000,7477400000,15013700000,4.31e+08,6857700000,-889200000,6343200000,6343200000,21356900000,-594600000,1051500000,96400000,795800000,38800000,116100000,-77300000,-77300000,1.4e+07,-3.45e+08,-292200000,-576900000,-92300000,2600000,-722900000,-219300000,-219300000,50200000,-169100000,8577300000,0.19909,0.11879,-0.13828,-0.09374,-0.02784,0.72647,2.3669,0.40162,-1.69257,-1.69257,12.24025,18.05636,1.64219,-0.00107,-0.97023,10.30521
"10","2016_Q3",46.1515625,"Up",4413200000,-3.522e+09,891200000,-352500000,-135300000,-60800000,-156400000,538700000,3900000,6400000,-2500000,542600000,103600000,646200000,-164900000,481300000,481300000,481300000,481300000,3491200000,2064900000,1426300000,1070200000,1070200000,824900000,245700000,245700000,5.632e+09,5.753e+09,10042200000,10042200000,15795200000,21427200000,2714200000,2714200000,1935500000,1935500000,7.076e+09,6018100000,1623400000,906800000,716600000,7641500000,14717500000,438300000,7254800000,-927100000,6709700000,6709700000,21427200000,481300000,37500000,81900000,853600000,27400000,102100000,-74700000,-74700000,14500000,-535800000,-493900000,-84099999.9999999,-39600000,4800000,-118900000,240800000,240800000,-23200000,217600000,8444400000,0.20194,0.12207,0.10906,0.07173,0.02246,0.79593,2.19347,0.3941,1.37162,1.37162,12.5768,19.1214,0.23967,0.0337,0.17474,9.19473
"11","2016_Q4",49.184126984127,"Up",4249400000,-3403700000,845700000,-352600000,-130800000,-59200000,-162600000,493100000,6900000,8500000,-1600000,5e+08,-5100000,494900000,-148700000,346200000,346200000,346200000,346200000,2866800000,1787900000,1078900000,1025900000,1025900000,824100000,218300000,218300000,4935100000,5919900000,10113900000,10113900000,16033800000,20968900000,2670800000,2670800000,1120600000,1120600000,6307400000,6014300000,1.669e+09,931600000,737400000,7683300000,13990700000,444500000,7516700000,-926700000,6978200000,6978200000,20968900000,346200000,-819900000,64600000,-158900000,12700000,102700000,-9e+07,-9e+07,342200000,-490200000,-135300000,-84200000,90100000,3900000,9800000,-284400000,-284400000,7400000,-2.77e+08,8530300000,0.19902,0.11604,0.08147,0.04961,0.01651,0.78243,2.00492,0.40681,0.98604,0.98018,12.1031,19.87525,0.23982,0.02506,0.24321,11.4855
"12","2017_Q1",55.551935483871,"Up",4070700000,-3291200000,779500000,-374800000,-141900000,-67600000,-165300000,404700000,18100000,7e+06,11100000,422800000,-3900000,418900000,-130100000,288800000,288800000,288800000,288800000,3056600000,1915700000,1140900000,862200000,862200000,727800000,225600000,225600000,4872200000,5897800000,9868900000,9868900000,15766700000,20638900000,2429100000,2429100000,1.283e+09,1.283e+09,6159600000,6027700000,1.674e+09,934900000,739100000,7701700000,13861300000,420800000,7484900000,-1128100000,6777600000,6777600000,20638900000,288800000,142500000,131500000,810300000,-20300000,112900000,-133200000,-133200000,-97800000.0000001,-524800000,-642900000,-84100000,88700000,18100000,8500000.00000003,175900000,175900000,-48100000,127800000,8475200000,0.19149,0.09942,0.07095,0.04261,0.01399,0.79099,2.04516,0.41064,0.82256,0.82092,11.59413,19.3039,0.23953,0.02203,0.2912,13.38918
"13","2017_Q2",53.4747619047619,"Down",4237900000,-3.425e+09,812900000,-380900000,-140200000,-6.1e+07,-179700000,4.32e+08,22100000,8100000,1.4e+07,454100000,-5900000,448200000,-137900000,310300000,310300000,310300000,310300000,2970800000,1764400000,1206400000,1145600000,1145600000,772200000,223900000,223900000,5112500000,5989700000,9937500000,9937500000,15927200000,21039700000,2777300000,2777300000,1136500000,1136500000,6429900000,5849400000,1681100000,933100000,7.48e+08,7530500000,13960400000,446400000,7690900000,-1.058e+09,7079300000,7079300000,21039700000,310300000,-36400000,77400000,610500000,28100000,120800000,-92700000,-92700000,-60300000,-304800000,-3.37e+08,-294700000,-168800000,17800000,-445700000,-172200000,-172200000,20900000,-151300000,8365500000,0.19182,0.10194,0.07322,0.04383,0.01475,0.79511,1.972,0.39761,0.88254,0.87978,12.05319,20.13453,0.83817,0.03533,0.94973,12.48773
"14","2017_Q3",56.0468253968254,"Up",4704200000,-3801400000,902800000,-377600000,-138700000,-66100000,-172800000,525200000,20600000,8700000,11900000,545800000,-6800000,5.39e+08,-1.66e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3124400000,1879800000,1244600000,1.281e+09,1.281e+09,885300000,269900000,269900000,5560600000,6315600000,10177100000,10177100000,16492700000,22053300000,3016200000,3016200000,1272500000,1272500000,7177600000,5655200000,1.72e+09,949300000,770700000,7375200000,14552800000,449800000,7975900000,-925200000,7500500000,7500500000,22053300000,3.73e+08,-40300000,-2.7e+07,574700000,27800000,123400000,-95600000,-95600000,-1.6e+07,-445100000,-433300000,-87800000,24700000.0000001,1e+06,-62100000.0000001,79300000,79300000,36100000,115400000,8544100000,0.19191,0.11164,0.07929,0.04973,0.01691,0.77472,1.94024,0.38743,1.06026,1.05756,13.3718,21.32035,0.24957,0.02594,0.23539,10.31931
"15","2017_Q4",59.1784126984127,"Up",5059700000,-4093900000,965800000,-398100000,-144900000,-6.7e+07,-186200000,567700000,18800000,9e+06,9800000,586500000,-4700000,581800000,-179100000,402700000,402700000,402700000,402700000,3529300000,2313300000,1.216e+09,1323800000,1323800000,9.83e+08,252400000,252400000,6088500000,6473700000,10541700000,10541700000,17015400000,23103900000,3233900000,3233900000,1319300000,1319300000,7418300000,5966900000,1783100000,977800000,805300000,7.75e+09,15168300000,461100000,8290700000,-816200000,7935600000,7935600000,23103900000,402700000,-144300000,92800000,637300000,5200000,112800000,-107600000,-107600000,41500000,-415900000,-369200000,-87900000,2.17e+08,9400000,138500000,406600000,406600000,26900000,433500000,8.832e+09,0.19088,0.1122,0.07959,0.05075,0.01743,0.82074,1.91142,0.38227,1.14501,1.14079,14.38641,22.56355,0.24993,0.02645,0.21828,9.34067
"16","2018_Q1",60.22,"Up",5454600000,-4458200000,996400000,-407400000,-1.48e+08,-70600000,-188800000,5.89e+08,20200000,9500000,10700000,609200000,-4900000,604300000,-15100000,589200000,589200000,589200000,589200000,3731800000,2364700000,1367100000,1127900000,1127900000,928400000,404400000,404400000,6192500000,6606400000,10641300000,10641300000,17247700000,23440200000,3035700000,3035700000,1761100000,1761100000,7730700000,5945500000,1713500000,773700000,939800000,7.659e+09,15389700000,4.75e+08,8369100000,-793600000,8050500000,8050500000,23440200000,589200000,-229600000,240500000,893300000,-13800000,113700000,-127500000,-127500000,-1.56e+08,-655300000,-825100000,-87900000,52300000,11100000,-24500000,43700000,43700000,7700000,51400000,8879400000,0.18267,0.10798,0.10802,0.07319,0.02514,0.80103,1.91165,0.37881,1.67149,1.66818,15.47404,22.8383,0.24936,0.03632,0.14919,8.73956
"17","2018_Q2",55.249375,"Down",5.654e+09,-4576800000,1077200000,-430600000,-168200000,-7.6e+07,-186400000,646600000,28700000,1e+07,18700000,675300000,-5900000,669400000,-157300000,512100000,512100000,512100000,512100000,3550600000,2504100000,1046500000,1468800000,1468800000,1068300000,396600000,396600000,6484300000,5974500000,11322900000,11322900000,17297400000,23781700000,3529900000,3529900000,686800000,686800000,7450900000,5895800000,1867700000,7.3e+08,1137700000,7763500000,15214400000,492200000,8810100000,-718300000,8567300000,8567300000,23781700000,512100000,-350400000,90100000,525300000,31600000,1.3e+08,-98400000,-98400000,320100000,-407800000,-56100000,-510100000,174800000,9500000,-339300000,129900000,129900000,9500000,139400000,9.13e+09,0.19052,0.11436,0.09057,0.05977,0.02153,0.87027,1.77587,0.38391,1.45277,1.44866,16.03972,24.3044,1.44709,0.05225,0.99609,8.62883
"18","2018_Q3",56.6609523809524,"Up",5805200000,-4.693e+09,1112200000,-4.19e+08,-156800000,-76700000,-185500000,693200000,3.1e+07,14600000,16400000,724200000,-4600000,719600000,-1.6e+08,559600000,559600000,559600000,559600000,3540100000,2506800000,1033300000,1546900000,1546900000,1258500000,492900000,492900000,6838400000,5889800000,11427600000,11427600000,17317400000,24155800000,3613100000,3613100000,758200000,758200000,7501900000,6077100000,1797400000,682100000,1115300000,7874500000,15376400000,4.96e+08,9271300000,-893700000,8779400000,8779400000,24155800000,559600000,4.3e+07,-197700000,673200000,55100000.0000001,178300000,-123200000,-123200000,-3199999.99999994,-7.41e+08,-689100000,-98399999.9999999,238400000,1400000,60700000.0000001,44800000,44800000,-42100000,2700000,9207700000,0.19159,0.11941,0.0964,0.06374,0.02317,0.91156,1.75142,0.38118,1.59113,1.58752,16.50611,24.96275,0.27978,0.03326,0.17584,8.176
"19","2018_Q4",51.8033333333333,"Down",5756800000,-4702600000,1054200000,-404900000,-153500000,-72900000,-178500000,649300000,23800000,16400000,7400000,673100000,-4300000,668800000,-123500000,545300000,545300000,545300000,545300000,3914300000,2.914e+09,1000300000,1608600000,1608600000,1.292e+09,376800000,376800000,7191700000,5988700000,1.1923e+10,1.1923e+10,17911700000,25103400000,3764200000,3764200000,832400000,832400000,7598800000,6584700000,1748900000,695600000,1053300000,8333600000,15932400000,500800000,9718400000,-8.95e+08,9.171e+09,9.171e+09,25103400000,545300000,-127700000,58500000,728700000,69500000,182400000,-112900000,-112900000,26300000,-627100000,-531300000,-98100000,369700000,2300000,214900000,412300000,412300000,-5100000,407200000,9586900000,0.18312,0.11279,0.09472,0.05946,0.02172,0.94643,1.73726,0.3819,1.55533,1.55135,16.41985,26.15801,0.27981,0.03137,0.1799,8.73649
"20","2019_Q1",58.3750819672131,"Up",6279700000,-5139500000,1140200000,-424300000,-166200000,-80500000,-177600000,715900000,38200000,19900000,18300000,754100000,-1700000,752400000,-174300000,578100000,578100000,578100000,578100000,4456300000,3435900000,1020400000,1314400000,1314400000,1184700000,364700000,364700000,7320100000,6122500000,12039800000,12039800000,18162300000,25482400000,3550900000,3550900000,1537500000,1537500000,8629200000,6409700000,1850600000,704900000,1145700000,8260300000,16889500000,4.16e+08,9275400000,-1098500000,8592900000,8592900000,25482400000,578100000,957100001,324300000,1065100001,-3.819e+09,1.63e+08,-3.982e+09,-3.982e+09,-27600000,4687100000,-654200000,-97700000.0000001,427600000,6100000,134800000,545700001,545700001,-23800000,521900001,9950500000,0.18157,0.114,0.09206,0.06728,0.02269,0.84829,1.96552,0.39049,1.6555,1.65313,17.9831,24.60739,0.27978,0.03314,0.169,7.67454
"21","2019_Q2",62.6212698412698,"Up",6487600000,-5270500000,1217100000,-425100000,-169400000,-78300000,-177400000,7.92e+08,29600000,19300000,10300000,821600000,-2200000,819400000,-190400000,6.29e+08,6.29e+08,6.29e+08,6.29e+08,3924200000,2842600000,1081600000,1736200000,1736200000,1272600000,401700000,401700000,7334700000,6.103e+09,12719300000,12719300000,18822300000,2.6157e+10,4077700000,4077700000,813200000,813200000,8315700000,6771600000,1964200000,6.92e+08,1272200000,8735800000,17051500000,441300000,9793100000,-1095500000,9105500000,9105500000,2.6157e+10,6.29e+08,-415300000,-109800000,3.63e+08,61700000,164500000,-102800000,-102800000,-5.6e+07,-406400000,-400700000,-806100000,272800000,15900000,-550300000,-5.88e+08,-5.88e+08,-5300000,-593300000,10196400000,0.1876,0.12208,0.09695,0.06908,0.02405,0.88203,1.87266,0.38982,1.81164,1.80851,18.68548,26.22552,2.32172,0.06748,1.28156,7.91944
"22","2019_Q3",61.763125,"Down",6627900000,-5401700000,1226200000,-439400000,-173300000,-82500000,-183600000,786800000,31600000,21800000,9800000,818400000,-4e+06,814400000,-194700000,619700000,619700000,619700000,619700000,4336700000,3219400000,1117300000,1711200000,1711200000,1336600000,403700000,403700000,7788200000,6254200000,13125800000,13125800000,1.938e+10,27168200000,4073800000,4073800000,7.53e+08,7.53e+08,8726800000,6732100000,2073900000,737600000,1336300000,8.806e+09,17532800000,452300000,10301800000,-1062200000,9635400000,9635400000,27168200000,619700000,117800000,-172200000,826500000,-12400000.0000005,134700000,-147100000,-147100000,-31800000,-680500000,-724700000,-110900000,394800000,8e+06,268300000,370100000,370100000,6700000,376800000,10632100000,0.18501,0.11871,0.0935,0.06431,0.02281,0.89245,1.81962,0.39134,1.78588,1.78177,19.10058,27.76772,0.319599999999999,0.0327,0.17896,8.00127
