"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",31.4761904761905,"Up",1.546e+09,-1.247e+09,2.99e+08,-1.34e+08,-1.2e+08,-1.4e+07,1.65e+08,-4.2e+07,-5.2e+07,1.3e+07,-3e+06,1.23e+08,1.23e+08,-3.2e+07,9.1e+07,9.4e+07,-9e+06,8.5e+07,8.5e+07,4.97e+08,4.96e+08,1.029e+09,1.029e+09,8.88e+08,1.23e+08,6.3e+07,2.537e+09,2.666e+09,3.169e+09,2.347e+09,6.3e+08,5.835e+09,8.372e+09,1.425e+09,8.1e+08,2.81e+08,1.93e+08,1.899e+09,3.185e+09,1.601e+09,5.94e+08,4.786e+09,6.685e+09,1.687e+09,8.372e+09,9.1e+07,8.9e+07,4e+06,5e+06,-1.68e+08,-1.68e+08,2.4e+07,-9.6e+07,-9.6e+07,-9.6e+07,1.2e+07,-1.1e+08,-5.4e+07,-5e+07,-1.43e+08,-5e+06,-2.02e+08,-2.88e+08,-2.88e+08,-3e+06,-2.91e+08,2.54e+08,3.466e+09,2.2e+07,0.1934,0.10673,0.05498,0.05039,0.01015,0.25882,1.33597,3.96266,0.414,0.50782,0.49803,9.23641,0.13144,10.3876619058067,0.01259,0.00326,11.68898,17.99394
"2","2010_Q3",27.26578125,"Down",1.67e+09,-1.287e+09,3.83e+08,-1.38e+08,-1.23e+08,-1.5e+07,2.45e+08,-5.1e+07,-5.6e+07,1.3e+07,-8e+06,1.94e+08,1.94e+08,-5.1e+07,1.43e+08,1.55e+08,-1.4e+07,1.41e+08,1.41e+08,6.49e+08,6.48e+08,1.076e+09,1.076e+09,8.56e+08,1.47e+08,6.9e+07,2.728e+09,2.598e+09,3.032e+09,2.222e+09,6.27e+08,5.63e+09,8.358e+09,1.447e+09,7.91e+08,2.72e+08,2e+08,1.919e+09,3.228e+09,1.468e+09,4.95e+08,4.696e+09,6.615e+09,1.743e+09,8.358e+09,1.43e+08,8.6e+07,-1000000.00000001,5999999.99999997,-9.5e+07,-9.5e+07,1.5e+08,-1.4e+08,-1.4e+08,-1.4e+08,1e+07,-1.3e+08,2.47e+08,4.3e+07,-5.3e+07,-3.6e+07,1.58e+08,1.78e+08,1.78e+08,-1.7e+07,1.61e+08,3.31e+08,3.5e+09,1.47e+08,0.22934,0.14671,0.08443,0.0809,0.01687,1.04255,1.42157,3.79518,0.41876,0.86238,0.84706,10.214,0.89908,6,0.02101,0.0219,8.61329,11.63673
"3","2010_Q4",28.01140625,"Up",1.689e+09,-1.329e+09,3.6e+08,-1.38e+08,-1.24e+08,-1.4e+07,2.22e+08,-3.4e+07,-5.9e+07,2e+07,5e+06,1.88e+08,1.88e+08,-5.3e+07,1.35e+08,1.51e+08,-1.2e+07,1.39e+08,1.39e+08,6.58e+08,6.57e+08,1.165e+09,1.165e+09,9.86e+08,1.57e+08,6.4e+07,2.966e+09,3.042e+09,3.875e+09,2.744e+09,7.64e+08,6.917e+09,9.883e+09,1.617e+09,8.38e+08,3.39e+08,2e+08,2.156e+09,4.006e+09,1.565e+09,5.09e+08,5.571e+09,7.727e+09,2.156e+09,9.883e+09,1.35e+08,9.2e+07,-4.8e+07,-4.9e+07,4.2e+07,4.2e+07,2.31e+08,-1.56e+08,-1.56e+08,-1.56e+08,1.3e+07,-8.71e+08,6.54e+08,-2.1e+07,1e+06,-1.7e+07,6.38e+08,-2e+06,-2e+06,2e+07,1.8e+07,3.14e+08,4.345e+09,2.53e+08,0.21314,0.13144,0.0823,0.06447,0.01406,1.82014,1.3757,3.58395,0.43964,0.85235,0.83942,10.35694,1.5514,5,0.01723,0.03137,11.74204,16.60811
"4","2011_Q1",29.9795161290323,"Up",1.728e+09,-1.418e+09,3.1e+08,-1.44e+08,-1.25e+08,-1.9e+07,1.66e+08,-2.45e+08,-6.9e+07,1.3e+07,-1.89e+08,-7.9e+07,-7.9e+07,7000000.00000001,-7.2e+07,-4.03e+08,-7e+06,-4.1e+08,-4.1e+08,6.4e+08,6.4e+08,1.075e+09,1.075e+09,9.46e+08,7.7e+07,7.7e+07,2.738e+09,3.107e+09,3.909e+09,2.821e+09,7.35e+08,7.016e+09,9.754e+09,1.395e+09,8.78e+08,3.54e+08,3.3e+08,2.079e+09,3.924e+09,1.725e+09,6.87e+08,5.649e+09,7.728e+09,2.026e+09,9.754e+09,-7.2e+07,1.02e+08,1.1e+08,1.15e+08,9e+07,9e+07,1.87e+08,-1.11e+08,-1.11e+08,-1.11e+08,-8e+06,-1.82e+08,-6.7e+07,-1.1e+07,1e+06,-2e+06,-6.8e+07,-6.3e+07,-6.3e+07,3e+06,-6e+07,2.68e+08,4.278e+09,2.4e+08,0.1794,0.09606,-0.23727,-0.20237,-0.04203,-0.58537,1.31698,3.81441,0.43859,-2.51344,-2.47598,10.59323,1.47128,5,-0.05106,0.02989,13.57463,21.91566
"5","2011_Q2",29.1744444444444,"Down",1.719e+09,-1.376e+09,3.43e+08,-1.58e+08,-1.42e+08,-1.6e+07,1.85e+08,-7e+07,-7.3e+07,1.4e+07,-1.1e+07,1.15e+08,1.15e+08,-2.8e+07,8.7e+07,8.6e+07,-4e+06,8.2e+07,8.2e+07,4.3e+08,4.3e+08,1.223e+09,1.223e+09,1.103e+09,7.8e+07,7.8e+07,2.834e+09,3.143e+09,4.048e+09,2.9e+09,7.88e+08,7.191e+09,1.0025e+10,1.535e+09,8.89e+08,3.72e+08,1.7e+08,2.077e+09,3.991e+09,1.727e+09,6.76e+08,5.718e+09,7.795e+09,2.23e+09,1.0025e+10,8.7e+07,1.01e+08,6e+06,6e+06,-2.79e+08,-2.79e+08,-8.5e+07,-7.3e+07,-7.3e+07,-7.3e+07,-1.2e+07,-7.9e+07,-3.7e+07,-3.2e+07,2e+06,-1.8e+07,-5.3e+07,-2.17e+08,-2.17e+08,7e+06,-2.1e+08,2.86e+08,4.363e+09,-3.8e+07,0.19953,0.10762,0.0477,0.03677,0.00818,-0.46341,1.36447,3.49552,0.43521,0.50197,0.49364,10.52309,-0.23262,4,0.00986,-0.00457,13.75175,21.25946
"6","2011_Q3",19.95390625,"Down",1.959e+09,-1.604e+09,3.55e+08,-1.64e+08,-1.46e+08,-1.8e+07,1.91e+08,-8.1e+07,-9.7e+07,1.9e+07,-2999999.99999999,1.1e+08,1.1e+08,-3.2e+07,7.8e+07,8e+07,-7e+06,73000000.0000001,73000000.0000001,2.6e+08,2.6e+08,1.322e+09,1.322e+09,1.114e+09,1.04e+08,1.04e+08,2.8e+09,3.176e+09,4.217e+09,2.957e+09,8.67e+08,7.393e+09,1.0193e+10,1.651e+09,9.85e+08,3.71e+08,1.7e+08,2.192e+09,3.969e+09,1.693e+09,6.36e+08,5.662e+09,7.854e+09,2.339e+09,1.0193e+10,7.8e+07,1.07e+08,-1.6e+07,-1.6e+07,8e+06,8e+06,1.79e+08,-8e+07,-8e+07,-8e+07,3e+06,-2.3e+08,-9.5e+07,9.3e+07,-4.65661287307739e-10,-3.1e+07,-1.26e+08,-1.77e+08,-1.77e+08,7e+06,-1.7e+08,2.98e+08,4.34e+09,2.58e+08,0.18121,0.0975,0.03726,0.03121,0.00716,3.53425,1.27737,3.35785,0.42578,0.44612,0.439039999999999,11.97191,1.5767,5,0.00872,0.03082,13.69128,21.36126
"7","2011_Q4",18.4290476190476,"Down",1.862e+09,-1.475e+09,3.87e+08,-1.56e+08,-1.38e+08,-1.8e+07,2.31e+08,-8.3e+07,-6.8e+07,1.9e+07,-3.4e+07,1.48e+08,1.48e+08,-2.5e+07,1.23e+08,1.2e+08,-4e+06,1.16e+08,1.16e+08,2.57e+08,2.56e+08,1.218e+09,1.218e+09,1.101e+09,1.12e+08,1.12e+08,2.688e+09,2.931e+09,3.982e+09,2.762e+09,8.48e+08,6.913e+09,9.601e+09,1.598e+09,9.35e+08,3.45e+08,1.7e+08,2.113e+09,3.743e+09,1.602e+09,6.16e+08,5.345e+09,7.458e+09,2.143e+09,9.601e+09,1.23e+08,1e+08,1.7e+07,1.7e+07,-5.1e+07,-5.1e+07,1.86e+08,-5.1e+07,-5.1e+07,-5.1e+07,-1.2e+07,-6.4e+07,-1.17e+08,-2.1e+07,3e+06,-1e+06,-1.15e+08,7e+06,7e+06,-1.1e+07,-4e+06,3.31e+08,4.088e+09,2.54e+08,0.20784,0.12406,0.0623,0.05413,0.01208,2.18966,1.27212,3.48017,0.42579,0.70813,0.70008,11.36669,1.55056,5,0.01481,0.03243,11.57402,16.58442
"8","2012_Q1",23.0933870967742,"Up",1.818e+09,-1.514e+09,3.04e+08,-1.49e+08,-1.3e+08,-1.9e+07,1.55e+08,-9.24e+08,-6.5e+07,1.4e+07,-8.73e+08,-7.69e+08,-7.69e+08,3.72529029846191e-09,-7.69e+08,-7.66e+08,-5e+06,-7.71e+08,-7.71e+08,4e+08,4e+08,1.158e+09,1.158e+09,1.061e+09,1.24e+08,1.24e+08,2.743e+09,2.877e+09,3.355e+09,2.082e+09,8.42e+08,6.232e+09,8.975e+09,1.525e+09,1.038e+09,4.06e+08,3.14e+08,2.245e+09,3.627e+09,2.062e+09,7.1e+08,5.689e+09,7.934e+09,1.041e+09,8.975e+09,-7.69e+08,9.7e+07,7.91e+08,8.33e+08,1.05e+08,1.05e+08,2.23e+08,-8.1e+07,-8.1e+07,-8.1e+07,2e+06,-7.5e+07,-3e+06,4e+07,-4.65661287307739e-10,-4e+06,-7e+06,1.41e+08,1.41e+08,3e+06,1.44e+08,2.52e+08,4.033e+09,2.76e+08,0.16722,0.08526,-0.42409,-0.74063,-0.08591,-0.35798,1.22183,7.62152,0.44936,-4.70225,-4.92073,11.0878,1.6833,4,-0.10804,0.03868,14.41667,23.43871
"9","2012_Q2",20.6174603174603,"Down",1.739e+09,-1.361e+09,3.78e+08,-1.55e+08,-1.4e+08,-1.5e+07,2.23e+08,-5.3e+07,-6.1e+07,1.3e+07,-5e+06,1.7e+08,1.7e+08,-4.4e+07,1.26e+08,1.25e+08,-4e+06,1.21e+08,1.21e+08,2.99e+08,2.99e+08,1.199e+09,1.199e+09,1.237e+09,1.3e+08,1.3e+08,2.865e+09,2.884e+09,3.412e+09,2.127e+09,8.48e+08,6.296e+09,9.161e+09,1.545e+09,9.43e+08,4.06e+08,1.65e+08,2.116e+09,3.724e+09,2.026e+09,6.86e+08,5.75e+09,7.866e+09,1.295e+09,9.161e+09,1.26e+08,9.7e+07,-2.9e+07,-2.9e+07,-2.88e+08,-2.88e+08,-9.5e+07,-7.3e+07,-7.3e+07,-7.3e+07,1.9e+07,-5.9e+07,3.7e+07,-2e+07,3127931.84582764,-21830486.865956,3.7e+07,-1.17e+08,-1.17e+08,1.6e+07,-1.01e+08,3.2e+08,4.13e+09,3e+06,0.21737,0.12823,0.06958,0.09344,0.01321,0.02479,1.35397,6.07413,0.45082,0.73672,0.72801,10.5881,0.01827,3,0.01624,4e-04,11.97188,17.17937
"10","2012_Q3",18.3439682539683,"Down",1.766e+09,-1.39e+09,3.76e+08,-1.56e+08,-1.39e+08,-1.7e+07,2.2e+08,-41000000.0000001,-6e+07,1.8e+07,1e+06,1.79e+08,1.79e+08,-4.1e+07,1.38e+08,1.37e+08,-4e+06,1.33e+08,1.33e+08,3.36e+08,3.36e+08,1.173e+09,1.173e+09,1.223e+09,1.15e+08,1.15e+08,2.847e+09,2.721e+09,3.266e+09,2.023e+09,8.36e+08,5.987e+09,8.834e+09,1.497e+09,9.09e+08,4.52e+08,1.65e+08,2.114e+09,3.567e+09,1.909e+09,6.22e+08,5.476e+09,7.59e+09,1.244e+09,8.834e+09,1.38e+08,9.4e+07,-1000000.00000012,-999999.999999881,-1.31e+08,-1.31e+08,9.9e+07,-5.1e+07,-5.1e+07,-5.1e+07,3.7e+07,-1.4e+07,-1.5e+07,5.1e+07,1e+06,-2.3e+07,-3.7e+07,4.8e+07,4.8e+07,-1.1e+07,36999999.9999999,3.14e+08,4.019e+09,1.73e+08,0.21291,0.12458,0.07531,0.10691,0.01506,1.30075,1.34674,6.10129,0.45495,0.807039999999999,0.80154,10.71608,1.04976,6,0.01854,0.02412,11.7293,16.74091
