"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.5696825396825,"Up",1.8493e+10,-1.8392e+10,1.01e+08,-9.7e+07,-9.7e+07,4e+06,-1.36e+08,-1.47e+08,1.1e+07,-1.32e+08,-1.12e+08,3.2e+07,-8e+07,-1.13e+08,146950.489566683,-1.13e+08,-1.13e+08,1.887e+09,1.887e+09,3.947e+09,3.947e+09,4.724e+09,7.62e+08,1.81e+08,1.132e+10,2.3335e+10,2.9186e+10,-5.851e+09,1.81e+09,1.584e+09,2.5145e+10,3.6465e+10,7.114e+09,5.986e+09,2.2e+07,1.106e+09,6.35e+08,8.095e+09,7.718e+09,5.986e+09,4.131e+09,1.855e+09,1.3704e+10,2.1799e+10,7.886e+09,-6.688e+09,1.3036e+10,4.32e+08,1.4666e+10,-688331.555655244,1.4666e+10,3.6465e+10,-1.13e+08,3.57e+08,2.8e+07,7.1e+08,9.82e+08,-6.42e+08,-2.29e+08,1.5e+07,-8.56e+08,-2.8e+07,9.5e+08,3e+06,-9e+06,9.16e+08,1.042e+09,1.042e+09,2e+07,1.062e+09,3.61e+08,8.353e+09,3.97e+08,0.00546,0.00022,-0.00611,-0.0077,-0.0031,-3.51327,1.39839,1.48636,0.22907,-0.20107,-0.20107,32.90569,26.09609,0.70641,0.04982,-0.00293,0.01369,-0.24779,17.91136,1616.5
"2","2010_Q3",10.4621875,"Down",2.0561e+10,-1.9524e+10,1.037e+09,-1.31e+08,-1.31e+08,9.06e+08,-9.6e+07,-9.7e+07,1e+06,8.1e+08,7.88e+08,-2.68e+08,5.2e+08,5.83e+08,0,5.83e+08,5.83e+08,2.001e+09,2.001e+09,4.122e+09,4.122e+09,4.767e+09,4.58e+08,1.7e+08,1.1348e+10,2.3363e+10,2.9439e+10,-6.076e+09,1.766e+09,1.543e+09,2.5129e+10,3.6477e+10,7.105e+09,5.856e+09,2.37e+08,1.012e+09,5.23e+08,7.914e+09,7.511e+09,6.001e+09,4.27e+09,1.731e+09,1.3512e+10,2.1426e+10,7.84e+09,-6.62e+09,1.3591e+10,2.4e+08,1.5051e+10,-3033776.8296828,1.5051e+10,3.6477e+10,5.83e+08,3.67e+08,-9000000.00000001,-1.53e+08,7.88e+08,-4.03e+08,1.06e+08,-4e+06,-3.01e+08,-2.9e+07,-3.23e+08,8e+06,3e+06,-3.41e+08,1.46e+08,1.46e+08,-3.2e+07,1.14e+08,1.273e+09,8.034e+09,9.85e+08,0.05044,0.04406,0.02835,0.03873,0.01598,1.68954,1.43391,1.42356,0.22025,1.03369,1.01923,36.45567,26.68617,1.74645,0.05142,0.02104,0.03387,0.0497400000000001,4.7392,6.65894000000026
"3","2010_Q4",12.08765625,"Up",2.1015e+10,-2.0286e+10,7.29e+08,-1.39e+08,-1.39e+08,5.9e+08,-1.02e+08,-1.19e+08,1.7e+07,4.88e+08,4.88e+08,-1.85e+08,3.03e+08,2.92e+08,0,2.92e+08,2.92e+08,2.352e+09,2.352e+09,4.24e+09,4.24e+09,4.804e+09,4.81e+08,1.72e+08,1.1877e+10,2.359e+10,2.993e+10,-6.34e+09,1.809e+09,1.585e+09,2.5399e+10,3.7276e+10,7.279e+09,6.096e+09,7.4e+07,1.109e+09,5.23e+08,8.213e+09,7.513e+09,6.15e+09,4.43e+09,1.72e+09,1.3663e+10,2.1876e+10,7.846e+09,-6.615e+09,1.3855e+10,3.14e+08,1.54e+10,-2637666.31113105,1.54e+10,3.7276e+10,2.92e+08,3.72e+08,2.16e+08,-2.8e+07,8.52e+08,-4.41e+08,-6.7e+07,4e+06,-5.04e+08,-2.8e+07,0,-1e+06,1e+06,-2.8e+07,3.2e+08,3.2e+08,3.1e+07,3.51e+08,9.62e+08,8.036e+09,6.78e+08,0.03469,0.02808,0.01389,0.01896,0.00783,2.32192,1.44612,1.42052,0.21558,0.51865,0.51499,37.32682,27.35346,1.20426,0.04973,0.01082,0.02292,0.09589,5.90852,9.6339
"4","2011_Q1",16.5793548387097,"Up",2.2164e+10,-2.1622e+10,5.42e+08,-1.64e+08,-1.64e+08,3.78e+08,-4.4e+07,-1.21e+08,7.7e+07,3.34e+08,3.34e+08,-1.54e+08,1.8e+08,-4.38e+08,0,-4.38e+08,-4.38e+08,3.334e+09,3.334e+09,4.583e+09,4.583e+09,4.947e+09,6.54e+08,1.21e+08,1.3518e+10,2.2669e+10,2.8921e+10,-6.252e+09,1.434e+09,1.21e+09,2.4103e+10,3.7621e+10,7.705e+09,6.441e+09,3e+06,1.261e+09,8.22e+08,8.784e+09,7.515e+09,6.297e+09,4.53e+09,1.767e+09,1.3812e+10,2.2596e+10,7.711e+09,-6.462e+09,1.3388e+10,3.88e+08,1.5025e+10,0,1.5025e+10,3.7621e+10,-4.38e+08,3.77e+08,1.001e+09,-5.17e+08,4.23e+08,-5.04e+08,7.52e+08,8e+06,2.56e+08,-2.9e+07,3e+08,-3e+06,1e+06,2.69e+08,9.48e+08,9.48e+08,3.4e+07,9.82e+08,7.55e+08,8.337e+09,-1.12e+08,0.02445,0.01705,-0.01976,-0.02915,-0.01164,0.255710000000002,1.53893,1.50389,0.2216,-0.77798,-0.76708,39.36767,26.68739,-0.19893,0.05151,-0.01379,-0.00377999999999999,-0.06621,6.62649,13.23545
"5","2011_Q2",16.4269841269841,"Down",2.6308e+10,-2.5934e+10,3.74e+08,-1.3e+08,-1.3e+08,2.44e+08,-1e+08,-1.17e+08,1.7e+07,1.44e+08,1.44e+08,-4e+07,1.04e+08,9.8e+07,5.82076609134674e-11,9.8e+07,9.8e+07,4.133e+09,4.133e+09,5.858e+09,5.858e+09,4.338e+09,7.27e+08,1.49e+08,1.5056e+10,2.2895e+10,2.9404e+10,-6.509e+09,1.641e+09,1.416e+09,2.4536e+10,3.9592e+10,9.954e+09,8.653e+09,5.5e+07,1.246e+09,3.12e+08,1.0406e+10,7.517e+09,6.445e+09,4.693e+09,1.752e+09,1.3962e+10,2.4368e+10,7.648e+09,-6.361e+09,1.3458e+10,4.79e+08,1.5224e+10,4379222.10371035,1.5224e+10,3.9592e+10,9.8e+07,3.65e+08,-2.5e+07,1.62e+09,2.058e+09,-4.38e+08,-3.36e+08,-9e+06,-7.83e+08,-2.8e+07,-5.1e+08,2.1e+07,5e+06,-5.12e+08,7.63e+08,7.63e+08,3.6e+07,7.99e+08,6.09e+08,7.829e+09,1.831e+09,0.01422,0.00927,0.00373,0.00644,0.00248,18.68367,1.44686,1.60063,0.19774,0.17314,0.17103,46.48057,26.89753,3.23498,0.04947,0.00427,0.06207,0.28571,6.06897,15.14754
"6","2011_Q3",13.81890625,"Down",3.1293e+10,-2.9852e+10,1.441e+09,-1.51e+08,-1.51e+08,1.29e+09,-9.7e+07,-1.07e+08,1e+07,1.193e+09,1.193e+09,-4.49e+08,7.44e+08,7.43e+08,1e+06,7.44e+08,7.44e+08,4.107e+09,4.107e+09,6.027e+09,6.027e+09,3.988e+09,5.65e+08,1.62e+08,1.4687e+10,2.3206e+10,2.9866e+10,-6.66e+09,1.633e+09,1.411e+09,2.4839e+10,3.9526e+10,9.116e+09,7.642e+09,8.2e+07,1.392e+09,8.61e+08,1.0231e+10,6.762e+09,6.541e+09,4.801e+09,1.74e+09,1.3303e+10,2.3534e+10,7.623e+09,-6.312e+09,1.4173e+10,4.98e+08,1.5982e+10,1e+07,1.5992e+10,3.9526e+10,7.43e+08,3.86e+08,2.35e+08,-4.68e+08,8.96e+08,-5.31e+08,-1.33e+08,-4.7e+07,-7.11e+08,-2.9e+07,-2.08e+08,9e+06,1.1e+07,-2.17e+08,-3.2e+07,-3.2e+07,6e+06,-2.6e+07,1.676e+09,7.623e+09,1.126e+09,0.04605,0.04122,0.02378,0.04652,0.01882,1.51344,1.43554,1.47161,0.19286,1.31217,1.29617,55.19048,28.18695,1.98589,0.05115,0.02563,0.03734,0.03898,2.09785,2.72558
"7","2011_Q4",13.8328571428571,"Up",3.3713e+10,-3.1573e+10,2.14e+09,-1.61e+08,-1.61e+08,1.979e+09,-8.7e+07,-8.8e+07,1e+06,1.892e+09,1.892e+09,-6.89e+08,1.203e+09,1.203e+09,-2.3283064365387e-10,1.203e+09,1.203e+09,2.829e+09,2.829e+09,7.509e+09,7.509e+09,5.164e+09,3.68e+08,1.09e+08,1.587e+10,2.4219e+10,3.1066e+10,-6.847e+09,1.594e+09,1.343e+09,2.5813e+10,4.1683e+10,1.0494e+10,8.52e+09,1.36e+08,1.838e+09,8.67e+08,1.1683e+10,6.781e+09,6.549e+09,4.942e+09,1.607e+09,1.333e+10,2.5013e+10,7.566e+09,-6.491e+09,1.5347e+10,2.32e+08,1.6654e+10,1.6e+07,1.667e+10,4.1683e+10,1.203e+09,3.9e+08,2.37e+08,-4.56e+08,1.374e+09,-6.15e+08,-1.744e+09,3.2e+07,-2.327e+09,-2.8e+07,0,-2.58e+08,1.3e+07,-2.73e+08,-1.226e+09,-1.226e+09,-5.2e+07,-1.278e+09,2.369e+09,7.648e+09,1.987e+09,0.06348,0.0587,0.03568,0.07217,0.02886,1.6517,1.35838,1.50048,0.18348,2.1292,2.11424,59.66903,29.47611,3.51681,0.04956,0.03988,0.06437,0.02328,2.03419,2.43507
"8","2012_Q1",15.4793548387097,"Up",3.4673e+10,-3.4377e+10,2.96e+08,-1.29e+08,-1.29e+08,1.67e+08,-7.4e+07,-8.9e+07,1.5e+07,92999999.9999995,93000000.0000002,-4.8e+07,45000000.0000002,4.5e+07,0,4.5e+07,4.5e+07,1.024e+09,1.024e+09,8.706e+09,8.706e+09,5.623e+09,6.19e+08,1.24e+08,1.5972e+10,2.5177e+10,3.2253e+10,-7.076e+09,1.634e+09,1.407e+09,2.6811e+10,4.2783e+10,1.145e+10,9.472e+09,1.19e+08,1.859e+09,1.009e+09,1.2708e+10,6.732e+09,6.898e+09,5.017e+09,1.881e+09,1.363e+10,2.6338e+10,7.493e+09,-6.475e+09,1.5309e+10,9.6e+07,1.6423e+10,2.2e+07,1.6445e+10,4.2783e+10,4.5e+07,3.93e+08,8.4e+07,-8.12e+08,-2.9e+08,-7.71e+08,-6.54e+08,-5.2e+07,-1.477e+09,-8.4e+07,9e+07,-7.2e+07,2e+06,-6.4e+07,-1.831e+09,-1.831e+09,2.6e+07,-1.805e+09,5.6e+08,7.741e+09,-9.75e+08,0.00853999999999999,0.00482,0.0013,0.00274000000000001,0.00105,-21.66667,1.25685,1.60158,0.18094,0.0812300000000006,0.0803600000000002,62.58664,29.6444,-1.75993,0.15162,0.00415,-0.03137,1.86667,11.99464,40.22156
"9","2012_Q2",14.4473015873016,"Down",3.5167e+10,-3.4636e+10,5.31e+08,-1.64e+08,-1.64e+08,3.67e+08,-9.3e+07,-9.9e+07,6e+06,2.74e+08,-3.37e+08,-9.5e+07,-4.32e+08,-4.32e+08,-5.82076609134674e-11,-4.32e+08,-4.32e+08,1.559e+09,1.559e+09,7.418e+09,7.418e+09,6.145e+09,7.02e+08,1.18e+08,1.5824e+10,2.5155e+10,3.2253e+10,-7.098e+09,1.655e+09,1.428e+09,2.681e+10,4.2634e+10,1.1744e+10,9.941e+09,2.6e+07,1.777e+09,1.143e+09,1.3076e+10,6.46e+09,7.106e+09,5.21e+09,1.896e+09,1.3566e+10,2.6642e+10,7.486e+09,-6.542e+09,1.4794e+10,2.21e+08,1.5959e+10,3.3e+07,1.5992e+10,4.2634e+10,-4.32e+08,3.84e+08,6.89e+08,9.03e+08,1.544e+09,-7.26e+08,2e+06,1e+07,-7.14e+08,-8.3e+07,-1.5e+08,-9.7e+07,1.1e+07,-3.19e+08,5.11e+08,5.11e+08,2.4e+07,5.35e+08,7.51e+08,7.603e+09,1.023e+09,0.0151,0.01044,-0.01228,-0.02701,-0.01013,-2.36806,1.21016,1.66596,0.17833,-0.78403,-0.78403,63.82396,28.9637,1.85662,0.15064,-0.01137,0.03332,-0.19213,8.04794,16.46866
"10","2012_Q3",18.1222222222222,"Up",3.4662e+10,-3.313e+10,1.532e+09,-1.71e+08,-1.71e+08,1.361e+09,-7.9e+07,-7.4e+07,-5e+06,1.282e+09,1.282e+09,-4.52e+08,8.3e+08,8.3e+08,1e+06,8.31e+08,8.31e+08,1.295e+09,1.295e+09,6.624e+09,6.624e+09,5.443e+09,6.71e+08,1.38e+08,1.4033e+10,2.5521e+10,3.2832e+10,-7.311e+09,1.634e+09,1.416e+09,2.7155e+10,4.1188e+10,9.92e+09,7.998e+09,6.1e+07,1.861e+09,5.82e+08,1.0798e+10,6.46e+09,7.307e+09,5.411e+09,1.896e+09,1.3767e+10,2.4565e+10,7.484e+09,-6.568e+09,1.5542e+10,1.19e+08,1.6577e+10,4.6e+07,1.6623e+10,4.1188e+10,8.3e+08,3.86e+08,4.33e+08,-3.59e+08,1.29e+09,-6.94e+08,-1.72e+08,-1e+06,-8.67e+08,-8.3e+07,-5.62e+08,-3.9e+07,1.2e+07,-6.72e+08,-2.49e+08,-2.49e+08,-1.5e+07,-2.64e+08,1.747e+09,7.042e+09,1.146e+09,0.0442,0.03926,0.02397,0.04999,0.02018,1.37906,1.29959,1.47777,0.17097,1.51366,1.48128,63.13661,30.1949,2.08743,0.15118,0.02951,0.037,0.0998800000000003,3.28964,4.22263
