"","YQ","p","d","operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2015_Q3",117.25875,"Down",-15141000,-15141000,-327336.326021475,-15141000,-15141000,-25000,-15166000,-15166000,-15166000,-15166000,320211000,320211000,2304000,2031000,-169382.977984677,322515000,33000,115000,148000,322663000,2920000,697000,1939000,7458000,7458000,10378000,0,0,0,10378000,373451000,-61166000,312285000,312285000,322663000,-15166000,5532000,-528000,-10162000,-30000,-30000,0,0,-666000,-10858000,-10858000,-10858000,0,-0.04856,-0.047,31.0768,0.03323,0,-1.22368,-1.22368,25.19697,-0.04856,21.1486
"2","2015_Q4",130.14375,"Up",-62553000,-62553000,-109112.108673825,-62553000,-62553000,-802000,-63355000,-63355000,-63355000,-63355000,299998000,299998000,3819000,3819000,758539.007338441,303817000,61000,202780.515831482,60999.9999999999,303878000,9053000,3556000,5398000,6839000,6839000,15892000,0,0,0,15892000,412507000,-124521000,287986000,287986000,303878000,-63355000,44690000,3231000,-15434000,-4778000,-4778000,0,0,-1000,-20213000,-20213000,-20213000,0,-0.21999,-0.20849,19.11761,0.05518,0,-5.11185,-5.11185,23.23639,-0.21999,4.7959
"3","2016_Q1",106.674098360656,"Down",-30589000,-30589000,0,-30589000,-30589000,918000,-29671000,-29671000,-29671000,-29671000,276251000,276251000,5835000,4865000,970000,282086000,89000,323000,412000,282498000,8941000,622000,8319000,6814000,6814000,15755000,0,0,0,15755000,420935000,-154192000,266743000,266743000,282498000,-29671000,8111000,-1656000,-23216000,-531000,-531000,0,0,0,-23747000,-23747000,-23747000,0,-0.11123,-0.10503,17.90454,0.05906,0,-2.39155,-2.39155,21.50005,-0.11123,9.03106
"4","2016_Q2",99.9575,"Down",-37907000,-37907000,0,-37907000,-37907000,-148000,-38055000,-38055000,-38055000,-38055000,252657000,252657000,4096000,3300000,796000,256753000,106000,323000,429000,257182000,14715000,2843000,11872000,2218000,2218000,16933000,1.38777878078145e-17,1.38777878078145e-17,0,16933000,432496000,-192247000,240249000,240249000,257182000,-38055000,11572000,7917000,-18566000,-28000,-27999.9999999991,-3031542.94700215,-3031542.94700215,-5e+06,-23594000,-23594000,-23594000,-1.16415321826935e-10,-0.1584,-0.14797,15.16288,0.07048,0,-3.0705,-3.0705,19.38469,-0.1584,6.66518
"5","2016_Q3",120.04125,"Up",-41523000,-41523000,0,-41523000,-41523000,-729000,-42252000,-42252000,-42252000,-42252000,229664000,229664000,4780000,4105000,675000,234444000,103000,40000,143000,234587000,25937000,9510000,16427000,2706000,2706000,28643000,0,0,0,28643000,440443000,-234499000,205944000,205944000,234587000,-42252000,8231000,11026000,-22995000,-8000,-8000,10000,10000,10000,-22993000,-22993000,-22993000,0,-0.20516,-0.18011,8.18504,0.13908,0,-3.40878,-3.40878,16.61501,-0.20516,5.53101
"6","2016_Q4",105.302857142857,"Down",-47972000,-47972000,0,-47972000,-47972000,161000,-47811000,-47811000,-47811000,-47811000,200405000,200405000,5172000,4234000,938000,205577000,159000,323000,482000,206059000,34648000,9251000,25397000,4947000,4947000,39595000,1.11022302462516e-16,1.11022302462516e-16,1.86264514923096e-09,39595000,448774000,-282310000,166464000,166464000,206059000,-47811000,8061000,10560000,-29190000,-69000,-69000,0,0,-1.86264514923096e-09,-29259000,-29259000,-29259000,-1.86264514923096e-09,-0.28722,-0.23203,5.19199,0.23786,-6.93889390390723e-18,-3.85721,-3.85721,13.4297,-0.28722,4.17754
"7","2017_Q1",104.812903225806,"Down",-53097000,-53097000,-1143000,-54240000,-54609000,1776000,-52833000,-52833000,-52833000,-52833000,212573000,212573000,7115000,6457000,658000,219688000,142000,2709000,2851000,222539000,43347000,8551000,34796000,2919000,2919000,46266000,0,0,51436000,97702000,459602000,-335143000,124837000,124837000,222539000,-52833000,6747000,4728000,-41358000,0,0,26000,26000,53526000,12168000,12168000,12168000,51436000,-0.42322,-0.23741,4.74837,0.78264,0.23113,-4.26233,-4.26233,10.07129,-0.29972,3.03477
"8","2017_Q2",175.288888888889,"Up",-65230000,-65230000,-1874000,-67104000,-66747000,-2519000,-69266000,-69266000,-69266000,-69266000,297858000,297858000,8851000,7627000,1224000,306709000,2294000,0,2294000,309003000,46588000,8547000,38041000,4466000,4466000,51054000,1.77635683940025e-15,1.77635683940025e-15,51752000,102806000,610812000,-404644000,206197000,206197000,309003000,-69266000,18295000,3052000,-47919000,-2171000,-2171000,135375000,135375000,135375000,85285000,85285000,85285000,51752000,-0.33592,-0.22416,6.00754,0.49858,0.16748,-5.20793,-5.20793,15.5034,-0.26853,3.7729
"9","2017_Q3",168.698412698413,"Down",-68667000,-68667000,-1878000,-70545000,-70676000,1590000,-69086000,-69086000,-69086000,-69086000,235373000,235373000,7400000,4587000,2813000,242773000,3367000,0,3367000,246140000,36654000,2860000,33794000,4242000,4242000,40896000,0,0,52068000,92964000,626778000,-473730000,153176000,153176000,246140000,-69086000,16154000,-8707000,-61639000,-1472000,-1472000,625999.99999997,625999.99999997,626000,-62485000,-62485000,-62485000,52068000,-0.45102,-0.28068,5.93635,0.60691,0.21154,-5.13681,-5.13681,11.38923,-0.3366,2.66948
"10","2017_Q4",44.8673015873016,"Down",-55378000,-55378000,-1950000,-57328000,-57878000,-24000.0000000005,-57902000,-57902000,-57902000,-57902000,188251000,188251000,4885000,2095000,2790000,193136000,3232000,0,3232000,196368000,35967000,1032000,34935000,1360000,1360000,42141000,5.6843418860808e-14,5.6843418860808e-14,47579000,89720000,637488000,-531632000,106648000,106648000,196368000,-57902000,12366000,-1054000,-46590000,-603000,-603000,71000,71000,71000,-47122000,-47122000,-47122000,52393000,-0.54293,-0.29486,4.58309,0.84127,0.26681,-4.30021,-4.30021,7.92042,-0.36407,2.45328
