"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.9725396825397,"Up",141952600,-109602800,32349800,-28911700,-28911700,3438100,-77800,-77800,3360300,3360300,-1290800,2069500,2069500,2069500,2069500,342399655.797155,342399655.797155,-1225390240.05187,-1225390240.05187,-67731958.617913,17983414.3630972,14262515.1942348,-932739128.509534,46665163.5768955,14305423.3799795,2620723.320333,60970586.956875,-871768541.552659,-906169436.517024,-830325793.193947,-75843643.323077,-905692991.986693,471531.97267439,-2136050.45216977,3656365.95755051,-902036626.029143,37763486.2873863,-41164683.9067575,34025644.7891594,30268084.4764841,30268084.4764841,-871768541.552659,2069500,1013600,164500,-3649900,-402300,-1204700,-1204700,-133200,-1203800,-1200400,-1339600,-2946600,-2946600,-2946600,4451700,0,887900,0.22789,0.02422,0.01458,-1.15770639481752,-0.452487614784433,0.42904,6.19371079810332,-9.49389168450387,0.104684511576004,0.27989,0.26683,19.19835,7.18765958849065,0.12008,-0.931288243243568,5.06119962539024,-65.5666805553674,-86.0638856878721
"2","2010_Q3",8.4959375,"Down",165026400,-128256400,36770000,-31203600,-31203600,5566400,-129800,-129800,5436600,5436600,-2090900,3345700,3345700,3345700,3345700,155039977.898578,155039977.898578,-494226270.025937,-494226270.025937,-6774029.3089565,11313057.1815486,6950357.59711739,-334647264.254767,32969131.7884477,14030211.6899898,2345511.6601665,46999343.4784375,-287647920.776329,-348734118.258512,-322525796.596973,-26208321.6615385,-348298095.993347,2808765.9863372,-198975.226084886,5910682.97877525,-342387413.014571,38511243.1436932,-42623141.9533788,59037322.3945797,54739492.2382421,54739492.2382421,-287647920.776329,3345700,1085200,921700,-4373000,979600,-1550200,-4402200,-98100,44900,-32100,-807400,-4230000,-4230000,-4230000,6651600,2.3283064365387e-10,2819300,0.22281,0.03373,0.02027,-0.511898197408762,-0.201323807392217,0.842659999999999,3.62366039905166,-3.47428084225193,0.0582322557880022,0.45249,0.43137,22.31896,8.97114979424532,0.3813,-0.408754121621784,2.18539481269512,-29.7958602776837,-39.391752843936
"3","2010_Q4",10.29640625,"Up",167940000,-134137000,33803000,-29465800,-29465800,4337200,-118900,-118900,4218300,4218300,-1257100,2961200,2961200,2961200,2961200,51096592.6328593,51096592.6328593,-95342590.0086455,-95342590.0086455,28669656.8970145,7872785.72718286,3082219.19903913,-7703554.75158894,24902377.2628159,13848037.2299966,2163337.2200555,38750414.4928125,31046859.7412236,-46694339.419504,-47171565.5323245,477226.112820502,-46297431.9977822,4192388.6621124,917874.924638371,7219760.99292509,-39077671.0048571,39552081.0478977,-43671647.3177929,74324540.7981932,70124530.7460807,70124530.7460807,31046859.7412236,2961200,1141600,-413100,5463500,9153200,-1519800,-1519800,-62000,0,0,-817600,6815800,6815800,6815800,5478800,0,10679600,0.20128,0.02583,0.01763,-0.14357606580292,-0.0562546024640722,3.60651,2.23901679968389,-0.230316947417311,0.0321140852626674,0.40049,0.38179,22.71301,10.0594999314151,1.44436,-0.108634707207261,0.634778270898373,-9.7672367592279,-13.1323776146453
"4","2011_Q1",8.50048387096774,"Down",130300200,-99942400,30357800,-27724000,-27724000,2633800,-94100,-94100,2539700,2539700,-897900,1641800,1641800,1641800,1641800,8178200,8178200,65708700,65708700,45709800,6673400,1668900,126270100,21148100,13742400,2057700,34890500,161160600,74073200,62913000,11160200,74432300,4889100,1481200,7848200,82280500,40752200,-44388400,82540900,78880100,78880100,161160600,1641800,1204800,527000,-1066000,2307600,-567500,-567500,-96500,-6999.99999999997,-336500,-859800,880300.000000002,880300.000000002,880300.000000002,3838600,3318200,3103000,0.23298,0.02021,0.0126,0.02081,0.01019,1.89,1.69644,1.04311,0.02059,0.22204,0.21168,17.62242,10.66812,0.41966,0.02754,0.03563,-1.26609,-1.84524
"5","2011_Q2",7.68444444444444,"Down",163515000,-126314600,37200400,-29675100,-29675100,7525300,-105500,-105500,7419800,7419800,-2845600,4574200,4574200,4574200,4574200,3893500,3893500,83375500,83375500,51457100,6725700,1721200,145451800,20389500,13696800,2012100,34086300,179538100,87691800,74904000,12787800,88014400,5165600,1757700,8060600,96075000,41977800,-44851600,86340000,83463100,83463100,179538100,4574200,1173000,1140600,-9846800,-2959000,-390100,-390100,-100600,-463200,-463200,-935600,-4284700,-4284700,-4284700,8698300,3217600,1307000,0.2275,0.04602,0.02797,0.05481,0.02548,0.28573,1.65259,1.15111,0.01792,0.60354,0.58107,21.57475,11.01242,0.17245,0.05824,0.0142300000000001,-0.0776999999999999,-0.08982
"6","2011_Q3",9.3425,"Up",148837400,-114847500,33989900,-28159900,-28159900,5830000,-72900,-72900,5757100,5757100,-2216900,3540200,3540200,3540200,3540200,13448300,13448300,71195700,71195700,56665700,7127400,2122900,148437100,21314600,13670100,1985400,34984700,183421800,88372800,75754600,12618200,88658600,5207800,1799900,8040700,96699300,43050600,-45044100,88716000,86722500,86722500,183421800,3540200,1157700,749000,7342500,12789400,-2058400,-2058400,-98900,18600.0000000001,-192500,-1176200,9554800,9554800,9554800,6987700,3118700,14488700,0.22837,0.03917,0.02379,0.04082,0.0193,4.09262,1.67425,1.11504,0.017,0.46338,0.44576,19.48134,11.35111,1.89643,0.04949,0.15243,-1.47825,-1.7718
"7","2011_Q4",9.33174603174603,"Down",226250100,-186773300,39476800,-31596300,-31596300,7880500,-73500,-73500,7807000,7807000,-3033400,4773600,4773600,4773600,4773600,14451300,14451300,123617200,123617200,68446300,6889300,1884800,213404100,22606600,13645800,1961100,36252400,249656500,150239500,132640900,17598600,150488200,5282400,1874500,8053100,158541300,43836800,-45044100,92322500,91115200,91115200,249656500,4773600,1243000,802400,-2038100,4780900,-2512400,-2512400,-99300,900,0,-1265500,1003000,1003000,1003000,9123500,3019400,7606400,0.17448,0.03483,0.0211,0.05239,0.01912,1.59343,1.41808,1.74001,0.01209,0.62343,0.5941,29.54814,11.8996,0.99339,0.05976,0.07651,-1.25302,-1.45066
"8","2012_Q1",12.9466129032258,"Up",194787400,-156798300,37989100,-32221100,-32221100,5768000,-41000,-41000,5727000,5727000,-2178100,3548900,3548900,3548900,3548900,18211600,18211600,88748200,88748200,53360300,5443300,2308200,165763400,22905700,13828600,2143900,36734300,202497700,99734400,78344700,21389700,99983600,6154200,3910700,8862200,108845800,45223900,-46276400,94704400,93651900,93651900,202497700,3548900,1271200,3220300,-906200.000000001,7134200,-1552800,-1552800,-62200,-614400,-1232300,-1821100,3760300,3760300,3760300,7039200,2957200,6758300,0.19503,0.02961,0.01822,0.03789,0.01753,1.90434,1.65791,1.16224,0.0146,0.4621,0.43647,25.36294,12.19426,0.87999,0.04589,0.06577,-2.16706,-2.64466
"9","2012_Q2",14.9988888888889,"Up",192418200,-156925000,35493200,-28562400,-28562400,6930800,-57400,-57400,6873400,6873400,-2666900,4206500,4206500,4206500,4206500,14268500,14268500,97070400,97070400,57615000,7067200,3932100,176021100,22138700,13804200,2119500,35942900,211964000,105870800,98369400,7501400,106120000,6043000,3799500,8688700,114808700,47764000,-48075400,97466700,97155300,97155300,211964000,4206500,1247800,226600,-8002300,-2321400,-456400,-456400,-62300,-1799000,-1799000,-1165300,-3943100,-3943100,-3943100,8178600,2894900,2386800,0.18446,0.03602,0.02186,0.0433,0.01985,0.56741,1.6587,1.1817,0.01366,0.5347,0.5105,24.4589,12.34973,0.30339,0.05326,0.0225,-1.39065,-1.64102
"10","2012_Q3",13.9377777777778,"Down",197238300,-158613300,38625000,-29887000,-29887000,8738000,-12000,-12000,8726000,8726000,-3457100,5268900,5268900,5268900,5268900,16985900,16985900,93744500,93744500,76289800,7284700,4149600,194304900,22999100,13779900,2095200,36779000,231083900,120154500,108433000,11721500,120403700,6137600,3894100,8721100,129124800,48744100,-48075400,101290400,101959100,101959100,231083900,5268900,1247300,859600,-1158400,6217400,-2083400,-2083400,-62200,90900,2.3283064365387e-10,-1416600,2717400,2717400,2717400,9985300,2832700,10200600,0.19583,0.0443,0.02671,0.05168,0.0228,1.936,1.61378,1.26644,0.01226,0.66401,0.64546,24.85675,12.84929,1.28552,0.06053,0.09196,-1.4174,-1.61973
