"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.225,"Up",175644000,-126593000,49051000,-87019000,-77754000,-9265000,-37968000,-2449000,-2449000,-40417000,-40417000,22100000,-18317000,-18317000,-18317000,-20942000,67282005.9811996,67282005.9811996,-336801346.425368,-336801346.425368,261134824.904263,92020657.9804874,27024029.2281209,83636142.4405812,136417780.82127,208002927.406666,138327714.232012,27972629.6366893,34926492.7128278,344420204.471252,428056346.911833,49994526.5328347,76488445.4962698,-22192725.7993368,-199627149.18562,-149632622.652786,-30938786.5791555,-35592165.3799264,4653378.80077085,-30125673.6905885,-179758296.343374,245007608.951329,-9298248.96910951,389958803.028526,-19026842.4370495,606655244.438212,607814643.255207,428056346.911833,-18317000,10687000,-6178000,79423000,65615000,-7806000,-8531000,-1292598431.85606,1271000,1271000,-2236000,54848000,54848000,2490000,57338000,-27281000,0,22236000,0.27926,-0.21616,-0.11923,-0.00249796290545417,-0.0352822330216367,-1.06179,5.86663440520283,-0.278589795042706,0.00115403219873486,-0.32724,-0.84542,2.74465,9.37674374763665,0.34746,-0.00240322037620867,-0.0241786945074085,-392.901978659142,-24.3681493438709
"2","2011_Q1",7.2841935483871,"Up",185528000,-130004000,55524000,-97633000,-88481000,-9152000,-42109000,-3377000,-5415000,-45486000,-45486000,13231000,-32255000,-32255000,-32255000,-34880000,55043000,55043000,144643000,144643000,268591000,75452000,41703000,543729000,129601000,202682000,131327000,30630000,36939000,332283000,876012000,175139000,139312000,34883000,27000,175166000,13967000,1376000,12591000,13967000,189133000,262547000,-24835000,432977000,13564000,684267000,686879000,876012000,-32255000,10707000,16541000,-41244000,-46251000,-6861000,-6847000,-365673477.285353,4.65661287307739e-10,4.65661287307739e-10,-3425000,-56523000,-56523000,634000,-55889000,-31402000,0,-92738000,0.29928,-0.22697,-0.188,-0.05078,-0.03982,2.65877,3.10408,0.27535,0,-0.54402,-0.55673,2.89368,10.67228,-1.44643,-0.04511,-0.13232,1.75285,1.30716
"3","2011_Q2",6.44238095238095,"Down",285599000,-161918000,123681000,-100703000,-91506000,-9197000,22978000,-1380000,-1380000,21598000,21598000,-8780000,12818000,12818000,12818000,10193000,58221498.0062668,58221498.0062668,296150282.141789,296150282.141789,245927308.365246,61393364.0065042,43696740.257293,661692452.519806,125066406.39291,198153857.531111,126962761.922663,31623540.1211036,37345252.4290574,323220431.842916,984912884.362722,199219074.489055,143518434.834577,53786908.5997789,61358633.0618734,260577707.550929,34397345.5263852,19515138.4599755,14882207.0664097,34126307.8968628,294704015.447791,268499213.68289,-27413833.6769635,423264398.990491,22858030.8123498,687221835.187263,690208868.914931,984912884.362722,12818000,9880000,-4062000,-58010000,-39374000,11254000,11254000,3e+06,1160000,1160000,1059000,-27061000,-27061000,560000,-26501000,32858000,0,-5118000,0.43306,0.08046,0.03569,-0.0816456790315153,-0.0541800889927878,-0.50211,2.37410186493239,0.439256598347569,-0.000384677399578288,0.15852,0.12032,4.44146,10.7167687507878,-0.07959,-0.0728539265412638,-0.0672662684975305,120.699218719714,9.20133644795698
"4","2011_Q3",5.6784375,"Down",273814000,-171152000,102662000,-112818000,-104320000,-8498000,-10156000,-3427000,-3427000,-13583000,-13583000,-45483000,-59066000,-59066000,-59066000,-61691000,66532000,66532000,253483000,253483000,215255000,49500000,37869000,584770000,122064000,193986000,123903000,31452000,37007000,316050000,900820000,170898000,120783000,49352000,44160000,215058000,39728000,25582000,14146000,39728000,254786000,267446000,-22848000,379739000,18893000,643244000,646034000,900820000,-59066000,9311000,61701000,1995000.00000001,13941000,-7171000,-7171000,34142000,0,0,30830000,37600000,37600000,390000,37990000,-845000,-1.45519152283669e-11,39462000,0.37493,-0.03709,-0.2253,-0.09549,-0.06848,-0.63967,2.71913,0.39438,0,-0.95753,-1.40172,4.24999,9.98386,0.61251,-0.08519,0.05754,78.73609,6.551
"5","2011_Q4",5.32507936507936,"Down",173243000,-125857000,47386000,-91549000,-83048000,-8501000,-44163000,-3570000,-3570000,-47733000,-47733000,-14854000,-62587000,-62587000,-62587000,-65212000,64295000,64295000,147528000,147528000,204213000,38202000,28212000,454238000,119653000,191859000,122903000,30462000,36999000,311512000,765750000,143328000,105783000,37209000,4761000,148089000,40805000,27422000,13383000,40805000,188894000,265124000,-17800000,314201000,12732000,574271000,576856000,765750000,-62587000,9247000,1117000,99516000,47293000,-6950000,-6950000,-39609000,1038000,1038000,-42061000,-1718000,-1718000,-519000,-2237000,-34916000,0,72504000,0.27352,-0.25492,-0.37642,-0.11305,-0.08516,-1.11182,3.06733,0.32745,0,-1.00659,-1.00659,2.67412,8.86404,1.11915,-0.10027,0.11738,1.84142,1.45586
"6","2012_Q1",6.31274193548387,"Up",153872000,-116299000,37573000,-87320000,-79207000,-8113000,-49747000,-796000,276000,-50543000,-50543000,-12442000,-62985000,-62985000,-62985000,-65610000,43023000,43023000,115673000,115673000,233070000,27563000,19880000,419329000,117147000,190636000,121935000,29203000,38112000,307783000,727112000,163676000,129193000,31925000,4108000.00000001,167784000,46514000,31429000,15085000,46514000,214298000,265730000,-17800000,247941000,14071000,509956000,512814000,727112000,-62985000,10198000,5786000,35239000,-11762000,-6693000,-6693000,2467000,-3000,-3000,-3113000,-21568000,-21568000,296000,-21272000,-39549000,0,1439000,0.24418,-0.3233,-0.42639,-0.12794,-0.09023,-0.02193,2.49922,0.41789,4.33680868994202e-19,-1.01111,-1.01111,2.37131,7.85868,0.0221800000000001,-0.11145,0.00257,1.08784,0.86484
"7","2012_Q2",5.74206349206349,"Down",285098000,-160727000,124371000,-96545000,-89072000,-7473000,27826000,3684000,3684000,31510000,31510000,292000,31802000,31802000,31802000,29177000,51669000,51669000,255259000,255259000,236240000,29222000,23373000,572390000,117098000,169746000,100885000,29618000,37829000,286844000,859234000,182762000,150472000,31770000,90008000,272770000,44476000,29149000,15327000,44476000,317246000,263843000,-15688000,276426000,14364000,538959000,541988000,859234000,31802000,8745000,-8708000,-124245000,-92406000,18224000,18224000,85900000,1000,1000,82791000,8609000,8609000,37000,8646000,36571000,0,-69742000,0.43624,0.0976,0.10234,0.05383,0.03396,-2.39031,2.09843,0.58534,0,0.44899,0.34354,4.38727,8.29363,-1.07323,0.05534,-0.11892,-1.41284,-1.85686
"8","2012_Q3",5.67857142857143,"Down",281123000,-170470000,110653000,-101087000,-94157000,-6930000,9566000,-4571000,-4571000,4995000,4995000.00000001,-2196000,2799000,2799000,2798999.99999999,174000.000000015,27986000,27986000,254903000,254903000,215794000,24371000,18663000,523054000,114323000,167748000,99998000,29128000,37230000,282071000,805125000,146276000,113762000,31385000,74258000,220534000,43547000,29627000,13920000,43547000,264081000,264428000,-15252000,275942000,13003000,538135000,541044000,805125000,2799000,9489000,1281000,-12443000,1126000,-5408000,-5408000,-15750000,-1000,-1000,-19126000,-23408000,-23408000,-275000,-23683000,19055000,-3.72529029846191e-09,3400000,0.39361,0.03403,0.000619999999999968,0.000320000000000001,0.000220000000000005,19.54023,2.37176,0.4881,-3.46944695195361e-18,0.00267000000000017,0.00267000000000001,4.32098,8.27115,0.05226,0.0059,0.00581999999999999,-1.4687,-2.92557
"9","2012_Q4",6.09048387096774,"Up",147906000,-144106000,3800000,-86489000,-78511000,-7978000,-82689000,-3359000,-3359000,-86048000,-86048000,-750000,-86798000,-86798000,-86798000,-89212000,59139000,59139000,143697000,143697000,189066000,30870000,20895000,422772000,94919000,164247000,94619000,28853000,39318000,259166000,681938000,131819000,99166000,29476000,4108000,135927000,43217000,29968000,13249000,150142000,286069000,204647000,-14930000,186074000,17171000,392966000,395869000,681938000,-86798000,8342000,17472000,123013000,62029000,-1632000,-1632000,-23331000,-4605.56330183079,-4732.27836028271,-29866000,30531000,30531000,622000,31153000,-74347000,106925000,47784000,0.02569,-0.55906,-0.60317,-0.22536,-0.13082,-0.53562,3.11029,0.72264,0.1568,-1.32801,-1.89097,2.20174,5.84965,0.71131,-0.15795,0.08751,-0.64274,-0.5779
"10","2013_Q1",6.50183333333333,"Up",119938000,-110594000,9344000,-80282000,-73121000,-7161000,-70938000,2435000,7398000,-68503000,-68503000,-2246000,-70749000,-70749000,-70749000,-71532000,52003000,52003000,91072000,91072000,211734000,32187000,23811000,386996000,89093000,161547000,89189000,29034000,41414000,250640000,637636000,160639000,129021000,28188000,926999.999999993,161566000,47229000,33533000,13696000,154362000,315928000,205233000,-14848000,113831000,14770000,318990000,321708000,637636000,-70749000,7835000,5477000,57880000,443000,-2371000,-5639000,0,19000,19000.0000000001,-1673000,-6869000,-6869000,-267000,-7135999.99999999,-63103000,107133000,-5348000,0.07791,-0.59146,-0.59641,-0.22235,-0.11218,0.0747599999999993,2.39528,0.98203,0.16802,-1.00715,-1.00715,1.6887,4.49124,-0.0753,-0.14712,-0.01123,-0.87365,-0.77716
