"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.52015873015873,"Up",22002000,-5284000,16718000,-22773000,-15753000,-6653000,-6055000,79000,-2000,81000,-5976000,-5737000,-243000,-5980000,-5980000,-5980000,-5980000,34743017.1498316,74212455.9157653,-39469438.7659337,39333191.2803295,39333191.2803295,-14616310.0016356,7450758.38122226,7450759.15680933,66910656.8097478,7406720.51016338,-13657486.211274,-14600936.9342403,-6217353.02759593,60693303.7821519,124757198.6246,10803332.4422764,113953866.182323,10070332.7113366,10070332.7113366,134827531.335962,6320104.50992347,5797519.37366404,522585.136259428,6320104.51048612,141147635.846448,184712045.340008,-656217.965124107,-201235860.776726,-63274298.6624541,-80454332.0642965,-80454332.0642965,60693303.7821519,-5980000,959000,2295000,79000,-2647000,-289000,2499000,2449000,94000,94000,938588.720276837,94000,-104000,-104000,-743000,-847000,-5096000,0,-5063000,0.75984,-0.2752,-0.27179,1.49932727764216,1.29117127569345,0.84666,-22.4448971005007,1.67523146827059,1.25113254369878e-12,-0.16217,-0.16217,0.59666,0.747852538798817,-0.1373,1.44056588339017,3.97382769615664,773.298435662601,-2447.08928664816
"2","2010_Q3",10.19875,"Up",23376000,-5408000,17968000,-21015000,-14054000,-6589000,-3047000,-129000,-1000,-128000,-3176000,-2959000,-242000,-3201000,-3201000,-3201000,-3201000,52318008.5749158,36561727.9578827,15756280.6170332,26852095.6401647,26852095.6401647,-3055655.0008178,4268879.19061113,4268879.57840467,80383328.4048739,6832360.25508169,16752756.894363,15165531.5328798,23601823.486202,103985151.891076,71667599.3122999,9646666.22113818,62020933.0911617,5751666.35566831,5751666.35566831,77419265.6679811,5254552.25496174,4732759.68683202,521792.568129714,5254552.25524306,82673817.9232242,288390022.670004,-741608.982562054,-238580930.388363,-27756149.331227,21311333.9678518,21311333.9678518,103985151.891076,-3201000,1145000,2432000,-2164000,-1788000,-302000,999000.000000002,914000.000000002,249000,249000,153000,402000,-472000,-472000,682000,210000,-1902000,0,-4126000,0.76865,-0.13035,-0.13694,0.654963638821082,0.565070637846723,1.28897,-8.99563355025033,0.935990734135296,6.25566271849392e-13,-0.08623,-0.08623,0.62972,1.87721626939941,-0.11115,0.629337941695084,1.75898384807832,507.5425528313,-983.06469332408
"3","2010_Q4",10.726875,"Up",27244000,-5437000,21807000,-22479000,-15592000,-6592000,-672000,34000,4000,30000,-638000,-638000,-164000,-802000,-802000,-802000,-802000,59440669.5249719,15201242.6526276,44239426.8723444,19173031.8800549,19173031.8800549,3922448.33306073,2410293.06353704,2410293.19280156,84946442.8016246,6466786.7516939,33658252.298121,31882510.5109599,40130607.828734,125077050.630359,38282199.7707666,7991888.7403794,30290311.0303872,3191555.45188944,3191555.45188944,41473755.2226604,4688517.41832058,4177919.89561067,510597.522709905,4688517.41841435,46162272.6410747,349604340.890001,-798536.327520685,-262133976.796121,-7757049.77707568,78914777.9892839,78914777.9892839,125077050.630359,-802000,904000,2536000,3225000,5863000,-463000,-5001000,-5464000,73000,73000,0,73000,472000,472000,-430000,42000,232000,0,3158000,0.80043,-0.02467,-0.02944,0.182361212940361,0.158376879282241,-3.93766,-0.637067850083444,0.485736911378432,2.08522090616464e-13,-0.02156,-0.02156,0.73244,2.51820542313314,0.0849,0.175265980565028,0.514031282692773,291.925787610433,-221.26139444136
"4","2011_Q1",12.3179032258065,"Up",28529000,-5848000,22681000,-24092000,-16888000,-6843000,-1411000,-118000,8000,-126000,-1529000,-1529000,-243000,-1772000,-1772000,-1772000,-1772000,60312000,5831000,54481000,15376000,15376000,7505000,1544000,1544000,84737000,6273000,40578000,38946000,46851000,131588000,20361000,6283000,14078000,1982000,1982000,22343000,4502000,4010000,492000,4502000,26845000,379595000,-827000,-274770000,745000,104743000,104743000,131588000,-1772000,940000,2077000,-1099000,146000,-750000,499000,-251000,645000,645000,160000,805000,7e+05,7e+05,938000,1638000,-471000,0,-2077000,0.79502,-0.04946,-0.06211,-0.01692,-0.01347,1.17212,3.79255,0.25629,0,-0.0476,-0.0476,0.76629,2.8134,-0.05579,-0.01622,-0.01901,128.05096,42.74415
"5","2011_Q2",16.7860317460317,"Up",27355000,-5891000,21464000,-25885000,-18176000,-7324000,-4421000,-77000,4000,-81000,-4498000,-4498000,-96000,-4594000,-4594000,-4594000,-4594000,59133000,4151000,54982000,14541000,14541000,8879000,1339000,1339000,83892000,6214000,41031000,39752000,47245000,131137000,13664000,4964000,8700000,1715000,1715000,15379000,4575000,4106000,469000,4575000,19954000,389602000,-827000,-279364000,1772000,111183000,111183000,131137000,-4594000,1046000,2599000,-7607000,-8556000,-472000,-501000,-973000,7629000,7629000,294039.289342512,7629000,-1900000,-1900000,220000,-1680000,-3375000,0,-11358000,0.78465,-0.16162,-0.16794,-0.04132,-0.03503,2.47236,5.45497,0.17947,0,-0.12005,-0.12005,0.71483,2.90538,-0.2968,-0.03969,-0.09812,17.52089,13.37548
"6","2011_Q3",13.2540625,"Down",29478000,-5551000,23927000,-23161000,-16323000,-6459000,766000,60000,-6000,66000,826000,826000,-225000,601000,601000,601000,601000,60820000,5338000,55482000,15490000,15490000,9211000,1407000,1407000,86928000,6273000,38409000,37562000,44682000,131610000,13615000,4457000,9158000,1819000,1819000,15434000,4777000,4332000,445000,4777000,20211000,391818000,-827000,-278763000,-829000,111399000,111399000,131610000,601000,1079000,2323000,-1737000,2266000,-665000,-5e+05,-1165000,171000,170999.999999999,197000,368000,1469000,1469000,-282000,1187000,1845000,0,-332000,0.81169,0.02599,0.02039,0.0054,0.00457,-0.55241,5.63224,0.18143,0,0.01586,0.01586,0.77791,2.93975,-0.00875999999999999,0.00517,-0.00286,-32.96477,-79.39948
"7","2011_Q4",16.6436507936508,"Up",32198000,-6279000,25919000,-23686000,-17184000,-6140000,2233000,37000,-2000,39000,2270000,3287000,-366000,2921000,2921000,2921000,2921000,69574000,5092000,64482000,17303000,17303000,9688000,1417000,1417000,97982000,6413000,36231000,35772000,42644000,140626000,15974000,5206000,10768000,1886000,1886000,17860000,4988000,4565000,423000,4988000,22848000,397483000,-827000,-275842000,-3036000,117778000,117778000,140626000,2921000,958000,2730000,-1678000,4931000,-8e+05,-7984000,-8784000,3986000,3986000,0,3986000,133000,133000,-379000,-246000,3191000,0,1079000,0.80499,0.06935,0.09072,0.0248,0.02077,0.36939,5.48611,0.19399,0,0.07587,0.07587,0.83629,3.05909,0.02803,0.02379,0.00879,-21.8032,-31.15719
"8","2012_Q1",20.7846774193548,"Up",37344000,-6786000,30558000,-27616000,-20028000,-7236000,2942000,-14000,1000,-15000,2928000,2928000,-361000,2567000,2567000,2567000,2567000,77223000,5990000,71233000,20458000,20458000,11142000,1716000,1716000,110539000,6378000,36994000,36846000,43372000,153911000,19390000,6910000,12480000,3025000,3025000,22415000,5199000,4799000,4e+05,5199000,27614000,402164000,-827000,-273275000,-1765000,126297000,126297000,153911000,2567000,1253000,2913000,-1740000,4993000,192000,-6750000,-6558000,2471000,2471000,226000,2697000,1132000,1132000,-234000,898000,4195000,0,3008000,0.81828,0.07878,0.06874,0.02033,0.01668,1.1718,4.93147,0.21864,0,0.0661,0.05577,0.96166,3.25231,0.07746,0.01952,0.02288,-18.40834,-26.24847
"9","2012_Q2",22.0206349206349,"Up",38783000,-7446000,31337000,-27776000,-20953000,-6712000,3561000,-6000,-2000,-4000,3555000,3555000,-436000,3119000,3119000,3119000,3119000,81222000,3989000,77233000,18343000,18343000,12477000,1749000,1749000,113791000,6337000,34774000,34741000,41111000,154902000,16428000,6294000,10134000,2687000,2687000,19115000,5267000,4890000,377000,5267000,24382000,406083000,-1065000,-270156000,-4342000,130520000,130520000,154902000,3119000,842000,3029000,-2672000,4318000,-470000,-6e+06,-6470000,1228000,1228000,-238000,990000,-1162000,-1162000,-839000,-2001000,4403000,0,1697000,0.80801,0.09182,0.08042,0.0239,0.02014,0.54408,5.95297,0.18681,8.07793566946316e-28,0.07968,0.07507,0.99078,3.33436,0.04335,0.02297,0.0125,-18.44697,-22.80876
"10","2012_Q3",22.1392063492064,"Up",37417000,-7194000,30223000,-24291000,-18437000,-5854000,5932000,-8000.00000000003,1000,-8999.99999999997,5924000,5924000,-455000,5469000,5469000,5469000,5469000,88981000,4497000,84484000,18801000,18801000,14461000,1791000,1791000,124034000,6268000,35544000,35512000,41812000,165846000,16807000,5211000,11596000,2896000,2896000,19703000,5471000,5117000,354000,5471000,25174000,409916000,-1065000,-264687000,-3492000,140672000,140672000,165846000,5469000,607000,2855000,-2117000,6814000,-1153000,-7250000,-8403000,1265000,1265000,270000,1535000,-54000,-54000,562000,508000,6539000,1.73472347597681e-18,3724000,0.80773,0.15854,0.14616,0.03888,0.03298,0.68093,6.29518,0.17896,0,0.13869,0.13102,0.9489,3.56746,0.09444,0.03742,0.02548,-13.60774,-15.00017
