"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",16.4955555555556,"Down",601900000,-318100000,283800000,-129100000,-101200000,-27900000,154700000,-71500000,-40700000,-30800000,83200000,83200000,-25200000,5.8e+07,5.8e+07,5.8e+07,5.8e+07,192900000,192900000,240400000,240400000,171500000,4.4e+07,4.4e+07,648800000,591700000,3867600000,1828600000,1.941e+09,9.8e+07,4459300000,5108100000,2.13e+08,2.13e+08,8e+06,2.3e+08,19700000,210300000,4.51e+08,3.166e+09,602800000,41500000,235100000,326200000,3768800000,4219800000,1564300000,-625700000,-50100000,888300000,888300000,5108100000,5.8e+07,62100000,20100000,-6e+05,139600000,-35500000,-35400000,-12406384.2796822,-4500000,-122891403.262128,-213300000,-217800000,-113600000,-113600000,-7500000,-121100000,216800000,3.174e+09,205900000,0.47151,0.25702,0.09636,0.06529,0.01135,3.55,1.43858,4.75042,0.62137,0.31974,0.31149,3.31808,4.89691,1.13506,0.0680854937225798,0.01243,0.04414,1.83114884377487,13.75046,19.2702
"2","2012_Q3",15.3877777777778,"Down",559400000,-307500000,251900000,-132300000,-109100000,-23200000,119600000,-56900000,-34100000,-22800000,62700000,62700000,350100000,412800000,412800000,412800000,412800000,112100000,112100000,234800000,234800000,168300000,62600000,31700000,577800000,581300000,3904900000,1791100000,1.941e+09,84400000,4486200000,5.064e+09,186200000,186200000,8e+06,215400000,20200000,195200000,409600000,3012600000,3.58e+08,43400000,0,314600000,3370600000,3780200000,1566300000,-223800000,-58300000,1.284e+09,1.284e+09,5064200000,412800000,62800000,-345300000,-23400000,106900000,-26600000,-34600000,-10900000,-43500000,-34297134.4207093,-115900000,-170300000,-9.8e+07,-9.8e+07,17200000,-80800000,182400000,3020600000,-217700000,0.4503,0.2138,0.73793,0.3215,0.08152,-0.527369999999999,1.41064,2.94408,0.59648,2.27563,2.26068,3.08379,7.07828,-1.20011,0.06009,0.09088,-0.04669,0.02641,15.94572,24.31856
"3","2012_Q4",16.8566129032258,"Up",493500000,-269100000,224400000,-132600000,-96700000,-35900000,91800000,-42600000,-40800000,-1800000,49200000,49200000,-1.7e+07,32200000,32200000,32200000,32200000,81900000,81900000,2.04e+08,2.04e+08,1.87e+08,54600000,35600000,527500000,592600000,3870500000,1753600000,1.941e+09,93700000,4463100000,4990600000,176200000,176200000,16500000,220200000,20700000,199500000,412900000,2899100000,354400000,43100000,0,311300000,3253500000,3666400000,1.579e+09,-202500000,-51900000,1324400000,1324400000,4990800000,32200000,63600000,25500000,17600000,138900000,-31300000,-38500000,-10900000,-1.05e+08,10100000,-14400000,-120200000,-19800000,-19800000,-10400000,-30200000,155400000,2915600000,158700000,0.45471,0.18602,0.06525,0.02431,0.00645,4.92857,1.27755,2.76835,0.58422,0.17692,0.17019,2.71154,7.27692,0.87198,0.05989,0.00938,0.03454,0.33851,18.23488,30.86819
"4","2013_Q1",18.8625,"Up",4.87e+08,-292800000,194200000,-140100000,-1.12e+08,-28100000,54100000,-3.3e+07,-35600000,2600000,21100000,21100000,-9900000,11200000,11200000,11200000,11200000,80200000,80200000,1.65e+08,1.65e+08,157100000,8.8e+07,32700000,490300000,596200000,3779500000,1716100000,1.941e+09,90100000,4375700000,4.866e+09,133100000,133100000,19500000,225200000,21600000,203600000,377800000,2801300000,3.3e+08,42600000,1e+05,287300000,3131300000,3509100000,1603500000,-202300000,-43900000,1357100000,1357100000,4866200000,11200000,6.4e+07,1800000,35100000,112100000,-29900000,-30200000,-1.1e+07,-94900000,18900000,1799999.99999999,-85200000,-3300000.00000001,-3300000.00000001,1600000,-1700000,118100000,2820800000,133200000,0.39877,0.11109,0.0229999999999999,0.00825000000000001,0.00229999999999999,11.89286,1.29778,2.58573,0.5797,0.06114,0.0599599999999995,2.6583,7.40775,0.72707,0.06004,0.00491999999999999,0.02955,0.98214,23.20576,50.65804
"5","2013_Q2",19.4378125,"Up",457400000,-259100000,198300000,-116900000,-87900000,-2.9e+07,81400000,-3.7e+07,-33900000,-3100000,44400000,44400000,-16900000,27500000,27500000,27500000,27500000,120900000,120900000,2.04e+08,2.04e+08,168200000,85600000,28900000,578700000,585200000,3.74e+09,1686200000,1.941e+09,91600000,4325200000,4903900000,161400000,161400000,23500000,211900000,21500000,190400000,396800000,2791400000,320900000,40600000,1e+05,280200000,3112300000,3509100000,1627500000,-185900000,-46500000,1394900000,1394900000,4.904e+09,27500000,54600000,12600000,-4e+07,54700000,-12400000,-19100000,-11100000,-5900000,15800000,3300000,2100000,37700000,37700000,3e+06,40700000,1.36e+08,2814900000,100500000,0.43354,0.17796,0.06012,0.01971,0.00561,3.65455,1.45842,2.51566,0.57401,0.14889,0.14643,2.47645,7.55225,0.54413,0.0601,0.00852,0.02218,0.40364,19.80882,33.09582
"6","2013_Q3",20.00375,"Up",512100000,-2.86e+08,226100000,-108400000,-85600000,-22800000,117700000,-35900000,-33300000,-2600000,81800000,81800000,-31300000,50500000,50500000,50500000,50500000,227400000,227400000,208500000,208500000,162900000,87800000,31100000,686600000,563300000,3687900000,1661100000,1.941e+09,84700000,4251200000,4937800000,168400000,168400000,23500000,222100000,21300000,200800000,4.14e+08,2785500000,309300000,40200000,10400000,258700000,3094800000,3508800000,1.64e+09,-157700000,-5.3e+07,1429100000,1429100000,4937900000,50500000,50100000,28400000,7e+05,129700000,-13200000,-11500000,-22300000,-5900000.00000001,9400000,-1e+06,-19800000,98400000,98400000,8100000,106500000,167800000,2.809e+09,186600000,0.44152,0.22984,0.09861,0.03534,0.01023,3.69505,1.65845,2.45525,0.56888,0.27165,0.26579,2.75471,7.68747,1.00377,0.11996,0.01601,0.04104,0.44158,15.38498,21.93373
"7","2013_Q4",21.99046875,"Up",466300000,-260200000,206100000,-94900000,-7.4e+07,-20900000,111200000,-38800000,-37300000,-1500000,72400000,72400000,-27900000,44500000,44500000,44500000,44500000,152300000,152300000,198700000,198700000,165900000,90100000,33200000,6.07e+08,553100000,3651100000,1.636e+09,1.941e+09,7.3e+07,4204200000,4811200000,163900000,163900000,11400000,2.23e+08,21600000,201400000,398300000,2719800000,325300000,41700000,3.7e+07,246600000,3045100000,3443400000,1613400000,-194900000,-50500000,1.368e+09,1.368e+09,4811400000,44500000,49500000,29600000,7400000,1.31e+08,-15200000,-15200000,-21800000,-77800000,-91200000,8e+05,-1.9e+08,-74200000,-74200000,-9e+05,-75100000,160700000,2731200000,180800000,0.44199,0.23847,0.09543,0.03253,0.00925,4.06292,1.52398,2.51711,0.56768,0.24132,0.2367,2.52874,7.41866,0.98048,0.11822,0.01499,0.04087,0.48989,16.04792,23.19155
"8","2014_Q1",24.6983606557377,"Up",4.91e+08,-279600000,211400000,-111800000,-87400000,-24400000,99600000,-32100000,-28400000,-3700000,67500000,67500000,-24600000,42900000,42900000,42900000,42900000,184700000,184700000,175100000,175100000,160400000,86700000,28600000,606900000,563400000,3642300000,1610800000,1.941e+09,89400000,4205700000,4812600000,150400000,150400000,17900000,218900000,29200000,189700000,387200000,2660400000,326200000,43200000,76200000,206800000,2986600000,3373800000,1633800000,-173800000,-2.1e+07,1.439e+09,1.439e+09,4812800000,42900000,49800000,12600000,42800000,148100000,-33100000,-35700000,-21900000,-52800000,12800000,-7900000,-69800000,42600000,42600000,-10200000,32400000,149400000,2678300000,183700000,0.43055,0.20285,0.08737,0.02981,0.00891,4.28205,1.56741,2.34454,0.55652,0.23443,0.23089,2.68306,7.86339,1.00383,0.11967,0.01458,0.04134,0.51049,16.69076,25.03614
"9","2014_Q2",25.877619047619,"Up",493600000,-271100000,222500000,-107700000,-83200000,-24500000,114800000,-35500000,-35100000,-4e+05,79300000,79300000,-27200000,52100000,52100000,52100000,52100000,159900000,159900000,227200000,227200000,175600000,89900000,31800000,652600000,551100000,3616200000,1586100000,1.941e+09,8.8e+07,4167300000,4819900000,173300000,173300000,19500000,218300000,38700000,179600000,411100000,2.656e+09,3.59e+08,43700000,98400000,216900000,3.015e+09,3426100000,1627500000,-214600000,-18900000,1.394e+09,1.394e+09,4820100000,52100000,4.8e+07,23600000,-25100000,98600000,-1.1e+07,-15100000,-21700000,-2800000,-85500000,4300000,-105700000,-22200000,-22200000,-2600000,-24800000,162800000,2675500000,153900000,0.45077,0.23258,0.10555,0.03737,0.01081,2.95393,1.58745,2.45775,0.55509,0.28595,0.28026,2.70911,7.65093,0.84468,0.1191,0.01667,0.03475,0.41651,15.45209,21.91289
"10","2014_Q3",26.13421875,"Up",536100000,-297600000,238500000,-106300000,-85100000,-21200000,132200000,-37500000,-36600000,-9e+05,94700000,94700000,-37500000,57200000,57200000,57200000,57200000,126700000,126700000,2.27e+08,2.27e+08,169500000,124300000,29400000,647500000,538200000,3586200000,1561400000,1.941e+09,82700000,4124400000,4771900000,174400000,174400000,17900000,1.86e+08,2.2e+07,1.64e+08,378300000,2651500000,448100000,47100000,165800000,235200000,3099600000,3477900000,1.6e+09,-286700000,-19100000,1294200000,1294200000,4772100000,57200000,48800000,34100000,3300000,143400000,-11600000,-9600000,-21700000,-6100000,-141900000,2300000,-167400000,-33600000,-33600000,399999.999999999,-33200000,1.81e+08,2669400000,210200000,0.44488,0.2466,0.1067,0.0442,0.01199,3.67483,1.7116,2.6873,0.5594,0.31991,0.31515,2.99832,7.23826,1.17562,0.12136,0.01789,0.04765,0.37937,14.04807,19.23374
