"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.8873015873016,"Down",76239000,-30646000,45593000,-35925000,-24820000,-10909000,-196000,9668000,-23000,-26000,3000,9645000,9645000,-3693000,5952000,5952000,5952000,5952000,-15634682.1788576,-15634682.1788576,104262591.559888,104262591.559888,23617747.0513763,56236886.5421874,-36527565.4701404,112245656.432407,25628296.9640097,139001127.533344,39834673.8234645,65232864.8937161,3868505.32480345,164629424.497353,276875080.92976,74859531.4860459,34850253.4738972,40009278.0121487,99942754.1272356,136470465.953352,-36527711.8261161,189410460.71671,11632012.616639,9077084.16374636,2553912.65743814,11664667.2095176,201075127.926228,152608594.705798,-162951314.780331,89024175.2143964,-2881502.13633165,75799953.0035319,75799953.0035319,276875080.92976,5952000,3819000,3230000,-5673000,7328000,-5199000,-3724785.11010548,-5199000,-268000,2654000,1014000,-1510000,619000,619000,-107000,512000,13487000,0,6308000,0.59803,0.12681,0.07807,0.0248952137524794,0.0044229434581366,1.05981,0.569652585612923,2.31262498354288,0.0493311116243312,0.13703,0.13458,1.75523,1.58989423275729,0.14523,0.0626703564028443,-0.500356014841657,1.54544815496185,1.719107653411
"2","2010_Q3",20.3046875,"Down",80671000,-31686000,48985000,-37830000,-25924000,-11710000,-196000,11155000,-241000,-56000,-185000,10914000,10914000,-4124000,6790000,6790000,6790000,6790000,13264000,13264000,61991000,61991000,30362000,17698000,6936000,105617000,23315000,169188000,39171000,73544000,2527000,192503000,298120000,32693000,10616000,22077000,145111000,138175000,6936000,182021000,8809000,7316000,1493000,8809000,190830000,144819000,-155897000,118853000,-485000,107290000,107290000,298120000,6790000,4025000,4089000,2454000,17358000,-1692000,-1606352.05872292,-4082000,3085000,-21216000,26000,-23034000,-9758000,-9758000,-259000,-10017000,15180000,4217000,20066000,0.60722,0.13828,0.08417,0.06329,0.02278,2.95523,0.58025,1.77864,0.01415,0.15696,0.15423,1.86479,2.48012,0.46385,0.0974,0.16678,-0.59598,-0.81103
"3","2010_Q4",23.4275,"Up",83226000,-33275000,49951000,-36825000,-24854000,-11776000,-195000,13126000,29000,-24000,53000,13155000,13155000,-4636000,8519000,8519000,8519000,8519000,26253000,26253000,55969000,55969000,44621000,19988000,18905000,126843000,22622000,165918000,37472000,73804000,2543000,188540000,315383000,29637000,6266000,23371000,161991000,143086000,18905000,192048000,8689000,7077000,1612000,8689000,200737000,149823000,-157455000,122615000,-337000,114646000,114646000,315383000,8519000,4111000,6086000,5461000,24177000,-3836000,-522007.022021096,-3836000,-3820000,644000,121000,-7825000,12516000,12516000,473000,12989000,17237000,420000,23498000,0.60019,0.15772,0.10236,0.07431,0.02701,2.7583,0.66048,1.75093,0.00133,0.19932,0.19634,1.94723,2.68237,0.54978,0.10738,0.18988,-1.49869,-1.96808
"4","2011_Q1",23.7912903225806,"Up",86429000,-36532000,49897000,-37822000,-26507000,-11104000,-211000,12075000,147000,116000,31000,12222000,12222000,-4296000,7926000,7926000,7926000,7926000,28004000,28004000,59296000,59296000,53662000,32139000,16359000,140962000,22963000,159881000,38515000,76247000,2805000,182844000,323806000,37898000,9620000,28278000,160120000,143761000,16359000,198018000,9319000,6900000,2419000,9319000,207337000,158425000,-161186000,120042000,-812000,116469000,116469000,323806000,7926000,4234000,11053000,-16028000,7185000,-163000,-175000,-5282000,-336000,3370000,1504000,-343000,1560000,1560000,191000,1751000,16309000,4.65661287307739e-10,4414000,0.57732,0.13971,0.09171,0.06805,0.02448,0.5569,0.71186,1.78019,0,0.18371,0.1807,2.00323,2.69949,0.10231,0.10181,0.03509,-1.71709,-2.31917
"5","2011_Q2",24.7134920634921,"Up",86628000,-36141000,50487000,-40679000,-28480000,-11966000,-233000,9808000,78000,9000,69000,9886000,9886000,-2593000,7293000,7293000,7293000,7293000,24126000,24126000,50311000,50311000,46826000,26796000,14870000,121263000,23819000,177240000,44852000,88935000,2614000,201059000,322322000,33376000,9858000,23518000,150359000,135489000,14870000,183735000,9414000,6126000,3288000,9414000,193149000,162373000,-161288000,128551000,-463000,129173000,129173000,322322000,7293000,4048000,5242000,928000,17511000,-1073000,-268580.992659635,-16948000,-14000,316000,193000,-4841000,-4278000,-4278000,429000,-3849000,13856000,0,16304000,0.5828,0.11322,0.08419,0.05646,0.02263,2.23557,0.65999,1.49527,-1.0842021724855e-19,0.16823,0.16606,1.99824,2.97962,0.37608,0.09113,0.11764,-1.7412,-2.45983
"6","2011_Q3",22.80859375,"Down",93782000,-39288000,54494000,-40007000,-28234000,-11527000,-246000,14487000,201000,-15000,216000,14688000,14688000,-5326000,9362000,9362000,9362000,9362000,33397000,33397000,68610000,68610000,45779000,29770000,10836000,147786000,25558000,176255000,42229000,89450000,5494000,201813000,349599000,41175000,13344000,27831000,157730000,146895000,10835000,198905000,13198000,10593000,2605000,13198000,212103000,167456000,-161596000,132152000,-516000,137496000,137496000,349599000,9362000,4122000,6794000,563000,20841000,-6630000,-506000,-7017000,-11000.0000000002,1609000,-734000,-4486000,9338000,9338000,-66000.0000000001,9272000,18609000,-2.3283064365387e-10,17868000,0.58107,0.15448,0.09983,0.06809,0.02678,1.90857,0.743,1.54261,0,0.21548,0.21233,2.15854,3.16468,0.41126,0.09763,0.11857,-1.79467,-2.30531
"7","2011_Q4",25.1684126984127,"Up",95413000,-39691000,55722000,-39688000,-27720000,-11719000,-249000,16034000,-111000,-4000,-107000,15923000,15923000,-5709000,10214000,10214000,10214000,10214000,51999000,51999000,62641000,62641000,57077000,30724000,21180000,171717000,28778000,170867000,40343000,89255000,5716000,199645000,371362000,40313000,9908000,30405000,176195000,155015000,21180000,216508000,9846000,6992000,2854000,9846000,226354000,171079000,-161966000,136582000,-687000,145008000,145008000,371362000,10214000,4206000,7859000,7992000,30271000,-5294000,-506000,-5645000,-10000,48000,306000,-5005000,19621000,19621000,-1019000,18602000,20240000,0,28647000,0.58401,0.16805,0.10705,0.07044,0.0275,2.80468,0.79312,1.56098,-8.67361737988404e-19,0.23454,0.23147,2.19096,3.32981,0.65782,0.1005,0.18499,-2.56912,-3.24305
"8","2012_Q1",28.9038709677419,"Up",95045000,-42074000,52971000,-40572000,-27860000,-12460000,-252000,12399000,161000,-7000,168000,12560000,10760000,-4409000,6351000,6351000,6351000,6351000,52520000,52520000,62656000,62656000,72772000,31016000,40205000,187948000,34397000,170245000,44660000,90122000,6087000,204642000,392590000,46171000,13464000,32707000,193870000,153665000,40205000,240041000,12547000,9772000,2775000,12547000,252588000,175455000,-166226000,131921000,-1148000,140002000,140002000,392590000,6351000,4619000,13445000,-7511000,16904000,-5218000,5.82076609134674e-11,-12128000,-5000.00000000373,68000,4e+05,-4931000,-155000,-155000,646000,491000,17018000,3.72529029846191e-09,8698000,0.55733,0.13045,0.06682,0.04536,0.01618,1.36955,0.78298,1.80417,0,0.14519,0.14285,2.17283,3.20059,0.19885,0.07699,0.05702,-3.08614,-4.23583
"9","2012_Q2",26.1231746031746,"Down",94706000,-41075000,53631000,-48379000,-34878000,-13304000,-197000,5252000,-452000,-144000,-308000,4800000,4800000,-2041000,2759000,2759000,2759000,2759000,45967000,45967000,63486000,63486000,54852000,32401000,20891000,164305000,34773000,170112000,42818000,90216000,8526000,204885000,369190000,40034000,12194000,27840000,173599000,152708000,20891000,213633000,11800000,9443000,2357000,11800000,225433000,182552000,-167205000,129279000,-869000,143757000,143757000,369190000,2759000,4816000,5055000,-8645000,3985000,-6297000,0,-6297000,0,2959000,-2130000,-4580000,-6892000,-6892000,339000,-6553000,10068000,0,-2833000,0.56629,0.05546,0.02913,0.01919,0.00747,-1.02682,0.7691,1.56815,-1.38777878078145e-17,0.06278,0.06184,2.15513,3.27133,-0.06447,0.05251,-0.01821,-4.56565,-8.75228
"10","2012_Q3",23.7325396825397,"Down",110190000,-50505000,59685000,-61362000,-45976000,-14856000,-530000,-1677000,-1569000,-1429000,-140000,-3246000,-3446000,1175000,-2271000,-2271000,-2271000,-2271000,21192000,21192000,89208000,89208000,64502000,44229000,18314000,174902000,43980000,449547000,177747000,262568000,8458000,493527000,668429000,55100000,17594000,37506000,193390000,175076000,18314000,413490000,13662000,9177000,3137000,108262000,521752000,194308000,-167646000,121616000,-1601000,146677000,146677000,668429000,-2271000,7407000,7581000,-5753000,6964000,-5271000,-235000,-285601000,259600000,25000,30000,254234000,-24403000,-24403000,-372000,-24775000,5730000,259600000,-6469000,0.54166,-0.01522,-0.02061,-0.01548,-0.0034,2.84852,0.42299,3.55715,0.38837,-0.05149,-0.0508,2.49848,3.32579,-0.14668,0.0075,-0.0154,41.60698,-142.16339
