"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",24.16328125,"Up",504028000,-289747000,214281000,-148072000,-148072000,66209000,147000,147000,66356000,68690000,-16485000,52205000,52205000,52205000,52205000,236294000,173937000,62357000,364015000,364015000,358210000,77485000,35227000,1036004000,227769000,68792000,40560000,14760000,13472000,296561000,1332565000,256777000,141929000,13397000,101451000,263919000,39232000,39232000,39232000,303151000,981230000,46758000,1029414000,1029414000,1332565000,52205000,9409000,-1136000,-185030000,-124552000,-6605000,-10545000,-33465000,-6057000,0,-9434000,566000,3000,-15488000,-173505000,-173505000,799000,-172706000,75618000,0,-99532000,0.42514,0.13136,0.10358,0.05071,0.03918,-1.90656,3.92546,0.29449,0,0.77439,0.75243,7.47661,15.27003,-1.47643,0.08985,0.05452,-0.09314,0.11602,-3.12484,-3.56891
"2","2011_Q1",26.3027419354839,"Up",457259000,-266362000,190897000,-156999000,-156999000,33898000,491000,491000,34389000,37502000,-11294000,26208000,26208000,26208000,26208000,303069000,234257000,68812000,300181000,300181000,314298000,73332000,28241000,990880000,221813000,82061000,40423000,14470000,27168000,303874000,1294754000,249473000,130626000,16037000,102810000,251626000,41154000,41154000,41154000,292780000,950207000,46715000,1001974000,1001974000,1294754000,26208000,10531000,-15575000,110441000,131605000,-7829000,-6492000.00000001,-14321000,-57231000,0,1825000,1825000,4000.00000000047,-55402000,61882000,61882000,-1562000,60320000,44429000,0,158335000,0.41748,0.07413,0.05732,0.02616,0.02024,6.04148,3.93791,0.2922,0,0.38932,0.3838,6.79252,14.88419,2.35205,0.85016,0.07999,0.15179,2.18372,-6.82142,-8.94062
"3","2011_Q2",27.3993650793651,"Up",333086000,-183550000,149536000,-134147000,-134147000,15389000,323000,323000,15712000,18243000,-5473000,12770000,12770000,12770000,12770000,335313000,234982000,100331000,218895000,218895000,303086000,92894000,49649000,950188000,225210000,80635000,40072000,14470000,26093000,305845000,1256033000,188048000,92356000,11303000,84389000,189240000,41889000,41889000,41889000,231129000,956215000,57124000,1024904000,1024904000,1256033000,12770000,10466000,4119000,8999000,36354000,-9010000,-31461000,-40471000,-6762000,0,5843000,5843000,-1399000,-2318000,-6435000,-6435000,7160000,725000,25855000,0,31317000,0.44894,0.0462,0.03834,0.01246,0.01017,2.45239,5.02107,0.22551,0,0.18891,0.18622,4.92745,15.16175,0.46328,0.10003,0.01831,0.02936,0.52952,-12.96898,-21.78914
"4","2011_Q3",23.91359375,"Down",268030000,-155617000,112413000,-134512000,-134512000,-22099000,461000,461000,-21638000,-18179000,4621000,-13558000,-13558000,-13558000,-13558000,298271000,207429000,90842000,174822000,174822000,422004000,105311000,60242000,1000408000,230363000,82080000,39721000,14438000,27921000,312443000,1312851000,250457000,159292000,9541000,81624000,252618000,44275000,42561000,44275000,296893000,935182000,62975000,1015958000,1015958000,1312851000,-13558000,10597000,2015000,-23439000,-24385000,-13470000,9642000,-3828000,-7475000,0,3921000,3921000,328000,-3226000,-31439000,-31439000,3886000,-27553000,-11502000,0,-53032000,0.4194,-0.08245,-0.05058,-0.01335,-0.01033,3.91149,3.96016,0.29223,-1.6940658945086e-21,-0.19964,-0.20255,3.94673,14.95992,-0.78089,0.11007,-0.00574,-0.05002,-0.55134,25.9321,13.49704
"5","2011_Q4",21.7274603174603,"Down",566791000,-317206000,249585000,-167375000,-167375000,82210000,462000,462000,82672000,87078000,-19539000,67539000,67539000,67539000,67539000,90365000,87942000,2423000,417976000,417976000,432104000,89525000,46789000,1029970000,231511000,82895000,39370000,14438000,29087000,314406000,1344376000,258567000,141546000,9001000,108020000,260646000,40026000,38442000,40026000,300672000,995281000,47388000,1043704000,1043704000,1344376000,67539000,11052000,1319000,-233904000,-153994000,-17523000,88090000,70567000,-7440000,0,-15851000,578000,-57000,-23348000,-106775000,-106775000,-12712000,-119487000,93262000,0,-138626000,0.44035,0.14504,0.11916,0.06471,0.05024,-2.05253,3.9516,0.28808,0,0.99765,0.96064,8.37234,15.41706,-2.04771,0.1099,0.06919,-0.12792,0.11016,-0.96894,-1.0992
"6","2012_Q1",21.0756451612903,"Down",526078000,-302304000,223774000,-178624000,-178624000,45150000,28000.0000000001,28000,45178000,50538000,-13810000,36728000,36728000,36728000,36728000,243912000,241034000,2878000,351538000,351538000,365199000,88877000,36392000,1049526000,250910000,82106000,39020000,14438000,28648000,333016000,1382542000,266048000,148973000,12579000,104496000,267002000,40995000,39242000,40995000,307997000,1024611000,46897000,1074545000,1074545000,1382542000,36728000,11445000,1492000,156156000,205821000,-38233000,-550000.000000015,-38783000,-7398000,-2.91038304567337e-11,-2922000,649000,-17999.9999999999,-10338000,156700000,156700000,-3608000,153092000,56595000,2.91038304567337e-11,188328000,0.42536,0.08582,0.06981,0.03418,0.02657,5.12764,3.93078,0.28663,0,0.54609,0.5416,7.82202,15.97694,2.80017,0.11,0.03956,0.16882,0.20143,-4.30977999999999,-5.40226
"7","2012_Q2",21.4846031746032,"Up",333141000,-185205000,147936000,-144556000,-144556000,3380000,247000,247000,3627000,5602000,-1704000,3898000,3898000,3898000,3898000,252753000,240725000,12028000,253297000,253297000,366564000,88940000,37421000,961554000,256420000,82098000,38670000,14438000,28990000,338518000,1300072000,180595000,90665000,9470000,80460000,181581000,39980000,38173000,39980000,221561000,1021090000,49626000,1078511000,1078511000,1300072000,3898000,11018000,2542000,4755000,22213000,-12004000,-9150000,-21154000,-7419000,0,3475000,3475000,-891000,-4835000,-3776000,-3776000,3467000,-309000,14398000,0,8853000,0.44406,0.01015,0.0117,0.00361,0.003,2.27116,5.29545,0.20543,0,0.05783,0.0574,4.94201,15.99927,0.13133,0.11006,0.01012,0.00792,1.90328,-17.55473,-74.77899
"8","2012_Q3",23.198253968254,"Up",290357000,-172489000,117868000,-133171000,-133171000,-15303000,191000,191000,-15112000,-10557000,2656000,-7901000,-7901000,-7901000,-7901000,228511000,193245000,35266000,203157000,203157000,523078000,97626000,45446000,1052372000,253009000,80714000,38319000,14438000,27957000,333723000,1386095000,285740000,196478000,5020000,84242000,286681000,40696000,38980000,40696000,327377000,1005759000,42578000,1058718000,1058718000,1386095000,-7901000,10026000,2454000,-8093000.00000003,-3514000.00000003,-9396000,-23163000,-32559000,-7430000,0,518000,724000,-36000.0000000001,-6948000,-43021000,-43021000,-4459000,-47480000,-5277000,-4.65661287307739e-10,-25422000,0.40594,-0.0527,-0.02721,-0.00746,-0.0057,3.21757,3.67088,0.30922,2.16840434497101e-19,-0.11694,-0.11695,4.29764,15.67032,-0.376280000000001,0.10997,-0.000430000000000003,-0.02312,-0.94039,43.3032,14.93243
"9","2012_Q4",24.3654838709677,"Up",545005000,-301320000,243685000,-160154000,-160154000,83531000,-17000,-17000,83514000,87801000,-23426000,64375000,64375000,64375000,64375000,96292000,94164000,2128000,422756000,422756000,475733000,92239000,38334000,1087020000,260423000,80403000,37968000,14438000,27997000,340826000,1427846000,246182000,109879000,13802000,122501000,257342000,42801000,41056000,42801000,300143000,1062674000,47547000,1127703000,1127703000,1427846000,64375000,9719000,1586000,-204955000,-129275000,-11025000,33192000,22167000,-7460000,10206000,5408000,5408000,270000,8424000,-98684000,-98684000,-397000,-99081000,93250000,10206000,-99304000,0.44712,0.15327,0.11812,0.05709,0.04509,-1.54259,4.22403,0.26615,0.00715,0.95238,0.94239,8.06292,16.68348,-1.46912,0.11036,0.06084,-0.08411,0.11588,-0.92317,-1.03059
"10","2013_Q1",24.146,"Down",501060000,-294155000,206905000,-158754000,-158754000,48151000,-42000,-42000,48109000,51061000,-11574000,39487000,39487000,39487000,39487000,335442000,290781000,44661000,334324000,334324000,363325000,89512000,38583000,1122603000,260524000,75715000,37618000,14438000,23659000,336239000,1458842000,251836000,142240000,4406000,105190000,252059000,40616000,38809000,40616000,292675000,1094690000,46663000,1166167000,1166167000,1458842000,39487000,10129000,8957000,200671000,259244000,-10967000,-42529000,-53496000,-7471000,-10050000,4993000,4993000,187000,-12341000,193407000,193407000,3210000,196617000,58280000,156000,259558000,0.41293,0.0961,0.07881,0.03386,0.02707,6.57325,4.45373,0.25097,0.00011,0.57938,0.56996,7.35188,17.11076,3.8084,0.10962,0.03891,0.21505,0.1892,-5.75302000000001,-6.96322
