"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","cost_of_goods_services","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.88142857142857,"Up",325559000,325559000,-51336000,-51336000,274223000,2069000,-230079000,-120706000,-80577000,-28796000,46213000,-53338000,-56167000,4929000,151000,-7125000,-354000,-7479000,-7479000,2648000,451000,3099000,-15264000,786175222.71783,786175222.71783,-17735646.1208608,-17735646.1208608,91014104.9272937,91014104.9272937,859453681.524263,4050605115.87872,4913624199.16538,-863019083.286663,2011127255.20504,2011127255.20504,6061732371.08377,6921186052.60803,163641226.062995,254481527.07351,-90840301.010515,635201740.978765,635201740.978765,798842967.041761,3022389982.25442,3022389982.25442,3821232949.29618,3566159497.516,-1583924862.58817,3104740633.47304,-4787530.16118629,3099953103.31185,6921186052.60803,2648000,65973000,-26528000,-21896000,20197000,-31460000,79193000,35850000,-56485000,-114517000,1211091276.28475,1211091276.28475,-1368000,-172370000,-116323000,-116323000,-116323000,112186000,0,0.84231,0.14195,-0.04689,-0.133906376362272,-0.0550113971386393,1.59377807217141,1.23829023581433,0.440933260773488,-0.0681,-0.0681,1.4524,11.4443846281041,0.25199,-0.0510380676308461,-3.70054,48.651504230187,159.97075296995
"2","2010_Q3",7.29765625,"Down",373564000,373564000,-45239000,-45239000,328325000,4973000,-276213000,-169768000,-78904000,-27541000,57085000,-58455000,-58133000,2016000,204000,-1370000,-23747000,-25117000,-25117000,-20640000,1104000,-19536000,-42391000,256265000,256265000,19382000,19382000,55532000,55532000,331179000,6202269000,7560208000,-1357939000,768239000,768239000,6970508000,7301687000,185458000,60351000,125107000,300393000,300393000,485851000,3734536000,3734536000,4220387000,3571901000,-1492987000,3039871000,41429000,3081300000,7301687000,-20640000,64263000,99986999.9999999,-15409000,128201000,-49213000,-3717000,-57624000.0000001,-56500000,-82491000,298148000,298148000,-4468000,154689000,225266000,225266000,225266000,121348000,3734536000,0.8789,0.15281,-0.11348,-0.01376,-0.00581,0.68165,1.36968,0.51146,-0.18666,-0.18666,1.64495,9.1543,0.24879,0.00207,-1.33283,28.6636,60.93144
"3","2010_Q4",7.588125,"Up",357757000,357757000,-46558000,-46558000,311199000,-125000,-259917000,-133130000,-93728000,-33059000,51157000,-62406000,-60776000,580000,149000,-11249000,55486000,44237000,45363000,57435000,-993000,56442000,34064000,20849000,20849000,26040000,26040000,19611000,19611000,66500000,6589979000,7984429000,-1394450000,903309000,903309000,7493288000,7559788000,210405000,36067000,174338000,209525000,209525000,419930000,4115599000,4115599000,4535529000,3573835000,-1501789000,2979321000,44938000,3024259000,7559788000,57435000,71116000,-23230000,-10867000,94454000,-275960000,22598000,-285195000,-59583000,16361000,-252000,-252000,-1201000,-44675000,-235416000,-235416000,-235416000,122273000,4115599000,0.86986,0.14299,0.09522,0.01126,0.00451,0.15836,1.49972,0.54441,0.13525,0.13235,1.42043,8.22678,0.23657,0.01312,1.74915,33.48859,80.04281
"4","2011_Q1",8.75548387096774,"Up",128024000,128024000,8267000,8267000,136291000,32745000,-127867000,-104590000,-22836000,-441000,41169000,-12897000,-11331000,455000,30000,28272000,-1748000.00000001,26524000,26524000,25819000,-26000,25793000,9483000.00000001,18384000,18384000,22588000,22588000,7408000,7408000,48380000,6326334000,7616751000,-1290417000,1269562000,1269562000,7595896000,7644276000,207470000,62407000,145063000,239824000,239824000,447294000,4207079000,4207079000,4654373000,3576242000,-1535172000,2945610000,44293000,2989903000,7644276000,25819000,69706000,83772000,-30993000,148304000,-265714000,288677000,18179000,-58915000,-106363000,108000,108000,-3778000,-168948000,-2464999.99999994,-2464999.99999994,-2464999.99999994,110875000,4207079000,1.06457,0.32157,0.07407,0.00317,0.00124,0.10816,1.5567,0.55036,0.03755,0.03839,0.5069,8.0814,0.23327,0.0095,6.2127,37.77853,101.74391
"5","2011_Q2",9.40301587301587,"Up",337533000,337533000,-40699000,-40699000,296834000,67856000,-252239000,-146861000,-77822000,-27556000,112451000,-53273000,-52124000,1073000,87000,59178000,-589000,58589000,58589000,64789000,-1083000,63706000,47569000,167115000,167115000,27166000,27166000,37570000,37570000,231851000,6428826000,7763400000,-1334574000,866814000,866814000,7295640000,7527491000,159377000,36211000,123166000,270761000,270761000,430138000,4071503000,4071503000,4501641000,3582163000,-1530508000,2954195000,71655000,3025850000,7527491000,64789000,67063000,-10394000,-93433000,28025000,-59579000,471292000,405645000,-58866000,-223658000,3.72529029846191e-09,3.72529029846191e-09,-2415000,-284939000,148731000,148731000,148731000,179514000,4071503000,0.87942,0.33316,0.14093,0.01572,0.00632,0.53902,1.48773,0.54088,0.18846,0.18378,1.33726,8.12839,0.23322,0.015,1.23749,21.74977,34.72079
"6","2011_Q3",8.175,"Down",314814000,314814000,-32437000,-32437000,282377000,492000,-240840000,-131510000,-83235000,-26095000,42029000,-54793000,-54337000,1713000,284000,-12764000,-594000.000000002,-13358000,-13358000,-13858000,790000,-13068000,-29042000,117645000,117645000,24741000,24741000,48263000,48263000,190649000,6473926000,7855845000,-1381919000,862510000,862510000,7336436000,7527085000,203302000,62046000,141256000,257484000,257484000,460786000,4111527000,4111527000,4572313000,3585500000,-1602578000,2885462000,69310000,2954772000,7527085000,-13858000,68746000,76268000,-14889000,116267000,-118883000,29745000.0000001,-99986999.9999999,-58925000,-4500000,0,0,-2325000,-65750000,-49470000,-49470000,-49470000,110775000,4111527000,0.89696,0.1335,-0.09225,-0.00983,-0.00386,0.41375,1.54743,0.54623,-0.11495,-0.11172,1.2461,7.8488,0.23324,0.00423,-2.02896,36.054,95.02681
"7","2011_Q4",7.65968253968254,"Down",312022000,312022000,-35088000,-35088000,276934000,-1438000,-237412000,-130040000,-80986000,-26386000,38084000,-54287000,-55304000,3104000,172000,-16203000,-342000,-16545000,-16351000,-14869000,825000,-14044000,-32076000,16182000,16182000,21685000,21685000,44425000,44425000,82292000,6528085000,7941889000,-1413804000,894284000,894284000,7422369000,7504661000,201978000,35725000,166253000,255417000,255417000,457395000,4272323000,4272323000,4729718000,3593910000,-1677991000,2709829000,65114000,2774943000,7504661000,-14869000,68325000,40746000,6590000,100792000,-130086000,-38801000,-180332000,-57373000,37492000,-1.86264514923096e-09,-1.86264514923096e-09,-2042000,-21923000,-101463000,-101463000,-101463000,106409000,4272323000,0.88755,0.12206,-0.1028,-0.01156,-0.00427,0.17991,1.70444,0.56929,-0.12688,-0.13417,1.23425,7.57873,0.22695,0.00359,-1.78866,39.99794,111.75667
"8","2012_Q1",9.37145161290323,"Up",243669000,243669000,-21493000,-21493000,222176000,1639000,-195069000,-115176000,-63027000,-16866000,28746000,-48128000,-45005000,-1325000,115000,-19382000,-12594000,-31976000,-31976000,60247000,-1276000,58971000,44965000,213809000,213809000,22255000,22255000,40247000,40247000,276311000,5892768000,7001418000,-1108650000,835358000,835358000,6728126000,7004437000,188350000,58904000,129446000,226840000,226840000,415190000,3809589000,3809589000,4224779000,3597117000,-1676341000,2714686000,64972000,2779658000,7004437000,60247000,63088000,54169000,-85051000,92453000,-412428000,1044281000,625609000,-57003000,-456270000,0,0,-7162000,-520435000,197627000,197627000,197627000,91834000,3809589000,0.91179,0.11797,0.18453,0.01618,0.00642,0.6655,1.51989,0.54388,0.17778,0.16028,0.96339,7.59416,0.22537,0.01547,1.26772,39.15521,125.08801
"9","2012_Q2",9.86111111111111,"Up",265661000,265661000,-35758000,-35758000,229903000,-277000,-191964000,-75760000,-88090000,-28114000,37662000,-59942000,-59299000,1509000,146000,-22280000,-580000,-22860000,-22860000,-18110000,643000,-17467000,-36390000,14740000,14740000,24045000,24045000,33257000,33257000,72042000,5991350000,7142672000,-1151322000,809013000,809013000,6800363000,6872405000,138996000,33675000,105321000,231069000,231069000,370065000,3816870000,3816870000,4186935000,3782957000,-1756961000,2651634000,33836000,2685470000,6872405000,-18110000,63860000,-12331000,-8076000,25343000,-173334000,39280000,-137575000,-53389000,-179178000,146969000,146969000,-1239000,-86837000,-199069000,-199069000,-199069000,101522000,3816870000,0.8654,0.14177,-0.13698,-0.01355,-0.0053,0.19467,1.55911,0.55539,-0.14085,-0.14085,1.02824,7.8416,0.20664,0.00261,-1.46713,37.45129,100.95401
"10","2012_Q3",10.2738095238095,"Up",259226000,259226000,-32686000,-32686000,226540000,119000,-184686000,-69473000,-87863000,-27350000,41973000,-60529000,-58726000,267000,98000,-18556000,-1029000,-19585000,-19585000,-17728000,328000,-17400000,-28482000,106565000,106565000,19618000,19618000,32969000,32969000,159152000,6116817000,7315890000,-1199073000,792121000,792121000,6908938000,7068090000,182791000,59506000,123285000,229278000,229278000,412069000,4036643000,4036643000,4448712000,3786421000,-1831321000,2580738000,38640000,2619378000,7068090000,-17728000,63622000,74917000,-5708000,115103000,-186270000,7246999.99999988,-191933000,-56379000,220434000,4289000,4289000,311000,168655000,91825000,91825000,91825000,105595000,4036643000,0.87391,0.16192,-0.10987,-0.01087,-0.00403,0.38623,1.69838,0.57111,-0.10677,-0.10678,0.9718,7.32939,0.21136,0.00419,-1.97946,37.21841,93.63348
