"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","deferred_tax_assets_short_term","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.205625,"Down",39521000,30153000,39062000,-8909000,9368000,5367000,4038000,36521000,-21294000,-21294000,15227000,15227000,-1061000,14166000,-4606000,9560000,9560000,9560000,8890000,-200295174.074992,520547266.348676,2692239529.81522,-43618039.3108563,2735857569.12608,72422176.0025942,61489837.0815924,12502085.7749593,11954138.3176495,472494839.629063,3691955883.50904,3103558998.09043,2716380243.33574,387178754.754685,77459821.1921063,236513454.848466,7218516.68430901,3424750790.81531,405524724.281124,-13071783.4607876,5333384.59998222,267205092.693733,267205092.693733,3691955883.50904,9560000,1340000,3e+06,24712000,-39250000,-638000,709000,-11314000,30672000,7865000,116867000,-2161000,753000,-46695000,-45021000,-96376000,19853000,19853000,19853000,16567000,0,-17368000,0.38529,0.22494,-0.0992104459583425,-0.0139947361414281,-1.95366,10.0349368327028,0.0846271430566497,0.07836,0.07771,0.34837,3.51621064416655,-0.1531,0.01905,-0.0131758322764063,-0.122652704325895,0.24308,20.2540099616745,22.0291353725708
"2","2011_Q1",4.26403225806452,"Up",39875000,33377000,42341000,-8964000,6498000,5343000,4761000,-23125000,-26162000,-26162000,-49287000,-49287000,25379000,-23908000,10101000,-13807000,-13807000,-13807000,-14477000,287532000,469864000,2414802000,-53348000,2468150000,81939000,59663000,11447000,18586000,390965000,3762646000,2961798000,2569176000,392622000,74459000,221601000,27863000,3285721000,433247000,-6079000,301000,476925000,476925000,3762646000,-13807000,1442000,6.3e+07,31909000,-62107000,20437000,-2385000,-46119000,52932000,867999.999999993,126218000,-2161000,142000,-56593000,-8578000,-67190000,79465000,79465000,79465000,-47845000,296060000,-122438000,-1.23604,-0.36306,-0.03035,-0.00385,8.45742,6.88939,0.07868,-0.12761,-0.12655,0.3515,3.76811,-1.07928,0.01905,-0.00327,-0.03254,-0.14927,-0.17824,-0.17303
"3","2011_Q2",4.60269841269841,"Up",44406000,34527000,42755000,-8228000,9879000,5435000,4444000,43156000,-23861000,-23861000,19295000,19295000,161000,19456000,-6740000,12716000,12716000,12716000,12046000,387403724.691664,484457327.883775,2309297323.39493,-57096736.8963813,2366394060.29131,87418274.6658019,59054054.3061359,10623554.7416802,21392120.5607835,369030636.790312,3743551122.16365,2899654250.63652,2476889752.22142,422764498.415105,69930226.2692979,206865098.383845,33333161.1052303,3209782736.3949,439517841.906292,3923511.15359588,1480455.13333926,533768385.768756,533768385.768756,3743551122.16365,12716000,1682000,1250000,32194000,-19856000,27986000,6481000,-39869000,28438000,27373000,22423000,-2163000,59000,-44267000,-31613000,-77984000,-27575000,-27575000,-27575000,20977000,0,14342000,0.43451,0.27127,0.00836764865278082,0.00147657871380937,1.1906,5.96119188909906,0.0739384523144501,0.10618,0.1053,0.39144,3.91141145194448,0.12642,0.01907,0.00200444409213545,0.00359756810863152,0.17956,-4.78581582055818,-5.18077845752361
"4","2011_Q3",4.58078125,"Down",45756000,35699000,43580000,-7881000,10057000,6241000,3816000,45756000,-23856000,-23856000,21900000,21900000,-930000.000000002,20970000,-7424000,13546000,13546000,13546000,12876000,279874000,541534000,2304170000,-56784000,2360954000,90128000,59663000,10030000,22265000,379210000,3694469000,2899793000,2437518000,462275000,65632000,194455000,30140000,3190020000,433591000,15766000,5545000,504449000,504449000,3694469000,13546000,1625000,0,19968000,-12359000,22780000,6684000,-25006000,46036000,-6420000.00000001,21294000,-2163000,38000.0000000019,-17738000,-4294000,-24157000,19917000,19917000,19917000,23525000,260087000,25274000,0.47863,0.28141,0.02552,0.00349,1.96288,6.32377,0.0704,0.11303,0.11223,0.40165,3.99317,0.22186,0.01899,0.00407,0.00684,0.16799,-0.841110000000002,-0.903520000000003
"5","2011_Q4",4.74412698412698,"Up",45597000,35712000,43259000,-7547000,9885000,6127000,3753000,45597000,-23736000,-23736000,21861000,21861000,75000,21936000,-7624000,14312000,14312000,14312000,13824000,152801000,610522000,2283191000,-54508000,2337699000,89894000,59663000,9325000,21998000,391102000,3622166000,2885049000,2405537000,479512000,62407000,187232000,24339000,3159027000,426135000,28218000,8786000,463139000,463139000,3622166000,14312000,1636000,0,24954000,-32958000,7944000,754000,-64801000,9264000,3925000,-50858000,-2313000,-56714000,-14744000,-10388000,-84159000,-127073000,-127073000,-127073000,23497000,249639000,-1083000,0.47944,0.30318,0.02985,0.00382,-0.07834,6.8209,0.06892,0.12155,0.12072,0.40093,4.07234,-0.00952,0.02034,0.00446,-3e-04,0.16732,4.12129,4.42972
"6","2012_Q1",5.18935483870968,"Up",47111000,35317000,42212000,-6895000,11794000,6213000,3338000,44861000,-23269000,-23269000,21592000,21592000,388000,21980000,-7813000,14167000,14167000,14167000,14167000,184304000,671221000,2189696000,-52129000,2241825000,88465000,59663000,8620000,22850000,378198000,3604117000,2858031000,2393450000,464581000,62319000,187108000,22593000,3130051000,425932000,40130000,8004000,474066000,474066000,3604117000,14167000,738000,2250000,35555000,-18744000,33966000,-1365000,-63201000,89318000,2570000,27322000,-2255000,-735999.999999993,-27018000,223999.999999998,-29785000,31503000,31503000,31503000,22330000,249427000,10034000,0.45832,0.30072,0.02988,0.00393,0.70827,6.60256,0.06921,0.12527,0.12448,0.41659,4.19201,0.08873,0.01994,0.00456,0.00278,0.15917,2.91639,3.01607
"7","2012_Q2",5.67301587301587,"Up",46744000,36534000,42988000,-6454000,10210000,6529000,3662000,46744000,-24386000,-24386000,22358000,22358000,-107000,22251000,-7753000,14498000,14498000,14498000,14498000,346238000,759959000,2450529000,-51014000,2501543000,100674000,77090000,11180000,34680000,366227000,4147952000,3380399000,2796448000,583951000,72531000,187084000,27403000,3667417000,421287000,51800000,7448000,480535000,480535000,4147952000,14498000,1453000,0,30374000,-8392000,37933000,2316000,-90846000,72037000,-275000,123466000,-2828000,-4812000,-2064000,10239000,535000,161934000,161934000,161934000,23811000,259615000,25488000,0.47831,0.31016,0.03017,0.0035,1.75804,7.63195,0.06259,0.12839,0.12757,0.41396,4.25553,0.22572,0.02504,0.00418,0.00614,0.19506,-3.63794,-3.87436
"8","2012_Q3",6.37904761904762,"Up",49496000,39159000,45089000,-5930000,10337000,6891000,3455000,48163000,-24424000,-24424000,23739000,23739000,716000,24455000,-8965000,15490000,15490000,15490000,15490000,358530000,712820000,2411398000,-56511000,2467909000,100694000,77090000,10486000,31115000,353697000,4056405000,3293529000,2696155000,597374000,66620000,184854000,15967000,3560970000,420819000,64478000,10138000,495435000,495435000,4056405000,15490000,1503000,1333000,41878000,-49107000,11097000,13473000,50405000,34924000,799999.999999998,99602000,-2812000,-754000,-86870000,-7971000,-98407000,12292000,12292000,12292000,25242000,251474000,-1427000,0.47961,0.31295,0.03127,0.00382,-0.0921200000000002,7.18756,0.06199,0.13784,0.13693,0.44043,4.40857,-0.0127,0.02502,0.00451,-0.00035,0.18154,-4.24119,-4.50971
"9","2012_Q4",6.78564516129032,"Up",49272000,38625000,43542000,-4917000,10647000,6953000,3694000,49105000,-23981000,-23981000,25124000,25124000,-21000,25103000,-9008000,16095000,16095000,16095000,16095000,155629000,755197000,2429224000,-54440000,2483664000,105131000,77090000,9792000,33680000,320391000,3887909000,3132469000,2535723000,596746000,61499000,159373000,24590000,3377931000,420877000,77190000,11911000,509978000,509978000,3887909000,16095000,1504000,167000,54097000,-18759000,53104000,1279000,-40940000,-19622000,-1200000,-60483000,-3383000,-296000,-161060000,-15050000,-195522000,-202901000,-202901000,-202901000,26628000,220872000,18156000,0.5099,0.32666,0.03156,0.00414,1.12805,6.62368,0.05681,0.14294,0.14198,0.4376,4.52927,0.16125,0.03005,0.00501,0.00467,0.21019,2.45017,2.59684
"10","2013_Q1",7.11466666666667,"Up",52173000,41282000,45516000,-4234000,10891000,7124000,3768000,50923000,-29577000,-29577000,21346000,21346000,5296000,26642000,-9703000,16939000,16939000,16939000,16939000,231855000,726223000,2665451000,-50632000,2716083000,113883000,85681000,12061000,46998000,342830000,4242130000,3483452000,2817038000,666414000,66278000,159255000,17672000,3726657000,416635000,86837000,12001000,515473000,515473000,4242130000,16939000,1530000,1250000,44321000,-48495000,15545000,8220000,39842000,-14596000,200838000,199715000,-7292000,-5729000,-114816000,-11930000,-139034000,76226000,76226000,76226000,22876000,225533000,-7696000,0.40914,0.32467,0.03286,0.00399,-0.45434,7.22959,0.05317,0.15084,0.15002,0.4646,4.59031,-0.06853,0.06494,0.00571,-0.00181,0.43049,-0.27636,-0.29617
