"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",49.4109375,"Up",201810000,-21422000,180388000,-94791000,-18583000,-65957000,-10251000,85597000,-22749000,-38074000,15325000,62848000,-784000,62064000,6002000,68066000,68066000,-2792000,65274000,65274000,171331000,171331000,758858000,725676000,930189000,4123399000,5523209000,-1399810000,3234283000,1874885000,645736000,358068000,355594000,7357682000,8287871000,357447000,247138000,110309000,357447000,4389131000,170823000,59022000,111801000,4559954000,4917401000,4439540000,107000,4439433000,-1097415000,-193091000,3149034000,221436000,3370470000,8287871000,68066000,65837000,-10419000,-20538000,102946000,-70054000,30624000,-40145000,-109407000,72074000,-22834000,-60167000,2634000,2634000,3073000,5707000,151434000,4389131000,54840000,0.89385,0.42415,0.32344,0.01937,0.00788,0.84015,2.60231,1.45897,0.52958,0.60406,0.60321,1.86761,29.14209,0.50751,1.01248,0.02203,0.00692,1.67612,27.8524,49.27509
"2","2018_Q3",50.9414285714286,"Up",201143000,-20178000,180965000,-86332000,-16442000,-64337000,-5553000,94633000,-28753000,-41311000,12558000,65880000,19806000,85686000,-6262000,79424000,79424000,-3743000,75681000,75681000,122430000,122430000,705588000,705588000,828018000,4206509000,5651906000,-1445397000,3232173000,1860218000,642060000,363622000,366273000,7438682000,8266700000,356260000,245288000,110972000,356260000,4401058000,196413000,88871000,107542000,4597471000,4953731000,4443481000,107000,4443374000,-1132182000,-211395000,3099904000,213065000,3312969000,8266700000,79424000,66351000,-19293000,-514000,125968000,-170987000,-315000.000000007,-171302000,-109785000,119987000,-8368000,1834000,-43500000,-43500000,-8065000,-51565000,160984000,4401058000,-4255000,0.89968,0.47048,0.37625,0.02284,0.00915,-0.0562200000000002,2.3242,1.49525,0.53238,0.70036,0.69898,1.86141,28.68704,-0.0393799999999999,1.01597,0.02345,-0.000539999999999998,1.45063,26.57797,45.21285
"3","2018_Q4",52.3419047619048,"Up",209384000,-19974000,189410000,-89290000,-15863000,-67825000,-5602000,100120000,-23377000,-41740000,18363000,76743000,7545000,84288000,-2715000,81573000,81573000,-4225000,77348000,77348000,176612000,176612000,810881000,702151000,987493000,4309438000,5794494000,-1485056000,3222057000,1826175000,641734000,366306000,387842000,7531495000,8518988000,377364000,265676000,111688000,377364000,4663784000,204831000,98933000,105898000,4868615000,5245979000,4445533000,107000,4445426000,-1165914000,-217896000,3061723000,211286000,3273009000,8518988000,81573000,69795000,632000,-11155000,140845000,-257953000,7856000,-250097000,-110360000,278865000,-5310000,163195000,53943000,53943000,-2961000,50982000,169915000,4663784000,-96478000,0.90461,0.47816,0.36941,0.02363,0.00908,-1.24732,2.61682,1.6028,0.54746,0.71569,0.71436,1.93741,28.32984,-0.8927,1.02115,0.02306,-0.01185,1.4268,26.40833,44.81794
"4","2019_Q1",58.8522950819672,"Up",273395000,-31350000,242045000,-116898000,-17449000,-93321000,-6128000,125147000,-41982000,-57250000,15268000,83165000,123549000,206714000,-11436000,195278000,195278000,-2015000,193263000,193263000,217644000,217644000,1306215000,1306215000,1523859000,7687214000,9251396000,-1564182000,4971966000,2935425000,920944000,329248000,786349000,12659180000,14183039000,576050000,403896000,172154000,576050000,6378691000,398243000,173115000,225128000,6776934000,7352984000,8187500000,165000,8187335000,-1143992000,-219230000,6824278000,5776999.99999997,6830055000,14183039000,195278000,96183000,-157649000,5595000,139407000,103388000,-2464000,195412000,-110879000,-300356000,-4285000,-129154000,205665000,205665000,3598000,209263000,221330000,6378691000,341749000,0.88533,0.45775,0.7069,0.0283,0.01363,1.76831,2.64536,1.07656,0.44974,1.32564,1.32314,1.87529,46.80947,2.34414,0.76055,0.02235,0.02512,0.57372,27.83647,49.23048
"5","2019_Q2",65.5614285714286,"Up",298323000,-37545000,260778000,-140031000,-21285000,-112379000,-6367000,120747000,-55822000,-61313000,5491000,64925000,1742000,66667000,2129000,68796000,68796000,-302000,68494000,68494000,243325000,243325000,1279122000,1279122000,1522447000,7714484000,9396426000,-1681942000,4918971000,3023900000,918673000,320066000,656332000,12633455000,14155902000,629885000,452920000,176965000,629885000,6123488000,384800000,167294000,217506000,6508288000,7138173000,8483471000,170000,8483301000,-1256754000,-215420000,7011297000,6432000,7017729000,14155902000,68796000,115400000,7548000,-48898000,142846000,-187154000,35585000,-154163000,-171408000,-223166000,-13974000,-104717000,-116034000,-116034000,-2350000,-118384000,236147000,6123488000,-2034000,0.87415,0.40475,0.2296,0.00976,0.00484,-0.0297,2.41702,1.01716,0.43257,0.40957,0.40908,1.78386,41.92504,-0.01216,1.02496,0.01774,-0.00015,2.50253,24.90043,48.69821
"6","2019_Q3",71.411875,"Up",305211000,-38527000,266684000,-139947000,-19729000,-113632000,-6586000,126737000,-55768000,-59719000,3951000,70969000,-1729000,69240000,-3119000,66121000,66121000,-83000,66038000,66038000,202279000,202279000,1366096000,1263319000,1568375000,7667678000,9480306000,-1812628000,4955954000,3056784000,920218000,317159000,661793000,12623632000,14192007000,642082000,463417000,178665000,642082000,6177011000,382120000,168841000,213279000,6559131000,7201213000,8576416000,171000,8576245000,-1368457000,-223554000,6984405000,6389000,6990794000,14192007000,66121000,116700000,11001000,-8507999.99999999,185314000,-166914000,13722000,-153192000,-176041000,13211000,-2407000,-76934000,-44812000,-44812000,743999.999999999,-44068000,243437000,6177011000,71133999.9999999,0.87377,0.41524,0.21637,0.00945,0.00465,1.07717,2.44264,1.0301,0.43525,0.38545,0.38482,1.78146,40.76661,0.4152,1.02752,0.01787,0.00525,2.66575,24.54324,47.14276
"7","2019_Q4",71.03671875,"Down",318005000,-39321000,278684000,-133237000,-17210000,-109517000,-6510000,145447000,-52857000,-58626000,5769000,92590000,-46598000,45992000,-4157000,41835000,41835000,-496000,41339000,41339000,331687000,331687000,1280314000,1176301000,1612001000,7525068000,9439301000,-1914233000,4946570000,3023541000,930864000,315641000,676524000,12471638000,14083639000,651337000,470540000,180797000,651337000,6097189000,370691000,163036000,207655000,6467880000,7119217000,8712613000,172000,8712441000,-1506795000,-247712000,6958106000,6316000,6964422000,14083639000,41835000,112824000,70497000,24169000,249325000,-103329000,-10573000,-113903000,-177545000,48083000,-1014000,921000,136343000,136343000,-9225000,127118000,258271000,6097189000,183268000,0.87635,0.45737,0.12999,0.00594,0.00294,4.4333,2.47491,1.02223,0.43293,0.23997,0.23951,1.84599,40.39128,1.06386,1.03064,0.0163,0.01364,4.29485,22.32346,39.63988
"8","2020_Q1",65.1496774193548,"Down",311227000,-34290000,276937000,-135579000,-17069000,-111607000,-6903000,141358000,-23098000,-53667000,8018000,118260000,32596000,150856000,-21064000,129792000,129792000,-420000,129372000,129372000,196028000,196028000,1000559000,896549000,1196587000,7820196000,9856191000,-2035995000,5044135000,3095990000,934688000,324004000,689453000,12864331000,14060918000,668751000,487405000,181346000,668751000,6053943000,390051000,179309000,210742000,6443994000,7112745000,8717707000,172000,8717535000,-1557374000,-218404000,6941929000,6244000,6948173000,14060918000,129792000,115106000,-27052000,16746000,234592000,-117800000,13690000,-101515000,-179402000,-97031000,522916000,-277048000,-143971000,-143971000,6760000,-137211000,256464000,6053943000,176474000,0.88982,0.4542,0.41568,0.01862,0.0092,1.36408,1.78929,1.02369,0.43055,0.74705,0.7454,1.79716,40.08564,1.01904,1.03594,0.02306,0.01318,1.38671,22.84108,41.44028
"9","2020_Q2",54.2965079365079,"Down",308999000,-32503000,276496000,-140877000,-20745000,-116194000,-3938000,135619000,-92938000,-52540000,-45790000,42681000,-17671000,25010000,41692000,66702000,66702000,-612000,66090000,66090000,220929000,220929000,844945000,844945000,1065874000,7875345000,10019597000,-2144252000,4949089000,3080861000,929887000,276109000,662232000,12824434000,13890308000,661040000,479408000,181632000,661040000,6121643000,334549000,132041000,202508000,6456192000,7117232000,8712416000,172000,8712244000,-1688744000,-252727000,6770945000,2131000,6773076000,13890308000,66702000,119483000,24182000,-30670000,179697000,-145864000,36627000,-109832000,-180274000,160191000,-12460000,-32543000,37322000,37322000,-4550000,32772000,255102000,6121643000,36876000,0.89481,0.4389,0.21388,0.00976,0.00476,0.55797,1.61242,1.05081,0.44071,0.38147,0.38101,1.78355,39.08211,0.21285,1.04055,0.01862,0.00279,2.7277,23.1308,43.50949
"10","2020_Q3",59.81546875,"Up",290530000,-29246000,261284000,-128059000,-17472000,-107477000,-3110000,133225000,-13611000,-52182000,33983000,119614000,3185000,122799000,-7595000,115204000,115204000,-9904000,105300000,105300000,137157000,137157000,752630000,752630000,889787000,8030024000,10287575000,-2257551000,5036202000,3093765000,898842000,284643000,758952000,13066226000,13956013000,699549000,515811000,183738000,699549000,6122267000,331742000,134519000,197223000,6454009000,7153558000,8815282000,174000,8815108000,-1765892000,-248599000,6800791000,1664000,6802455000,13956013000,115204000,110751000,-39021000,-26580000,160354000,-132270000,39731000,-92539000,-180342000,-70443000.0000001,99772000,-151013000,-83198000,-83198000,2900000,-80298000,243976000,6122267000,92721000,0.89934,0.45856,0.36244,0.01548,0.00755,0.88054,1.27194,1.05161,0.43868,0.60726,0.60667,1.67547,39.21985,0.53472,1.04002,0.02155,0.00699,1.71265,24.53155,44.92483
