"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",20.1638095238095,"Down",149648000,-163358000,-13710000,-2200057000,-1394209000,-805848000,-2213767000,1916000,1729000,187000,-2211851000,-2211851000,3014000,-2208837000,-2208837000,-2208837000,-2208837000,3242556000,1427114000,1815442000,147677000,147677000,72973000,72973000,3463206000,116132000,462439000,79781000,332205000,50453000,578571000,4041777000,242285000,13849000,228436000,242285000,63974000,63974000,63974000,306259000,7157597000,-3420444000,-1635000,3735518000,3735518000,4041777000,-2208837000,12450000,1992525000,48865000,-154997000,-17993000,-978167000,-18013000,-625000,-1014798000,594000,594000,2446194000,2446788000,1276993000,1276993000,1276993000,-2201317000,0,-2173459000,-0.09161,-14.79316,-14.76022,-0.59131,-0.5465,0.98398,14.29393,0.08199,0,-2.31291,-2.31291,0.1567,3.91152,-2.27587,-0.58135,-0.57204,1.47301,1.46472
"2","2017_Q3",14.4715873015873,"Down",181671000,-152148000,29523000,-478541000,-222806000,-255735000,-449018000,6137000,5351000,786000,-442881000,-442881000,-212000.000000004,-443093000,-443093000,-443093000,-443093000,2797596000,501677000,2295919000,171525000,171525000,77777000,77777000,3046898000,128031000,700545000,136005000,502825000,61715000,828576000,3875474000,258309000,17770000,240539000,258309000,76258000,76258000,76258000,334567000,7400854000,-3863537000,3590000,3540907000,3540907000,3875474000,-443093000,12585000,241187000,-20253000,-209574000,-27085000,-479629000,-206163000,-6905000,-719782000,189000,189000,-6169000.00000048,-5980000.00000048,-935336000,-935336000,-935336000,-436433000,0,-483559000,0.16251,-2.4716,-2.43899,-0.12514,-0.11433,1.09133,11.79555,0.09449,0,-0.36127,-0.36127,0.14812,2.887,-0.39426,-0.1225,-0.13368,6.41014,6.23048
"3","2017_Q4",14.5768253968254,"Up",207937000,-210710000,-2773000,-459054000,-219612000,-239442000,-461827000,6368000,5366000,1002000,-455459000,-455459000,12300000,-443159000,-443159000,-443159000,-443159000,2298068000,317554000,1980514000,194971000,194971000,54692000,54692000,2547731000,143112000,851537000,164612000,612823000,74102000,994649000,3542380000,296164000,15207000,280957000,296164000,70946000,70946000,70946000,367110000,7470284000,-4306696000,11682000,3175270000,3175270000,3542380000,-443159000,17467000,229025000,2654000,-194013000,-26253000,317436000,-128231000,0,162952000,6072000,6072000,-159134000,-153062000,-184123000,-184123000,-184123000,-444360000,0,-480259000,-0.01334,-2.22099,-2.13122,-0.13957,-0.1251,1.08372,8.60243,0.11562,0,-0.35782,-0.35782,0.16789,2.56378,-0.38777,-0.13652,-0.14794,5.17164,4.97604
"4","2018_Q1",16.227868852459,"Up",285693000,-191246000,94447000,-455411000,-221573000,-233838000,-360964000,7747000,5194000,2553000,-353217000,-353217000,3240000,-349977000,-349977000,-349977000,-349977000,2043039000,334063000,1708976000,279473000,279473000,44282000,44282000,2366794000,166762000,888010000,166473000,639882000,81655000,1054772000,3421566000,346256000,71194000,275062000,346256000,82983000,82983000,82983000,429239000,7634837000,-4656667000,14157000,2992327000,2992327000,3421566000,-349977000,18786000,175309000,-20201000,-176083000,-21294000,272016000,-33604000,-2500000,214618000,4524000,4524000,-26922000,-22398000,16137000,16137000,16137000,-342178000,-1.45519152283669e-11,-386913000,0.33059,-1.26347,-1.22501,-0.11696,-0.10229,1.10554,6.83539,0.14345,-3.3881317890172e-21,-0.28126,-0.28126,0.2296,2.40477,-0.31094,-0.1138,-0.12581,5.97069,5.65995
"5","2018_Q2",12.8971875,"Down",230666000,-196798000,33868000,-426398000,-225412000,-200986000,-392530000,8323000,5170000,3153000,-384207000,-384207000,-1578000,-385785000,-385785000,-385785000,-385785000,1821353000,466323000,1355030000,231409000,231409000,58469000,58469000,2111231000,191043000,879756000,156525000,645707000,77524000,1070799000,3182030000,301357000,28562000,272795000,301357000,88825000,88825000,88825000,390182000,7813337000,-5042452000,20963000,2791848000,2791848000,3182030000,-385785000,21553000,130102000,2149000,-231981000,-36375000,355622000,0,0,319247000,45809000,45809000,-551000,45258000,132524000,132524000,132524000,-370977000,0,-403625000,0.14683,-1.70172,-1.67248,-0.13818,-0.12124,1.04624,7.00575,0.13976,0,-0.30353,-0.30353,0.18148,2.19658,-0.31757,-0.13392,-0.14011,4.90961,4.64004
"6","2018_Q3",11.6142857142857,"Down",262263000,-191565000,70698000,-428540000,-225294000,-203246000,-357842000,5609000,5670000,-61000,-352233000,-352233000,-1077000,-353310000,-353310000,-353310000,-353310000,1570003000,393183000,1176820000,244815000,244815000,54032000,54032000,1868850000,214230000,867633000,147197000,635482000,84954000,1081863000,2950713000,279342000,22644000,256698000,279342000,87303000,87303000,87303000,366645000,7971623000,-5395762000,8207000,2584068000,2584068000,2950713000,-353310000,22515000,150494000,-19045000,-199346000,-37406000,181624000,-1.86264514923096e-09,-21010000,123208000,1914000.00000001,1914000.00000001,4.65661287307739e-10,1914000,-74224000.0000001,-74224000.0000001,-74224000.0000001,-335327000,1.16415321826935e-10,-390701000,0.26957,-1.36444,-1.34716,-0.13673,-0.11974,1.10583,6.69019,0.14189,2.71050543121376e-20,-0.27254,-0.27254,0.20231,1.99336,-0.30139,-0.13226,-0.14625,4.68201,4.38742
"7","2018_Q4",6.50444444444444,"Down",297695000,-197554000,100141000,-423512000,-220002000,-203510000,-323371000,-1533000,6092000,-7625000,-324904000,-324904000,-244000,-325148000,-325148000,-325148000,-325148000,1414407000,350398000,1064009000,261833000,261833000,48887000,48887000,1725127000,216609000,842040000,136473000,634186000,71381000,1058649000,2783776000,285520000,20175000,265345000,285520000,114164000,114164000,114164000,399684000,8098532000,-5720910000,6470000,2384092000,2384092000,2783776000,-325148000,24898000,168561000,-854000,-132543000,-26285000,116096000,0,-250000,89561000,142000,142000,0,142000,-42840000,-42840000,-42840000,-298473000,0,-325368000,0.33639,-1.08625,-1.09222,-0.13638,-0.1168,1.00068,6.04205,0.16765,0,-0.25713,-0.25713,0.23542,1.88534,-0.2573,-0.13015,-0.13024,4.73881,4.37395
"8","2019_Q1",8.50196721311475,"Up",389822000,-212948000,176874000,-371581000,-207138000,-164443000,-194707000,2687000,6402000,-3715000,-192020000,-192020000,352000,-191668000,-191668000,-191668000,-191668000,1279063000,387149000,891914000,354965000,354965000,41900000,41900000,1675928000,212560000,825618000,126054000,632370000,67194000,1038178000,2714106000,292691000,30876000,261815000,292691000,110416000,110416000,110416000,403107000,8220430000,-5912578000,3147000,2310999000,2310999000,2714106000,-191668000,22682000,120801000,-77869000,-126054000,-20176000,175953000,-815000,7476000,162438000,123000,123000,0,123000,36507000,36507000,36507000,-172025000,0,-270422000,0.45373,-0.49948,-0.49168,-0.08294,-0.07062,1.41089,5.72593,0.17443,4.33680868994202e-19,-0.13986,-0.13986,0.28446,1.68638,-0.19733,-0.07916,-0.11168,7.43533,6.56917
"9","2019_Q2",12.2288888888889,"Up",320426000,-203767000,116659000,-432720000,-216535000,-216185000,-316061000,5933000,7060000,-1127000,-310128000,-310128000,-279000,-310407000,-310407000,-310407000,-310407000,1208732000,245639000,963093000,282407000,282407000,41701000,41701000,1532840000,195302000,1097601000,115386000,629596000,352619000,1292903000,2825743000,276826000,31827000,244999000,322904000,336962000,336962000,336962000,659866000,8388622000,-6222677000,-68000,2165877000,2165877000,2825743000,-310407000,23319000,160373000,60537000,-66178000,-11785000,-66893000,-20470645.2043782,-2250000,-80928000,5596000,5596000,0,5596000,-141510000,-141510000,-141510000,-292742000,0,-243711000,0.36407,-0.98638,-0.96873,-0.14332,-0.10985,0.78513,4.74705,0.30466,0,-0.23154,-0.23154,0.23901,1.61558,-0.18179,-0.12402,-0.09737,4.129,3.82436
"10","2019_Q3",16.013125,"Up",388021000,-215492000,172529000,-477347000,-241148000,-236199000,-304818000,50722000,6637000,44085000,-254096000,-254096000,-1078000,-255174000,-255174000,-255174000,-255174000,1184794000,335744000,849050000,313504000,313504000,41457000,41457000,1539755000,185440000,1050830000,79811000,628474000,342545000,1236270000,2776025000,292837000,51902000,240935000,339937000,319390000,319390000,319390000,659327000,8592447000,-6477851000,2102000,2116698000,2116698000,2776025000,-255174000,22660000,154583000,-17858000,-95789000,-7633000,118002000,-50517970.359603,74346000,184715000,1342000,1342000,-3.72529029846191e-09,1341999.99999994,90268000,90268000,90268000,-282158000,2.98023223876953e-08,-306571000,0.44464,-0.78557,-0.65763,-0.12055,-0.09192,1.20142,4.52953,0.31149,-6.93889390390723e-18,-0.1875,-0.1875,0.28512,1.55535,-0.22527,-0.10475,-0.12585,4.19904,3.88689
