"","YQ","p","d","revenue","net_premiums_earned","other_operating_income","total_realized_investment_gains","total_otti_realized","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.67875,"Up",24844000,24577000,267000,211000,211000,56000,-16451000,-7409000,-2045000,-1061000,1642000,-660000,581000,581000,-56000,525000,525000,525000,-127000,398000,205093183.215394,27030744.6057969,15595710.8295307,24148572.7415905,59057013.872694,330925225.265006,142590485.749811,70293585.1511899,212884070.901001,70000.7323322773,79445062.6689931,2419360.93455803,8765728.08198237,27341001.9461394,118041154.364005,118041154.364005,330925225.265006,525000,86000,175000,-991000,-205000,17921000,17921000,-12000,-12000,17704000,17704000,17704000,-975000,0,-0.04271,0.01602,0.0666330586229299,0.0218678813963758,1.71937143053986,0,0.0179,0.01776,1.11719,5.30406175053131,0.0227533792291994,813.434165827098,450.707850623855
"2","2011_Q1",1.93161290322581,"Up",24391000,25291000,-9e+05,-965000,-965000,65000,-17588000,-6723000,-2322000,-2242000,1645000,-657000,-597000,-597000,569000,-27999.9999999998,-27999.9999999998,-27999.9999999998,-127000,-155000,184628000,28325000,7051000,21239000,36323000,277566000,137902000,56971000,194873000,70000,79503000,-162000,3886000,-604000,82693000,82693000,277566000,-27999.9999999998,87000,-341000,4859000,4577000,-40617000,-40617000,-34000,-542000,-36582000,-36582000,-36582000,-2155000,0,-0.09192,-0.00635,-0.00187,-0.00056,2.35658,0,-0.00697,-0.00692000000000001,1.09682,3.7154,0.0016,13.14385,12.63381
"3","2011_Q2",1.89904761904762,"Down",25486000,25422000,64000,1000,1000,63000,-16631000,-7901000,-2255000,-1301000,1929000,-640000,628000,628000,-159000,469000,469000,469000,-127000,342000,186526355.594869,27168585.131401,5443929.72348977,20838809.0861365,24305495.3757687,264283174.911665,136292671.41673,52436721.61627,188729393.033,69999.7558892409,79513812.443669,-663036.978186011,3470007.30600588,-6837000.64871312,75553781.8786649,75553781.8786649,264283174.911665,469000,93000,250000,-3359000,-2547000,-7021000,-7021000,-9000,-9000,-9577000,-9577000,-9577000,-1208000,0,-0.05105,0.01342,-0.01538435287431,-0.00500929379879193,2.45356785648671,0,0.01538,0.01526,1.14606,3.3915027498229,-0.00260779307639981,-152.920762775699,-78.069828541285
"4","2011_Q3",1.8146875,"Down",26382000,26197000,185000,69999.9999999999,70000,115000,-18221000,-7545000,-2328000,-1712000,2044000,-647000,332000,332000,-140000,192000,192000,192000,-127000,64999.9999999999,201116000,24652000,7491000,21919000,19708000,274886000,137403000,53295000,190698000,70000,79503000,-216000,5351000,-520000.000000004,84188000,84188000,274886000,192000,94000,-706000,1924000,1504000,4890000,4890000,-45000,-490000,5904000,5904000,5904000,-1618000,0,-0.06489,0.00246,0.00076999999999999,0.000240000000000002,2.26514,0,0.00292,0.0029,1.18635,3.78262,0.0023,15.2360899999998,14.39953
"5","2011_Q4",1.75698412698413,"Down",28148000,27211000,937000,903000,903000,34000,-19301000,-6746000,-2332000,-231000,1999000,-653000,1768000,1768000,-64000,1704000,1704000,1704000,-127000,1577000,218764000,22385000,9487000,23396000,18829000,292861000,141192000,56543000,197735000,70000,79503000,-233000,6928000,8858000,95126000,95126000,292861000,1704000,96000,-1697000,918000,1021000,-3271000,-3271000,-17000,-17000,-2267000,-2267000,-2267000,-135000,0,-0.00821,0.05603,0.01658,0.00538,2.07866,0,0.07095,0.07049,1.26644,4.27679,0.00667,165.81481,96.90476
"6","2012_Q1",2.1858064516129,"Up",27729000,28641000,-912000,-947000,-947000,35000,-19461000,-7344000,-2353000,-1429000,2016000,-659000,587000,587000,338000,925000,925000,925000,-127000,798000,229785000,21285000,8289000,24259000,18507000,302125000,147194000,58654000,205848000,70000,79537000,-1753000,6179000,12244000,96277000,96277000,302125000,925000,105000,-534000,8654000,9150000,-8720000,-8720000,-1530000,-1530000,-1100000,-1100000,-1100000,-1324000,0,-0.05153,0.02878,0.00829,0.00264,2.13808,0,0.03604,0.03583,1.25233,4.345,0.00328,16.07628,14.89503
"7","2012_Q2",2.61507936507937,"Up",31668000,30681000,987000,958000,958000,29000,-22672000,-7033000,-2469000,-506000,2226000,-657000,1720000,1720000,-63000,1657000,1657000,1657000,-127000,1530000,230191000,18037000,7477000,24730000,20152000,300587000,149882000,54787000,204669000,70000,79537000,-1753000,7283000,10781000,95918000,95918000,300587000,1657000,112000,-1462000,-1031000,-724000,-2016000,-2016000,0,-508000,-3248000,-3248000,-3248000,-394000,0,-0.01598,0.04831,0.01595,0.00509,2.13379,0,0.07192,0.07166,1.48858,4.50541,0.00829,45.77919,35.64625
"8","2012_Q3",2.51809523809524,"Down",32098000,31592000,506000,470000,470000,36000,-23095000,-7970000,-2376000,-1343000,2197000,-658000,854000,854000,-73000,781000,781000,781000,-127000,654000,236344000,21858000,7039000,25449000,18037000,308727000,149272000,57863000,207135000,70000,79559000,-1724000,7937000,15750000,101592000,101592000,308727000,781000,108000,-1138000,1675000,1426000,2770000,2770000,51000,-375000,3821000,3821000,3821000,-1235000,0,-0.04184,0.02038,0.00644,0.00212,2.03889,0,0.03074,0.03063,1.50893,4.77256,0.00431,17.69879,16.2755
"9","2012_Q4",2.69774193548387,"Up",32422000,32381000,41000,0,0,41000,-22289000,-8962000,-2433000,-1262000,2218000,-662000,956000,956000,128000,1084000,1084000,1084000,-127000,957000,245911000,19137000,8561000,25914000,19931000,319454000,151705000,61313000,213018000,70000,79562000,-2228000,8895000,20137000,106436000,106436000,319454000,1084000,121000,-806000,607000,1006000,-3227000,-3227000,-501000,-5e+05,-2721000,-2721000,-2721000,-1141000,0,-0.03892,0.02952,0.00899,0.003,2.00137,0,0.04511,0.04502,1.5284,5.01419,0.0037,16.77213,15.16403
"10","2013_Q1",3.136,"Up",32136000,32089000,47000,6000,6000,41000,-21761000,-8512000,-2542000,-679000,2231000,-655000,1552000,1552000,-638000,914000,914000,914000,-127000,787000,246892000,18951000,6330000,26133000,21871000,320177000,154558000,59883000,214441000,70000,79581000,-2107000,8621000,19571000,105736000,105736000,320177000,914000,128000,1000,3364000,4407000,-3165000,-3165000,140000,-1428000,-186000,-186000,-186000,-551000,0,-0.02113,0.02449,0.00744,0.00246,2.02808,0,0.03725,0.03712,1.52094,5.00099,0.00905,34.39383,27.91016
"11","2013_Q2",3.47265625,"Up",33745000,33019000,726000,678000,678000,48000,-23362000,-9283000,-2417000,-1317000,2328000,-577000,1011000,1011000,-89000,922000,922000,922000,-127000,795000,241540000,18777000,6868000,26610000,19753000,313548000,150975000,58546000,209521000,70000,79581000,-2379000,8993000,17762000,104027000,104027000,313548000,922000,142000,-1068000,-2829000,-2833000,2931000,2931000,-272000,-272000,-174000,-174000,-174000,-1175000,0,-0.03903,0.02356,0.00764,0.00254,2.0141,0,0.03753,0.03746,1.5931,4.9078,0.00312,15.98043,14.2574
"12","2013_Q3",3.67125,"Up",41874000,36373000,5501000,5454000,5454000,47000,-24999000,-10402000,-2746000,3727000,2336000,-438000,6063000,6063000,-103000,5960000,5960000,5960000,-119000,5841000,202734000,47097000,22435000,27436000,21211000,320913000,168761000,53405000,222166000,65000,78840000,-2213000,14834000,7221000,98747000,98747000,320913000,5960000,155000,-6217000,1687000,1585000,27793000,27793000,-135000,-1058000,28320000,28320000,28320000,3882000,0,0.08901,0.13949,0.05915,0.0182,2.24985,0,0.27464,0.2551,1.96887,4.63993,0.02342,-12.13215,-12.63671
"13","2013_Q4",3.8246875,"Up",40713000,38385000,2328000,2283000,2283000,45000,-26786000,-10396000,-2934000,597000,2092000,-442000,2689000,2689000,-9000,2680000,2680000,2680000,-118000,2562000,214226000,37252000,17135000,27689000,21393000,317695000,167204000,53461000,220665000,65000,78930000,-2555000,17396000,3194000,97030000,97030000,317695000,2680000,153000,-2521000,8486000,8798000,-18309000,-18309000,-334000,-334000,-9845000,-9845000,-9845000,750000,0,0.01466,0.06293,0.0264,0.00806,2.27419,0,0.12029,0.11174,1.9115,4.55256,0.0097,-49.66933,-62.39866
"14","2014_Q1",3.70344262295082,"Down",38228000,37853000,375000,326000,326000,49000,-25225000,-10475000,-3240000,-712000,2155000,-441000,1443000,1443000,17000,1460000,1460000,1460000,-118000,1342000,228961000,33102000,9343000,27509000,20466000,319381000,162373000,56081000,218454000,65000,79019000,-3099000,18738000,6204000,100927000,100927000,319381000,1460000,150000,-421000,4281000,5470000,-8599999.99999999,-8599999.99999999,-537000,-1020000,-4150000,-4150000,-4150000,-562000,0,-0.01863,0.03511,0.0133,0.0042,2.16448,0,0.06332,0.05488,1.80363,4.75876,0.00693,58.90036,46.49157
"15","2014_Q2",3.4631746031746,"Down",38562000,38418000,144000,108000,108000,36000,-26828000,-9907000,-3003000,-1176000,2169000,-429000,993000,993000,-173000,820000,820000,820000,-118000,702000,229932000,27178000,6819000,27296000,20717000,311942000,157783000,52299000,210082000,65000,79037000,-3330000,19018000,7070000,101860000,101860000,311942000,820000,213000,302000,-5661000,-4326000,-1298000,-1298000,-3e+05,-3e+05,-5924000,-5924000,-5924000,-963000,0,-0.0305,0.0182,0.00689,0.00225,2.06246,0,0.03331,0.03331,1.82992,4.83059,0.0027,28.22222,23.11054
"16","2014_Q3",3.84078125,"Up",38987000,38456000,531000,485000,485000,46000,-27069000,-10074000,-3023000,-1179000,2165000,-434000,986000,986000,-109000,877000,877000,877000,-118000,759000,241129000,27759000,16413000,27184000,24319000,336804000,171797000,58370000,230167000,65000,79164000,-4512000,19777000,12143000,106637000,106637000,336804000,877000,211000,-231000,2933000,3790000,-1633000,-1633000,-1154000,-1576000,580999.999999998,580999.999999998,580999.999999998,-968000,0,-0.03024,0.01947,0.00712,0.00225,2.15842,0,0.03646,0.03646,1.87302,5.11996,0.00424,28.67665,23.54453
"17","2014_Q4",3.72578125,"Down",39978000,38337000,1641000,848000,848000,793000,-27094000,-10238000,-3349000,-703000,2290000,-388000,1587000,1587000,-136000,1451000,1451000,1451000,-117000,1334000,235429000,16494000,14045000,26992000,23965000,316925000,165564000,49179000,214743000,65000,79310000,-5279000,21111000,6975000,102182000,102182000,316925000,1451000,251000,-930000,-2009000,-1237000,-2363000,-2363000,-915000,-7665000,-11265000,-11265000,-11265000,-452000,0,-0.01758,0.03337,0.01306,0.00421,2.10157,0,0.06424,0.06424,1.92507,4.91727,0.00498,36.49115,23.4623
"18","2015_Q1",3.82475409836066,"Up",38427000,38277000,150000,130000,130000,20000,-25204000,-10704000,-3317000,-798000,2136000,-356000,1338000,1338000,-56000,1282000,1282000,1282000,-115000,1167000,240285000,16375000,10728000,26981000,22639000,317008000,164094000,48719000,212813000,55000,78432000,-5437000,21866000,9279000,104195000,104195000,317008000,1282000,257000,-248000,4935000,6226000,-4312000,-4312000,-150000,-2033000,-119000,-119000,-119000,-541000,0,-0.02077,0.03037,0.0112,0.00368,2.04245,0,0.0566,0.0566,1.86385,5.05117,0.00764,30.26802,20.52005
"19","2015_Q2",3.65888888888889,"Down",38352000,37386000,966000,951000,951000,15000,-25241000,-10721000,-3628000,-1238000,2248000,-349000,1010000,1010000,-319000,691000,691000,691000,-99000,592000,238171000,19695000,7237000,26800000,21282000,313185000,155810000,49918000,205728000,55000,78504000,-5527000,22046000,12379000,107457000,107457000,313185000,691000,283000,-397000,-4818000,-4241000,7644000,7644000,-83000,-83000,3320000,3320000,3320000,-955000,0,-0.03228,0.01544,0.00551,0.00189,1.91451,0,0.02875,0.02875,1.86256,5.21597,0.00225,20.62304,15.90872
"20","2015_Q3",3.51984375,"Down",42278000,38104000,4174000,4148000,4148000,26000,-26383000,-10487000,-3359000,2049000,2140000,-354000,4189000,4189000,-844000,3345000,3345000,3345000,-1e+05,3245000,226752000,32927000,18195000,27447000,21904000,327225000,169575000,52108000,221683000,55000,78500000,-5539000,25291000,7235000,105542000,105542000,327225000,3345000,284000,-4994000,3687000,2322000,11403000,11403000,-81000,-493000,13232000,13232000,13232000,2333000,0,0.04846,0.07675,0.03075,0.00992,2.10042,0,0.15773,0.14783,2.05502,5.12745,0.01329,-14.11359,-16.06979
"21","2015_Q4",4.44,"Up",37903000,37859000,44000,7000,7000,37000,-24637000,-11816000,-3180000,-1730000,2095000,-361000,365000,365000,-127000,238000,238000,238000,-1e+05,138000,237627000,14637000,14404000,27675000,22860000,317203000,165362000,48629000,213991000,55000,78625000,-5704000,25429000,4807000,103212000,103212000,317203000,238000,267000,543000,-496000,552000,-18683000,-18683000,-159000,-159000,-18290000,-18290000,-18290000,-1463000,0,-0.04564,0.00364,0.00134,0.00044,2.07332,0,0.0067,0.0067,1.84093,5.0103,0.00051,10.00478,8.46069
"22","2016_Q1",4.14459016393443,"Down",37319000,37543000,-224000,-249000,-249000,25000,-25103000,-10211000,-4034000,-2029000,2173000,-365000,144000,144000,-30000.0000000001,114000,114000,114000,-1e+05,14000,238385000,15622000,11988000,27866000,20742000,314603000,163345000,48766000,212111000,55000,78751000,-6341000,25443000,4584000,102492000,102492000,314603000,114000,283000,-224999.999999999,3404000,3576000,-1565000,-1565000,-627000,-1026000,984999.999999996,984999.999999996,984999.999999996,-1746000,0,-0.05437,0.000380000000000001,0.000140000000000004,4.00000000000007e-05,2.06954,0,0.000680000000000003,0.000730000000000011,1.81946,4.99425,0.00155,8.94731,7.69936
"23","2016_Q2",3.9028125,"Down",39240000,38458000,782000,752000,752000,30000,-24825000,-11827000,-3346000,-758000,2134000,-373000,1376000,1376000,-478000,898000,898000,898000,-99000,799000,236027000,10784000,8416000,27669000,17237000,300133000,149138000,47171000,196309000,55000,78880000,-6506000,25834000,5561000,103824000,103824000,300133000,898000,291000,42000,-8188000,-6957000,2274000,2274000,-155000,-155000,-4838000,-4838000,-4838000,-467000,0,-0.01932,0.02036,0.0077,0.00266,1.89079,0,0.03916,0.03916,1.92296,5.08522,0.00316,23.09208,14.22691
"24","2016_Q3",3.67859375,"Down",39291000,39122000,169000,132000,132000,37000,-26922000,-10954000,-3236000,-1821000,2178000,-385000,357000,357000,-116000,241000,241000,241000,-1e+05,141000,238493000,13968000,23023000,28199000,16582000,320265000,163345000,48871000,212216000,55000,78894000,-6547000,25975000,9672000,108049000,108049000,320265000,241000,286000,-889000,-694000.000000002,-1056000,4922000,4922000,-274000,-682000,3184000,3184000,3184000,-1535000,0,-0.04635,0.00359,0.0013,0.000439999999999999,1.96407,0,0.00688999999999999,0.00689,1.92094,5.27985,0.00202,9.09967,7.67051
"25","2016_Q4",3.71634920634921,"Up",39994000,39432000,562000,527000,527000,35000,-26955000,-11558000,-3221000,-1740000,2057000,-396000,317000,317000,-168000,149000,149000,149000,-1e+05,49000,248951000,11864000,14475000,28791000,17422000,321503000,161600000,50952000,212552000,55000,79024000,-6679000,26024000,10527000,108951000,108951000,321503000,149000,283000,-871000,6176000,5737000,-7748000,-7748000,-93000,-93000,-2104000,-2104000,-2104000,-1457000,0,-0.04351,0.00123,0.00045,0.00015,1.9509,0,0.0024,0.0024,1.95675,5.32785,0.00018,8.14276,6.81839
"26","2017_Q1",3.71967741935484,"Up",37668000,36453000,1215000,1184000,1184000,31000,-24495000,-10458000,-3194000,-479000,1953000,-408000,1474000,1474000,-126000,1348000,1348000,1348000,-1e+05,1248000,244177000,13252000,12581000,28975000,19615000,318600000,162679000,50415000,213094000,55000,79087000,-6738000,27272000,5830000,105506000,105506000,318600000,1348000,345000,-1402000,3301000,3592000,-1680000,-1680000,-125000,-524000,1388000,1388000,1388000,-134000,0,-0.01272,0.03313,0.01183,0.00392,2.01973,0,0.06093,0.06093,1.83917,5.14872,0.00614,98.89552,27.66597
"27","2017_Q2",3.65634920634921,"Down",41700000,40782000,918000,883000,883000,35000,-29997000,-10614000,-3186000,-2097000,1750000,-409000,-347000,-347000,126000,-221000,-221000,-221000,-99000,-320000,244441000,10678000,7184000,30612000,19999000,312914000,158403000,47530000,205933000,55000,79208000,-6840000,26544000,8014000,106981000,106981000,312914000,-221000,387000,-2530000,-3784000,-6148000,3671000,3671000,-97000,-97000,-2574000,-2574000,-2574000,-1710000,0,-0.05029,-0.00767,-0.00299,-0.00102,1.92495,0,-0.01566,-0.01566,2.04092,5.23326,-0.00121,6.24444,5.09204
"28","2017_Q3",3.3547619047619,"Down",41547000,40120000,1427000,1396000,1396000,31000,-27032000,-11010000,-2981000,524000,1661000,-424000,2185000,2185000,-725000,1460000,1460000,1460000,-1e+05,1360000,240664000,12644000,24998000,31256000,23179000,332741000,176780000,48425000,225205000,55000,79279000,-6923000,27904000,7221000,107536000,107536000,332741000,1460000,406000,-2253000,833000.000000001,446000.000000002,2007000,2007000,-79000,-487000,1966000,1966000,1966000,930000,0,0.01261,0.03273,0.01265,0.00409,2.09423,0,0.06663,0.06663,2.03542,5.26558,0.00622,-13.5957,-24.12977
"29","2017_Q4",3.38666666666667,"Up",42662000,42094000,568000,539000,539000,29000,-30417000,-10176000,-3134000,-1065000,1696000,-440000,631000,631000,116000,747000,747000,747000,-1e+05,647000,252137000,9473000,15572000,32159000,24964000,334305000,175192000,49593000,224785000,55000,79234000,-7045000,28551000,8725000,109520000,109520000,334305000,747000,356000,-1221000,4735000,4617000,-7441000,-7441000,-347000,-347000,-3171000,-3171000,-3171000,-709000,0,-0.02496,0.01517,0.00591,0.00194,2.05246,0,0.03165,0.03165,2.08718,5.35543,0.00227,13.36107,8.89484
"30","2018_Q1",3.29852459016393,"Down",46709000,40331000,6378000,6350000,6350000,28000,-30069000,-11646000,-3773000,1221000,1666000,-450000,2887000,2887000,-345000,2542000,2542000,2542000,-1e+05,2442000,247511000,24547000,13241000,32694000,25246000,343239000,173583000,56673000,230256000,55000,79317000,-7133000,30993000,9751000,112983000,112983000,343239000,2542000,289000,-7746000,8634000,3719000,11891000,11891000,-137000,-536000,15074000,15074000,15074000,1510000,0,0.02614,0.05228,0.02161,0.00711,2.03797,0,0.11947,0.11947,2.28518,5.52485,0.00991,-16.25629,-20.10401
"31","2018_Q2",2.875,"Down",38181000,42202000,-4021000,-4049000,370000,28000,-33172000,-10019000,-3238000,-8248000,1897000,-462000,-6351000,-6351000,1327000,-5024000,-5024000,-5024000,-99000,-5123000,245828000,8438000,7896000,33163000,30485000,325810000,172952000,51134000,224086000,55000,79445000,-7346000,33188000,-3618000,101724000,101724000,325810000,-5024000,273000,2294000,-4419000,-6876000,-9071000,-9071000,-162000,-162000,-16109000,-16109000,-16109000,-7975000,0,-0.21602,-0.13418,-0.05036,-0.01572,2.20288,0,-0.25089,-0.25089,1.86988,4.97914,-0.01865,1.05806,1.02304
"32","2018_Q3",2.57222222222222,"Down",46906000,42845000,4061000,4032000,-57000,29000,-32219000,-9715000,-2970000,2002000,2031000,-506000,4033000,4033000,-848000.000000001,3185000,3185000,3185000,-1e+05,3085000,246714000,7487000,19379000,34193000,33882000,341655000,191420000,48568000,239988000,55000,79495000,-7727000,36273000,-6429000,101667000,101667000,341655000,3185000,259000,-4670000,1706000,479999.999999998,-648000,-648000,-376000,-783000,-950999.999999996,-950999.999999996,-950999.999999996,2261000,0,0.04268,0.0657699999999999,0.03034,0.00903,2.36053,0,0.15208,0.15208,2.31224,5.00897,0.01191,-3.31137,-3.73976
"33","2018_Q4",2.69920634920635,"Up",44155000,42557000,1598000,1567000,484000,31000,-33087000,-8722000,-2960000,-614000,1686000,-529000,1072000,1072000,-138000,934000,934000,934000,-1e+05,834000,245020000,10038000,14972000,34934000,34585000,339549000,187813000,49618000,237431000,55000,79568000,-7850000,37107000,-6762000,102118000,102118000,339549000,934000,251000,-1832000,1924000,1277000,1394000,1394000,103000,-120000,2551000,2551000,2551000,-363000,0,-0.01391,0.01889,0.00817,0.00246,2.32507,0,0.04121,0.04121,2.18189,5.04339,0.00288,27.65289,16.34853
"34","2019_Q1",2.6344262295082,"Down",46762000,45327000,1435000,1410000,-797000,25000,-34172000,-10586000,-3627000,-1623000,1898000,-540000,275000,275000,-74000,201000,201000,201000,-1e+05,101000,241929000,12630000,15223000,37094000,37398000,344274000,189048000,53854000,242902000,55000,79629000,-7985000,37208000,-7535000,101372000,101372000,344274000,201000,204000,5633000,3541000,9579000,-6462000,-6462000,-126000,-525000,2592000,2592000,2592000,-1419000,0,-0.03471,0.00216000000000001,0.000999999999999997,0.00029,2.39614,0,0.00499999999999998,0.005,2.31564,5.01718,0.00172,8.90063,7.78189
"35","2019_Q2",2.41825396825397,"Down",52684000,44782000,7902000,7874000,-2767795.82257984,28000,-35307000,-11015000,-2865000,3497000,1788000,-546000,5285000,5285000,-1123000,4162000,4162000,4162000,-99000,4063000,253745000,8614000,12137000,37359000,42389000,354244000,184281000,58476000,242757000,55000,79690000,-8044000,40868000,-1082000,111487000,111487000,354244000,4162000,193000,-6958000,-4343000,-6946000,2986000,2986000,-42000,-56000,-4016000,-4016000,-4016000,3690000,0,0.06638,0.07712,0.03644,0.01147,2.17745,0,0.20155,0.18865,2.61342,5.52766,0.01374,-2.33442,-2.46325
"36","2019_Q3",2.48734375,"Up",40814000,45469000,-4655000,-4727000,-2916459.31340174,72000,-34151000,-11509000,-2511000,-7357000,1768000,-545000,-5589000,-5589000,1163000,-4426000,-4426000,-4426000,-1e+05,-4526000,254393000,11450000,23891000,38144000,43852000,371730000,202541000,56419000,258960000,55000,79695000,-8049000,36342000,4727000,112770000,112770000,371730000,-4426000,144000,2362000,1647000,-273000,3561000,3561000,-14000,-452000,2836000,2836000,2836000,-7213000,0,-0.18026,-0.11089,-0.04013,-0.01218,2.29636,0,-0.22467,-0.24117,2.02601,5.59518,-0.01308,1.58741,1.55634
